# Time [s], Mass [Kg]
0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,1.000000000000000000e+00
4.800000000000000000e+01,1.000000000000000000e+00
4.900000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+01,1.000000000000000000e+00
5.100000000000000000e+01,1.000000000000000000e+00
5.200000000000000000e+01,1.000000000000000000e+00
5.300000000000000000e+01,1.000000000000000000e+00
5.400000000000000000e+01,1.000000000000000000e+00
5.500000000000000000e+01,1.000000000000000000e+00
5.600000000000000000e+01,1.000000000000000000e+00
5.700000000000000000e+01,1.000000000000000000e+00
5.800000000000000000e+01,1.000000000000000000e+00
5.900000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+01,1.000000000000000000e+00
6.100000000000000000e+01,1.000000000000000000e+00
6.200000000000000000e+01,1.000000000000000000e+00
6.300000000000000000e+01,9.999999400000000316e-01
6.400000000000000000e+01,9.999999400000000316e-01
6.500000000000000000e+01,9.999999400000000316e-01
6.600000000000000000e+01,9.999999400000000316e-01
6.700000000000000000e+01,9.999999400000000316e-01
6.800000000000000000e+01,9.999999400000000316e-01
6.900000000000000000e+01,9.999999400000000316e-01
7.000000000000000000e+01,9.999999400000000316e-01
7.100000000000000000e+01,9.999999400000000316e-01
7.200000000000000000e+01,9.999998799999999521e-01
7.300000000000000000e+01,9.999998799999999521e-01
7.400000000000000000e+01,9.999998799999999521e-01
7.500000000000000000e+01,9.999998799999999521e-01
7.600000000000000000e+01,9.999998199999999837e-01
7.700000000000000000e+01,9.999998199999999837e-01
7.800000000000000000e+01,9.999998199999999837e-01
7.900000000000000000e+01,9.999997600000000153e-01
8.000000000000000000e+01,9.999997600000000153e-01
8.100000000000000000e+01,9.999997600000000153e-01
8.200000000000000000e+01,9.999997000000000469e-01
8.300000000000000000e+01,9.999997000000000469e-01
8.400000000000000000e+01,9.999996399999999674e-01
8.500000000000000000e+01,9.999996399999999674e-01
8.600000000000000000e+01,9.999995799999999990e-01
8.700000000000000000e+01,9.999995200000000306e-01
8.800000000000000000e+01,9.999994599999999512e-01
8.900000000000000000e+01,9.999994599999999512e-01
9.000000000000000000e+01,9.999993999999999827e-01
9.100000000000000000e+01,9.999993400000000143e-01
9.200000000000000000e+01,9.999992800000000459e-01
9.300000000000000000e+01,9.999991700000000483e-01
9.400000000000000000e+01,9.999991099999999689e-01
9.500000000000000000e+01,9.999990500000000004e-01
9.600000000000000000e+01,9.999989299999999526e-01
9.700000000000000000e+01,9.999988699999999842e-01
9.800000000000000000e+01,9.999987500000000473e-01
9.900000000000000000e+01,9.999986299999999995e-01
1.000000000000000000e+02,9.999985700000000310e-01
1.010000000000000000e+02,9.999983900000000148e-01
1.020000000000000000e+02,9.999982699999999669e-01
1.030000000000000000e+02,9.999981500000000301e-01
1.040000000000000000e+02,9.999979700000000138e-01
1.050000000000000000e+02,9.999978499999999659e-01
1.060000000000000000e+02,9.999976799999999999e-01
1.070000000000000000e+02,9.999974400000000152e-01
1.080000000000000000e+02,9.999972599999999989e-01
1.090000000000000000e+02,9.999970799999999826e-01
1.100000000000000000e+02,9.999968399999999979e-01
1.110000000000000000e+02,9.999966000000000133e-01
1.120000000000000000e+02,9.999962999999999491e-01
1.130000000000000000e+02,9.999960700000000147e-01
1.140000000000000000e+02,9.999957699999999505e-01
1.150000000000000000e+02,9.999954100000000290e-01
1.160000000000000000e+02,9.999951099999999649e-01
1.170000000000000000e+02,9.999947500000000433e-01
1.180000000000000000e+02,9.999943999999999500e-01
1.190000000000000000e+02,9.999939799999999490e-01
1.200000000000000000e+02,9.999935599999999480e-01
1.210000000000000000e+02,9.999930900000000289e-01
1.220000000000000000e+02,9.999926099999999485e-01
1.230000000000000000e+02,9.999921299999999791e-01
1.240000000000000000e+02,9.999915999999999805e-01
1.250000000000000000e+02,9.999909999999999632e-01
1.260000000000000000e+02,9.999903999999999460e-01
1.270000000000000000e+02,9.999898099999999790e-01
1.280000000000000000e+02,9.999891499999999933e-01
1.290000000000000000e+02,9.999884399999999784e-01
1.300000000000000000e+02,9.999876599999999449e-01
1.310000000000000000e+02,9.999868899999999616e-01
1.320000000000000000e+02,9.999860499999999597e-01
1.330000000000000000e+02,9.999852200000000080e-01
1.340000000000000000e+02,9.999842599999999582e-01
1.350000000000000000e+02,9.999833099999999586e-01
1.360000000000000000e+02,9.999822999999999906e-01
1.370000000000000000e+02,9.999812200000000040e-01
1.380000000000000000e+02,9.999800899999999881e-01
1.390000000000000000e+02,9.999789000000000039e-01
1.400000000000000000e+02,9.999776500000000512e-01
1.410000000000000000e+02,9.999763400000000191e-01
1.420000000000000000e+02,9.999749700000000185e-01
1.430000000000000000e+02,9.999734799999999701e-01
1.440000000000000000e+02,9.999719900000000328e-01
1.450000000000000000e+02,9.999703800000000475e-01
1.460000000000000000e+02,9.999687099999999829e-01
1.470000000000000000e+02,9.999669199999999813e-01
1.480000000000000000e+02,9.999650700000000114e-01
1.490000000000000000e+02,9.999631599999999620e-01
1.500000000000000000e+02,9.999611400000000261e-01
1.510000000000000000e+02,9.999589899999999920e-01
1.520000000000000000e+02,9.999567299999999603e-01
1.530000000000000000e+02,9.999544000000000210e-01
1.540000000000000000e+02,9.999519599999999730e-01
1.550000000000000000e+02,9.999494599999999567e-01
1.560000000000000000e+02,9.999467699999999848e-01
1.570000000000000000e+02,9.999439700000000153e-01
1.580000000000000000e+02,9.999410499999999979e-01
1.590000000000000000e+02,9.999379499999999643e-01
1.600000000000000000e+02,9.999347899999999623e-01
1.610000000000000000e+02,9.999314500000000550e-01
1.620000000000000000e+02,9.999279399999999596e-01
1.630000000000000000e+02,9.999242999999999881e-01
1.640000000000000000e+02,9.999205500000000191e-01
1.650000000000000000e+02,9.999165500000000151e-01
1.660000000000000000e+02,9.999124400000000135e-01
1.670000000000000000e+02,9.999080900000000272e-01
1.680000000000000000e+02,9.999036199999999930e-01
1.690000000000000000e+02,9.998989099999999741e-01
1.700000000000000000e+02,9.998940200000000500e-01
1.710000000000000000e+02,9.998889600000000488e-01
1.720000000000000000e+02,9.998836500000000127e-01
1.730000000000000000e+02,9.998781100000000421e-01
1.740000000000000000e+02,9.998723299999999758e-01
1.750000000000000000e+02,9.998663700000000043e-01
1.760000000000000000e+02,9.998601099999999686e-01
1.770000000000000000e+02,9.998536099999999482e-01
1.780000000000000000e+02,9.998468799999999934e-01
1.790000000000000000e+02,9.998398400000000352e-01
1.800000000000000000e+02,9.998325099999999521e-01
1.810000000000000000e+02,9.998249399999999953e-01
1.820000000000000000e+02,9.998170100000000060e-01
1.830000000000000000e+02,9.998087900000000028e-01
1.840000000000000000e+02,9.998002599999999962e-01
1.850000000000000000e+02,9.997914399999999757e-01
1.860000000000000000e+02,9.997821999999999543e-01
1.870000000000000000e+02,9.997726700000000299e-01
1.880000000000000000e+02,9.997627700000000228e-01
1.890000000000000000e+02,9.997524599999999539e-01
1.900000000000000000e+02,9.997417899999999635e-01
1.910000000000000000e+02,9.997307100000000224e-01
1.920000000000000000e+02,9.997192000000000300e-01
1.930000000000000000e+02,9.997072799999999759e-01
1.940000000000000000e+02,9.996949400000000319e-01
1.950000000000000000e+02,9.996821299999999466e-01
1.960000000000000000e+02,9.996688400000000030e-01
1.970000000000000000e+02,9.996550699999999789e-01
1.980000000000000000e+02,9.996408199999999855e-01
1.990000000000000000e+02,9.996260399999999935e-01
2.000000000000000000e+02,9.996107800000000321e-01
2.010000000000000000e+02,9.995949299999999926e-01
2.020000000000000000e+02,9.995785400000000154e-01
2.030000000000000000e+02,9.995616099999999893e-01
2.040000000000000000e+02,9.995440799999999459e-01
2.050000000000000000e+02,9.995258999999999672e-01
2.060000000000000000e+02,9.995071300000000214e-01
2.070000000000000000e+02,9.994877599999999473e-01
2.080000000000000000e+02,9.994676700000000302e-01
2.090000000000000000e+02,9.994469299999999556e-01
2.100000000000000000e+02,9.994254700000000380e-01
2.110000000000000000e+02,9.994032999999999944e-01
2.120000000000000000e+02,9.993804099999999968e-01
2.130000000000000000e+02,9.993567500000000159e-01
2.140000000000000000e+02,9.993323699999999699e-01
2.150000000000000000e+02,9.993071599999999721e-01
2.160000000000000000e+02,9.992811099999999724e-01
2.170000000000000000e+02,9.992542300000000211e-01
2.180000000000000000e+02,9.992265099999999567e-01
2.190000000000000000e+02,9.991978999999999722e-01
2.200000000000000000e+02,9.991683999999999566e-01
2.210000000000000000e+02,9.991379400000000022e-01
2.220000000000000000e+02,9.991065900000000166e-01
2.230000000000000000e+02,9.990742200000000128e-01
2.240000000000000000e+02,9.990408400000000411e-01
2.250000000000000000e+02,9.990065099999999587e-01
2.260000000000000000e+02,9.989711000000000007e-01
2.270000000000000000e+02,9.989346300000000456e-01
2.280000000000000000e+02,9.988970200000000244e-01
2.290000000000000000e+02,9.988583300000000165e-01
2.300000000000000000e+02,9.988184599999999636e-01
2.310000000000000000e+02,9.987774499999999556e-01
2.320000000000000000e+02,9.987352499999999633e-01
2.330000000000000000e+02,9.986918000000000184e-01
2.340000000000000000e+02,9.986470899999999595e-01
2.350000000000000000e+02,9.986010800000000298e-01
2.360000000000000000e+02,9.985538099999999861e-01
2.370000000000000000e+02,9.985051799999999922e-01
2.380000000000000000e+02,9.984551699999999474e-01
2.390000000000000000e+02,9.984037900000000132e-01
2.400000000000000000e+02,9.983509200000000305e-01
2.410000000000000000e+02,9.982966800000000474e-01
2.420000000000000000e+02,9.982408900000000473e-01
2.430000000000000000e+02,9.981836099999999989e-01
2.440000000000000000e+02,9.981247800000000447e-01
2.450000000000000000e+02,9.980643999999999627e-01
2.460000000000000000e+02,9.980023500000000380e-01
2.470000000000000000e+02,9.979386900000000171e-01
2.480000000000000000e+02,9.978734299999999502e-01
2.490000000000000000e+02,9.978063700000000535e-01
2.500000000000000000e+02,9.977376500000000314e-01
2.510000000000000000e+02,9.976670699999999892e-01
2.520000000000000000e+02,9.975947699999999640e-01
2.530000000000000000e+02,9.975206300000000192e-01
2.540000000000000000e+02,9.974446300000000543e-01
2.550000000000000000e+02,9.973666700000000107e-01
2.560000000000000000e+02,9.972868599999999972e-01
2.570000000000000000e+02,9.972050799999999660e-01
2.580000000000000000e+02,9.971212699999999485e-01
2.590000000000000000e+02,9.970354399999999950e-01
2.600000000000000000e+02,9.969475300000000262e-01
2.610000000000000000e+02,9.968575200000000525e-01
2.620000000000000000e+02,9.967654299999999523e-01
2.630000000000000000e+02,9.966711400000000110e-01
2.640000000000000000e+02,9.965747000000000355e-01
2.650000000000000000e+02,9.964759899999999782e-01
2.660000000000000000e+02,9.963750200000000001e-01
