Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,1.93e+12,1.0,0.0,378.483838051,1520.01968617,0.157310918425,0.94865857164,1.81e+05,280909.131094,7068.71777242,100000000.0,0.00191536685618,0.733808674985,0.796782538847,0.94,0.60077199988,0.0301694840202,8.9349255138e-05,0.000355677080389,3.79928219127,0.0,1683.0,1235.0,
0,173.0876,1.93e+12,1.0,0.0,378.483838051,1520.01968617,0.157310918425,0.94865857164,1.81e+05,280909.131094,7068.71777242,100000000.0,0.00191536685618,0.733808674985,0.796782538847,0.94,0.60077199988,0.0301694840202,8.9349255138e-05,0.000355677080389,3.79928219127,0.0,1683.0,1235.0,
1,346.8154,4.93e+12,1.0,0.0,1043.11152593,3407.76303985,0.0446927844602,0.474006490112,1.65e+05,49844.7357133,13804.9283641,100000000.0,0.00141511233298,0.733808674985,0.970892723531,0.94,0.407899997507,0.24803332501,9.34815583886e-05,0.00016848600802,3.85996549742,0.0,1683.0,1235.0,
2,510.3162,3.90e+12,1.0,0.0,816.960566673,2752.71703226,0.122936457372,0.498137390188,1.78e+05,204790.502929,24378.5336446,100000000.0,0.0011732683793,0.733808674985,0.967074884446,0.94,0.444965102784,0.173575025939,0.000110010008691,0.000618438815126,2.54575720642,0.0,1683.0,1235.0,
3,677.3065,4.39e+12,1.0,0.0,716.429773077,2319.15125525,0.0639092283948,0.623870258702,1.83e+05,172332.345798,9138.5368835,100000000.0,0.000993430618277,0.733808674985,0.850740728536,0.94,0.475963382016,0.163842262249,6.54542128169e-05,0.00024729974505,2.2546585818,0.0,1683.0,1235.0,
4,837.4457,4.77e+12,1.0,0.0,952.867316408,2536.50041701,0.0528788263076,0.497547665271,1.87e+05,113944.425183,18927.4836633,100000000.0,0.000729967828008,0.733808674985,0.965497348189,0.94,0.482545491483,0.178903333043,5.39814269377e-05,0.000340298792322,2.34276532542,0.0,1683.0,1235.0,
5,986.3078,3.74e+12,1.0,0.0,1030.95272878,1735.32014673,0.0705655018395,0.499080265265,1.81e+05,62648.3909661,26338.7550845,100000000.0,0.000338880396166,0.733808674985,0.925209421274,0.94,0.296975194043,0.168453567113,7.15851085705e-05,0.000307201156741,1.66913557755,0.0,1683.0,1235.0,
6,1132.1404,1.96e+12,1.0,0.0,1040.67713348,898.430634299,0.0894533553718,0.548305269667,1.78e+05,81940.9225533,29695.9366384,100000000.0,0.000274373111809,0.733808674985,0.902251750014,0.94,0.20972566174,0.163455096537,0.000105332508678,0.000291499843962,1.51236788313,0.0,1683.0,1235.0,
7,1311.2759,3.42e+12,1.0,0.0,1099.22716861,1151.27096582,0.080523110536,0.52499391566,1.81e+05,65686.3628092,27267.0607378,100000000.0,0.000166226899429,0.733808674985,0.933996793446,0.94,0.259758276786,0.1577889571,8.56580548843e-05,0.000332352973239,1.5511971123,0.0,1683.0,1235.0,
8,1491.4877,3.24e+12,1.0,0.0,1068.21932135,1246.74953341,0.0796368680512,0.563044612949,1.81e+05,70371.8849996,26941.3240391,100000000.0,0.00012092799865,0.733808674985,0.928670904129,0.94,0.272411940699,0.14879812838,8.34174190221e-05,0.000350135681558,1.76632113877,0.0,1683.0,1235.0,
9,1669.9066,2.97e+12,1.0,0.0,1052.6229712,1111.73558279,0.0840808507286,0.561531115531,1.82e+05,75204.980994,27270.0868339,100000000.0,0.000102436635195,0.733808674985,0.923842708969,0.94,0.275556361301,0.140905688311,8.68597740868e-05,0.000337497763863,1.64090853817,0.0,1683.0,1235.0,
