# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478400000096e-01
2.000000000000000000e+00,1.389829478400000096e-01
3.000000000000000000e+00,1.389829478400000096e-01
4.000000000000000000e+00,1.389829478399999263e-01
5.000000000000000000e+00,1.389829478399995655e-01
6.000000000000000000e+00,1.389829478399982055e-01
7.000000000000000000e+00,1.389829478399938201e-01
8.000000000000000000e+00,1.389829478399815244e-01
9.000000000000000000e+00,1.389829478399506324e-01
1.000000000000000000e+01,1.389829478398793838e-01
1.100000000000000000e+01,1.389829478397265616e-01
1.200000000000000000e+01,1.389829478394180307e-01
1.300000000000000000e+01,1.389829478388265038e-01
1.400000000000000000e+01,1.389829478377420380e-01
1.500000000000000000e+01,1.389829478358301229e-01
1.600000000000000000e+01,1.389829478325736167e-01
1.700000000000000000e+01,1.389829478271940588e-01
1.800000000000000000e+01,1.389829478185475309e-01
1.900000000000000000e+01,1.389829478049886269e-01
2.000000000000000000e+01,1.389829477841957039e-01
2.100000000000000000e+01,1.389829477529502255e-01
2.200000000000000000e+01,1.389829477068612873e-01
2.300000000000000000e+01,1.389829476400240016e-01
2.400000000000000000e+01,1.389829475446052454e-01
2.500000000000000000e+01,1.389829474103423668e-01
2.600000000000000000e+01,1.389829472239385300e-01
2.700000000000000000e+01,1.389829469683520891e-01
2.800000000000000000e+01,1.389829466219585086e-01
2.900000000000000000e+01,1.389829461575588232e-01
3.000000000000000000e+01,1.389829455412460446e-01
3.100000000000000000e+01,1.389829447310957089e-01
3.200000000000000000e+01,1.389829436756382097e-01
3.300000000000000000e+01,1.389829423121534124e-01
3.400000000000000000e+01,1.389829405647316773e-01
3.500000000000000000e+01,1.389829383420284614e-01
3.600000000000000000e+01,1.389829355348305706e-01
3.700000000000000000e+01,1.389829320133228741e-01
3.800000000000000000e+01,1.389829276239241684e-01
3.900000000000000000e+01,1.389829221859470165e-01
4.000000000000000000e+01,1.389829154878846340e-01
4.100000000000000000e+01,1.389829072831238743e-01
4.200000000000000000e+01,1.389828972855163269e-01
4.300000000000000000e+01,1.389828851644978325e-01
4.400000000000000000e+01,1.389828705394633157e-01
4.500000000000000000e+01,1.389828529740758101e-01
4.600000000000000000e+01,1.389828319700428250e-01
4.700000000000000000e+01,1.389828069599833293e-01
4.800000000000000000e+01,1.389827773002713096e-01
4.900000000000000000e+01,1.389827422632803344e-01
5.000000000000000000e+01,1.389827010285068221e-01
5.100000000000000000e+01,1.389826526739298129e-01
5.200000000000000000e+01,1.389825961666903142e-01
5.300000000000000000e+01,1.389825303524193090e-01
5.400000000000000000e+01,1.389824539448613339e-01
5.500000000000000000e+01,1.389823655148038350e-01
5.600000000000000000e+01,1.389822634780988331e-01
5.700000000000000000e+01,1.389821460832188216e-01
5.800000000000000000e+01,1.389820113982788152e-01
5.900000000000000000e+01,1.389818572987988332e-01
6.000000000000000000e+01,1.389816814526738109e-01
6.100000000000000000e+01,1.389814813051238329e-01
6.200000000000000000e+01,1.389812540686938269e-01
6.300000000000000000e+01,1.389809967042638095e-01
6.400000000000000000e+01,1.389807059032938108e-01
6.500000000000000000e+01,1.389803780839488079e-01
6.600000000000000000e+01,1.389800093669138203e-01
6.700000000000000000e+01,1.389795955546838102e-01
6.800000000000000000e+01,1.389791321416738168e-01
6.900000000000000000e+01,1.389786142797388158e-01
7.000000000000000000e+01,1.389780367519188320e-01
7.100000000000000000e+01,1.389773940121538098e-01
7.200000000000000000e+01,1.389766801315838185e-01
7.300000000000000000e+01,1.389758887622488115e-01
7.400000000000000000e+01,1.389750132311388109e-01
7.500000000000000000e+01,1.389740464520438090e-01
7.600000000000000000e+01,1.389729808712438230e-01
7.700000000000000000e+01,1.389718086563438149e-01
7.800000000000000000e+01,1.389705215462438137e-01
7.900000000000000000e+01,1.389691107638938161e-01
8.000000000000000000e+01,1.389675673588438298e-01
8.100000000000000000e+01,1.389658819568438120e-01
8.200000000000000000e+01,1.389640446191438283e-01
8.300000000000000000e+01,1.389620454288938156e-01
8.400000000000000000e+01,1.389598740706938229e-01
8.500000000000000000e+01,1.389575195979438349e-01
8.600000000000000000e+01,1.389549713996938163e-01
8.700000000000000000e+01,1.389522185091938145e-01
8.800000000000000000e+01,1.389492492247938193e-01
8.900000000000000000e+01,1.389460526412938102e-01
9.000000000000000000e+01,1.389426175469938296e-01
9.100000000000000000e+01,1.389389318238438142e-01
9.200000000000000000e+01,1.389349847900938351e-01
9.300000000000000000e+01,1.389307654923438162e-01
9.400000000000000000e+01,1.389262617857938142e-01
9.500000000000000000e+01,1.389214637938938346e-01
9.600000000000000000e+01,1.389163613648938256e-01
9.700000000000000000e+01,1.389109427209938297e-01
9.800000000000000000e+01,1.389051994099938236e-01
9.900000000000000000e+01,1.388991226252438149e-01
1.000000000000000000e+02,1.388927012823938101e-01
1.010000000000000000e+02,1.388859289166438082e-01
1.020000000000000000e+02,1.388787985262938118e-01
1.030000000000000000e+02,1.388712999304938245e-01
1.040000000000000000e+02,1.388634291001938081e-01
1.050000000000000000e+02,1.388551811634438082e-01
1.060000000000000000e+02,1.388465468997438224e-01
1.070000000000000000e+02,1.388375250146438311e-01
1.080000000000000000e+02,1.388281129311938200e-01
1.090000000000000000e+02,1.388183022824938107e-01
1.100000000000000000e+02,1.388080946149938266e-01
1.110000000000000000e+02,1.387974896339938258e-01
1.120000000000000000e+02,1.387864795909938276e-01
1.130000000000000000e+02,1.387750688534938326e-01
1.140000000000000000e+02,1.387632592779938223e-01
1.150000000000000000e+02,1.387510433924938336e-01
1.160000000000000000e+02,1.387384282279938152e-01
1.170000000000000000e+02,1.387254175549938184e-01
1.180000000000000000e+02,1.387120037974938214e-01
1.190000000000000000e+02,1.386981964059938177e-01
1.200000000000000000e+02,1.386840007719938317e-01
1.210000000000000000e+02,1.386694088429938077e-01
1.220000000000000000e+02,1.386544322109938276e-01
1.230000000000000000e+02,1.386390775894938143e-01
1.240000000000000000e+02,1.386233361174938339e-01
1.250000000000000000e+02,1.386072212159938088e-01
1.260000000000000000e+02,1.385907406219938076e-01
1.270000000000000000e+02,1.385738844139938197e-01
1.280000000000000000e+02,1.385566675799938252e-01
1.290000000000000000e+02,1.385390986359938126e-01
1.300000000000000000e+02,1.385211664049938174e-01
1.310000000000000000e+02,1.385028871859938226e-01
1.320000000000000000e+02,1.384842700619938194e-01
1.330000000000000000e+02,1.384653024844938185e-01
1.340000000000000000e+02,1.384460018349938093e-01
1.350000000000000000e+02,1.384263775904938099e-01
1.360000000000000000e+02,1.384064157819938079e-01
1.370000000000000000e+02,1.383861346784938107e-01
1.380000000000000000e+02,1.383655440194938302e-01
1.390000000000000000e+02,1.383446284199938148e-01
1.400000000000000000e+02,1.383234068489938295e-01
1.410000000000000000e+02,1.383018891994938215e-01
1.420000000000000000e+02,1.382800587274938264e-01
1.430000000000000000e+02,1.382579349634938115e-01
1.440000000000000000e+02,1.382355278854938141e-01
1.450000000000000000e+02,1.382128194674938082e-01
1.460000000000000000e+02,1.381898296689938188e-01
1.470000000000000000e+02,1.381665684969938246e-01
1.480000000000000000e+02,1.381430167459938296e-01
1.490000000000000000e+02,1.381191946824938122e-01
1.500000000000000000e+02,1.380951123009938331e-01
1.510000000000000000e+02,1.380707493379938200e-01
1.520000000000000000e+02,1.380461262624938235e-01
1.530000000000000000e+02,1.380212530289938178e-01
1.540000000000000000e+02,1.379961084419938089e-01
1.550000000000000000e+02,1.379707130649938107e-01
1.560000000000000000e+02,1.379450767864938143e-01
1.570000000000000000e+02,1.379191776179938267e-01
1.580000000000000000e+02,1.378930361359938239e-01
1.590000000000000000e+02,1.378666621514938184e-01
1.600000000000000000e+02,1.378400330134938179e-01
1.610000000000000000e+02,1.378131692284938203e-01
1.620000000000000000e+02,1.377860805184938087e-01
1.630000000000000000e+02,1.377587436989938241e-01
1.640000000000000000e+02,1.377311791284938081e-01
1.650000000000000000e+02,1.377033964309938296e-01
1.660000000000000000e+02,1.376753720164938244e-01
1.670000000000000000e+02,1.376471260259938267e-01
1.680000000000000000e+02,1.376186679774938082e-01
1.690000000000000000e+02,1.375899739959938195e-01
1.700000000000000000e+02,1.375610639354938325e-01
1.710000000000000000e+02,1.375319471984938202e-01
1.720000000000000000e+02,1.375025997419938306e-01
1.730000000000000000e+02,1.374730410789938295e-01
1.740000000000000000e+02,1.374432804929938134e-01
1.750000000000000000e+02,1.374132938794938308e-01
1.760000000000000000e+02,1.373831003569938314e-01
1.770000000000000000e+02,1.373527090829938235e-01
1.780000000000000000e+02,1.373220959909938199e-01
1.790000000000000000e+02,1.372912797559938114e-01
1.800000000000000000e+02,1.372602694024938341e-01
1.810000000000000000e+02,1.372290409944938172e-01
1.820000000000000000e+02,1.371976127219938224e-01
1.830000000000000000e+02,1.371659934699938077e-01
1.840000000000000000e+02,1.371341595169938143e-01
1.850000000000000000e+02,1.371021285274938162e-01
1.860000000000000000e+02,1.370699092374938199e-01
1.870000000000000000e+02,1.370374782189938134e-01
1.880000000000000000e+02,1.370048525829938302e-01
1.890000000000000000e+02,1.369720409109938253e-01
1.900000000000000000e+02,1.369390201359938219e-01
1.910000000000000000e+02,1.369058067884938168e-01
1.920000000000000000e+02,1.368724092869938180e-01
1.930000000000000000e+02,1.368388049864938116e-01
1.940000000000000000e+02,1.368050098164938222e-01
1.950000000000000000e+02,1.367710320239938215e-01
1.960000000000000000e+02,1.367368494399938128e-01
1.970000000000000000e+02,1.367024773774938307e-01
1.980000000000000000e+02,1.366679239039938210e-01
1.990000000000000000e+02,1.366331673734938190e-01
2.000000000000000000e+02,1.365982224669938239e-01
2.010000000000000000e+02,1.365630970624938101e-01
2.020000000000000000e+02,1.365277700789938320e-01
2.030000000000000000e+02,1.364922555609938137e-01
2.040000000000000000e+02,1.364565611909938081e-01
2.050000000000000000e+02,1.364206664859938245e-01
2.060000000000000000e+02,1.363845848514938230e-01
2.070000000000000000e+02,1.363483237659938174e-01
2.080000000000000000e+02,1.363118633709938243e-01
2.090000000000000000e+02,1.362752164334938287e-01
2.100000000000000000e+02,1.362383902209938213e-01
2.110000000000000000e+02,1.362013655224938169e-01
2.120000000000000000e+02,1.361641544709938090e-01
2.130000000000000000e+02,1.361267641154938202e-01
2.140000000000000000e+02,1.360891759084938146e-01
2.150000000000000000e+02,1.360514013549938284e-01
2.160000000000000000e+02,1.360134472784938209e-01
2.170000000000000000e+02,1.359752958079938345e-01
2.180000000000000000e+02,1.359369578329938100e-01
2.190000000000000000e+02,1.358984399479938321e-01
2.200000000000000000e+02,1.358597249654938111e-01
2.210000000000000000e+02,1.358208231719938153e-01
2.220000000000000000e+02,1.357817409274938159e-01
2.230000000000000000e+02,1.357424617309938297e-01
2.240000000000000000e+02,1.357029952824938268e-01
2.250000000000000000e+02,1.356633477049938308e-01
2.260000000000000000e+02,1.356235031829938209e-01
2.270000000000000000e+02,1.355834708474938088e-01
2.280000000000000000e+02,1.355432565834938097e-01
2.290000000000000000e+02,1.355028452569938258e-01
2.300000000000000000e+02,1.354622454479938176e-01
2.310000000000000000e+02,1.354214628009938193e-01
2.320000000000000000e+02,1.353804828574938224e-01
2.330000000000000000e+02,1.353393136694938104e-01
2.340000000000000000e+02,1.352979606434938087e-01
2.350000000000000000e+02,1.352564099874938308e-01
2.360000000000000000e+02,1.352146692484938184e-01
2.370000000000000000e+02,1.351727435974938163e-01
2.380000000000000000e+02,1.351306198979938256e-01
2.390000000000000000e+02,1.350883052149938202e-01
2.400000000000000000e+02,1.350458044869938257e-01
2.410000000000000000e+02,1.350031052209938187e-01
2.420000000000000000e+02,1.349602140264938299e-01
2.430000000000000000e+02,1.349171356149938272e-01
2.440000000000000000e+02,1.348738581224938338e-01
2.450000000000000000e+02,1.348303877274938112e-01
2.460000000000000000e+02,1.347867289204938146e-01
2.470000000000000000e+02,1.347428704534938126e-01
2.480000000000000000e+02,1.346988181024938169e-01
2.490000000000000000e+02,1.346545761459938262e-01
2.500000000000000000e+02,1.346101339364938199e-01
2.510000000000000000e+02,1.345654968754938230e-01
2.520000000000000000e+02,1.345206690404938121e-01
2.530000000000000000e+02,1.344756403694938318e-01
2.540000000000000000e+02,1.344304159169938118e-01
2.550000000000000000e+02,1.343849995704938238e-01
2.560000000000000000e+02,1.343393818384938099e-01
2.570000000000000000e+02,1.342935674574938232e-01
2.580000000000000000e+02,1.342475601379938266e-01
2.590000000000000000e+02,1.342013509454938192e-01
2.600000000000000000e+02,1.341549443254938245e-01
2.610000000000000000e+02,1.341083438244938253e-01
2.620000000000000000e+02,1.340615410504938099e-01
2.630000000000000000e+02,1.340145401894938249e-01
2.640000000000000000e+02,1.339673446409938296e-01
2.650000000000000000e+02,1.339199465419938229e-01
2.660000000000000000e+02,1.338723498479938157e-01
2.670000000000000000e+02,1.338245578269938174e-01
2.680000000000000000e+02,1.337765631324938087e-01
2.690000000000000000e+02,1.337283695174938114e-01
2.700000000000000000e+02,1.336799801364938201e-01
2.710000000000000000e+02,1.336313881469938236e-01
2.720000000000000000e+02,1.335825971284938241e-01
2.730000000000000000e+02,1.335336101394938302e-01
2.740000000000000000e+02,1.334844208294938273e-01
2.750000000000000000e+02,1.334350326299938161e-01
