# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478396905627e-01
2.000000000000000000e+00,1.389829478394625784e-01
3.000000000000000000e+00,1.389829478391724493e-01
4.000000000000000000e+00,1.389829478387763495e-01
5.000000000000000000e+00,1.389829478382172412e-01
6.000000000000000000e+00,1.389829478374222105e-01
7.000000000000000000e+00,1.389829478362984705e-01
8.000000000000000000e+00,1.389829478347301972e-01
9.000000000000000000e+00,1.389829478325743661e-01
1.000000000000000000e+01,1.389829478296566723e-01
1.100000000000000000e+01,1.389829478257667561e-01
1.200000000000000000e+01,1.389829478206532076e-01
1.300000000000000000e+01,1.389829478140178209e-01
1.400000000000000000e+01,1.389829478055096823e-01
1.500000000000000000e+01,1.389829477947184810e-01
1.600000000000000000e+01,1.389829477811674874e-01
1.700000000000000000e+01,1.389829477643057254e-01
1.800000000000000000e+01,1.389829477434997018e-01
1.900000000000000000e+01,1.389829477180246076e-01
2.000000000000000000e+01,1.389829476870544922e-01
2.100000000000000000e+01,1.389829476496521887e-01
2.200000000000000000e+01,1.389829476047582946e-01
2.300000000000000000e+01,1.389829475511792645e-01
2.400000000000000000e+01,1.389829474875750870e-01
2.500000000000000000e+01,1.389829474124460174e-01
2.600000000000000000e+01,1.389829473241181168e-01
2.700000000000000000e+01,1.389829472207284589e-01
2.800000000000000000e+01,1.389829471002093086e-01
2.900000000000000000e+01,1.389829469602707201e-01
3.000000000000000000e+01,1.389829467983831335e-01
3.100000000000000000e+01,1.389829466117585288e-01
3.200000000000000000e+01,1.389829463973300538e-01
3.300000000000000000e+01,1.389829461517312348e-01
3.400000000000000000e+01,1.389829458712741606e-01
3.500000000000000000e+01,1.389829455519250578e-01
3.600000000000000000e+01,1.389829451892805323e-01
3.700000000000000000e+01,1.389829447785422001e-01
3.800000000000000000e+01,1.389829443144878773e-01
3.900000000000000000e+01,1.389829437914441579e-01
4.000000000000000000e+01,1.389829432032570200e-01
4.100000000000000000e+01,1.389829425432582977e-01
4.200000000000000000e+01,1.389829418042340392e-01
4.300000000000000000e+01,1.389829409783905900e-01
4.400000000000000000e+01,1.389829400573157625e-01
4.500000000000000000e+01,1.389829390319423097e-01
4.600000000000000000e+01,1.389829378925092618e-01
4.700000000000000000e+01,1.389829366285166568e-01
4.800000000000000000e+01,1.389829352286839625e-01
4.900000000000000000e+01,1.389829336809053628e-01
5.000000000000000000e+01,1.389829319721969103e-01
5.100000000000000000e+01,1.389829300886497587e-01
5.200000000000000000e+01,1.389829280153797031e-01
