Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,3.73e+15,1.0,0.0,2973.126927910767,3092.187654134672,1.27e+05,1198480.2161096344,27752.225292976345,100000000.0,0.00025634860897670185,0.7338086749851456,0.4499320657078665,0.7557580372784497,0.09958042113141008,0.525995573499712,5.881035968021462,0.0,1683.0,1235.0,
0,42.5271,3.73e+15,1.0,0.0,2973.126927910767,3092.187654134672,1.27e+05,1198480.2161096344,27752.225292976345,100000000.0,0.00025634860897670185,0.7338086749851456,0.4499320657078665,0.7557580372784497,0.09958042113141008,0.525995573499712,5.881035968021462,0.0,1683.0,1235.0,
1,100.1964,8.69e+15,1.0,0.0,2548.492022330844,2246.4911665376067,1.55e+05,728285.488200546,18970.06284449964,100000000.0,0.0002521632127328001,0.7338086749851456,0.6389254637872792,0.6944214560738137,0.6237736488633217,0.4634467879778662,3.808349440509928,0.0,1683.0,1235.0,
2,162.8174,5.09e+15,1.0,0.0,2964.593157456282,2839.8114820589312,1.28e+05,1044545.1901772409,21353.83759177365,100000000.0,0.00020053055956095246,0.7338086749851456,0.6835937974534655,0.5965132115476044,0.27967260098442603,0.41291494181395644,3.9270591399854036,0.0,1683.0,1235.0,
3,224.9200,4.35e+15,1.0,0.0,2852.59817202647,2742.6827700768226,1.36e+05,1149133.4950044793,25474.338858747615,100000000.0,0.0001254280974470936,0.7338086749851456,0.6767772205887221,0.665595678270966,0.37943063150381895,0.5849036184882381,4.110781901437025,0.0,1683.0,1235.0,
4,282.4513,4.35e+15,1.0,0.0,2852.59817202647,2742.6827700768226,1.36e+05,1149133.4950044793,25474.338858747615,100000000.0,0.0001254280974470936,0.7338086749851456,0.6767772205887221,0.665595678270966,0.37943063150381895,0.5849036184882381,4.110781901437025,0.0,1683.0,1235.0,
5,340.4682,5.17e+15,1.0,0.0,2823.5193169400372,2514.8747233763825,1.43e+05,1184608.9369043815,20145.485831995495,100000000.0,0.00011408635345451852,0.7338086749851456,0.7061213461533538,0.7126941418564519,0.5020341418334083,0.5664822254408888,3.773229565754564,0.0,1683.0,1235.0,
6,407.4972,4.80e+15,1.0,0.0,2580.120516789695,1940.4657700391822,1.51e+05,1091280.5286060642,21579.867461235037,100000000.0,7.149542973981801e-05,0.7338086749851456,0.7114161535661876,0.7906195585666873,0.49413531836783503,0.37624986948854544,3.716081612397204,0.0,1683.0,1235.0,
7,468.9352,4.98e+15,1.0,0.0,2454.796332881697,1979.9230476274456,1.48e+05,1155748.2640810562,20458.056320419946,100000000.0,7.109452911789846e-05,0.7338086749851456,0.6689628457451403,0.7923701333584997,0.48810391484895765,0.372826555158039,3.9536253658499056,0.0,1683.0,1235.0,
8,533.6921,5.75e+15,1.0,0.0,2033.4330201239268,1048.1465018709223,1.68e+05,884006.9511496285,16394.08071539927,100000000.0,5.779888271390966e-05,0.7338086749851456,0.7485160496121037,0.83732961655729,0.6640973517986901,0.10758149620805513,3.2620741416237076,0.0,1683.0,1235.0,
9,596.4162,5.75e+15,1.0,0.0,2033.4330201239268,1048.1465018709223,1.68e+05,884006.9511496285,16394.08071539927,100000000.0,5.779888271390966e-05,0.7338086749851456,0.7485160496121037,0.83732961655729,0.6640973517986901,0.10758149620805513,3.2620741416237076,0.0,1683.0,1235.0,
10,661.9819,5.75e+15,1.0,0.0,2033.4330201239268,1048.1465018709223,1.68e+05,884006.9511496285,16394.08071539927,100000000.0,5.779888271390966e-05,0.7338086749851456,0.7485160496121037,0.83732961655729,0.6640973517986901,0.10758149620805513,3.2620741416237076,0.0,1683.0,1235.0,
11,724.0524,6.10e+15,1.0,0.0,2408.961135292584,1454.4675178498528,1.62e+05,1097209.1168155954,15652.335484945936,100000000.0,2.8066722770163854e-05,0.7338086749851456,0.7823743632145781,0.8921356241908205,0.6783350125403487,0.21572283016924987,3.121187937507081,0.0,1683.0,1235.0,
12,786.4513,6.10e+15,1.0,0.0,2408.961135292584,1454.4675178498528,1.62e+05,1097209.1168155954,15652.335484945936,100000000.0,2.8066722770163854e-05,0.7338086749851456,0.7823743632145781,0.8921356241908205,0.6783350125403487,0.21572283016924987,3.121187937507081,0.0,1683.0,1235.0,
13,849.1964,6.10e+15,1.0,0.0,2408.961135292584,1454.4675178498528,1.62e+05,1097209.1168155954,15652.335484945936,100000000.0,2.8066722770163854e-05,0.7338086749851456,0.7823743632145781,0.8921356241908205,0.6783350125403487,0.21572283016924987,3.121187937507081,0.0,1683.0,1235.0,
14,913.0926,6.10e+15,1.0,0.0,2408.961135292584,1454.4675178498528,1.62e+05,1097209.1168155954,15652.335484945936,100000000.0,2.8066722770163854e-05,0.7338086749851456,0.7823743632145781,0.8921356241908205,0.6783350125403487,0.21572283016924987,3.121187937507081,0.0,1683.0,1235.0,
15,975.1461,5.00e+15,1.0,0.0,2140.87681436214,1266.1503142121937,1.61e+05,1038406.3196619435,16913.637613415558,100000000.0,2.415412431269695e-05,0.7338086749851456,0.7277979691907587,0.8471997626106716,0.649992818004562,0.18464138222924506,3.559115265638822,0.0,1683.0,1235.0,
16,1042.6103,5.00e+15,1.0,0.0,2140.87681436214,1266.1503142121937,1.61e+05,1038406.3196619435,16913.637613415558,100000000.0,2.415412431269695e-05,0.7338086749851456,0.7277979691907587,0.8471997626106716,0.649992818004562,0.18464138222924506,3.559115265638822,0.0,1683.0,1235.0,
17,1108.6725,5.58e+15,1.0,0.0,2174.171510361527,1156.8774927720212,1.64e+05,1068315.203463975,14692.228517978594,100000000.0,2.318912864644109e-05,0.7338086749851456,0.7631597538301851,0.8882842290327293,0.7257001161563637,0.16023867637993183,3.273763832922657,0.0,1683.0,1235.0,
18,1177.0437,5.70e+15,1.0,0.0,2251.2182877560626,1218.5013132678266,1.62e+05,1116445.339980227,14731.225459573736,100000000.0,1.5109634666510663e-05,0.7338086749851456,0.7762016965909122,0.900398944493811,0.7289606891297618,0.1858500430321955,3.2254871890425334,0.0,1683.0,1235.0,
19,1240.0872,5.92e+15,1.0,0.0,2401.186346335414,1312.7314590001497,1.62e+05,1215611.7365200906,12938.347876027503,100000000.0,1.2917566485320436e-05,0.7338086749851456,0.8106093703134832,0.9398151229705487,0.7777381359146347,0.20756507378467554,2.912068539015313,0.0,1683.0,1235.0,
20,1296.8759,5.88e+15,1.0,0.0,2483.3276259330087,1330.6004992477287,1.61e+05,1240842.80111527,11900.268505582877,100000000.0,9.624533767366601e-06,0.7338086749851456,0.8204229293726972,0.9571731966427712,0.784515506878833,0.1990822177746852,2.903349901284635,0.0,1683.0,1235.0,
21,1344.8876,5.88e+15,1.0,0.0,2483.3276259330087,1330.6004992477287,1.61e+05,1240842.80111527,11900.268505582877,100000000.0,9.624533767366601e-06,0.7338086749851456,0.8204229293726972,0.9571731966427712,0.784515506878833,0.1990822177746852,2.903349901284635,0.0,1683.0,1235.0,
22,1393.2076,5.88e+15,1.0,0.0,2483.3276259330087,1330.6004992477287,1.61e+05,1240842.80111527,11900.268505582877,100000000.0,9.624533767366601e-06,0.7338086749851456,0.8204229293726972,0.9571731966427712,0.784515506878833,0.1990822177746852,2.903349901284635,0.0,1683.0,1235.0,
23,1439.2953,5.88e+15,1.0,0.0,2483.3276259330087,1330.6004992477287,1.61e+05,1240842.80111527,11900.268505582877,100000000.0,9.624533767366601e-06,0.7338086749851456,0.8204229293726972,0.9571731966427712,0.784515506878833,0.1990822177746852,2.903349901284635,0.0,1683.0,1235.0,
24,1486.5974,5.88e+15,1.0,0.0,2483.3276259330087,1330.6004992477287,1.61e+05,1240842.80111527,11900.268505582877,100000000.0,9.624533767366601e-06,0.7338086749851456,0.8204229293726972,0.9571731966427712,0.784515506878833,0.1990822177746852,2.903349901284635,0.0,1683.0,1235.0,
25,1532.0048,6.27e+15,1.0,0.0,2600.87217333664,1346.8713395453271,1.62e+05,1254133.5365323427,10725.325173436373,100000000.0,5.895803817003658e-06,0.7338086749851456,0.8480411175327605,0.9858515918218339,0.8130503855050137,0.19677961354973084,2.725243235047455,0.0,1683.0,1235.0,
26,1580.2350,6.27e+15,1.0,0.0,2600.87217333664,1346.8713395453271,1.62e+05,1254133.5365323427,10725.325173436373,100000000.0,5.895803817003658e-06,0.7338086749851456,0.8480411175327605,0.9858515918218339,0.8130503855050137,0.19677961354973084,2.725243235047455,0.0,1683.0,1235.0,
27,1629.5429,6.18e+15,1.0,0.0,2607.201812114325,1373.5546652186092,1.61e+05,1253279.3045707578,10960.276736415275,100000000.0,5.341643267838181e-06,0.7338086749851456,0.8397691510136889,0.98133689034606,0.7959171817109834,0.1965766663632475,2.7744136776468213,0.0,1683.0,1235.0,
28,1671.9205,6.30e+15,1.0,0.0,2646.951707438052,1376.3113654104307,1.61e+05,1272572.1280148723,10405.754288856737,100000000.0,4.833949596245076e-06,0.7338086749851456,0.8533521016076413,0.9930037576474167,0.8147248287022422,0.19723690757872325,2.6896616507439934,0.0,1683.0,1235.0,
29,1721.6248,6.35e+15,1.0,0.0,2635.7653989265737,1358.531284845053,1.61e+05,1257710.6830115172,10365.087875278761,100000000.0,4.286518871322892e-06,0.7338086749851456,0.8522469779558453,0.9917756944456577,0.8135516507453829,0.19279535738784812,2.679958601689945,0.0,1683.0,1235.0,
30,1770.1259,6.47e+15,1.0,0.0,2654.8245196389908,1336.6396762126915,1.62e+05,1264848.6388149343,9693.143201201106,100000000.0,2.837323336669063e-06,0.7338086749851456,0.8618397301761029,0.9965706259781546,0.8272124445711495,0.191642207721806,2.5859463570687726,0.0,1683.0,1235.0,
31,1820.8433,6.47e+15,1.0,0.0,2654.8245196389908,1336.6396762126915,1.62e+05,1264848.6388149343,9693.143201201106,100000000.0,2.837323336669063e-06,0.7338086749851456,0.8618397301761029,0.9965706259781546,0.8272124445711495,0.191642207721806,2.5859463570687726,0.0,1683.0,1235.0,
32,1870.3364,6.47e+15,1.0,0.0,2654.8245196389908,1336.6396762126915,1.62e+05,1264848.6388149343,9693.143201201106,100000000.0,2.837323336669063e-06,0.7338086749851456,0.8618397301761029,0.9965706259781546,0.8272124445711495,0.191642207721806,2.5859463570687726,0.0,1683.0,1235.0,
33,1925.1234,6.47e+15,1.0,0.0,2654.8245196389908,1336.6396762126915,1.62e+05,1264848.6388149343,9693.143201201106,100000000.0,2.837323336669063e-06,0.7338086749851456,0.8618397301761029,0.9965706259781546,0.8272124445711495,0.191642207721806,2.5859463570687726,0.0,1683.0,1235.0,
34,1978.3205,6.47e+15,1.0,0.0,2654.8245196389908,1336.6396762126915,1.62e+05,1264848.6388149343,9693.143201201106,100000000.0,2.837323336669063e-06,0.7338086749851456,0.8618397301761029,0.9965706259781546,0.8272124445711495,0.191642207721806,2.5859463570687726,0.0,1683.0,1235.0,
35,2029.7753,6.47e+15,1.0,0.0,2667.490229790011,1339.7574806835203,1.62e+05,1264295.3797722463,9614.891344179647,100000000.0,2.8077665530317237e-06,0.7338086749851456,0.8630025137086028,0.9981549158505147,0.82612702391333,0.19071477902160133,2.5752076502919152,0.0,1683.0,1235.0,
36,2081.8373,6.50e+15,1.0,0.0,2652.085967055721,1329.4896541464498,1.62e+05,1264698.9595617675,9722.271658863458,100000000.0,2.726612076098384e-06,0.7338086749851456,0.8650507389264308,0.9959442498089138,0.8303843262832733,0.191444260720146,2.5510514106516937,0.0,1683.0,1235.0,
37,2130.7672,6.50e+15,1.0,0.0,2652.085967055721,1329.4896541464498,1.62e+05,1264698.9595617675,9722.271658863458,100000000.0,2.726612076098384e-06,0.7338086749851456,0.8650507389264308,0.9959442498089138,0.8303843262832733,0.191444260720146,2.5510514106516937,0.0,1683.0,1235.0,
38,2179.7948,6.50e+15,1.0,0.0,2652.085967055721,1329.4896541464498,1.62e+05,1264698.9595617675,9722.271658863458,100000000.0,2.726612076098384e-06,0.7338086749851456,0.8650507389264308,0.9959442498089138,0.8303843262832733,0.191444260720146,2.5510514106516937,0.0,1683.0,1235.0,
