# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478400000096e-01
2.000000000000000000e+00,1.389829478400000096e-01
3.000000000000000000e+00,1.389829478400000096e-01
4.000000000000000000e+00,1.389829478400000096e-01
5.000000000000000000e+00,1.389829478400000096e-01
6.000000000000000000e+00,1.389829478400000096e-01
7.000000000000000000e+00,1.389829478400000096e-01
8.000000000000000000e+00,1.389829478400000096e-01
9.000000000000000000e+00,1.389829478399999818e-01
1.000000000000000000e+01,1.389829478399999541e-01
1.100000000000000000e+01,1.389829478399998985e-01
1.200000000000000000e+01,1.389829478399997598e-01
1.300000000000000000e+01,1.389829478399994822e-01
1.400000000000000000e+01,1.389829478399989271e-01
1.500000000000000000e+01,1.389829478399979279e-01
1.600000000000000000e+01,1.389829478399961515e-01
1.700000000000000000e+01,1.389829478399930707e-01
1.800000000000000000e+01,1.389829478399879359e-01
1.900000000000000000e+01,1.389829478399795537e-01
2.000000000000000000e+01,1.389829478399662588e-01
2.100000000000000000e+01,1.389829478399455809e-01
2.200000000000000000e+01,1.389829478399141061e-01
2.300000000000000000e+01,1.389829478398670326e-01
2.400000000000000000e+01,1.389829478397978380e-01
2.500000000000000000e+01,1.389829478396977236e-01
2.600000000000000000e+01,1.389829478395548934e-01
2.700000000000000000e+01,1.389829478393539430e-01
2.800000000000000000e+01,1.389829478390747497e-01
2.900000000000000000e+01,1.389829478386913342e-01
3.000000000000000000e+01,1.389829478381706118e-01
3.100000000000000000e+01,1.389829478374706440e-01
3.200000000000000000e+01,1.389829478365388615e-01
3.300000000000000000e+01,1.389829478353098169e-01
3.400000000000000000e+01,1.389829478337026580e-01
3.500000000000000000e+01,1.389829478316180478e-01
3.600000000000000000e+01,1.389829478289349440e-01
3.700000000000000000e+01,1.389829478255068806e-01
3.800000000000000000e+01,1.389829478211571656e-01
3.900000000000000000e+01,1.389829478156742737e-01
4.000000000000000000e+01,1.389829478088062953e-01
4.100000000000000000e+01,1.389829478002547747e-01
4.200000000000000000e+01,1.389829477896672993e-01
4.300000000000000000e+01,1.389829477766305610e-01
4.400000000000000000e+01,1.389829477606609465e-01
4.500000000000000000e+01,1.389829477411954339e-01
4.600000000000000000e+01,1.389829477175816841e-01
4.700000000000000000e+01,1.389829476890649673e-01
4.800000000000000000e+01,1.389829476547768672e-01
4.900000000000000000e+01,1.389829476137219300e-01
5.000000000000000000e+01,1.389829475647611778e-01
5.100000000000000000e+01,1.389829475065970654e-01
5.200000000000000000e+01,1.389829474377555496e-01
5.300000000000000000e+01,1.389829473565630247e-01
5.400000000000000000e+01,1.389829472611312511e-01
5.500000000000000000e+01,1.389829471493337076e-01
5.600000000000000000e+01,1.389829470187750882e-01
5.700000000000000000e+01,1.389829468667709289e-01
5.800000000000000000e+01,1.389829466903199917e-01
5.900000000000000000e+01,1.389829464860659336e-01
6.000000000000000000e+01,1.389829462502757962e-01
6.100000000000000000e+01,1.389829459787991495e-01
6.200000000000000000e+01,1.389829456670232666e-01
6.300000000000000000e+01,1.389829453098407885e-01
6.400000000000000000e+01,1.389829449016121432e-01
6.500000000000000000e+01,1.389829444361005695e-01
6.600000000000000000e+01,1.389829439064357020e-01
6.700000000000000000e+01,1.389829433050716601e-01
6.800000000000000000e+01,1.389829426236963983e-01
6.900000000000000000e+01,1.389829418531943195e-01
7.000000000000000000e+01,1.389829409835885154e-01
7.100000000000000000e+01,1.389829400039424012e-01
7.200000000000000000e+01,1.389829389023093109e-01
7.300000000000000000e+01,1.389829376656505633e-01
7.400000000000000000e+01,1.389829362797384560e-01
7.500000000000000000e+01,1.389829347290948147e-01
7.600000000000000000e+01,1.389829329968628180e-01
7.700000000000000000e+01,1.389829310646802651e-01
7.800000000000000000e+01,1.389829289126601197e-01
7.900000000000000000e+01,1.389829265192595031e-01
8.000000000000000000e+01,1.389829238610519047e-01
8.100000000000000000e+01,1.389829209125905685e-01
8.200000000000000000e+01,1.389829176464357219e-01
8.300000000000000000e+01,1.389829140329066071e-01
8.400000000000000000e+01,1.389829100398904116e-01
8.500000000000000000e+01,1.389829056328038548e-01
8.600000000000000000e+01,1.389829007741668065e-01
8.700000000000000000e+01,1.389828954236832503e-01
8.800000000000000000e+01,1.389828895379994489e-01
8.900000000000000000e+01,1.389828830704126217e-01
9.000000000000000000e+01,1.389828759706928096e-01
9.100000000000000000e+01,1.389828681849127612e-01
9.200000000000000000e+01,1.389828596552464546e-01
9.300000000000000000e+01,1.389828503196575138e-01
9.400000000000000000e+01,1.389828401118018142e-01
9.500000000000000000e+01,1.389828289603703138e-01
9.600000000000000000e+01,1.389828167892722954e-01
9.700000000000000000e+01,1.389828035176098042e-01
9.800000000000000000e+01,1.389827890585408066e-01
9.900000000000000000e+01,1.389827733196253023e-01
1.000000000000000000e+02,1.389827562029693209e-01
1.010000000000000000e+02,1.389827376038323126e-01
1.020000000000000000e+02,1.389827174108252961e-01
1.030000000000000000e+02,1.389826955066613134e-01
1.040000000000000000e+02,1.389826717662883127e-01
1.050000000000000000e+02,1.389826460567347988e-01
1.060000000000000000e+02,1.389826182380133057e-01
1.070000000000000000e+02,1.389825881617147985e-01
1.080000000000000000e+02,1.389825556714978094e-01
1.090000000000000000e+02,1.389825206020103010e-01
1.100000000000000000e+02,1.389824827777517979e-01
1.110000000000000000e+02,1.389824420142113104e-01
1.120000000000000000e+02,1.389823981171098011e-01
1.130000000000000000e+02,1.389823508811122987e-01
1.140000000000000000e+02,1.389823000902458139e-01
1.150000000000000000e+02,1.389822455176903115e-01
1.160000000000000000e+02,1.389821869241918140e-01
1.170000000000000000e+02,1.389821240584332984e-01
1.180000000000000000e+02,1.389820566565962978e-01
1.190000000000000000e+02,1.389819844403268057e-01
1.200000000000000000e+02,1.389819071173868104e-01
1.210000000000000000e+02,1.389818243816423049e-01
1.220000000000000000e+02,1.389817359109423167e-01
1.230000000000000000e+02,1.389816413676263074e-01
1.240000000000000000e+02,1.389815403980863007e-01
1.250000000000000000e+02,1.389814326298213221e-01
1.260000000000000000e+02,1.389813176726863164e-01
1.270000000000000000e+02,1.389811951192413131e-01
1.280000000000000000e+02,1.389810645410363144e-01
1.290000000000000000e+02,1.389809254885813194e-01
1.300000000000000000e+02,1.389807774939963159e-01
1.310000000000000000e+02,1.389806200671813152e-01
1.320000000000000000e+02,1.389804526948913155e-01
1.330000000000000000e+02,1.389802748419463052e-01
1.340000000000000000e+02,1.389800859452563209e-01
1.350000000000000000e+02,1.389798854163063202e-01
1.360000000000000000e+02,1.389796726457413201e-01
1.370000000000000000e+02,1.389794469961962986e-01
1.380000000000000000e+02,1.389792078011763132e-01
1.390000000000000000e+02,1.389789543650312986e-01
1.400000000000000000e+02,1.389786859599113078e-01
1.410000000000000000e+02,1.389784018314663139e-01
1.420000000000000000e+02,1.389781011943013178e-01
1.430000000000000000e+02,1.389777832280713055e-01
1.440000000000000000e+02,1.389774470820563101e-01
1.450000000000000000e+02,1.389770918706013103e-01
1.460000000000000000e+02,1.389767166689712952e-01
1.470000000000000000e+02,1.389763205220213016e-01
1.480000000000000000e+02,1.389759024375163132e-01
1.490000000000000000e+02,1.389754613804013161e-01
1.500000000000000000e+02,1.389749962815363116e-01
1.510000000000000000e+02,1.389745060311463054e-01
1.520000000000000000e+02,1.389739894782513197e-01
1.530000000000000000e+02,1.389734454363613092e-01
1.540000000000000000e+02,1.389728726740413201e-01
1.550000000000000000e+02,1.389722699100313097e-01
1.560000000000000000e+02,1.389716358203463009e-01
1.570000000000000000e+02,1.389709690477313186e-01
1.580000000000000000e+02,1.389702681811713081e-01
1.590000000000000000e+02,1.389695317656862994e-01
1.600000000000000000e+02,1.389687583076263111e-01
1.610000000000000000e+02,1.389679462610963201e-01
1.620000000000000000e+02,1.389670940318012970e-01
1.630000000000000000e+02,1.389661999794763181e-01
1.640000000000000000e+02,1.389652624215463039e-01
1.650000000000000000e+02,1.389642796354913223e-01
1.660000000000000000e+02,1.389632498355413137e-01
1.670000000000000000e+02,1.389621711922413017e-01
1.680000000000000000e+02,1.389610418315413154e-01
1.690000000000000000e+02,1.389598598293912968e-01
1.700000000000000000e+02,1.389586232162913215e-01
1.710000000000000000e+02,1.389573299754913172e-01
1.720000000000000000e+02,1.389559780399912958e-01
1.730000000000000000e+02,1.389545652995912983e-01
1.740000000000000000e+02,1.389530896117913139e-01
1.750000000000000000e+02,1.389515487737913169e-01
1.760000000000000000e+02,1.389499405542913013e-01
1.770000000000000000e+02,1.389482626772413076e-01
1.780000000000000000e+02,1.389465128078413159e-01
1.790000000000000000e+02,1.389446886030913098e-01
1.800000000000000000e+02,1.389427876633912984e-01
1.810000000000000000e+02,1.389408075315912983e-01
1.820000000000000000e+02,1.389387457677413173e-01
1.830000000000000000e+02,1.389365998650413103e-01
1.840000000000000000e+02,1.389343672714413169e-01
1.850000000000000000e+02,1.389320454428913110e-01
1.860000000000000000e+02,1.389296318161413191e-01
1.870000000000000000e+02,1.389271237640913037e-01
1.880000000000000000e+02,1.389245186449913072e-01
1.890000000000000000e+02,1.389218138265913005e-01
1.900000000000000000e+02,1.389190066382413047e-01
1.910000000000000000e+02,1.389160944101913153e-01
1.920000000000000000e+02,1.389130744509912974e-01
1.930000000000000000e+02,1.389099440400912988e-01
1.940000000000000000e+02,1.389067004969413155e-01
1.950000000000000000e+02,1.389033411554413122e-01
1.960000000000000000e+02,1.388998632902413155e-01
1.970000000000000000e+02,1.388962642232413058e-01
1.980000000000000000e+02,1.388925412786413127e-01
1.990000000000000000e+02,1.388886917283413125e-01
2.000000000000000000e+02,1.388847129440912986e-01
2.010000000000000000e+02,1.388806023246913213e-01
2.020000000000000000e+02,1.388763571973413158e-01
2.030000000000000000e+02,1.388719749902913025e-01
2.040000000000000000e+02,1.388674531754413022e-01
2.050000000000000000e+02,1.388627891422913041e-01
2.060000000000000000e+02,1.388579804337413126e-01
2.070000000000000000e+02,1.388530246285413217e-01
2.080000000000000000e+02,1.388479191969413107e-01
2.090000000000000000e+02,1.388426618254913203e-01
2.100000000000000000e+02,1.388372502135413189e-01
2.110000000000000000e+02,1.388316819336413155e-01
2.120000000000000000e+02,1.388259548223912954e-01
2.130000000000000000e+02,1.388200667230913010e-01
2.140000000000000000e+02,1.388140153186413206e-01
2.150000000000000000e+02,1.388077986428913058e-01
2.160000000000000000e+02,1.388014147545913179e-01
2.170000000000000000e+02,1.387948615163913102e-01
2.180000000000000000e+02,1.387881371384913076e-01
2.190000000000000000e+02,1.387812398178913109e-01
2.200000000000000000e+02,1.387741675761913207e-01
2.210000000000000000e+02,1.387669188353913008e-01
2.220000000000000000e+02,1.387594920008413113e-01
2.230000000000000000e+02,1.387518852150413096e-01
2.240000000000000000e+02,1.387440971202913154e-01
2.250000000000000000e+02,1.387361263658413169e-01
2.260000000000000000e+02,1.387279712666412979e-01
2.270000000000000000e+02,1.387196306732413065e-01
2.280000000000000000e+02,1.387111033759912959e-01
2.290000000000000000e+02,1.387023879213413191e-01
2.300000000000000000e+02,1.386934834412913153e-01
2.310000000000000000e+02,1.386843889362412985e-01
2.320000000000000000e+02,1.386751030330913015e-01
2.330000000000000000e+02,1.386656249934413165e-01
2.340000000000000000e+02,1.386559540783413036e-01
2.350000000000000000e+02,1.386460891412412966e-01
2.360000000000000000e+02,1.386360296148912985e-01
2.370000000000000000e+02,1.386257748973913073e-01
2.380000000000000000e+02,1.386153239778913082e-01
2.390000000000000000e+02,1.386046764708913082e-01
2.400000000000000000e+02,1.385938320223913112e-01
2.410000000000000000e+02,1.385827898273913061e-01
2.420000000000000000e+02,1.385715496543913072e-01
2.430000000000000000e+02,1.385601112283913194e-01
2.440000000000000000e+02,1.385484738438912955e-01
2.450000000000000000e+02,1.385366374368913189e-01
2.460000000000000000e+02,1.385246019338913226e-01
2.470000000000000000e+02,1.385123667828913052e-01
2.480000000000000000e+02,1.384999320428913216e-01
2.490000000000000000e+02,1.384872977578913145e-01
2.500000000000000000e+02,1.384744633913913003e-01
2.510000000000000000e+02,1.384614292758913068e-01
2.520000000000000000e+02,1.384481955383912999e-01
2.530000000000000000e+02,1.384347616698912986e-01
2.540000000000000000e+02,1.384211282308913105e-01
2.550000000000000000e+02,1.384072953733913036e-01
2.560000000000000000e+02,1.383932626783913045e-01
2.570000000000000000e+02,1.383790307188913216e-01
2.580000000000000000e+02,1.383645998808913091e-01
2.590000000000000000e+02,1.383499697248913030e-01
2.600000000000000000e+02,1.383351409403913157e-01
2.610000000000000000e+02,1.383201140153913211e-01
2.620000000000000000e+02,1.383048885463913080e-01
2.630000000000000000e+02,1.382894653353912984e-01
2.640000000000000000e+02,1.382738448803913223e-01
2.650000000000000000e+02,1.382580268088913211e-01
2.660000000000000000e+02,1.382420120058913127e-01
2.670000000000000000e+02,1.382258010703913131e-01
2.680000000000000000e+02,1.382093936668913059e-01
2.690000000000000000e+02,1.381927907343913076e-01
2.700000000000000000e+02,1.381759928888913191e-01
2.710000000000000000e+02,1.381589997878913123e-01
2.720000000000000000e+02,1.381418124148913185e-01
2.730000000000000000e+02,1.381244314513913052e-01
2.740000000000000000e+02,1.381068565683913063e-01
2.750000000000000000e+02,1.380890887878913065e-01
