Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,2.08e+15,1.0,0.0,3454.3064852627513,3839.2478423942134,0.06156636467304009,0.35465218758205497,1.54e+05,696425.1686570394,3989.926840455376,0.0,0.00017213023314718292,0.7338086749851456,0.9289044063514733,0.7921825331906611,1.0122510804407743,0.25367906546799524,0.00012311967185993667,0.0001500895017826081,3.2624707969123774,0.0,1683.0,1235.0,
0,43.4396,2.08e+15,1.0,0.0,3454.3064852627513,3839.2478423942134,0.06156636467304009,0.35465218758205497,1.54e+05,696425.1686570394,3989.926840455376,0.0,0.00017213023314718292,0.7338086749851456,0.9289044063514733,0.7921825331906611,1.0122510804407743,0.25367906546799524,0.00012311967185993667,0.0001500895017826081,3.2624707969123774,0.0,1683.0,1235.0,
1,85.9653,2.59e+15,1.0,0.0,2827.2283781615247,2752.705580543265,0.06118609371075473,0.2775907522068968,1.45e+05,1236063.4351430465,6359.306842148057,0.0,6.312571447231222e-05,0.7338086749851456,0.6996984561991142,0.867480531623608,0.5562486703289129,0.1863283416352586,2.6969854134022833e-05,0.0005316551230900019,0.9774286522717786,0.0,1683.0,1235.0,
2,130.7991,2.59e+15,1.0,0.0,2827.2283781615247,2752.705580543265,0.06118609371075473,0.2775907522068968,1.45e+05,1236063.4351430465,6359.306842148057,0.0,6.312571447231222e-05,0.7338086749851456,0.6996984561991142,0.867480531623608,0.5562486703289129,0.1863283416352586,2.6969854134022833e-05,0.0005316551230900019,0.9774286522717786,0.0,1683.0,1235.0,
3,174.9353,2.59e+15,1.0,0.0,2827.2283781615247,2752.705580543265,0.06118609371075473,0.2775907522068968,1.45e+05,1236063.4351430465,6359.306842148057,0.0,6.312571447231222e-05,0.7338086749851456,0.6996984561991142,0.867480531623608,0.5562486703289129,0.1863283416352586,2.6969854134022833e-05,0.0005316551230900019,0.9774286522717786,0.0,1683.0,1235.0,
4,216.6483,2.59e+15,1.0,0.0,2827.2283781615247,2752.705580543265,0.06118609371075473,0.2775907522068968,1.45e+05,1236063.4351430465,6359.306842148057,0.0,6.312571447231222e-05,0.7338086749851456,0.6996984561991142,0.867480531623608,0.5562486703289129,0.1863283416352586,2.6969854134022833e-05,0.0005316551230900019,0.9774286522717786,0.0,1683.0,1235.0,
5,262.5831,2.59e+15,1.0,0.0,2827.2283781615247,2752.705580543265,0.06118609371075473,0.2775907522068968,1.45e+05,1236063.4351430465,6359.306842148057,0.0,6.312571447231222e-05,0.7338086749851456,0.6996984561991142,0.867480531623608,0.5562486703289129,0.1863283416352586,2.6969854134022833e-05,0.0005316551230900019,0.9774286522717786,0.0,1683.0,1235.0,
6,308.6110,2.59e+15,1.0,0.0,2827.2283781615247,2752.705580543265,0.06118609371075473,0.2775907522068968,1.45e+05,1236063.4351430465,6359.306842148057,0.0,6.312571447231222e-05,0.7338086749851456,0.6996984561991142,0.867480531623608,0.5562486703289129,0.1863283416352586,2.6969854134022833e-05,0.0005316551230900019,0.9774286522717786,0.0,1683.0,1235.0,
7,356.9621,2.59e+15,1.0,0.0,2827.2283781615247,2752.705580543265,0.06118609371075473,0.2775907522068968,1.45e+05,1236063.4351430465,6359.306842148057,0.0,6.312571447231222e-05,0.7338086749851456,0.6996984561991142,0.867480531623608,0.5562486703289129,0.1863283416352586,2.6969854134022833e-05,0.0005316551230900019,0.9774286522717786,0.0,1683.0,1235.0,
8,405.3041,2.59e+15,1.0,0.0,2827.2283781615247,2752.705580543265,0.06118609371075473,0.2775907522068968,1.45e+05,1236063.4351430465,6359.306842148057,0.0,6.312571447231222e-05,0.7338086749851456,0.6996984561991142,0.867480531623608,0.5562486703289129,0.1863283416352586,2.6969854134022833e-05,0.0005316551230900019,0.9774286522717786,0.0,1683.0,1235.0,
