# Time [s], Temperature [C]
0.000000000000000000e+00,2.500000000000000000e+01
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000199999999850e+01
6.000000000000000000e+00,2.500001299999999915e+01
7.000000000000000000e+00,2.500005499999999969e+01
8.000000000000000000e+00,2.500019299999999944e+01
9.000000000000000000e+00,2.500056599999999918e+01
1.000000000000000000e+01,2.500145699999999849e+01
1.100000000000000000e+01,2.500333600000000089e+01
1.200000000000000000e+01,2.500691199999999981e+01
1.300000000000000000e+01,2.501315900000000170e+01
1.400000000000000000e+01,2.502329599999999843e+01
1.500000000000000000e+01,2.503876299999999944e+01
1.600000000000000000e+01,2.506116899999999958e+01
1.700000000000000000e+01,2.509221799999999902e+01
1.800000000000000000e+01,2.513367500000000021e+01
1.900000000000000000e+01,2.518728399999999823e+01
2.000000000000000000e+01,2.525474699999999828e+01
2.100000000000000000e+01,2.533767100000000028e+01
2.200000000000000000e+01,2.543755300000000119e+01
2.300000000000000000e+01,2.555574800000000124e+01
2.400000000000000000e+01,2.569347199999999987e+01
2.500000000000000000e+01,2.585179499999999919e+01
2.600000000000000000e+01,2.603162800000000132e+01
2.700000000000000000e+01,2.623374700000000104e+01
2.800000000000000000e+01,2.645878199999999936e+01
2.900000000000000000e+01,2.670723900000000128e+01
3.000000000000000000e+01,2.697948500000000038e+01
3.100000000000000000e+01,2.727578199999999953e+01
3.200000000000000000e+01,2.759629599999999883e+01
3.300000000000000000e+01,2.794108999999999909e+01
3.400000000000000000e+01,2.831013700000000100e+01
3.500000000000000000e+01,2.870334400000000130e+01
3.600000000000000000e+01,2.912055199999999999e+01
3.700000000000000000e+01,2.956153499999999923e+01
3.800000000000000000e+01,3.002601200000000148e+01
3.900000000000000000e+01,3.051366600000000062e+01
4.000000000000000000e+01,3.102414699999999925e+01
4.100000000000000000e+01,3.155708500000000072e+01
4.200000000000000000e+01,3.211201899999999654e+01
4.300000000000000000e+01,3.268853800000000120e+01
