# Time [s], Convective Heat Transfer Coefficient [W/m2K]
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,6.811735214770563152e-02
3.000000000000000000e+00,1.475114232195722241e-01
4.000000000000000000e+00,2.569897802312424151e-01
5.000000000000000000e+00,3.933929331449459443e-01
6.000000000000000000e+00,5.498107748127710748e-01
7.000000000000000000e+00,7.182622269086573752e-01
8.000000000000000000e+00,8.917132686027071653e-01
9.000000000000000000e+00,1.065042298355143080e+00
1.000000000000000000e+01,1.235033804834043680e+00
1.100000000000000000e+01,1.399879404730651089e+00
1.200000000000000000e+01,1.558689496918270079e+00
1.300000000000000000e+01,1.711121737081028549e+00
1.400000000000000000e+01,1.857148821309851039e+00
1.500000000000000000e+01,1.996925115691307484e+00
1.600000000000000000e+01,2.130702322002725246e+00
1.700000000000000000e+01,2.258787397030216137e+00
1.800000000000000000e+01,2.381497164926793086e+00
1.900000000000000000e+01,2.499149547668498172e+00
2.000000000000000000e+01,2.612064102489657813e+00
2.100000000000000000e+01,2.720533523624787176e+00
2.200000000000000000e+01,2.824836333279089118e+00
2.300000000000000000e+01,2.925237109256547452e+00
2.400000000000000000e+01,3.021977890194465832e+00
2.500000000000000000e+01,3.115285499472812969e+00
2.600000000000000000e+01,3.205366708298243328e+00
2.700000000000000000e+01,3.292416081173250575e+00
2.800000000000000000e+01,3.376612363001898931e+00
2.900000000000000000e+01,3.458119146077901274e+00
3.000000000000000000e+01,3.537089610902010683e+00
3.100000000000000000e+01,3.613666741732122656e+00
3.200000000000000000e+01,3.687981305169184321e+00
3.300000000000000000e+01,3.760154033647458593e+00
3.400000000000000000e+01,3.830299388471772648e+00
3.500000000000000000e+01,3.898522426271479269e+00
3.600000000000000000e+01,3.964921923816365990e+00
3.700000000000000000e+01,4.029587014370606290e+00
3.800000000000000000e+01,4.092603829713580055e+00
3.900000000000000000e+01,4.154051271400006407e+00
4.000000000000000000e+01,4.214007079767600139e+00
4.100000000000000000e+01,4.272537585066632282e+00
4.200000000000000000e+01,4.329707949288772895e+00
4.300000000000000000e+01,4.385579690528210506e+00
4.400000000000000000e+01,4.440212857988813155e+00
4.500000000000000000e+01,4.493658913888173068e+00
4.600000000000000000e+01,4.545968476937868097e+00
4.700000000000000000e+01,4.597190263528529108e+00
4.800000000000000000e+01,4.647371309197770195e+00
4.900000000000000000e+01,4.696550317508424222e+00
5.000000000000000000e+01,4.744768455889285086e+00
5.100000000000000000e+01,4.792066626884960989e+00
5.200000000000000000e+01,4.838477312595243163e+00
5.300000000000000000e+01,4.884034408320272469e+00
5.400000000000000000e+01,4.928771612057653684e+00
5.500000000000000000e+01,4.972720138058384087e+00
5.600000000000000000e+01,5.015905922937119676e+00
5.700000000000000000e+01,5.058357539396028280e+00
5.800000000000000000e+01,5.100102795494105834e+00
5.900000000000000000e+01,5.141163805343943238e+00
6.000000000000000000e+01,5.181564421750119109e+00
6.100000000000000000e+01,5.221328910086237229e+00
6.200000000000000000e+01,5.260475837348595363e+00
6.300000000000000000e+01,5.299026043079123838e+00
6.400000000000000000e+01,5.336999196759245834e+00
6.500000000000000000e+01,5.374415468983288591e+00
