Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,2.13e+12,1.0,0.0,762.940408407,933.668639841,0.0558542748939,0.664499760417,1.71e+05,190074.89015,34554.3415182,100000000.0,0.00154422482704,0.733808674985,0.575992960874,0.94,1.00685383067,0.182438124658,4.04602753252e-05,0.00026987807183,1.03136540651,0.0,1683.0,1235.0,
0,403.5638,2.26e+12,1.0,0.0,741.529864859,1842.26130345,0.0810285489441,0.464031355793,1.70e+05,158880.975007,25169.1034867,100000000.0,0.00121320360501,0.733808674985,0.518197366656,0.94,1.05952961467,0.220614147591,7.21457919917e-05,0.000526261748269,1.04705791502,0.0,1683.0,1235.0,
1,823.4205,2.21e+12,1.0,0.0,1053.90377213,1927.6667987,0.0411130104119,0.260100313695,1.63e+05,162230.087388,24234.722399,100000000.0,0.00104619878226,0.733808674985,0.583484032049,0.94,1.22921573366,0.265068683425,6.93613404553e-05,0.000553609312257,1.08080527553,0.0,1683.0,1235.0,
2,1264.8323,2.19e+12,1.0,0.0,1060.24817419,1248.47702972,0.0282861447733,0.400975898292,1.63e+05,199600.570512,26359.1273196,100000000.0,0.00101672931358,0.733808674985,0.596219068413,0.94,1.22404930803,0.231623199097,7.08430995442e-05,0.000586057699668,1.06901968436,0.0,1683.0,1235.0,
3,1724.5859,2.20e+12,1.0,0.0,1115.41614292,1051.34659735,0.0272889579626,0.55384352344,1.63e+05,218810.876141,23241.1955638,100000000.0,0.000999174335475,0.733808674985,0.631475616279,0.94,1.24576509911,0.182903389015,6.92462381273e-05,0.000525460824805,1.04320261214,0.0,1683.0,1235.0,
4,2172.0732,2.34e+12,1.0,0.0,1306.75085221,773.553836468,0.0841939836812,0.726026220862,1.63e+05,234458.064981,14026.0050811,100000000.0,0.000986769979205,0.733808674985,0.722877132868,0.94,1.24271389872,0.0977638455869,0.000117860603584,0.000472276098421,0.992379963249,0.0,1683.0,1235.0,
5,2562.4255,2.45e+12,1.0,0.0,1258.0063029,694.008814331,0.0913157103814,0.896120287826,1.63e+05,233138.616412,2616.9276819,100000000.0,0.000970800412608,0.733808674985,0.704136340207,0.94,1.23809199982,0.204957701224,0.00012430647567,0.000198810050579,0.984268122042,0.0,1683.0,1235.0,
6,3013.1913,2.38e+12,1.0,0.0,1173.96044521,702.764487196,0.0248005160041,0.750001585177,1.63e+05,237945.297793,2658.1704454,100000000.0,0.000965248702298,0.733808674985,0.658865666982,0.94,1.23944973595,0.123261286162,9.18768992027e-05,0.000367560843972,1.00264563971,0.0,1683.0,1235.0,
7,3448.0709,2.37e+12,1.0,0.0,1296.54995577,673.931409835,0.0308435070479,0.866970686812,1.63e+05,233790.058284,2523.95716549,100000000.0,0.000958751680853,0.733808674985,0.704663180305,0.94,1.24342575651,0.0508007764355,0.000143766764916,0.000490152202784,0.983235992078,0.0,1683.0,1235.0,
8,3865.9769,2.37e+12,1.0,0.0,1289.91481032,675.166327104,0.0292774486859,0.783627005069,1.63e+05,237396.607573,2516.34647978,100000000.0,0.000957446846147,0.733808674985,0.703365023955,0.94,1.24359794767,0.0478204019164,0.000149513375376,0.000481432976505,0.99560086811,0.0,1683.0,1235.0,
9,4280.2704,2.37e+12,1.0,0.0,1338.40638191,842.061629506,0.0222812392361,0.676826384783,1.63e+05,235832.98564,2563.77113569,100000000.0,0.000954016054838,0.733808674985,0.723661896192,0.94,1.24611858696,0.0341248910611,0.00014118322203,0.000548201392277,1.0417887084,0.0,1683.0,1235.0,
10,4701.6003,2.40e+12,1.0,0.0,1352.37350174,924.609304448,0.0201817988872,0.589097808983,1.63e+05,235169.607895,2541.19929785,100000000.0,0.000952555814413,0.733808674985,0.729568088815,0.94,1.24748060584,0.025516905322,0.000139478093401,0.000572745933171,1.0724478887,0.0,1683.0,1235.0,
11,5096.9877,2.42e+12,1.0,0.0,1359.29955763,1023.9450598,0.0157780271859,0.399318750162,1.63e+05,234768.763328,2530.05975352,100000000.0,0.000950420442241,0.733808674985,0.731251164828,0.94,1.24799913724,0.0534574470013,0.000166099694128,0.000545146191803,1.09819636637,0.0,1683.0,1235.0,
12,5430.8412,2.44e+12,1.0,0.0,1358.37500247,1038.43253839,0.0147984494964,0.376300882295,1.63e+05,236711.757561,2530.97701612,100000000.0,0.000949454863648,0.733808674985,0.731710162897,0.94,1.24754843364,0.0514044007331,0.000168311771005,0.000535028971007,1.09918519857,0.0,1683.0,1235.0,
13,5820.7990,2.47e+12,1.0,0.0,1370.96064924,1044.6697748,0.0136451121454,0.34464134571,1.63e+05,238753.204648,2515.43412422,100000000.0,0.000948583500707,0.733808674985,0.736873079037,0.94,1.24796347532,0.0382867799053,0.000174783854003,0.000546848984425,1.0964813084,0.0,1683.0,1235.0,
14,6206.8575,2.49e+12,1.0,0.0,1381.61604996,1050.66274845,0.0138076385127,0.338272273966,1.63e+05,240151.128959,2502.45763814,100000000.0,0.000948295657745,0.733808674985,0.741728426998,0.94,1.24797806952,0.0298381989093,0.000175735035069,0.000555332309818,1.09720058447,0.0,1683.0,1235.0,
15,6590.9999,2.57e+12,1.0,0.0,1333.36473442,1079.73744299,0.0140300251569,0.280171052049,1.63e+05,241608.190531,2599.62784028,100000000.0,0.000947673732563,0.733808674985,0.722259707897,0.94,1.24784810249,0.0501460047175,0.00017236399468,0.000498164835308,1.08523899228,0.0,1683.0,1235.0,
16,6977.5499,2.55e+12,1.0,0.0,1359.64057246,1053.72063628,0.0126254568778,0.359495242916,1.63e+05,240006.277394,2532.90412516,100000000.0,0.000947169320855,0.733808674985,0.732259249784,0.94,1.24637604071,0.0292903024361,0.00017324176935,0.000565675012209,1.09555215982,0.0,1683.0,1235.0,
17,7372.7941,2.56e+12,1.0,0.0,1372.31218284,1128.1955134,0.0147321003091,0.241379695381,1.63e+05,239577.652741,2533.56232678,100000000.0,0.000946761520571,0.733808674985,0.737445053031,0.94,1.24753571094,0.0267380430604,0.000170923026727,0.000554920970015,1.09922832747,0.0,1683.0,1235.0,
18,7764.5462,2.58e+12,1.0,0.0,1378.73396438,1162.19394302,0.0137814367167,0.197485030985,1.63e+05,239126.935989,2526.49531339,100000000.0,0.000946354617263,0.733808674985,0.739478866065,0.94,1.24726664665,0.0243332702828,0.000173064658229,0.000556708102645,1.09866084772,0.0,1683.0,1235.0,
19,8101.9837,2.57e+12,1.0,0.0,1385.17588732,1220.83774838,0.0127194405123,0.119770983644,1.63e+05,237545.669169,2510.49440068,100000000.0,0.000945980469689,0.733808674985,0.741011059167,0.94,1.24794623578,0.0272281103092,0.000175571726867,0.000546181881925,1.09761024906,0.0,1683.0,1235.0,
