Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,2.09e+15,1.0,0.0,1216.609851262566,2631.4659971762344,1.26e+05,216668.01717362265,35662.24569813157,0.0,0.0006703636462989227,0.7338086749851456,0.3503610229727426,0.2383739486334102,0.11804537996885581,0.08260089613467617,3.5607516355396145,0.0,1683.0,1235.0,
0,25.9286,8.60e+15,1.0,0.0,2032.722298414833,1938.0647898766833,1.70e+05,595778.3627457325,15103.219112534014,0.0,0.000546228611474672,0.7338086749851456,0.6793346783567473,0.45459326528758437,0.8003536790531173,0.37743300891404935,1.7115789244669082,0.0,1683.0,1235.0,
1,50.6962,3.52e+15,1.0,0.0,1724.5905997294094,1342.5078566405925,1.45e+05,770826.812465373,23156.751782140112,0.0,0.0004433482599467407,0.7338086749851456,0.6288319066107966,0.6589272244251129,0.24903582012700182,0.1715926909138423,4.211333321074196,0.0,1683.0,1235.0,
2,76.5447,8.10e+15,1.0,0.0,2382.535527133612,2217.280701690114,1.39e+05,642863.9324321019,25524.9292361693,0.0,0.0002664608477745477,0.7338086749851456,0.47512724904828146,0.5895058008658185,0.3651477589702705,0.19540427768760385,2.1891857908118832,0.0,1683.0,1235.0,
3,100.9930,1.18e+16,1.0,0.0,2640.014073661603,1384.3697278374489,1.65e+05,1174953.9955701344,8219.663904036563,0.0,0.0001863881798368142,0.7338086749851456,0.8598999545319652,0.870632394446452,0.8412112310883086,0.44573305167850374,1.6481909588450874,0.0,1683.0,1235.0,
4,127.1458,8.03e+15,1.0,0.0,2313.853610500257,2022.1340854605314,1.68e+05,534910.9127321269,23775.243963852594,0.0,0.00016176609298216289,0.7338086749851456,0.7181737055694342,0.6672564960635917,0.6103748899325101,0.47393509987877125,2.4119482371191197,0.0,1683.0,1235.0,
5,153.6970,1.03e+16,1.0,0.0,2636.9041635613494,1806.8814538121387,1.74e+05,671167.1791822528,14909.910350687998,0.0,0.00010291712031658396,0.7338086749851456,0.8914098909868271,0.712821000788208,0.8501864913620005,0.4241671461892702,2.3839591099475412,0.0,1683.0,1235.0,
6,179.2392,8.44e+15,1.0,0.0,2603.405102059517,1921.3219894282342,1.66e+05,674677.9993142015,16858.016288303203,0.0,0.00010290182254926799,0.7338086749851456,0.8221817206649253,0.665630974310015,0.7556568968062269,0.3662994333372469,2.3904175789244784,0.0,1683.0,1235.0,
7,207.5208,7.52e+15,1.0,0.0,2446.244736007668,1760.70414267622,1.58e+05,702016.1665248648,19909.10154362966,0.0,8.728574167443057e-05,0.7338086749851456,0.7356960970300813,0.6432823658820492,0.62841561105531,0.36086257131499283,2.323464094617033,0.0,1683.0,1235.0,
8,234.2051,1.01e+16,1.0,0.0,2461.4534601705673,1428.0428598091385,1.57e+05,921225.0124552081,10466.82345279412,0.0,5.1571688930863466e-05,0.7338086749851456,0.726627444173753,0.7539701340501297,0.6870789959338204,0.39566176661431135,1.8767380883778444,0.0,1683.0,1235.0,
