# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478400000096e-01
2.000000000000000000e+00,1.389829478400000096e-01
3.000000000000000000e+00,1.389829478400000096e-01
4.000000000000000000e+00,1.389829478400000096e-01
5.000000000000000000e+00,1.389829478400000096e-01
6.000000000000000000e+00,1.389829478400000096e-01
7.000000000000000000e+00,1.389829478400000096e-01
8.000000000000000000e+00,1.389829478400000096e-01
9.000000000000000000e+00,1.389829478399999818e-01
1.000000000000000000e+01,1.389829478399999541e-01
1.100000000000000000e+01,1.389829478399998985e-01
1.200000000000000000e+01,1.389829478399997598e-01
1.300000000000000000e+01,1.389829478399994545e-01
1.400000000000000000e+01,1.389829478399988716e-01
1.500000000000000000e+01,1.389829478399977891e-01
1.600000000000000000e+01,1.389829478399958740e-01
1.700000000000000000e+01,1.389829478399925433e-01
1.800000000000000000e+01,1.389829478399869644e-01
1.900000000000000000e+01,1.389829478399778329e-01
2.000000000000000000e+01,1.389829478399632889e-01
2.100000000000000000e+01,1.389829478399406126e-01
2.200000000000000000e+01,1.389829478399059737e-01
2.300000000000000000e+01,1.389829478398540707e-01
2.400000000000000000e+01,1.389829478397776041e-01
2.500000000000000000e+01,1.389829478396667206e-01
2.600000000000000000e+01,1.389829478395082918e-01
2.700000000000000000e+01,1.389829478392850259e-01
2.800000000000000000e+01,1.389829478389744410e-01
2.900000000000000000e+01,1.389829478385473938e-01
3.000000000000000000e+01,1.389829478379668304e-01
3.100000000000000000e+01,1.389829478371857330e-01
3.200000000000000000e+01,1.389829478361452042e-01
3.300000000000000000e+01,1.389829478347717751e-01
3.400000000000000000e+01,1.389829478329747958e-01
3.500000000000000000e+01,1.389829478306429389e-01
3.600000000000000000e+01,1.389829478276405628e-01
3.700000000000000000e+01,1.389829478238034932e-01
3.800000000000000000e+01,1.389829478189338052e-01
3.900000000000000000e+01,1.389829478127947993e-01
4.000000000000000000e+01,1.389829478051045619e-01
4.100000000000000000e+01,1.389829477955288606e-01
4.200000000000000000e+01,1.389829477836740934e-01
4.300000000000000000e+01,1.389829477690782411e-01
4.400000000000000000e+01,1.389829477512011524e-01
4.500000000000000000e+01,1.389829477294146909e-01
4.600000000000000000e+01,1.389829477029916605e-01
4.700000000000000000e+01,1.389829476710920941e-01
4.800000000000000000e+01,1.389829476327493207e-01
4.900000000000000000e+01,1.389829475868565589e-01
5.000000000000000000e+01,1.389829475321485985e-01
5.100000000000000000e+01,1.389829474671836207e-01
5.200000000000000000e+01,1.389829473903275714e-01
5.300000000000000000e+01,1.389829472997298199e-01
5.400000000000000000e+01,1.389829471932987059e-01
5.500000000000000000e+01,1.389829470686810564e-01
5.600000000000000000e+01,1.389829469232368442e-01
5.700000000000000000e+01,1.389829467540055763e-01
5.800000000000000000e+01,1.389829465576833123e-01
5.900000000000000000e+01,1.389829463305807811e-01
6.000000000000000000e+01,1.389829460685951812e-01
6.100000000000000000e+01,1.389829457671818980e-01
6.200000000000000000e+01,1.389829454212953008e-01
6.300000000000000000e+01,1.389829450253534104e-01
6.400000000000000000e+01,1.389829445731964874e-01
6.500000000000000000e+01,1.389829440580414022e-01
6.600000000000000000e+01,1.389829434724287605e-01
6.700000000000000000e+01,1.389829428081628404e-01
6.800000000000000000e+01,1.389829420562461726e-01
6.900000000000000000e+01,1.389829412068452341e-01
7.000000000000000000e+01,1.389829402492272770e-01
7.100000000000000000e+01,1.389829391716462803e-01
7.200000000000000000e+01,1.389829379613073401e-01
7.300000000000000000e+01,1.389829366043090764e-01
7.400000000000000000e+01,1.389829350855097678e-01
7.500000000000000000e+01,1.389829333884724238e-01
7.600000000000000000e+01,1.389829314953714701e-01
7.700000000000000000e+01,1.389829293868936333e-01
7.800000000000000000e+01,1.389829270421406859e-01
7.900000000000000000e+01,1.389829244385145379e-01
8.000000000000000000e+01,1.389829215516375227e-01
8.100000000000000000e+01,1.389829183552218350e-01
8.200000000000000000e+01,1.389829148208623355e-01
8.300000000000000000e+01,1.389829109180062694e-01
8.400000000000000000e+01,1.389829066138470737e-01
8.500000000000000000e+01,1.389829018730931731e-01
8.600000000000000000e+01,1.389828966577966174e-01
8.700000000000000000e+01,1.389828909273164159e-01
8.800000000000000000e+01,1.389828846381039873e-01
8.900000000000000000e+01,1.389828777433078644e-01
9.000000000000000000e+01,1.389828701930598820e-01
9.100000000000000000e+01,1.389828619339648907e-01
9.200000000000000000e+01,1.389828529088470155e-01
9.300000000000000000e+01,1.389828430566671658e-01
9.400000000000000000e+01,1.389828323123101783e-01
9.500000000000000000e+01,1.389828206062226901e-01
9.600000000000000000e+01,1.389828078644666787e-01
9.700000000000000000e+01,1.389827940082926649e-01
9.800000000000000000e+01,1.389827789533591706e-01
9.900000000000000000e+01,1.389827626104291891e-01
1.000000000000000000e+02,1.389827448849406677e-01
1.010000000000000000e+02,1.389827256757311669e-01
1.020000000000000000e+02,1.389827048752471650e-01
1.030000000000000000e+02,1.389826823701726666e-01
1.040000000000000000e+02,1.389826580398451639e-01
1.050000000000000000e+02,1.389826317559876845e-01
1.060000000000000000e+02,1.389826033835646901e-01
1.070000000000000000e+02,1.389825727793031762e-01
1.080000000000000000e+02,1.389825397909781879e-01
1.090000000000000000e+02,1.389825042579016789e-01
1.100000000000000000e+02,1.389824660098326892e-01
1.110000000000000000e+02,1.389824248668356799e-01
1.120000000000000000e+02,1.389823806392701810e-01
1.130000000000000000e+02,1.389823331270346740e-01
1.140000000000000000e+02,1.389822821188921864e-01
1.150000000000000000e+02,1.389822273916546669e-01
1.160000000000000000e+02,1.389821687095631753e-01
1.170000000000000000e+02,1.389821058245536700e-01
1.180000000000000000e+02,1.389820384758436722e-01
1.190000000000000000e+02,1.389819663882711775e-01
1.200000000000000000e+02,1.389818892726561728e-01
1.210000000000000000e+02,1.389818068251771899e-01
1.220000000000000000e+02,1.389817187244701824e-01
1.230000000000000000e+02,1.389816246338541894e-01
1.240000000000000000e+02,1.389815242011466778e-01
1.250000000000000000e+02,1.389814170545416727e-01
1.260000000000000000e+02,1.389813028044166732e-01
1.270000000000000000e+02,1.389811810431266781e-01
1.280000000000000000e+02,1.389810513413616833e-01
1.290000000000000000e+02,1.389809132494416732e-01
1.300000000000000000e+02,1.389807662963766788e-01
1.310000000000000000e+02,1.389806099885016744e-01
1.320000000000000000e+02,1.389804438094366656e-01
1.330000000000000000e+02,1.389802672204066836e-01
1.340000000000000000e+02,1.389800796559916840e-01
1.350000000000000000e+02,1.389798805260616665e-01
1.360000000000000000e+02,1.389796692170466863e-01
1.370000000000000000e+02,1.389794450843466755e-01
1.380000000000000000e+02,1.389792074555966650e-01
1.390000000000000000e+02,1.389789556289516836e-01
1.400000000000000000e+02,1.389786888693516909e-01
1.410000000000000000e+02,1.389784064144016784e-01
1.420000000000000000e+02,1.389781074705866704e-01
1.430000000000000000e+02,1.389777912092516887e-01
1.440000000000000000e+02,1.389774567705916730e-01
1.450000000000000000e+02,1.389771032560416786e-01
1.460000000000000000e+02,1.389767297319316752e-01
1.470000000000000000e+02,1.389763352321216894e-01
1.480000000000000000e+02,1.389759187491916848e-01
1.490000000000000000e+02,1.389754792347366874e-01
1.500000000000000000e+02,1.389750156063116748e-01
1.510000000000000000e+02,1.389745267417366870e-01
1.520000000000000000e+02,1.389740114708616914e-01
1.530000000000000000e+02,1.389734685808566850e-01
1.540000000000000000e+02,1.389728968261766673e-01
1.550000000000000000e+02,1.389722949161116827e-01
1.560000000000000000e+02,1.389716615038616709e-01
1.570000000000000000e+02,1.389709952083266753e-01
1.580000000000000000e+02,1.389702945981866888e-01
1.590000000000000000e+02,1.389695581949366709e-01
1.600000000000000000e+02,1.389687844807966643e-01
1.610000000000000000e+02,1.389679718768066785e-01
1.620000000000000000e+02,1.389671187595516721e-01
1.630000000000000000e+02,1.389662234768816729e-01
1.640000000000000000e+02,1.389652843089666800e-01
1.650000000000000000e+02,1.389642994885416649e-01
1.660000000000000000e+02,1.389632672071916819e-01
1.670000000000000000e+02,1.389621856022916768e-01
1.680000000000000000e+02,1.389610527679916718e-01
1.690000000000000000e+02,1.389598667506916907e-01
1.700000000000000000e+02,1.389586255377916746e-01
1.710000000000000000e+02,1.389573270660416637e-01
1.720000000000000000e+02,1.389559692419416737e-01
1.730000000000000000e+02,1.389545499066416889e-01
1.740000000000000000e+02,1.389530668700416638e-01
1.750000000000000000e+02,1.389515178993416811e-01
1.760000000000000000e+02,1.389499007022916843e-01
1.770000000000000000e+02,1.389482129438916747e-01
1.780000000000000000e+02,1.389464522553416903e-01
1.790000000000000000e+02,1.389446162323416667e-01
1.800000000000000000e+02,1.389427024168416736e-01
1.810000000000000000e+02,1.389407083290416789e-01
1.820000000000000000e+02,1.389386314534916678e-01
1.830000000000000000e+02,1.389364692290416814e-01
1.840000000000000000e+02,1.389342190699416890e-01
1.850000000000000000e+02,1.389318783456416906e-01
1.860000000000000000e+02,1.389294444096416670e-01
1.870000000000000000e+02,1.389269146056416881e-01
1.880000000000000000e+02,1.389242862162916869e-01
1.890000000000000000e+02,1.389215565465416746e-01
1.900000000000000000e+02,1.389187228827916676e-01
1.910000000000000000e+02,1.389157824391916707e-01
1.920000000000000000e+02,1.389127324686916798e-01
1.930000000000000000e+02,1.389095702401916821e-01
1.940000000000000000e+02,1.389062929551416747e-01
1.950000000000000000e+02,1.389028978573416673e-01
1.960000000000000000e+02,1.388993822131916744e-01
1.970000000000000000e+02,1.388957432092416677e-01
1.980000000000000000e+02,1.388919780677416727e-01
1.990000000000000000e+02,1.388880840787416748e-01
2.000000000000000000e+02,1.388840585022916851e-01
2.010000000000000000e+02,1.388798986036416661e-01
2.020000000000000000e+02,1.388756017198416737e-01
2.030000000000000000e+02,1.388711651443416684e-01
2.040000000000000000e+02,1.388665862342916835e-01
2.050000000000000000e+02,1.388618624324416684e-01
2.060000000000000000e+02,1.388569911153416658e-01
2.070000000000000000e+02,1.388519697170416678e-01
2.080000000000000000e+02,1.388467957607416869e-01
2.090000000000000000e+02,1.388414667357416865e-01
2.100000000000000000e+02,1.388359802163416645e-01
2.110000000000000000e+02,1.388303338873916881e-01
2.120000000000000000e+02,1.388245253336916896e-01
2.130000000000000000e+02,1.388185522583416653e-01
2.140000000000000000e+02,1.388124125350916893e-01
2.150000000000000000e+02,1.388061039346916714e-01
2.160000000000000000e+02,1.387996243236916671e-01
2.170000000000000000e+02,1.387929717469916779e-01
2.180000000000000000e+02,1.387861441618916669e-01
2.190000000000000000e+02,1.387791395909916681e-01
2.200000000000000000e+02,1.387719562345916813e-01
2.210000000000000000e+02,1.387645922305916768e-01
2.220000000000000000e+02,1.387570457695416759e-01
2.230000000000000000e+02,1.387493152652916895e-01
2.240000000000000000e+02,1.387413990778416650e-01
2.250000000000000000e+02,1.387332956131916706e-01
2.260000000000000000e+02,1.387250034839416779e-01
2.270000000000000000e+02,1.387165211323916902e-01
2.280000000000000000e+02,1.387078471724416673e-01
2.290000000000000000e+02,1.386989804906916812e-01
2.300000000000000000e+02,1.386899197908916803e-01
2.310000000000000000e+02,1.386806638391916702e-01
2.320000000000000000e+02,1.386712116715916876e-01
2.330000000000000000e+02,1.386615621865416870e-01
2.340000000000000000e+02,1.386517143414416897e-01
2.350000000000000000e+02,1.386416672889416724e-01
2.360000000000000000e+02,1.386314200884416759e-01
2.370000000000000000e+02,1.386209719779416816e-01
2.380000000000000000e+02,1.386103222589416817e-01
2.390000000000000000e+02,1.385994701674416740e-01
2.400000000000000000e+02,1.385884151359416672e-01
2.410000000000000000e+02,1.385771566729416815e-01
2.420000000000000000e+02,1.385656940999416831e-01
2.430000000000000000e+02,1.385540269229416643e-01
2.440000000000000000e+02,1.385421548389416668e-01
2.450000000000000000e+02,1.385300773589416834e-01
2.460000000000000000e+02,1.385177940969416766e-01
2.470000000000000000e+02,1.385053049489416710e-01
2.480000000000000000e+02,1.384926095884416730e-01
2.490000000000000000e+02,1.384797076754416822e-01
2.500000000000000000e+02,1.384665992774416765e-01
2.510000000000000000e+02,1.384532840754416905e-01
2.520000000000000000e+02,1.384397618834416754e-01
2.530000000000000000e+02,1.384260328894416914e-01
2.540000000000000000e+02,1.384120969069416729e-01
2.550000000000000000e+02,1.383979539374416701e-01
2.560000000000000000e+02,1.383836041179416776e-01
2.570000000000000000e+02,1.383690473979416746e-01
2.580000000000000000e+02,1.383542838064416858e-01
2.590000000000000000e+02,1.383393136284416791e-01
2.600000000000000000e+02,1.383241368929416792e-01
2.610000000000000000e+02,1.383087536619416746e-01
2.620000000000000000e+02,1.382931643069416905e-01
2.630000000000000000e+02,1.382773689264416850e-01
2.640000000000000000e+02,1.382613676314416729e-01
2.650000000000000000e+02,1.382451608969416657e-01
2.660000000000000000e+02,1.382287488054416702e-01
2.670000000000000000e+02,1.382121315584416699e-01
2.680000000000000000e+02,1.381953096789416691e-01
2.690000000000000000e+02,1.381782831789416799e-01
2.700000000000000000e+02,1.381610524189416656e-01
2.710000000000000000e+02,1.381436179249416751e-01
2.720000000000000000e+02,1.381259798739416789e-01
2.730000000000000000e+02,1.381081385674416684e-01
2.740000000000000000e+02,1.380900945694416848e-01
2.750000000000000000e+02,1.380718480629416767e-01
