# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478400000096e-01
2.000000000000000000e+00,1.389829478400000096e-01
3.000000000000000000e+00,1.389829478400000096e-01
4.000000000000000000e+00,1.389829478400000096e-01
5.000000000000000000e+00,1.389829478399999818e-01
6.000000000000000000e+00,1.389829478399998985e-01
7.000000000000000000e+00,1.389829478399997043e-01
8.000000000000000000e+00,1.389829478399992602e-01
9.000000000000000000e+00,1.389829478399983442e-01
1.000000000000000000e+01,1.389829478399965679e-01
1.100000000000000000e+01,1.389829478399932094e-01
1.200000000000000000e+01,1.389829478399872420e-01
1.300000000000000000e+01,1.389829478399770279e-01
1.400000000000000000e+01,1.389829478399601248e-01
1.500000000000000000e+01,1.389829478399330076e-01
1.600000000000000000e+01,1.389829478398905971e-01
1.700000000000000000e+01,1.389829478398258433e-01
1.800000000000000000e+01,1.389829478397290874e-01
1.900000000000000000e+01,1.389829478395872286e-01
2.000000000000000000e+01,1.389829478393828366e-01
2.100000000000000000e+01,1.389829478390930129e-01
2.200000000000000000e+01,1.389829478386879758e-01
2.300000000000000000e+01,1.389829478381295613e-01
2.400000000000000000e+01,1.389829478373691418e-01
2.500000000000000000e+01,1.389829478363455439e-01
2.600000000000000000e+01,1.389829478349822733e-01
2.700000000000000000e+01,1.389829478331847112e-01
2.800000000000000000e+01,1.389829478308364785e-01
2.900000000000000000e+01,1.389829478277955777e-01
3.000000000000000000e+01,1.389829478238898408e-01
3.100000000000000000e+01,1.389829478189119061e-01
3.200000000000000000e+01,1.389829478126133888e-01
3.300000000000000000e+01,1.389829478046984146e-01
3.400000000000000000e+01,1.389829477948165970e-01
3.500000000000000000e+01,1.389829477825547943e-01
3.600000000000000000e+01,1.389829477674282554e-01
3.700000000000000000e+01,1.389829477488709608e-01
3.800000000000000000e+01,1.389829477262244095e-01
3.900000000000000000e+01,1.389829476987259060e-01
4.000000000000000000e+01,1.389829476654955709e-01
4.100000000000000000e+01,1.389829476255216023e-01
4.200000000000000000e+01,1.389829475776449830e-01
4.300000000000000000e+01,1.389829475205426601e-01
4.400000000000000000e+01,1.389829474527083664e-01
4.500000000000000000e+01,1.389829473724332465e-01
4.600000000000000000e+01,1.389829472777844577e-01
4.700000000000000000e+01,1.389829471665808835e-01
4.800000000000000000e+01,1.389829470363686814e-01
4.900000000000000000e+01,1.389829468843947757e-01
5.000000000000000000e+01,1.389829467075759384e-01
5.100000000000000000e+01,1.389829465024692012e-01
5.200000000000000000e+01,1.389829462652396042e-01
5.300000000000000000e+01,1.389829459916214482e-01
5.400000000000000000e+01,1.389829456768824079e-01
5.500000000000000000e+01,1.389829453157848393e-01
5.600000000000000000e+01,1.389829449025378749e-01
5.700000000000000000e+01,1.389829444307547346e-01
5.800000000000000000e+01,1.389829438934060968e-01
5.900000000000000000e+01,1.389829432827621447e-01
6.000000000000000000e+01,1.389829425903418014e-01
6.100000000000000000e+01,1.389829418068576072e-01
6.200000000000000000e+01,1.389829409221461642e-01
6.300000000000000000e+01,1.389829399251080455e-01
6.400000000000000000e+01,1.389829388036424029e-01
6.500000000000000000e+01,1.389829375445622017e-01
6.600000000000000000e+01,1.389829361335265523e-01
6.700000000000000000e+01,1.389829345549656592e-01
6.800000000000000000e+01,1.389829327919775426e-01
6.900000000000000000e+01,1.389829308262501006e-01
7.000000000000000000e+01,1.389829286379739015e-01
7.100000000000000000e+01,1.389829262057203085e-01
7.200000000000000000e+01,1.389829235063511637e-01
7.300000000000000000e+01,1.389829205149177571e-01
7.400000000000000000e+01,1.389829172045174144e-01
7.500000000000000000e+01,1.389829135461900511e-01
7.600000000000000000e+01,1.389829095088019606e-01
7.700000000000000000e+01,1.389829050588795578e-01
7.800000000000000000e+01,1.389829001604888092e-01
7.900000000000000000e+01,1.389828947750998689e-01
8.000000000000000000e+01,1.389828888613882929e-01
8.100000000000000000e+01,1.389828823751061426e-01
8.200000000000000000e+01,1.389828752689334090e-01
8.300000000000000000e+01,1.389828674922381491e-01
8.400000000000000000e+01,1.389828589909310463e-01
8.500000000000000000e+01,1.389828497072961577e-01
8.600000000000000000e+01,1.389828395797162441e-01
8.700000000000000000e+01,1.389828285425057652e-01
8.800000000000000000e+01,1.389828165257157577e-01
8.900000000000000000e+01,1.389828034548227509e-01
9.000000000000000000e+01,1.389827892505372531e-01
9.100000000000000000e+01,1.389827738285817627e-01
9.200000000000000000e+01,1.389827570993472650e-01
9.300000000000000000e+01,1.389827389676642488e-01
9.400000000000000000e+01,1.389827193325422483e-01
9.500000000000000000e+01,1.389826980867732431e-01
9.600000000000000000e+01,1.389826751166942653e-01
9.700000000000000000e+01,1.389826503019082615e-01
9.800000000000000000e+01,1.389826235148217681e-01
9.900000000000000000e+01,1.389825946203687435e-01
1.000000000000000000e+02,1.389825634756917672e-01
1.010000000000000000e+02,1.389825299296492678e-01
1.020000000000000000e+02,1.389824938224822615e-01
1.030000000000000000e+02,1.389824549854402624e-01
1.040000000000000000e+02,1.389824132402762424e-01
1.050000000000000000e+02,1.389823683988427594e-01
1.060000000000000000e+02,1.389823202626537524e-01
1.070000000000000000e+02,1.389822686224062576e-01
1.080000000000000000e+02,1.389822132574587421e-01
1.090000000000000000e+02,1.389821539352972535e-01
1.100000000000000000e+02,1.389820904110647681e-01
1.110000000000000000e+02,1.389820224269832649e-01
1.120000000000000000e+02,1.389819497117682490e-01
1.130000000000000000e+02,1.389818719801817481e-01
1.140000000000000000e+02,1.389817889322942646e-01
1.150000000000000000e+02,1.389817002527742595e-01
1.160000000000000000e+02,1.389816056106312481e-01
1.170000000000000000e+02,1.389815046582307534e-01
1.180000000000000000e+02,1.389813970304057678e-01
1.190000000000000000e+02,1.389812823445157608e-01
1.200000000000000000e+02,1.389811601991407519e-01
1.210000000000000000e+02,1.389810301729657582e-01
1.220000000000000000e+02,1.389808918253657433e-01
1.230000000000000000e+02,1.389807446945907632e-01
1.240000000000000000e+02,1.389805882963107420e-01
1.250000000000000000e+02,1.389804221248307492e-01
1.260000000000000000e+02,1.389802456508457684e-01
1.270000000000000000e+02,1.389800583196957595e-01
1.280000000000000000e+02,1.389798595534307568e-01
1.290000000000000000e+02,1.389796487477657494e-01
1.300000000000000000e+02,1.389794252697957588e-01
1.310000000000000000e+02,1.389791884615857454e-01
1.320000000000000000e+02,1.389789376359507611e-01
1.330000000000000000e+02,1.389786720734257630e-01
1.340000000000000000e+02,1.389783910279857593e-01
1.350000000000000000e+02,1.389780937212807543e-01
1.360000000000000000e+02,1.389777793386257621e-01
1.370000000000000000e+02,1.389774470377257432e-01
1.380000000000000000e+02,1.389770959407107542e-01
1.390000000000000000e+02,1.389767251287257477e-01
1.400000000000000000e+02,1.389763336544457550e-01
1.410000000000000000e+02,1.389759205316957458e-01
1.420000000000000000e+02,1.389754847285457617e-01
1.430000000000000000e+02,1.389750251847907681e-01
1.440000000000000000e+02,1.389745407979207648e-01
1.450000000000000000e+02,1.389740304139107652e-01
1.460000000000000000e+02,1.389734928519307522e-01
1.470000000000000000e+02,1.389729268853457655e-01
1.480000000000000000e+02,1.389723312293957569e-01
1.490000000000000000e+02,1.389717045754807478e-01
1.500000000000000000e+02,1.389710455657107435e-01
1.510000000000000000e+02,1.389703527765807634e-01
1.520000000000000000e+02,1.389696247659457651e-01
1.530000000000000000e+02,1.389688600388757633e-01
1.540000000000000000e+02,1.389680570259407555e-01
1.550000000000000000e+02,1.389672141460707444e-01
1.560000000000000000e+02,1.389663297622307503e-01
1.570000000000000000e+02,1.389654021534607597e-01
1.580000000000000000e+02,1.389644295978757493e-01
1.590000000000000000e+02,1.389634103144157529e-01
1.600000000000000000e+02,1.389623424262157458e-01
1.610000000000000000e+02,1.389612240705157542e-01
1.620000000000000000e+02,1.389600533223657453e-01
1.630000000000000000e+02,1.389588281467657449e-01
1.640000000000000000e+02,1.389575465427157486e-01
1.650000000000000000e+02,1.389562064442657618e-01
1.660000000000000000e+02,1.389548056586157598e-01
1.670000000000000000e+02,1.389533420532657604e-01
1.680000000000000000e+02,1.389518134279657535e-01
1.690000000000000000e+02,1.389502174349657448e-01
1.700000000000000000e+02,1.389485518188657565e-01
1.710000000000000000e+02,1.389468142541657458e-01
1.720000000000000000e+02,1.389450022445657684e-01
1.730000000000000000e+02,1.389431134274657642e-01
1.740000000000000000e+02,1.389411453675157559e-01
1.750000000000000000e+02,1.389390954288657609e-01
1.760000000000000000e+02,1.389369611607657595e-01
1.770000000000000000e+02,1.389347400367157426e-01
1.780000000000000000e+02,1.389324292936157668e-01
1.790000000000000000e+02,1.389300264159157583e-01
1.800000000000000000e+02,1.389275288088657467e-01
1.810000000000000000e+02,1.389249335975157595e-01
1.820000000000000000e+02,1.389222382301157632e-01
1.830000000000000000e+02,1.389194400713157640e-01
1.840000000000000000e+02,1.389165361522657627e-01
1.850000000000000000e+02,1.389135239145657674e-01
1.860000000000000000e+02,1.389104007110157635e-01
1.870000000000000000e+02,1.389071634999657634e-01
1.880000000000000000e+02,1.389038097540657435e-01
1.890000000000000000e+02,1.389003368494657609e-01
1.900000000000000000e+02,1.388967416928657550e-01
1.910000000000000000e+02,1.388930218264157468e-01
1.920000000000000000e+02,1.388891746855157594e-01
1.930000000000000000e+02,1.388851971470657642e-01
1.940000000000000000e+02,1.388810868621157546e-01
1.950000000000000000e+02,1.388768413617657571e-01
1.960000000000000000e+02,1.388724575148157503e-01
1.970000000000000000e+02,1.388679331223657554e-01
1.980000000000000000e+02,1.388632658482657489e-01
1.990000000000000000e+02,1.388584525727157570e-01
2.000000000000000000e+02,1.388534912824657686e-01
2.010000000000000000e+02,1.388483798064157615e-01
2.020000000000000000e+02,1.388431150547157489e-01
2.030000000000000000e+02,1.388376952398157615e-01
2.040000000000000000e+02,1.388321183900657618e-01
2.050000000000000000e+02,1.388263814585657674e-01
2.060000000000000000e+02,1.388204829172657584e-01
2.070000000000000000e+02,1.388144210225157604e-01
2.080000000000000000e+02,1.388081927794657666e-01
2.090000000000000000e+02,1.388017969481157576e-01
2.100000000000000000e+02,1.387952320361657554e-01
2.110000000000000000e+02,1.387884951056157501e-01
2.120000000000000000e+02,1.387815852294657648e-01
2.130000000000000000e+02,1.387745011858657618e-01
2.140000000000000000e+02,1.387672400928657568e-01
2.150000000000000000e+02,1.387598013499157512e-01
2.160000000000000000e+02,1.387521840150657548e-01
2.170000000000000000e+02,1.387443852590157511e-01
2.180000000000000000e+02,1.387364048235657510e-01
2.190000000000000000e+02,1.387282420563657470e-01
2.200000000000000000e+02,1.387198941702657562e-01
2.210000000000000000e+02,1.387113612556157560e-01
2.220000000000000000e+02,1.387026429513657511e-01
2.230000000000000000e+02,1.386937364986657595e-01
2.240000000000000000e+02,1.386846423361157432e-01
2.250000000000000000e+02,1.386753603899157639e-01
2.260000000000000000e+02,1.386658879132657562e-01
2.270000000000000000e+02,1.386562256895657597e-01
2.280000000000000000e+02,1.386463739251157512e-01
2.290000000000000000e+02,1.386363298657657672e-01
2.300000000000000000e+02,1.386260946257657500e-01
2.310000000000000000e+02,1.386156686767657520e-01
2.320000000000000000e+02,1.386050492392657540e-01
2.330000000000000000e+02,1.385942377497657585e-01
2.340000000000000000e+02,1.385832349332657421e-01
2.350000000000000000e+02,1.385720379637657429e-01
2.360000000000000000e+02,1.385606485842657554e-01
2.370000000000000000e+02,1.385490677567657591e-01
2.380000000000000000e+02,1.385372925887657647e-01
2.390000000000000000e+02,1.385253251112657513e-01
2.400000000000000000e+02,1.385131665047657501e-01
2.410000000000000000e+02,1.385008137912657478e-01
2.420000000000000000e+02,1.384882692712657570e-01
2.430000000000000000e+02,1.384755343262657479e-01
2.440000000000000000e+02,1.384626058752657651e-01
2.450000000000000000e+02,1.384494864637657585e-01
2.460000000000000000e+02,1.384361776527657517e-01
2.470000000000000000e+02,1.384226762447657577e-01
2.480000000000000000e+02,1.384089850137657507e-01
2.490000000000000000e+02,1.383951056837657567e-01
2.500000000000000000e+02,1.383810349267657613e-01
2.510000000000000000e+02,1.383667757252657615e-01
2.520000000000000000e+02,1.383523299492657455e-01
2.530000000000000000e+02,1.383376941302657537e-01
2.540000000000000000e+02,1.383228714382657432e-01
2.550000000000000000e+02,1.383078638712657571e-01
2.560000000000000000e+02,1.382926678127657516e-01
2.570000000000000000e+02,1.382772866027657532e-01
2.580000000000000000e+02,1.382617223527657646e-01
2.590000000000000000e+02,1.382459712917657457e-01
2.600000000000000000e+02,1.382300369067657464e-01
2.610000000000000000e+02,1.382139214057657439e-01
2.620000000000000000e+02,1.381976208627657687e-01
2.630000000000000000e+02,1.381811388977657595e-01
2.640000000000000000e+02,1.381644778037657562e-01
2.650000000000000000e+02,1.381476334987657428e-01
2.660000000000000000e+02,1.381306097197657623e-01
2.670000000000000000e+02,1.381134088327657661e-01
2.680000000000000000e+02,1.380960266002657644e-01
2.690000000000000000e+02,1.380784668602657583e-01
2.700000000000000000e+02,1.380607320402657545e-01
2.710000000000000000e+02,1.380428177512657562e-01
2.720000000000000000e+02,1.380247279187657439e-01
2.730000000000000000e+02,1.380064650227657563e-01
2.740000000000000000e+02,1.379880245277657624e-01
2.750000000000000000e+02,1.379694104292657486e-01
