# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478384627670e-01
2.000000000000000000e+00,1.389829478374155769e-01
3.000000000000000000e+00,1.389829478363181214e-01
4.000000000000000000e+00,1.389829478351596592e-01
5.000000000000000000e+00,1.389829478339298374e-01
6.000000000000000000e+00,1.389829478326182755e-01
7.000000000000000000e+00,1.389829478312143429e-01
8.000000000000000000e+00,1.389829478297069931e-01
9.000000000000000000e+00,1.389829478280847075e-01
1.000000000000000000e+01,1.389829478263355234e-01
1.100000000000000000e+01,1.389829478244468397e-01
1.200000000000000000e+01,1.389829478224055559e-01
1.300000000000000000e+01,1.389829478201978497e-01
1.400000000000000000e+01,1.389829478178093713e-01
1.500000000000000000e+01,1.389829478152250219e-01
1.600000000000000000e+01,1.389829478124289530e-01
1.700000000000000000e+01,1.389829478094046777e-01
1.800000000000000000e+01,1.389829478061348766e-01
1.900000000000000000e+01,1.389829478026015086e-01
2.000000000000000000e+01,1.389829477987856721e-01
2.100000000000000000e+01,1.389829477946676606e-01
2.200000000000000000e+01,1.389829477902268795e-01
2.300000000000000000e+01,1.389829477854418738e-01
2.400000000000000000e+01,1.389829477802902447e-01
2.500000000000000000e+01,1.389829477747487052e-01
2.600000000000000000e+01,1.389829477687929693e-01
2.700000000000000000e+01,1.389829477623977239e-01
2.800000000000000000e+01,1.389829477555367121e-01
2.900000000000000000e+01,1.389829477481825670e-01
3.000000000000000000e+01,1.389829477403069224e-01
3.100000000000000000e+01,1.389829477318802187e-01
3.200000000000000000e+01,1.389829477228718135e-01
3.300000000000000000e+01,1.389829477132498992e-01
3.400000000000000000e+01,1.389829477029815297e-01
3.500000000000000000e+01,1.389829476920324269e-01
3.600000000000000000e+01,1.389829476803672026e-01
3.700000000000000000e+01,1.389829476679490805e-01
3.800000000000000000e+01,1.389829476547400633e-01
3.900000000000000000e+01,1.389829476407007103e-01
4.000000000000000000e+01,1.389829476257903318e-01
4.100000000000000000e+01,1.389829476099667671e-01
4.200000000000000000e+01,1.389829475931864122e-01
4.300000000000000000e+01,1.389829475754042476e-01
4.400000000000000000e+01,1.389829475565736994e-01
4.500000000000000000e+01,1.389829475366467226e-01
4.600000000000000000e+01,1.389829475155736349e-01
4.700000000000000000e+01,1.389829474933032272e-01
4.800000000000000000e+01,1.389829474697825695e-01
4.900000000000000000e+01,1.389829474449571500e-01
5.000000000000000000e+01,1.389829474187706526e-01
5.100000000000000000e+01,1.389829473911651236e-01
