# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,3.384403600000000267e+01
3.000000000000000000e+00,3.870611999999999853e+01
4.000000000000000000e+00,4.268470400000000353e+01
5.000000000000000000e+00,4.599705099999999902e+01
6.000000000000000000e+00,4.891230000000000189e+01
7.000000000000000000e+00,5.152588300000000032e+01
8.000000000000000000e+00,5.391288399999999825e+01
9.000000000000000000e+00,5.611714599999999820e+01
1.000000000000000000e+01,5.817184799999999711e+01
1.100000000000000000e+01,6.010079199999999844e+01
1.200000000000000000e+01,6.192190200000000289e+01
1.300000000000000000e+01,6.364938699999999727e+01
1.400000000000000000e+01,6.529519700000000171e+01
1.500000000000000000e+01,6.686795800000000156e+01
1.600000000000000000e+01,6.837527500000000202e+01
1.700000000000000000e+01,6.982363900000000001e+01
1.800000000000000000e+01,7.121868899999999769e+01
1.900000000000000000e+01,7.256485000000000696e+01
2.000000000000000000e+01,7.386643200000000320e+01
2.100000000000000000e+01,7.512594599999999900e+01
2.200000000000000000e+01,7.634758800000000178e+01
2.300000000000000000e+01,7.753378299999999967e+01
2.400000000000000000e+01,7.868664599999999609e+01
2.500000000000000000e+01,7.980835700000000088e+01
2.600000000000000000e+01,8.090104700000000548e+01
2.700000000000000000e+01,8.196684999999999377e+01
2.800000000000000000e+01,8.300631699999999569e+01
2.900000000000000000e+01,8.402141600000000210e+01
3.000000000000000000e+01,8.501384000000000185e+01
3.100000000000000000e+01,8.598380299999999465e+01
3.200000000000000000e+01,8.693360900000000413e+01
3.300000000000000000e+01,8.786299099999999385e+01
3.400000000000000000e+01,8.877393299999999954e+01
3.500000000000000000e+01,8.966714500000000498e+01
3.600000000000000000e+01,9.054246500000000708e+01
3.700000000000000000e+01,9.140172599999999647e+01
3.800000000000000000e+01,9.224546100000000592e+01
3.900000000000000000e+01,9.307405099999999720e+01
4.000000000000000000e+01,9.388811499999999910e+01
4.100000000000000000e+01,9.468797299999999950e+01
4.200000000000000000e+01,9.547452499999999986e+01
4.300000000000000000e+01,9.624824499999999716e+01
4.400000000000000000e+01,9.700968199999999797e+01
4.500000000000000000e+01,9.775908699999999385e+01
4.600000000000000000e+01,9.849694100000000674e+01
4.700000000000000000e+01,9.922415200000000368e+01
4.800000000000000000e+01,9.994036900000000401e+01
4.900000000000000000e+01,1.006462899999999934e+02
5.000000000000000000e+01,1.013419700000000034e+02
5.100000000000000000e+01,1.020278899999999993e+02
5.200000000000000000e+01,1.027047000000000025e+02
5.300000000000000000e+01,1.033726199999999977e+02
5.400000000000000000e+01,1.040313600000000065e+02
5.500000000000000000e+01,1.046814999999999998e+02
5.600000000000000000e+01,1.053240700000000061e+02
5.700000000000000000e+01,1.059581199999999939e+02
5.800000000000000000e+01,1.065842700000000036e+02
5.900000000000000000e+01,1.072035599999999960e+02
6.000000000000000000e+01,1.078150200000000041e+02
6.100000000000000000e+01,1.084197800000000029e+02
6.200000000000000000e+01,1.090173300000000012e+02
6.300000000000000000e+01,1.096083600000000047e+02
6.400000000000000000e+01,1.101929200000000009e+02
6.500000000000000000e+01,1.107713200000000029e+02
6.600000000000000000e+01,1.113435400000000044e+02
6.700000000000000000e+01,1.119098099999999931e+02
6.800000000000000000e+01,1.124703599999999994e+02
6.900000000000000000e+01,1.130255700000000019e+02
7.000000000000000000e+01,1.135749899999999997e+02
7.100000000000000000e+01,1.141191900000000032e+02
7.200000000000000000e+01,1.146581599999999952e+02
7.300000000000000000e+01,1.151920599999999979e+02
7.400000000000000000e+01,1.157214400000000012e+02
7.500000000000000000e+01,1.162458000000000027e+02
