# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478312586963e-01
2.000000000000000000e+00,1.389829478252610218e-01
3.000000000000000000e+00,1.389829478188767120e-01
4.000000000000000000e+00,1.389829478120174489e-01
5.000000000000000000e+00,1.389829478046014088e-01
6.000000000000000000e+00,1.389829477965482118e-01
7.000000000000000000e+00,1.389829477877759234e-01
8.000000000000000000e+00,1.389829477782001943e-01
9.000000000000000000e+00,1.389829477677336778e-01
1.000000000000000000e+01,1.389829477562855853e-01
1.100000000000000000e+01,1.389829477437613814e-01
1.200000000000000000e+01,1.389829477300624505e-01
1.300000000000000000e+01,1.389829477150860693e-01
1.400000000000000000e+01,1.389829476987248791e-01
1.500000000000000000e+01,1.389829476808670805e-01
1.600000000000000000e+01,1.389829476613959058e-01
1.700000000000000000e+01,1.389829476401897579e-01
1.800000000000000000e+01,1.389829476171217659e-01
1.900000000000000000e+01,1.389829475920598134e-01
2.000000000000000000e+01,1.389829475648663715e-01
2.100000000000000000e+01,1.389829475353982768e-01
2.200000000000000000e+01,1.389829475035065931e-01
2.300000000000000000e+01,1.389829474690364441e-01
2.400000000000000000e+01,1.389829474318269309e-01
2.500000000000000000e+01,1.389829473917109370e-01
2.600000000000000000e+01,1.389829473485148792e-01
2.700000000000000000e+01,1.389829473020586792e-01
2.800000000000000000e+01,1.389829472521556530e-01
2.900000000000000000e+01,1.389829471986121223e-01
3.000000000000000000e+01,1.389829471412273310e-01
3.100000000000000000e+01,1.389829470797935007e-01
3.200000000000000000e+01,1.389829470140954149e-01
3.300000000000000000e+01,1.389829469439101683e-01
3.400000000000000000e+01,1.389829468690072234e-01
3.500000000000000000e+01,1.389829467891482706e-01
3.600000000000000000e+01,1.389829467040870070e-01
3.700000000000000000e+01,1.389829466135690250e-01
3.800000000000000000e+01,1.389829465173311462e-01
3.900000000000000000e+01,1.389829464151014771e-01
4.000000000000000000e+01,1.389829463065994086e-01
4.100000000000000000e+01,1.389829461915353670e-01
4.200000000000000000e+01,1.389829460696107855e-01
4.300000000000000000e+01,1.389829459405177159e-01
4.400000000000000000e+01,1.389829458039383014e-01
4.500000000000000000e+01,1.389829456595448320e-01
4.600000000000000000e+01,1.389829455069999387e-01
4.700000000000000000e+01,1.389829453459557607e-01
4.800000000000000000e+01,1.389829451760537238e-01
4.900000000000000000e+01,1.389829449969246511e-01
5.000000000000000000e+01,1.389829448081883467e-01
5.100000000000000000e+01,1.389829446094533738e-01
5.200000000000000000e+01,1.389829444003169434e-01
5.300000000000000000e+01,1.389829441803640819e-01
5.400000000000000000e+01,1.389829439491680751e-01
5.500000000000000000e+01,1.389829437062902462e-01
5.600000000000000000e+01,1.389829434512789008e-01
5.700000000000000000e+01,1.389829431836694662e-01
5.800000000000000000e+01,1.389829429029836583e-01
5.900000000000000000e+01,1.389829426087298703e-01
6.000000000000000000e+01,1.389829423004034226e-01
6.100000000000000000e+01,1.389829419774854524e-01
6.200000000000000000e+01,1.389829416394420258e-01
6.300000000000000000e+01,1.389829412857243873e-01
6.400000000000000000e+01,1.389829409157682660e-01
6.500000000000000000e+01,1.389829405289937647e-01
6.600000000000000000e+01,1.389829401248053320e-01
6.700000000000000000e+01,1.389829397025912627e-01
6.800000000000000000e+01,1.389829392617237813e-01
6.900000000000000000e+01,1.389829388015570988e-01
7.000000000000000000e+01,1.389829383214274683e-01
7.100000000000000000e+01,1.389829378206528798e-01
7.200000000000000000e+01,1.389829372985330325e-01
7.300000000000000000e+01,1.389829367543499172e-01
7.400000000000000000e+01,1.389829361873654856e-01
7.500000000000000000e+01,1.389829355968211499e-01
7.600000000000000000e+01,1.389829349819385329e-01
7.700000000000000000e+01,1.389829343419178576e-01
7.800000000000000000e+01,1.389829336759391687e-01
7.900000000000000000e+01,1.389829329831599458e-01
8.000000000000000000e+01,1.389829322627137154e-01
8.100000000000000000e+01,1.389829315137130483e-01
8.200000000000000000e+01,1.389829307352464793e-01
8.300000000000000000e+01,1.389829299263765083e-01
8.400000000000000000e+01,1.389829290861414601e-01
8.500000000000000000e+01,1.389829282135566224e-01
8.600000000000000000e+01,1.389829273076101102e-01
8.700000000000000000e+01,1.389829263672613668e-01
8.800000000000000000e+01,1.389829253914433571e-01
8.900000000000000000e+01,1.389829243790614011e-01
9.000000000000000000e+01,1.389829233289938126e-01
9.100000000000000000e+01,1.389829222400880693e-01
9.200000000000000000e+01,1.389829211111595075e-01
9.300000000000000000e+01,1.389829199409938210e-01
9.400000000000000000e+01,1.389829187283445622e-01
9.500000000000000000e+01,1.389829174719325600e-01
9.600000000000000000e+01,1.389829161704466132e-01
9.700000000000000000e+01,1.389829148225434630e-01
9.800000000000000000e+01,1.389829134268422972e-01
9.900000000000000000e+01,1.389829119819248060e-01
1.000000000000000000e+02,1.389829104863375131e-01
1.010000000000000000e+02,1.389829089385877514e-01
1.020000000000000000e+02,1.389829073371450507e-01
1.030000000000000000e+02,1.389829056804406660e-01
1.040000000000000000e+02,1.389829039668633581e-01
1.050000000000000000e+02,1.389829021947610044e-01
1.060000000000000000e+02,1.389829003624404591e-01
1.070000000000000000e+02,1.389828984681631130e-01
1.080000000000000000e+02,1.389828965101461145e-01
1.090000000000000000e+02,1.389828944865624527e-01
1.100000000000000000e+02,1.389828923955362672e-01
1.110000000000000000e+02,1.389828902351440965e-01
1.120000000000000000e+02,1.389828880034152669e-01
1.130000000000000000e+02,1.389828856983263139e-01
1.140000000000000000e+02,1.389828833178027023e-01
1.150000000000000000e+02,1.389828808597188547e-01
1.160000000000000000e+02,1.389828783218929609e-01
1.170000000000000000e+02,1.389828757020885597e-01
1.180000000000000000e+02,1.389828729980141508e-01
1.190000000000000000e+02,1.389828702073179489e-01
1.200000000000000000e+02,1.389828673275894655e-01
1.210000000000000000e+02,1.389828643563583155e-01
1.220000000000000000e+02,1.389828612910865013e-01
1.230000000000000000e+02,1.389828581291794596e-01
1.240000000000000000e+02,1.389828548679793718e-01
1.250000000000000000e+02,1.389828515047498714e-01
1.260000000000000000e+02,1.389828480366895047e-01
1.270000000000000000e+02,1.389828444609376712e-01
1.280000000000000000e+02,1.389828407745546113e-01
1.290000000000000000e+02,1.389828369745218228e-01
1.300000000000000000e+02,1.389828330577512483e-01
1.310000000000000000e+02,1.389828290210788075e-01
1.320000000000000000e+02,1.389828248612623718e-01
1.330000000000000000e+02,1.389828205749736589e-01
1.340000000000000000e+02,1.389828161588046174e-01
1.350000000000000000e+02,1.389828116092734211e-01
1.360000000000000000e+02,1.389828069228030705e-01
1.370000000000000000e+02,1.389828020957218635e-01
1.380000000000000000e+02,1.389827971242734994e-01
1.390000000000000000e+02,1.389827920046131093e-01
1.400000000000000000e+02,1.389827867328022604e-01
1.410000000000000000e+02,1.389827813047964655e-01
1.420000000000000000e+02,1.389827757164570077e-01
1.430000000000000000e+02,1.389827699635564073e-01
1.440000000000000000e+02,1.389827640417514998e-01
1.450000000000000000e+02,1.389827579465883201e-01
1.460000000000000000e+02,1.389827516735042678e-01
1.470000000000000000e+02,1.389827452178313549e-01
1.480000000000000000e+02,1.389827385748053090e-01
1.490000000000000000e+02,1.389827317395302964e-01
1.500000000000000000e+02,1.389827247069860550e-01
1.510000000000000000e+02,1.389827174720342506e-01
1.520000000000000000e+02,1.389827100294154516e-01
1.530000000000000000e+02,1.389827023737629508e-01
1.540000000000000000e+02,1.389826944995651015e-01
1.550000000000000000e+02,1.389826864011705077e-01
1.560000000000000000e+02,1.389826780727927702e-01
1.570000000000000000e+02,1.389826695085100150e-01
1.580000000000000000e+02,1.389826607022819072e-01
1.590000000000000000e+02,1.389826516479047980e-01
1.600000000000000000e+02,1.389826423390236598e-01
1.610000000000000000e+02,1.389826327691370544e-01
1.620000000000000000e+02,1.389826229315845041e-01
1.630000000000000000e+02,1.389826128195712496e-01
1.640000000000000000e+02,1.389826024261232584e-01
1.650000000000000000e+02,1.389825917440972725e-01
1.660000000000000000e+02,1.389825807661917711e-01
1.670000000000000000e+02,1.389825694849252669e-01
1.680000000000000000e+02,1.389825578926647542e-01
1.690000000000000000e+02,1.389825459815832720e-01
1.700000000000000000e+02,1.389825337436612629e-01
1.710000000000000000e+02,1.389825211707002572e-01
1.720000000000000000e+02,1.389825082543072465e-01
1.730000000000000000e+02,1.389824949859077563e-01
1.740000000000000000e+02,1.389824813567287487e-01
1.750000000000000000e+02,1.389824673577907677e-01
1.760000000000000000e+02,1.389824529798832642e-01
1.770000000000000000e+02,1.389824382135932679e-01
1.780000000000000000e+02,1.389824230493102719e-01
1.790000000000000000e+02,1.389824074771887630e-01
1.800000000000000000e+02,1.389823914871897714e-01
1.810000000000000000e+02,1.389823750690192539e-01
1.820000000000000000e+02,1.389823582121277601e-01
1.830000000000000000e+02,1.389823409057462655e-01
1.840000000000000000e+02,1.389823231388537528e-01
1.850000000000000000e+02,1.389823049001992494e-01
1.860000000000000000e+02,1.389822861782712693e-01
1.870000000000000000e+02,1.389822669612862660e-01
1.880000000000000000e+02,1.389822472371867734e-01
1.890000000000000000e+02,1.389822269936437649e-01
1.900000000000000000e+02,1.389822062180547657e-01
1.910000000000000000e+02,1.389821848975297536e-01
1.920000000000000000e+02,1.389821630189172486e-01
1.930000000000000000e+02,1.389821405687762523e-01
1.940000000000000000e+02,1.389821175333422476e-01
1.950000000000000000e+02,1.389820938985332488e-01
1.960000000000000000e+02,1.389820696499577679e-01
1.970000000000000000e+02,1.389820447729307462e-01
1.980000000000000000e+02,1.389820192524097719e-01
1.990000000000000000e+02,1.389819930730222530e-01
2.000000000000000000e+02,1.389819662191052463e-01
2.010000000000000000e+02,1.389819386746137531e-01
2.020000000000000000e+02,1.389819104231192481e-01
2.030000000000000000e+02,1.389818814478452624e-01
2.040000000000000000e+02,1.389818517316842583e-01
2.050000000000000000e+02,1.389818212571317657e-01
2.060000000000000000e+02,1.389817900062927658e-01
