# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478400000096e-01
2.000000000000000000e+00,1.389829478400000096e-01
3.000000000000000000e+00,1.389829478400000096e-01
4.000000000000000000e+00,1.389829478400000096e-01
5.000000000000000000e+00,1.389829478400000096e-01
6.000000000000000000e+00,1.389829478400000096e-01
7.000000000000000000e+00,1.389829478399999818e-01
8.000000000000000000e+00,1.389829478399999541e-01
9.000000000000000000e+00,1.389829478399998708e-01
1.000000000000000000e+01,1.389829478399997320e-01
1.100000000000000000e+01,1.389829478399994545e-01
1.200000000000000000e+01,1.389829478399989549e-01
1.300000000000000000e+01,1.389829478399980667e-01
1.400000000000000000e+01,1.389829478399966234e-01
1.500000000000000000e+01,1.389829478399942364e-01
1.600000000000000000e+01,1.389829478399904894e-01
1.700000000000000000e+01,1.389829478399846607e-01
1.800000000000000000e+01,1.389829478399758622e-01
1.900000000000000000e+01,1.389829478399627893e-01
2.000000000000000000e+01,1.389829478399436935e-01
2.100000000000000000e+01,1.389829478399162710e-01
2.200000000000000000e+01,1.389829478398774687e-01
2.300000000000000000e+01,1.389829478398232898e-01
2.400000000000000000e+01,1.389829478397485718e-01
2.500000000000000000e+01,1.389829478396467644e-01
2.600000000000000000e+01,1.389829478395095130e-01
2.700000000000000000e+01,1.389829478393263540e-01
2.800000000000000000e+01,1.389829478390842699e-01
2.900000000000000000e+01,1.389829478387670791e-01
3.000000000000000000e+01,1.389829478383549644e-01
3.100000000000000000e+01,1.389829478378236949e-01
3.200000000000000000e+01,1.389829478371439053e-01
3.300000000000000000e+01,1.389829478362801241e-01
3.400000000000000000e+01,1.389829478351898295e-01
3.500000000000000000e+01,1.389829478338221735e-01
3.600000000000000000e+01,1.389829478321168155e-01
3.700000000000000000e+01,1.389829478300023402e-01
3.800000000000000000e+01,1.389829478273946484e-01
3.900000000000000000e+01,1.389829478241950411e-01
4.000000000000000000e+01,1.389829478202883328e-01
4.100000000000000000e+01,1.389829478155402420e-01
4.200000000000000000e+01,1.389829478097951154e-01
4.300000000000000000e+01,1.389829478028729859e-01
4.400000000000000000e+01,1.389829477945663250e-01
4.500000000000000000e+01,1.389829477846367123e-01
4.600000000000000000e+01,1.389829477728109774e-01
4.700000000000000000e+01,1.389829477587768425e-01
4.800000000000000000e+01,1.389829477421783421e-01
4.900000000000000000e+01,1.389829477226108834e-01
5.000000000000000000e+01,1.389829476996152502e-01
5.100000000000000000e+01,1.389829476726717195e-01
5.200000000000000000e+01,1.389829476411933995e-01
5.300000000000000000e+01,1.389829476045184864e-01
5.400000000000000000e+01,1.389829475619023813e-01
5.500000000000000000e+01,1.389829475125091696e-01
5.600000000000000000e+01,1.389829474554013233e-01
5.700000000000000000e+01,1.389829473895295708e-01
5.800000000000000000e+01,1.389829473137216553e-01
5.900000000000000000e+01,1.389829472266690402e-01
6.000000000000000000e+01,1.389829471269136696e-01
6.100000000000000000e+01,1.389829470128334798e-01
6.200000000000000000e+01,1.389829468826251357e-01
6.300000000000000000e+01,1.389829467342867386e-01
6.400000000000000000e+01,1.389829465655991747e-01
6.500000000000000000e+01,1.389829463741031057e-01
6.600000000000000000e+01,1.389829461570772640e-01
6.700000000000000000e+01,1.389829459115141663e-01
6.800000000000000000e+01,1.389829456340899438e-01
6.900000000000000000e+01,1.389829453211361698e-01
7.000000000000000000e+01,1.389829449686081353e-01
7.100000000000000000e+01,1.389829445720456857e-01
7.200000000000000000e+01,1.389829441265360843e-01
7.300000000000000000e+01,1.389829436266727669e-01
7.400000000000000000e+01,1.389829430665037724e-01
7.500000000000000000e+01,1.389829424394833368e-01
7.600000000000000000e+01,1.389829417384174648e-01
7.700000000000000000e+01,1.389829409553966777e-01
7.800000000000000000e+01,1.389829400817316762e-01
7.900000000000000000e+01,1.389829391078818699e-01
8.000000000000000000e+01,1.389829380233653100e-01
8.100000000000000000e+01,1.389829368166760615e-01
8.200000000000000000e+01,1.389829354751914159e-01
8.300000000000000000e+01,1.389829339850521539e-01
8.400000000000000000e+01,1.389829323310549647e-01
8.500000000000000000e+01,1.389829304965317647e-01
8.600000000000000000e+01,1.389829284631944051e-01
8.700000000000000000e+01,1.389829262109963104e-01
8.800000000000000000e+01,1.389829237179786292e-01
8.900000000000000000e+01,1.389829209600720594e-01
9.000000000000000000e+01,1.389829179109248192e-01
9.100000000000000000e+01,1.389829145417128542e-01
9.200000000000000000e+01,1.389829108208958663e-01
9.300000000000000000e+01,1.389829067140105623e-01
9.400000000000000000e+01,1.389829021834465550e-01
9.500000000000000000e+01,1.389828971881503783e-01
9.600000000000000000e+01,1.389828916834018047e-01
9.700000000000000000e+01,1.389828856205723162e-01
9.800000000000000000e+01,1.389828789467776049e-01
9.900000000000000000e+01,1.389828716046505597e-01
1.000000000000000000e+02,1.389828635320951022e-01
1.010000000000000000e+02,1.389828546619001626e-01
1.020000000000000000e+02,1.389828449215282091e-01
1.030000000000000000e+02,1.389828342328822131e-01
1.040000000000000000e+02,1.389828225118742155e-01
1.050000000000000000e+02,1.389828096682492187e-01
1.060000000000000000e+02,1.389827956053727165e-01
1.070000000000000000e+02,1.389827802197317053e-01
1.080000000000000000e+02,1.389827634007897161e-01
1.090000000000000000e+02,1.389827450307782042e-01
1.100000000000000000e+02,1.389827249840432100e-01
1.110000000000000000e+02,1.389827031269677271e-01
1.120000000000000000e+02,1.389826793177792175e-01
1.130000000000000000e+02,1.389826534056287088e-01
1.140000000000000000e+02,1.389826252305657039e-01
1.150000000000000000e+02,1.389825946233332055e-01
1.160000000000000000e+02,1.389825614040987034e-01
1.170000000000000000e+02,1.389825253825077156e-01
1.180000000000000000e+02,1.389824863574737057e-01
1.190000000000000000e+02,1.389824441154237089e-01
1.200000000000000000e+02,1.389823984305167126e-01
1.210000000000000000e+02,1.389823490644792048e-01
1.220000000000000000e+02,1.389822957642082024e-01
1.230000000000000000e+02,1.389822382622542263e-01
1.240000000000000000e+02,1.389821762767562141e-01
1.250000000000000000e+02,1.389821095080642221e-01
1.260000000000000000e+02,1.389820376398342161e-01
1.270000000000000000e+02,1.389819603392757064e-01
1.280000000000000000e+02,1.389818772523617185e-01
1.290000000000000000e+02,1.389817880057377109e-01
1.300000000000000000e+02,1.389816922073777161e-01
1.310000000000000000e+02,1.389815894399887286e-01
1.320000000000000000e+02,1.389814792640987062e-01
1.330000000000000000e+02,1.389813612193187276e-01
1.340000000000000000e+02,1.389812348152187071e-01
1.350000000000000000e+02,1.389810995361687174e-01
1.360000000000000000e+02,1.389809548435387287e-01
1.370000000000000000e+02,1.389808001630787049e-01
1.380000000000000000e+02,1.389806348921787116e-01
1.390000000000000000e+02,1.389804584033987045e-01
1.400000000000000000e+02,1.389802700266787039e-01
1.410000000000000000e+02,1.389800690605287048e-01
1.420000000000000000e+02,1.389798547777387205e-01
1.430000000000000000e+02,1.389796264002137183e-01
1.440000000000000000e+02,1.389793831154087222e-01
1.450000000000000000e+02,1.389791240849037046e-01
1.460000000000000000e+02,1.389788484094637289e-01
1.470000000000000000e+02,1.389785551526837026e-01
1.480000000000000000e+02,1.389782433535587114e-01
1.490000000000000000e+02,1.389779119780237271e-01
1.500000000000000000e+02,1.389775599527037220e-01
1.510000000000000000e+02,1.389771861830987054e-01
1.520000000000000000e+02,1.389767894866687226e-01
1.530000000000000000e+02,1.389763686402637199e-01
1.540000000000000000e+02,1.389759224059137210e-01
1.550000000000000000e+02,1.389754494381987282e-01
1.560000000000000000e+02,1.389749483513137152e-01
1.570000000000000000e+02,1.389744177558437099e-01
1.580000000000000000e+02,1.389738561309787068e-01
1.590000000000000000e+02,1.389732619174387229e-01
1.600000000000000000e+02,1.389726335685487202e-01
1.610000000000000000e+02,1.389719693762637154e-01
1.620000000000000000e+02,1.389712675984737245e-01
1.630000000000000000e+02,1.389705265290937242e-01
1.640000000000000000e+02,1.389697442625837109e-01
1.650000000000000000e+02,1.389689188670387154e-01
1.660000000000000000e+02,1.389680484795287052e-01
1.670000000000000000e+02,1.389671309896487184e-01
1.680000000000000000e+02,1.389661642723637180e-01
1.690000000000000000e+02,1.389651463161537259e-01
1.700000000000000000e+02,1.389640747995037062e-01
1.710000000000000000e+02,1.389629474036037093e-01
1.720000000000000000e+02,1.389617619841037044e-01
1.730000000000000000e+02,1.389605160084537161e-01
1.740000000000000000e+02,1.389592069698537269e-01
1.750000000000000000e+02,1.389578326140537279e-01
1.760000000000000000e+02,1.389563902004037066e-01
1.770000000000000000e+02,1.389548770443537196e-01
1.780000000000000000e+02,1.389532908138037259e-01
1.790000000000000000e+02,1.389516285664037232e-01
1.800000000000000000e+02,1.389498874549037200e-01
1.810000000000000000e+02,1.389480651108037090e-01
1.820000000000000000e+02,1.389461584016537243e-01
1.830000000000000000e+02,1.389441643382537117e-01
1.840000000000000000e+02,1.389420805660037117e-01
1.850000000000000000e+02,1.389399037735037090e-01
1.860000000000000000e+02,1.389376308522037029e-01
1.870000000000000000e+02,1.389352595218037167e-01
1.880000000000000000e+02,1.389327863106037120e-01
1.890000000000000000e+02,1.389302080201037237e-01
1.900000000000000000e+02,1.389275225106537115e-01
1.910000000000000000e+02,1.389247261678037138e-01
1.920000000000000000e+02,1.389218157328037107e-01
1.930000000000000000e+02,1.389187892794037094e-01
1.940000000000000000e+02,1.389156430668537223e-01
1.950000000000000000e+02,1.389123738054537094e-01
1.960000000000000000e+02,1.389089798591537084e-01
1.970000000000000000e+02,1.389054573768037093e-01
1.980000000000000000e+02,1.389018030662537151e-01
1.990000000000000000e+02,1.388980156592037052e-01
2.000000000000000000e+02,1.388940912004037187e-01
2.010000000000000000e+02,1.388900264162037101e-01
2.020000000000000000e+02,1.388858204846037114e-01
2.030000000000000000e+02,1.388814693556537083e-01
2.040000000000000000e+02,1.388769697955037075e-01
2.050000000000000000e+02,1.388723215004537270e-01
2.060000000000000000e+02,1.388675203257037083e-01
2.070000000000000000e+02,1.388625630898037144e-01
2.080000000000000000e+02,1.388574500742537077e-01
2.090000000000000000e+02,1.388521770317537041e-01
2.100000000000000000e+02,1.388467408379037149e-01
2.110000000000000000e+02,1.388411424192037280e-01
2.120000000000000000e+02,1.388353774143037123e-01
2.130000000000000000e+02,1.388294427551037269e-01
2.140000000000000000e+02,1.388233400633037129e-01
2.150000000000000000e+02,1.388170648383537098e-01
2.160000000000000000e+02,1.388106140559537127e-01
2.170000000000000000e+02,1.388039900771537161e-01
2.180000000000000000e+02,1.387971882442537164e-01
2.190000000000000000e+02,1.387902055661037193e-01
2.200000000000000000e+02,1.387830451738537030e-01
2.210000000000000000e+02,1.387757022266037088e-01
2.220000000000000000e+02,1.387681737479037059e-01
2.230000000000000000e+02,1.387604636617037202e-01
2.240000000000000000e+02,1.387525669151037089e-01
2.250000000000000000e+02,1.387444805240537204e-01
2.260000000000000000e+02,1.387362092204037223e-01
2.270000000000000000e+02,1.387277477136037163e-01
2.280000000000000000e+02,1.387190929897037239e-01
2.290000000000000000e+02,1.387102505947537257e-01
2.300000000000000000e+02,1.387012149668037098e-01
2.310000000000000000e+02,1.386919830331537207e-01
2.320000000000000000e+02,1.386825611579537154e-01
2.330000000000000000e+02,1.386729434912037096e-01
2.340000000000000000e+02,1.386631268827037133e-01
2.350000000000000000e+02,1.386531185076037287e-01
2.360000000000000000e+02,1.386429122086037247e-01
2.370000000000000000e+02,1.386325047366037122e-01
2.380000000000000000e+02,1.386219040676037184e-01
2.390000000000000000e+02,1.386111037196037232e-01
2.400000000000000000e+02,1.386001003241037199e-01
2.410000000000000000e+02,1.385889026446037176e-01
2.420000000000000000e+02,1.385775038666037240e-01
2.430000000000000000e+02,1.385659004876037270e-01
2.440000000000000000e+02,1.385541020396037215e-01
2.450000000000000000e+02,1.385421013601037254e-01
2.460000000000000000e+02,1.385298947931037084e-01
2.470000000000000000e+02,1.385174926241037052e-01
2.480000000000000000e+02,1.385048873501037170e-01
2.490000000000000000e+02,1.384920751561037056e-01
2.500000000000000000e+02,1.384790670566037052e-01
2.510000000000000000e+02,1.384658552106037277e-01
2.520000000000000000e+02,1.384524356371037157e-01
2.530000000000000000e+02,1.384388200561037230e-01
2.540000000000000000e+02,1.384250002956037284e-01
2.550000000000000000e+02,1.384109722036037105e-01
2.560000000000000000e+02,1.383967481801037236e-01
2.570000000000000000e+02,1.383823197366037261e-01
2.580000000000000000e+02,1.383676825511037101e-01
2.590000000000000000e+02,1.383528496771037064e-01
2.600000000000000000e+02,1.383378123141037197e-01
2.610000000000000000e+02,1.383225659651037276e-01
2.620000000000000000e+02,1.383071243151037244e-01
2.630000000000000000e+02,1.382914782796037245e-01
2.640000000000000000e+02,1.382756231966037197e-01
2.650000000000000000e+02,1.382595733536037264e-01
2.660000000000000000e+02,1.382433194031037205e-01
2.670000000000000000e+02,1.382268565246037029e-01
2.680000000000000000e+02,1.382101995801037209e-01
2.690000000000000000e+02,1.381933389806037082e-01
2.700000000000000000e+02,1.381762697546037033e-01
2.710000000000000000e+02,1.381590073111037265e-01
2.720000000000000000e+02,1.381415418481037050e-01
2.730000000000000000e+02,1.381238682551037267e-01
2.740000000000000000e+02,1.381060024596037217e-01
2.750000000000000000e+02,1.380879344621037119e-01
