Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,3.81e+15,1.0,0.0,1141.8856886838564,2610.753852517561,2.04e+05,632287.3717131962,15487.7978967168,0.0,3.0251904763142355e-05,0.7338086749851456,0.8018887653505439,0.8414884326929934,0.6468225019492935,0.08449204163015851,1.2986836357959863,0.0,1683.0,1235.0,
0,51.2917,3.81e+15,1.0,0.0,1141.8856886838564,2610.753852517561,2.04e+05,632287.3717131962,15487.7978967168,0.0,3.0251904763142355e-05,0.7338086749851456,0.8018887653505439,0.8414884326929934,0.6468225019492935,0.08449204163015851,1.2986836357959863,0.0,1683.0,1235.0,
1,103.9547,3.81e+15,1.0,0.0,1141.8856886838564,2610.753852517561,2.04e+05,632287.3717131962,15487.7978967168,0.0,3.0251904763142355e-05,0.7338086749851456,0.8018887653505439,0.8414884326929934,0.6468225019492935,0.08449204163015851,1.2986836357959863,0.0,1683.0,1235.0,
2,163.7621,3.81e+15,1.0,0.0,1141.8856886838564,2610.753852517561,2.04e+05,632287.3717131962,15487.7978967168,0.0,3.0251904763142355e-05,0.7338086749851456,0.8018887653505439,0.8414884326929934,0.6468225019492935,0.08449204163015851,1.2986836357959863,0.0,1683.0,1235.0,
3,216.7184,3.81e+15,1.0,0.0,1141.8856886838564,2610.753852517561,2.04e+05,632287.3717131962,15487.7978967168,0.0,3.0251904763142355e-05,0.7338086749851456,0.8018887653505439,0.8414884326929934,0.6468225019492935,0.08449204163015851,1.2986836357959863,0.0,1683.0,1235.0,
4,274.3348,3.81e+15,1.0,0.0,1141.8856886838564,2610.753852517561,2.04e+05,632287.3717131962,15487.7978967168,0.0,3.0251904763142355e-05,0.7338086749851456,0.8018887653505439,0.8414884326929934,0.6468225019492935,0.08449204163015851,1.2986836357959863,0.0,1683.0,1235.0,
5,334.1143,3.81e+15,1.0,0.0,1141.8856886838564,2610.753852517561,2.04e+05,632287.3717131962,15487.7978967168,0.0,3.0251904763142355e-05,0.7338086749851456,0.8018887653505439,0.8414884326929934,0.6468225019492935,0.08449204163015851,1.2986836357959863,0.0,1683.0,1235.0,
6,390.6047,3.59e+15,1.0,0.0,1157.6457716922005,1989.7327273424153,1.91e+05,690462.4174684918,21701.320698290874,0.0,2.36351359777152e-05,0.7338086749851456,0.6805657747643696,0.8113196294900621,0.5163181465168278,0.23710934926502442,1.4491477671956798,0.0,1683.0,1235.0,
7,448.1651,3.58e+15,1.0,0.0,1167.1136122578114,1909.704004174314,1.88e+05,725678.6206435494,18570.063082006545,0.0,1.6881603858875246e-05,0.7338086749851456,0.688335865435188,0.799946282596831,0.4059851043781598,0.25638126688176294,1.38085974414152,0.0,1683.0,1235.0,
8,505.0219,3.58e+15,1.0,0.0,1167.1136122578114,1909.704004174314,1.88e+05,725678.6206435494,18570.063082006545,0.0,1.6881603858875246e-05,0.7338086749851456,0.688335865435188,0.799946282596831,0.4059851043781598,0.25638126688176294,1.38085974414152,0.0,1683.0,1235.0,
9,561.9968,3.72e+15,1.0,0.0,1168.4402924054566,2118.3775996739964,1.89e+05,788478.5200715458,18781.152563481442,0.0,1.5068986497696405e-05,0.7338086749851456,0.6995788639843262,0.8598599949501468,0.5225371070156546,0.22261563078466953,1.402148509720899,0.0,1683.0,1235.0,
10,625.0983,3.15e+15,1.0,0.0,1119.3974220941172,2227.148120726166,1.89e+05,678445.3525532848,18549.722803292396,0.0,1.1941702677898262e-05,0.7338086749851456,0.6852252350935093,0.7823613356279662,0.35802254812214507,0.2081925506492207,1.4356326077574018,0.0,1683.0,1235.0,
11,685.9697,3.15e+15,1.0,0.0,1119.3974220941172,2227.148120726166,1.89e+05,678445.3525532848,18549.722803292396,0.0,1.1941702677898262e-05,0.7338086749851456,0.6852252350935093,0.7823613356279662,0.35802254812214507,0.2081925506492207,1.4356326077574018,0.0,1683.0,1235.0,
12,742.5612,3.17e+15,1.0,0.0,1129.095954510603,1968.6759139733986,1.84e+05,694896.8160790924,21593.008647295148,0.0,8.89769848177752e-06,0.7338086749851456,0.6383199197033964,0.7733807915963153,0.33074195357907105,0.27951726903654184,1.4906138846998767,0.0,1683.0,1235.0,
13,799.9825,3.13e+15,1.0,0.0,1076.1076749224671,2565.6948529489073,1.86e+05,681448.0693554542,22131.05020970305,0.0,7.888677829589596e-06,0.7338086749851456,0.6290677219788849,0.7824355033682611,0.37409876522615204,0.251358770739309,1.4655318560746617,0.0,1683.0,1235.0,
14,860.9561,3.09e+15,1.0,0.0,1096.2789533784112,2279.3146465406535,1.86e+05,646718.6969916199,21987.665237749803,0.0,6.741430287116967e-06,0.7338086749851456,0.6343339685545831,0.7555689283368261,0.3145634567766323,0.26274165013421863,1.4853775012770354,0.0,1683.0,1235.0,
15,922.2359,3.09e+15,1.0,0.0,1096.2789533784112,2279.3146465406535,1.86e+05,646718.6969916199,21987.665237749803,0.0,6.741430287116967e-06,0.7338086749851456,0.6343339685545831,0.7555689283368261,0.3145634567766323,0.26274165013421863,1.4853775012770354,0.0,1683.0,1235.0,
