# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478400000096e-01
2.000000000000000000e+00,1.389829478400000096e-01
3.000000000000000000e+00,1.389829478400000096e-01
4.000000000000000000e+00,1.389829478400000096e-01
5.000000000000000000e+00,1.389829478400000096e-01
6.000000000000000000e+00,1.389829478400000096e-01
7.000000000000000000e+00,1.389829478399999818e-01
8.000000000000000000e+00,1.389829478399999541e-01
9.000000000000000000e+00,1.389829478399998708e-01
1.000000000000000000e+01,1.389829478399996765e-01
1.100000000000000000e+01,1.389829478399993157e-01
1.200000000000000000e+01,1.389829478399986218e-01
1.300000000000000000e+01,1.389829478399973728e-01
1.400000000000000000e+01,1.389829478399952079e-01
1.500000000000000000e+01,1.389829478399915164e-01
1.600000000000000000e+01,1.389829478399854934e-01
1.700000000000000000e+01,1.389829478399758900e-01
1.800000000000000000e+01,1.389829478399609297e-01
1.900000000000000000e+01,1.389829478399381701e-01
2.000000000000000000e+01,1.389829478399041696e-01
2.100000000000000000e+01,1.389829478398543205e-01
2.200000000000000000e+01,1.389829478397823781e-01
2.300000000000000000e+01,1.389829478396800988e-01
2.400000000000000000e+01,1.389829478395367413e-01
2.500000000000000000e+01,1.389829478393383722e-01
2.600000000000000000e+01,1.389829478390670892e-01
2.700000000000000000e+01,1.389829478387002715e-01
2.800000000000000000e+01,1.389829478382093864e-01
2.900000000000000000e+01,1.389829478375588234e-01
3.000000000000000000e+01,1.389829478367044513e-01
3.100000000000000000e+01,1.389829478355920911e-01
3.200000000000000000e+01,1.389829478341554625e-01
3.300000000000000000e+01,1.389829478323141576e-01
3.400000000000000000e+01,1.389829478299711152e-01
3.500000000000000000e+01,1.389829478270099283e-01
3.600000000000000000e+01,1.389829478232916526e-01
3.700000000000000000e+01,1.389829478186513367e-01
3.800000000000000000e+01,1.389829478128939977e-01
3.900000000000000000e+01,1.389829478057902912e-01
4.000000000000000000e+01,1.389829477970717098e-01
4.100000000000000000e+01,1.389829477864250318e-01
4.200000000000000000e+01,1.389829477734863261e-01
4.300000000000000000e+01,1.389829477578345407e-01
4.400000000000000000e+01,1.389829477389840917e-01
4.500000000000000000e+01,1.389829477163766203e-01
4.600000000000000000e+01,1.389829476893728599e-01
4.700000000000000000e+01,1.389829476572426725e-01
4.800000000000000000e+01,1.389829476191546953e-01
4.900000000000000000e+01,1.389829475741653497e-01
5.000000000000000000e+01,1.389829475212057686e-01
5.100000000000000000e+01,1.389829474590688341e-01
5.200000000000000000e+01,1.389829473863956888e-01
5.300000000000000000e+01,1.389829473016583328e-01
5.400000000000000000e+01,1.389829472031440250e-01
5.500000000000000000e+01,1.389829470889377971e-01
5.600000000000000000e+01,1.389829469569009712e-01
5.700000000000000000e+01,1.389829468046512861e-01
5.800000000000000000e+01,1.389829466295408045e-01
5.900000000000000000e+01,1.389829464286293503e-01
6.000000000000000000e+01,1.389829461986606673e-01
6.100000000000000000e+01,1.389829459360361341e-01
6.200000000000000000e+01,1.389829456367795979e-01
6.300000000000000000e+01,1.389829452965092027e-01
6.400000000000000000e+01,1.389829449104072190e-01
6.500000000000000000e+01,1.389829444731760233e-01
6.600000000000000000e+01,1.389829439790022103e-01
6.700000000000000000e+01,1.389829434215221204e-01
6.800000000000000000e+01,1.389829427937645523e-01
6.900000000000000000e+01,1.389829420881097122e-01
7.000000000000000000e+01,1.389829412962528543e-01
7.100000000000000000e+01,1.389829404091317555e-01
7.200000000000000000e+01,1.389829394168754784e-01
7.300000000000000000e+01,1.389829383087614334e-01
7.400000000000000000e+01,1.389829370731241742e-01
7.500000000000000000e+01,1.389829356973074359e-01
7.600000000000000000e+01,1.389829341675972441e-01
7.700000000000000000e+01,1.389829324691224943e-01
7.800000000000000000e+01,1.389829305858032715e-01
7.900000000000000000e+01,1.389829285002615877e-01
8.000000000000000000e+01,1.389829261937070293e-01
8.100000000000000000e+01,1.389829236458655914e-01
8.200000000000000000e+01,1.389829208348870304e-01
8.300000000000000000e+01,1.389829177371982860e-01
8.400000000000000000e+01,1.389829143274520229e-01
8.500000000000000000e+01,1.389829105783931817e-01
8.600000000000000000e+01,1.389829064606666886e-01
8.700000000000000000e+01,1.389829019427754331e-01
8.800000000000000000e+01,1.389828969909453760e-01
8.900000000000000000e+01,1.389828915688852418e-01
9.000000000000000000e+01,1.389828856377145483e-01
9.100000000000000000e+01,1.389828791558159471e-01
9.200000000000000000e+01,1.389828720785670768e-01
9.300000000000000000e+01,1.389828643582614320e-01
9.400000000000000000e+01,1.389828559439588440e-01
9.500000000000000000e+01,1.389828467811411450e-01
9.600000000000000000e+01,1.389828368115720303e-01
9.700000000000000000e+01,1.389828259731730464e-01
9.800000000000000000e+01,1.389828141996295452e-01
9.900000000000000000e+01,1.389828014202555417e-01
1.000000000000000000e+02,1.389827875598245444e-01
1.010000000000000000e+02,1.389827725380965440e-01
1.020000000000000000e+02,1.389827562697100449e-01
1.030000000000000000e+02,1.389827386639610474e-01
1.040000000000000000e+02,1.389827196242250373e-01
1.050000000000000000e+02,1.389826990478465474e-01
1.060000000000000000e+02,1.389826768259670442e-01
1.070000000000000000e+02,1.389826528427905439e-01
1.080000000000000000e+02,1.389826269753985377e-01
1.090000000000000000e+02,1.389825990935790456e-01
1.100000000000000000e+02,1.389825690590185403e-01
1.110000000000000000e+02,1.389825367251390220e-01
1.120000000000000000e+02,1.389825019369035353e-01
1.130000000000000000e+02,1.389824645298930461e-01
1.140000000000000000e+02,1.389824243301860385e-01
1.150000000000000000e+02,1.389823811540770448e-01
1.160000000000000000e+02,1.389823348068575382e-01
1.170000000000000000e+02,1.389822850828300316e-01
1.180000000000000000e+02,1.389822317649440364e-01
1.190000000000000000e+02,1.389821746235210265e-01
1.200000000000000000e+02,1.389821134163375382e-01
1.210000000000000000e+02,1.389820478881915455e-01
1.220000000000000000e+02,1.389819777692360425e-01
1.230000000000000000e+02,1.389819027747960234e-01
1.240000000000000000e+02,1.389818226057185357e-01
1.250000000000000000e+02,1.389817369462065244e-01
1.260000000000000000e+02,1.389816454637530230e-01
1.270000000000000000e+02,1.389815478093170409e-01
1.280000000000000000e+02,1.389814436140920373e-01
1.290000000000000000e+02,1.389813324905220249e-01
1.300000000000000000e+02,1.389812140326170398e-01
1.310000000000000000e+02,1.389810878118570292e-01
1.320000000000000000e+02,1.389809533788970430e-01
1.330000000000000000e+02,1.389808102637670462e-01
1.340000000000000000e+02,1.389806579704720435e-01
1.350000000000000000e+02,1.389804959790720273e-01
1.360000000000000000e+02,1.389803237470220443e-01
1.370000000000000000e+02,1.389801407028320446e-01
1.380000000000000000e+02,1.389799462474470282e-01
1.390000000000000000e+02,1.389797397570570470e-01
1.400000000000000000e+02,1.389795205755470220e-01
1.410000000000000000e+02,1.389792880160220234e-01
1.420000000000000000e+02,1.389790413643920419e-01
1.430000000000000000e+02,1.389787798691720366e-01
1.440000000000000000e+02,1.389785027466370337e-01
1.450000000000000000e+02,1.389782091834870226e-01
1.460000000000000000e+02,1.389778983227870357e-01
1.470000000000000000e+02,1.389775692734920298e-01
1.480000000000000000e+02,1.389772211124570278e-01
1.490000000000000000e+02,1.389768528686520233e-01
1.500000000000000000e+02,1.389764635336820375e-01
1.510000000000000000e+02,1.389760520640920261e-01
1.520000000000000000e+02,1.389756173638870274e-01
1.530000000000000000e+02,1.389751582954620313e-01
1.540000000000000000e+02,1.389746736874620248e-01
1.550000000000000000e+02,1.389741623080070210e-01
1.560000000000000000e+02,1.389736228812720464e-01
1.570000000000000000e+02,1.389730540986420237e-01
1.580000000000000000e+02,1.389724545824220225e-01
1.590000000000000000e+02,1.389718229090920465e-01
1.600000000000000000e+02,1.389711576248470470e-01
1.610000000000000000e+02,1.389704571969620217e-01
1.620000000000000000e+02,1.389697200465720428e-01
1.630000000000000000e+02,1.389689445675570401e-01
1.640000000000000000e+02,1.389681290657970303e-01
1.650000000000000000e+02,1.389672718000720397e-01
1.660000000000000000e+02,1.389663710086170290e-01
1.670000000000000000e+02,1.389654248285020210e-01
1.680000000000000000e+02,1.389644313518270391e-01
1.690000000000000000e+02,1.389633886594770218e-01
1.700000000000000000e+02,1.389622947133270225e-01
1.710000000000000000e+02,1.389611474370770483e-01
1.720000000000000000e+02,1.389599447548770239e-01
1.730000000000000000e+02,1.389586844578270253e-01
1.740000000000000000e+02,1.389573642996270453e-01
1.750000000000000000e+02,1.389559820515270383e-01
1.760000000000000000e+02,1.389545353359770419e-01
1.770000000000000000e+02,1.389530217426270253e-01
1.780000000000000000e+02,1.389514389002270423e-01
1.790000000000000000e+02,1.389497842681270412e-01
1.800000000000000000e+02,1.389480552808770308e-01
1.810000000000000000e+02,1.389462494429770378e-01
1.820000000000000000e+02,1.389443640584770434e-01
1.830000000000000000e+02,1.389423964171270232e-01
1.840000000000000000e+02,1.389403439187270328e-01
1.850000000000000000e+02,1.389382037203770459e-01
1.860000000000000000e+02,1.389359729886770478e-01
1.870000000000000000e+02,1.389336490485270359e-01
1.880000000000000000e+02,1.389312289302770398e-01
1.890000000000000000e+02,1.389287096906270391e-01
1.900000000000000000e+02,1.389260886115770421e-01
1.910000000000000000e+02,1.389233626271270394e-01
1.920000000000000000e+02,1.389205287103770226e-01
1.930000000000000000e+02,1.389175841221770291e-01
1.940000000000000000e+02,1.389145257226770402e-01
1.950000000000000000e+02,1.389113504466270299e-01
1.960000000000000000e+02,1.389080555855770338e-01
1.970000000000000000e+02,1.389046379438270418e-01
1.980000000000000000e+02,1.389010944315270391e-01
1.990000000000000000e+02,1.388974224115270273e-01
2.000000000000000000e+02,1.388936186655770344e-01
2.010000000000000000e+02,1.388896801138770343e-01
2.020000000000000000e+02,1.388856042299270455e-01
2.030000000000000000e+02,1.388813878088770437e-01
2.040000000000000000e+02,1.388770278268270375e-01
2.050000000000000000e+02,1.388725219218770457e-01
2.060000000000000000e+02,1.388678669180770375e-01
2.070000000000000000e+02,1.388630598603770305e-01
2.080000000000000000e+02,1.388580985940270351e-01
2.090000000000000000e+02,1.388529800074770337e-01
2.100000000000000000e+02,1.388477012453770421e-01
2.110000000000000000e+02,1.388422603963270219e-01
2.120000000000000000e+02,1.388366544347270359e-01
2.130000000000000000e+02,1.388308806373770299e-01
2.140000000000000000e+02,1.388249373852270263e-01
2.150000000000000000e+02,1.388188217492270227e-01
2.160000000000000000e+02,1.388125311439770415e-01
2.170000000000000000e+02,1.388060642682770462e-01
2.180000000000000000e+02,1.387994183040770213e-01
2.190000000000000000e+02,1.387925908288270282e-01
2.200000000000000000e+02,1.387855808673270352e-01
2.210000000000000000e+02,1.387783857186270231e-01
2.220000000000000000e+02,1.387710031478770478e-01
2.230000000000000000e+02,1.387634325667770341e-01
2.240000000000000000e+02,1.387556713799270314e-01
2.250000000000000000e+02,1.387477174740770480e-01
2.260000000000000000e+02,1.387395706611270485e-01
2.270000000000000000e+02,1.387312285039270232e-01
2.280000000000000000e+02,1.387226890851270267e-01
2.290000000000000000e+02,1.387139525915270233e-01
2.300000000000000000e+02,1.387050166236270254e-01
2.310000000000000000e+02,1.386958794016270313e-01
2.320000000000000000e+02,1.386865415270770452e-01
2.330000000000000000e+02,1.386770007022270212e-01
2.340000000000000000e+02,1.386672553220270332e-01
2.350000000000000000e+02,1.386573063847270360e-01
2.360000000000000000e+02,1.386471516877270382e-01
2.370000000000000000e+02,1.386367897237270330e-01
2.380000000000000000e+02,1.386262218502270216e-01
2.390000000000000000e+02,1.386154459447270226e-01
2.400000000000000000e+02,1.386044605987270251e-01
2.410000000000000000e+02,1.385932675707270412e-01
2.420000000000000000e+02,1.385818648132270403e-01
2.430000000000000000e+02,1.385702509902270452e-01
2.440000000000000000e+02,1.385584281932270290e-01
2.450000000000000000e+02,1.385463943627270322e-01
2.460000000000000000e+02,1.385341482937270385e-01
2.470000000000000000e+02,1.385216924577270248e-01
2.480000000000000000e+02,1.385090247382270434e-01
2.490000000000000000e+02,1.384961440057270454e-01
2.500000000000000000e+02,1.384830530327270381e-01
2.510000000000000000e+02,1.384697497342270434e-01
2.520000000000000000e+02,1.384562330137270314e-01
2.530000000000000000e+02,1.384425059802270319e-01
2.540000000000000000e+02,1.384285665682270239e-01
2.550000000000000000e+02,1.384144136472270359e-01
2.560000000000000000e+02,1.384000506017270260e-01
2.570000000000000000e+02,1.383854752792270382e-01
2.580000000000000000e+02,1.383706866627270327e-01
2.590000000000000000e+02,1.383556883947270333e-01
2.600000000000000000e+02,1.383404782717270465e-01
2.610000000000000000e+02,1.383250552357270236e-01
2.620000000000000000e+02,1.383094231917270378e-01
2.630000000000000000e+02,1.382935798837270358e-01
2.640000000000000000e+02,1.382775242707270369e-01
2.650000000000000000e+02,1.382612605222270363e-01
2.660000000000000000e+02,1.382447863082270356e-01
2.670000000000000000e+02,1.382281005457270395e-01
2.680000000000000000e+02,1.382112076012270430e-01
2.690000000000000000e+02,1.381941050977270324e-01
2.700000000000000000e+02,1.381767919362270336e-01
2.710000000000000000e+02,1.381592727012270483e-01
2.720000000000000000e+02,1.381415449522270245e-01
2.730000000000000000e+02,1.381236075572270239e-01
2.740000000000000000e+02,1.381054652647270287e-01
2.750000000000000000e+02,1.380871155562270469e-01
