Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,3.96e+15,1.0,0.0,1176.9614105031662,1449.3994699698596,0.05089919861854529,0.5718655874678381,1.73e+05,589192.0644665848,11851.325664111271,0.0,0.0001299474060150716,0.7338086749851456,0.5576304816474797,0.5436109309112345,0.44802255747855335,0.15023732112031754,9.398644006413456e-05,0.000614902211285587,1.331289456789051,0.0,1683.0,1235.0,
0,60.4020,3.33e+15,1.0,0.0,1140.1419584634236,1363.6878908501774,0.041420108184544224,0.5985485976992645,1.92e+05,551131.1148047195,16638.076493457105,0.0,9.941524028986428e-05,0.7338086749851456,0.6601422800891131,0.7328745507978125,0.2530249760723287,0.23936478646080556,4.414583702925459e-05,0.0007209479955105526,1.5803932164656525,0.0,1683.0,1235.0,
1,126.6563,3.27e+15,1.0,0.0,1146.977965086322,1401.813514900395,0.04732859717216012,0.4161809169986572,1.93e+05,676902.8270825143,24216.400794801317,0.0,5.1593459499662704e-05,0.7338086749851456,0.6954159491830474,0.846887808875146,0.517258033306975,0.18443385815525082,4.804867043708634e-05,0.0007965046338859633,1.5740516233991837,0.0,1683.0,1235.0,
2,191.7756,3.27e+15,1.0,0.0,1146.977965086322,1401.813514900395,0.04732859717216012,0.4161809169986572,1.93e+05,676902.8270825143,24216.400794801317,0.0,5.1593459499662704e-05,0.7338086749851456,0.6954159491830474,0.846887808875146,0.517258033306975,0.18443385815525082,4.804867043708634e-05,0.0007965046338859633,1.5740516233991837,0.0,1683.0,1235.0,
3,261.3640,3.25e+15,1.0,0.0,1198.0046195813134,1281.395062782854,0.04824497373421671,0.465045778868342,1.97e+05,525847.545576574,30267.7688453801,0.0,2.739868991793786e-05,0.7338086749851456,0.7928293195705778,0.7445841791509081,0.3479621809841239,0.14335911366797038,4.597834441885845e-05,0.00026751312273325345,1.5323295999396465,0.0,1683.0,1235.0,
4,333.9261,3.25e+15,1.0,0.0,1198.0046195813134,1281.395062782854,0.04824497373421671,0.465045778868342,1.97e+05,525847.545576574,30267.7688453801,0.0,2.739868991793786e-05,0.7338086749851456,0.7928293195705778,0.7445841791509081,0.3479621809841239,0.14335911366797038,4.597834441885845e-05,0.00026751312273325345,1.5323295999396465,0.0,1683.0,1235.0,
5,402.0942,3.25e+15,1.0,0.0,1198.0046195813134,1281.395062782854,0.04824497373421671,0.465045778868342,1.97e+05,525847.545576574,30267.7688453801,0.0,2.739868991793786e-05,0.7338086749851456,0.7928293195705778,0.7445841791509081,0.3479621809841239,0.14335911366797038,4.597834441885845e-05,0.00026751312273325345,1.5323295999396465,0.0,1683.0,1235.0,
6,478.3136,3.25e+15,1.0,0.0,1198.0046195813134,1281.395062782854,0.04824497373421671,0.465045778868342,1.97e+05,525847.545576574,30267.7688453801,0.0,2.739868991793786e-05,0.7338086749851456,0.7928293195705778,0.7445841791509081,0.3479621809841239,0.14335911366797038,4.597834441885845e-05,0.00026751312273325345,1.5323295999396465,0.0,1683.0,1235.0,
7,550.4203,3.25e+15,1.0,0.0,1198.0046195813134,1281.395062782854,0.04824497373421671,0.465045778868342,1.97e+05,525847.545576574,30267.7688453801,0.0,2.739868991793786e-05,0.7338086749851456,0.7928293195705778,0.7445841791509081,0.3479621809841239,0.14335911366797038,4.597834441885845e-05,0.00026751312273325345,1.5323295999396465,0.0,1683.0,1235.0,
8,622.4278,3.25e+15,1.0,0.0,1122.975440595239,1536.635924839097,0.047147856846058156,0.6475186260482344,1.88e+05,700793.1810154812,18580.491400345323,0.0,2.076484747802822e-05,0.7338086749851456,0.688607800987295,0.7820564414312611,0.41270638973238594,0.23090835216769226,5.398050103052784e-05,0.0006317018457998875,1.4845604540091264,0.0,1683.0,1235.0,
