# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478400000096e-01
2.000000000000000000e+00,1.389829478400000096e-01
3.000000000000000000e+00,1.389829478400000096e-01
4.000000000000000000e+00,1.389829478400000096e-01
5.000000000000000000e+00,1.389829478400000096e-01
6.000000000000000000e+00,1.389829478399999818e-01
7.000000000000000000e+00,1.389829478399999263e-01
8.000000000000000000e+00,1.389829478399997598e-01
9.000000000000000000e+00,1.389829478399993712e-01
1.000000000000000000e+01,1.389829478399985663e-01
1.100000000000000000e+01,1.389829478399969009e-01
1.200000000000000000e+01,1.389829478399937368e-01
1.300000000000000000e+01,1.389829478399879914e-01
1.400000000000000000e+01,1.389829478399779161e-01
1.500000000000000000e+01,1.389829478399609575e-01
1.600000000000000000e+01,1.389829478399332852e-01
1.700000000000000000e+01,1.389829478398894314e-01
1.800000000000000000e+01,1.389829478398216800e-01
1.900000000000000000e+01,1.389829478397194007e-01
2.000000000000000000e+01,1.389829478395681606e-01
2.100000000000000000e+01,1.389829478393486695e-01
2.200000000000000000e+01,1.389829478390355311e-01
2.300000000000000000e+01,1.389829478385958550e-01
2.400000000000000000e+01,1.389829478379874250e-01
2.500000000000000000e+01,1.389829478371566174e-01
2.600000000000000000e+01,1.389829478360360415e-01
2.700000000000000000e+01,1.389829478345420422e-01
2.800000000000000000e+01,1.389829478325715351e-01
2.900000000000000000e+01,1.389829478299983712e-01
3.000000000000000000e+01,1.389829478266694507e-01
3.100000000000000000e+01,1.389829478224004211e-01
3.200000000000000000e+01,1.389829478169704868e-01
3.300000000000000000e+01,1.389829478101173854e-01
3.400000000000000000e+01,1.389829478015313369e-01
3.500000000000000000e+01,1.389829477908491595e-01
3.600000000000000000e+01,1.389829477776456101e-01
3.700000000000000000e+01,1.389829477614255016e-01
3.800000000000000000e+01,1.389829477416153203e-01
3.900000000000000000e+01,1.389829477175558159e-01
4.000000000000000000e+01,1.389829476884910098e-01
4.100000000000000000e+01,1.389829476535547614e-01
4.200000000000000000e+01,1.389829476117662443e-01
4.300000000000000000e+01,1.389829475620093790e-01
4.400000000000000000e+01,1.389829475030215644e-01
4.500000000000000000e+01,1.389829474333870440e-01
4.600000000000000000e+01,1.389829473515116764e-01
4.700000000000000000e+01,1.389829472556138867e-01
4.800000000000000000e+01,1.389829471437053210e-01
4.900000000000000000e+01,1.389829470135701683e-01
5.000000000000000000e+01,1.389829468627499509e-01
5.100000000000000000e+01,1.389829466885166009e-01
5.200000000000000000e+01,1.389829464878707121e-01
5.300000000000000000e+01,1.389829462574998231e-01
5.400000000000000000e+01,1.389829459937543810e-01
5.500000000000000000e+01,1.389829456926649776e-01
5.600000000000000000e+01,1.389829453498544198e-01
5.700000000000000000e+01,1.389829449605462786e-01
5.800000000000000000e+01,1.389829445195512603e-01
5.900000000000000000e+01,1.389829440211990119e-01
6.000000000000000000e+01,1.389829434593330415e-01
6.100000000000000000e+01,1.389829428272561507e-01
6.200000000000000000e+01,1.389829421176968782e-01
6.300000000000000000e+01,1.389829413228486077e-01
6.400000000000000000e+01,1.389829404343121966e-01
6.500000000000000000e+01,1.389829394429215326e-01
6.600000000000000000e+01,1.389829383387984896e-01
6.700000000000000000e+01,1.389829371114004730e-01
6.800000000000000000e+01,1.389829357493845285e-01
6.900000000000000000e+01,1.389829342406291857e-01
7.000000000000000000e+01,1.389829325721146369e-01
7.100000000000000000e+01,1.389829307297295313e-01
7.200000000000000000e+01,1.389829286984200218e-01
7.300000000000000000e+01,1.389829264622753358e-01
7.400000000000000000e+01,1.389829240043214398e-01
7.500000000000000000e+01,1.389829213064193159e-01
7.600000000000000000e+01,1.389829183491568809e-01
7.700000000000000000e+01,1.389829151119296724e-01
7.800000000000000000e+01,1.389829115729363795e-01
7.900000000000000000e+01,1.389829077086830178e-01
8.000000000000000000e+01,1.389829034943598773e-01
8.100000000000000000e+01,1.389828989037832641e-01
8.200000000000000000e+01,1.389828939089769733e-01
8.300000000000000000e+01,1.389828884803197828e-01
8.400000000000000000e+01,1.389828825868415219e-01
8.500000000000000000e+01,1.389828761954076675e-01
8.600000000000000000e+01,1.389828692709684788e-01
8.700000000000000000e+01,1.389828617765847263e-01
8.800000000000000000e+01,1.389828536733097308e-01
8.900000000000000000e+01,1.389828449198186877e-01
9.000000000000000000e+01,1.389828354723395831e-01
9.100000000000000000e+01,1.389828252854280188e-01
9.200000000000000000e+01,1.389828143105770186e-01
9.300000000000000000e+01,1.389828024968320364e-01
9.400000000000000000e+01,1.389827897911010135e-01
9.500000000000000000e+01,1.389827761369845371e-01
9.600000000000000000e+01,1.389827614747610185e-01
9.700000000000000000e+01,1.389827457420070300e-01
9.800000000000000000e+01,1.389827288741380396e-01
9.900000000000000000e+01,1.389827108025935287e-01
1.000000000000000000e+02,1.389826914546190284e-01
1.010000000000000000e+02,1.389826707541090278e-01
1.020000000000000000e+02,1.389826486222710267e-01
1.030000000000000000e+02,1.389826249765705179e-01
1.040000000000000000e+02,1.389825997291705140e-01
1.050000000000000000e+02,1.389825727897230356e-01
1.060000000000000000e+02,1.389825440633525311e-01
1.070000000000000000e+02,1.389825134491785297e-01
1.080000000000000000e+02,1.389824808435515258e-01
1.090000000000000000e+02,1.389824461385695265e-01
1.100000000000000000e+02,1.389824092197850247e-01
1.110000000000000000e+02,1.389823699677460167e-01
1.120000000000000000e+02,1.389823282584490283e-01
1.130000000000000000e+02,1.389822839618725381e-01
1.140000000000000000e+02,1.389822369424430215e-01
1.150000000000000000e+02,1.389821870603710208e-01
1.160000000000000000e+02,1.389821341694430223e-01
1.170000000000000000e+02,1.389820781161665297e-01
1.180000000000000000e+02,1.389820187410270302e-01
1.190000000000000000e+02,1.389819558774425257e-01
1.200000000000000000e+02,1.389818893510390285e-01
1.210000000000000000e+02,1.389818189828435357e-01
1.220000000000000000e+02,1.389817445869530321e-01
1.230000000000000000e+02,1.389816659681070155e-01
1.240000000000000000e+02,1.389815829239740286e-01
1.250000000000000000e+02,1.389814952435015349e-01
1.260000000000000000e+02,1.389814027076095304e-01
1.270000000000000000e+02,1.389813050876715361e-01
1.280000000000000000e+02,1.389812021476015402e-01
1.290000000000000000e+02,1.389810936413115317e-01
1.300000000000000000e+02,1.389809793133765237e-01
1.310000000000000000e+02,1.389808589008215134e-01
1.320000000000000000e+02,1.389807321266365303e-01
1.330000000000000000e+02,1.389805987068315207e-01
1.340000000000000000e+02,1.389804583478865263e-01
1.350000000000000000e+02,1.389803107426415274e-01
1.360000000000000000e+02,1.389801555669715194e-01
1.370000000000000000e+02,1.389799924893665162e-01
1.380000000000000000e+02,1.389798211739115275e-01
1.390000000000000000e+02,1.389796412684515259e-01
1.400000000000000000e+02,1.389794524022315292e-01
1.410000000000000000e+02,1.389792541908165258e-01
1.420000000000000000e+02,1.389790462407265170e-01
1.430000000000000000e+02,1.389788281393015135e-01
1.440000000000000000e+02,1.389785994660615309e-01
1.450000000000000000e+02,1.389783597861465325e-01
1.460000000000000000e+02,1.389781086405415256e-01
1.470000000000000000e+02,1.389778455654365197e-01
1.480000000000000000e+02,1.389775700805215286e-01
1.490000000000000000e+02,1.389772816692465274e-01
1.500000000000000000e+02,1.389769798114215138e-01
1.510000000000000000e+02,1.389766639776965351e-01
1.520000000000000000e+02,1.389763336109215153e-01
1.530000000000000000e+02,1.389759881406865405e-01
1.540000000000000000e+02,1.389756269725315185e-01
1.550000000000000000e+02,1.389752494995215304e-01
1.560000000000000000e+02,1.389748550859365162e-01
1.570000000000000000e+02,1.389744430814115195e-01
1.580000000000000000e+02,1.389740128132615216e-01
1.590000000000000000e+02,1.389735635728465146e-01
1.600000000000000000e+02,1.389730946567215297e-01
1.610000000000000000e+02,1.389726053218765245e-01
1.620000000000000000e+02,1.389720947997115374e-01
1.630000000000000000e+02,1.389715623084765150e-01
1.640000000000000000e+02,1.389710070319165325e-01
1.650000000000000000e+02,1.389704281258115348e-01
1.660000000000000000e+02,1.389698247348065407e-01
1.670000000000000000e+02,1.389691959693465373e-01
1.680000000000000000e+02,1.389685409187165210e-01
1.690000000000000000e+02,1.389678586327415255e-01
1.700000000000000000e+02,1.389671481319415258e-01
1.710000000000000000e+02,1.389664084308315228e-01
1.720000000000000000e+02,1.389656384935265276e-01
1.730000000000000000e+02,1.389648372548965283e-01
1.740000000000000000e+02,1.389640036290365199e-01
1.750000000000000000e+02,1.389631364947615244e-01
1.760000000000000000e+02,1.389622347007465342e-01
1.770000000000000000e+02,1.389612970658615221e-01
1.780000000000000000e+02,1.389603223630265227e-01
1.790000000000000000e+02,1.389593093381265299e-01
1.800000000000000000e+02,1.389582566841265354e-01
1.810000000000000000e+02,1.389571630900265364e-01
1.820000000000000000e+02,1.389560272065265278e-01
1.830000000000000000e+02,1.389548476401265276e-01
1.840000000000000000e+02,1.389536229668265344e-01
1.850000000000000000e+02,1.389523517051265145e-01
1.860000000000000000e+02,1.389510323465765196e-01
1.870000000000000000e+02,1.389496633268765269e-01
1.880000000000000000e+02,1.389482430570765370e-01
1.890000000000000000e+02,1.389467699207265206e-01
1.900000000000000000e+02,1.389452422448265168e-01
1.910000000000000000e+02,1.389436583190265251e-01
1.920000000000000000e+02,1.389420163758765259e-01
1.930000000000000000e+02,1.389403146396765154e-01
1.940000000000000000e+02,1.389385512822265134e-01
1.950000000000000000e+02,1.389367243978265332e-01
1.960000000000000000e+02,1.389348320721265351e-01
1.970000000000000000e+02,1.389328723375765351e-01
1.980000000000000000e+02,1.389308431485765383e-01
1.990000000000000000e+02,1.389287424262265203e-01
2.000000000000000000e+02,1.389265680867265151e-01
2.010000000000000000e+02,1.389243179460765143e-01
2.020000000000000000e+02,1.389219898091265393e-01
2.030000000000000000e+02,1.389195814225265280e-01
2.040000000000000000e+02,1.389170904236265158e-01
2.050000000000000000e+02,1.389145144888765393e-01
2.060000000000000000e+02,1.389118512290765384e-01
2.070000000000000000e+02,1.389090981729765306e-01
2.080000000000000000e+02,1.389062527932765356e-01
2.090000000000000000e+02,1.389033125608265251e-01
2.100000000000000000e+02,1.389002748688765165e-01
2.110000000000000000e+02,1.388971369947765155e-01
2.120000000000000000e+02,1.388938962655265341e-01
2.130000000000000000e+02,1.388905499456765391e-01
2.140000000000000000e+02,1.388870951507265306e-01
2.150000000000000000e+02,1.388835290465765260e-01
2.160000000000000000e+02,1.388798487660765357e-01
2.170000000000000000e+02,1.388760512467265285e-01
2.180000000000000000e+02,1.388721334321265377e-01
2.190000000000000000e+02,1.388680922687265396e-01
2.200000000000000000e+02,1.388639245824765389e-01
2.210000000000000000e+02,1.388596272505265294e-01
2.220000000000000000e+02,1.388551970781265188e-01
2.230000000000000000e+02,1.388506306647265265e-01
2.240000000000000000e+02,1.388459246498765232e-01
2.250000000000000000e+02,1.388410756973265381e-01
2.260000000000000000e+02,1.388360803664765164e-01
2.270000000000000000e+02,1.388309351496765376e-01
2.280000000000000000e+02,1.388256364662265319e-01
2.290000000000000000e+02,1.388201806759265244e-01
2.300000000000000000e+02,1.388145641662265339e-01
2.310000000000000000e+02,1.388087832742765371e-01
2.320000000000000000e+02,1.388028341370265151e-01
2.330000000000000000e+02,1.387967129820265322e-01
2.340000000000000000e+02,1.387904160359265393e-01
2.350000000000000000e+02,1.387839392507765335e-01
2.360000000000000000e+02,1.387772787289265342e-01
2.370000000000000000e+02,1.387704305902265345e-01
2.380000000000000000e+02,1.387633907382265219e-01
2.390000000000000000e+02,1.387561551212765365e-01
2.400000000000000000e+02,1.387487196114765287e-01
2.410000000000000000e+02,1.387410798738265283e-01
2.420000000000000000e+02,1.387332318393265373e-01
2.430000000000000000e+02,1.387251713333265135e-01
2.440000000000000000e+02,1.387168938402265350e-01
2.450000000000000000e+02,1.387083951945765337e-01
2.460000000000000000e+02,1.386996710858265369e-01
2.470000000000000000e+02,1.386907168563765169e-01
2.480000000000000000e+02,1.386815284426265171e-01
2.490000000000000000e+02,1.386721015152265202e-01
2.500000000000000000e+02,1.386624311432265166e-01
2.510000000000000000e+02,1.386525129796765399e-01
2.520000000000000000e+02,1.386423426366765188e-01
2.530000000000000000e+02,1.386319152706765312e-01
2.540000000000000000e+02,1.386212264666765170e-01
2.550000000000000000e+02,1.386102717156765252e-01
2.560000000000000000e+02,1.385990461001765373e-01
2.570000000000000000e+02,1.385875452561765309e-01
2.580000000000000000e+02,1.385757646636765206e-01
2.590000000000000000e+02,1.385636992566765258e-01
2.600000000000000000e+02,1.385513445516765307e-01
2.610000000000000000e+02,1.385386959661765172e-01
2.620000000000000000e+02,1.385257483926765343e-01
2.630000000000000000e+02,1.385124974921765340e-01
2.640000000000000000e+02,1.384989387566765151e-01
2.650000000000000000e+02,1.384850669656765287e-01
2.660000000000000000e+02,1.384708777406765401e-01
2.670000000000000000e+02,1.384563665856765324e-01
2.680000000000000000e+02,1.384415282676765280e-01
2.690000000000000000e+02,1.384263584391765278e-01
2.700000000000000000e+02,1.384108525881765361e-01
2.710000000000000000e+02,1.383950056606765289e-01
2.720000000000000000e+02,1.383788135576765332e-01
2.730000000000000000e+02,1.383622717646765254e-01
2.740000000000000000e+02,1.383453749436765190e-01
2.750000000000000000e+02,1.383281187771765175e-01
