# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478400000096e-01
2.000000000000000000e+00,1.389829478400000096e-01
3.000000000000000000e+00,1.389829478400000096e-01
4.000000000000000000e+00,1.389829478400000096e-01
5.000000000000000000e+00,1.389829478400000096e-01
6.000000000000000000e+00,1.389829478400000096e-01
7.000000000000000000e+00,1.389829478399999818e-01
8.000000000000000000e+00,1.389829478399998985e-01
9.000000000000000000e+00,1.389829478399997043e-01
1.000000000000000000e+01,1.389829478399993157e-01
1.100000000000000000e+01,1.389829478399984553e-01
1.200000000000000000e+01,1.389829478399967899e-01
1.300000000000000000e+01,1.389829478399936813e-01
1.400000000000000000e+01,1.389829478399881302e-01
1.500000000000000000e+01,1.389829478399785545e-01
1.600000000000000000e+01,1.389829478399625950e-01
1.700000000000000000e+01,1.389829478399368379e-01
1.800000000000000000e+01,1.389829478398963147e-01
1.900000000000000000e+01,1.389829478398341422e-01
2.000000000000000000e+01,1.389829478397407447e-01
2.100000000000000000e+01,1.389829478396031881e-01
2.200000000000000000e+01,1.389829478394042639e-01
2.300000000000000000e+01,1.389829478391212403e-01
2.400000000000000000e+01,1.389829478387246964e-01
2.500000000000000000e+01,1.389829478381768013e-01
2.600000000000000000e+01,1.389829478374295657e-01
2.700000000000000000e+01,1.389829478364227600e-01
2.800000000000000000e+01,1.389829478350813607e-01
2.900000000000000000e+01,1.389829478333126644e-01
3.000000000000000000e+01,1.389829478310032895e-01
3.100000000000000000e+01,1.389829478280157626e-01
3.200000000000000000e+01,1.389829478241839944e-01
3.300000000000000000e+01,1.389829478193094492e-01
3.400000000000000000e+01,1.389829478131556773e-01
3.500000000000000000e+01,1.389829478054429024e-01
3.600000000000000000e+01,1.389829477958419712e-01
3.700000000000000000e+01,1.389829477839675809e-01
3.800000000000000000e+01,1.389829477693713122e-01
3.900000000000000000e+01,1.389829477515335809e-01
4.000000000000000000e+01,1.389829477298549776e-01
4.100000000000000000e+01,1.389829477036473582e-01
4.200000000000000000e+01,1.389829476721242962e-01
4.300000000000000000e+01,1.389829476343876213e-01
4.400000000000000000e+01,1.389829475894191479e-01
4.500000000000000000e+01,1.389829475360663813e-01
4.600000000000000000e+01,1.389829474730303605e-01
4.700000000000000000e+01,1.389829473988509478e-01
4.800000000000000000e+01,1.389829473118907310e-01
4.900000000000000000e+01,1.389829472103233654e-01
5.000000000000000000e+01,1.389829470921099541e-01
5.100000000000000000e+01,1.389829469549855312e-01
5.200000000000000000e+01,1.389829467964431853e-01
5.300000000000000000e+01,1.389829466137075809e-01
5.400000000000000000e+01,1.389829464037143636e-01
5.500000000000000000e+01,1.389829461630992524e-01
5.600000000000000000e+01,1.389829458881646496e-01
5.700000000000000000e+01,1.389829455748349818e-01
5.800000000000000000e+01,1.389829452186712444e-01
5.900000000000000000e+01,1.389829448148192925e-01
6.000000000000000000e+01,1.389829443579763124e-01
6.100000000000000000e+01,1.389829438423950680e-01
6.200000000000000000e+01,1.389829432618203686e-01
6.300000000000000000e+01,1.389829426094478793e-01
6.400000000000000000e+01,1.389829418779154890e-01
6.500000000000000000e+01,1.389829410592662851e-01
6.600000000000000000e+01,1.389829401448720581e-01
6.700000000000000000e+01,1.389829391254320257e-01
6.800000000000000000e+01,1.389829379909206242e-01
6.900000000000000000e+01,1.389829367305687180e-01
7.000000000000000000e+01,1.389829353328011219e-01
7.100000000000000000e+01,1.389829337851195279e-01
7.200000000000000000e+01,1.389829320741281238e-01
7.300000000000000000e+01,1.389829301855166344e-01
7.400000000000000000e+01,1.389829281038950370e-01
7.500000000000000000e+01,1.389829258128291167e-01
7.600000000000000000e+01,1.389829232947551729e-01
7.700000000000000000e+01,1.389829205308591720e-01
7.800000000000000000e+01,1.389829175010768858e-01
7.900000000000000000e+01,1.389829141840439874e-01
8.000000000000000000e+01,1.389829105569851675e-01
8.100000000000000000e+01,1.389829065955025811e-01
8.200000000000000000e+01,1.389829022738332254e-01
8.300000000000000000e+01,1.389828975646421882e-01
8.400000000000000000e+01,1.389828924385290432e-01
8.500000000000000000e+01,1.389828868645273940e-01
8.600000000000000000e+01,1.389828808098705903e-01
8.700000000000000000e+01,1.389828742396941319e-01
8.800000000000000000e+01,1.389828671170793839e-01
8.900000000000000000e+01,1.389828594028150177e-01
9.000000000000000000e+01,1.389828510554739771e-01
9.100000000000000000e+01,1.389828420314051238e-01
9.200000000000000000e+01,1.389828322844315900e-01
9.300000000000000000e+01,1.389828217655160736e-01
9.400000000000000000e+01,1.389828104233625794e-01
9.500000000000000000e+01,1.389827982035050924e-01
9.600000000000000000e+01,1.389827850485130800e-01
9.700000000000000000e+01,1.389827708983860932e-01
9.800000000000000000e+01,1.389827556893905858e-01
9.900000000000000000e+01,1.389827393544970924e-01
1.000000000000000000e+02,1.389827218240305695e-01
1.010000000000000000e+02,1.389827030243045713e-01
1.020000000000000000e+02,1.389826828774880785e-01
1.030000000000000000e+02,1.389826613025790802e-01
1.040000000000000000e+02,1.389826382150990691e-01
1.050000000000000000e+02,1.389826135258100670e-01
1.060000000000000000e+02,1.389825871406590863e-01
1.070000000000000000e+02,1.389825589618015889e-01
1.080000000000000000e+02,1.389825288870195907e-01
1.090000000000000000e+02,1.389824968099415692e-01
1.100000000000000000e+02,1.389824626194255675e-01
1.110000000000000000e+02,1.389824261982365861e-01
1.120000000000000000e+02,1.389823874238515777e-01
1.130000000000000000e+02,1.389823461684605854e-01
1.140000000000000000e+02,1.389823022987885792e-01
1.150000000000000000e+02,1.389822556766685813e-01
1.160000000000000000e+02,1.389822061574800816e-01
1.170000000000000000e+02,1.389821535901925864e-01
1.180000000000000000e+02,1.389820978177770672e-01
1.190000000000000000e+02,1.389820386758385817e-01
1.200000000000000000e+02,1.389819759935445875e-01
1.210000000000000000e+02,1.389819095937840920e-01
1.220000000000000000e+02,1.389818392911455758e-01
1.230000000000000000e+02,1.389817648932975824e-01
1.240000000000000000e+02,1.389816862007400844e-01
1.250000000000000000e+02,1.389816030031135741e-01
1.260000000000000000e+02,1.389815150831315849e-01
1.270000000000000000e+02,1.389814222168005708e-01
1.280000000000000000e+02,1.389813241687680723e-01
1.290000000000000000e+02,1.389812206947480810e-01
1.300000000000000000e+02,1.389811115418380927e-01
1.310000000000000000e+02,1.389809964459330915e-01
1.320000000000000000e+02,1.389808751315630697e-01
1.330000000000000000e+02,1.389807473161080720e-01
1.340000000000000000e+02,1.389806127062730712e-01
1.350000000000000000e+02,1.389804709938880778e-01
1.360000000000000000e+02,1.389803218612580826e-01
1.370000000000000000e+02,1.389801649772230696e-01
1.380000000000000000e+02,1.389799999998630742e-01
1.390000000000000000e+02,1.389798265777380804e-01
1.400000000000000000e+02,1.389796443424430872e-01
1.410000000000000000e+02,1.389794529064830864e-01
1.420000000000000000e+02,1.389792518740730898e-01
1.430000000000000000e+02,1.389790408394080690e-01
1.440000000000000000e+02,1.389788193761730684e-01
1.450000000000000000e+02,1.389785870473530804e-01
1.460000000000000000e+02,1.389783433972580917e-01
1.470000000000000000e+02,1.389780879535880698e-01
1.480000000000000000e+02,1.389778202298030674e-01
1.490000000000000000e+02,1.389775397216080899e-01
1.500000000000000000e+02,1.389772459055130804e-01
1.510000000000000000e+02,1.389769382376230822e-01
1.520000000000000000e+02,1.389766161633030905e-01
1.530000000000000000e+02,1.389762791059830915e-01
1.540000000000000000e+02,1.389759264672780770e-01
1.550000000000000000e+02,1.389755576300530926e-01
1.560000000000000000e+02,1.389751719542730857e-01
1.570000000000000000e+02,1.389747687839880674e-01
1.580000000000000000e+02,1.389743474387980793e-01
1.590000000000000000e+02,1.389739072217480720e-01
1.600000000000000000e+02,1.389734474164630862e-01
1.610000000000000000e+02,1.389729672642580904e-01
1.620000000000000000e+02,1.389724659945030805e-01
1.630000000000000000e+02,1.389719428196330708e-01
1.640000000000000000e+02,1.389713969131130822e-01
1.650000000000000000e+02,1.389708274270180788e-01
1.660000000000000000e+02,1.389702334958880792e-01
1.670000000000000000e+02,1.389696142298080805e-01
1.680000000000000000e+02,1.389689686988930806e-01
1.690000000000000000e+02,1.389682959467630763e-01
1.700000000000000000e+02,1.389675949912630715e-01
1.710000000000000000e+02,1.389668648299930698e-01
1.720000000000000000e+02,1.389661044195330819e-01
1.730000000000000000e+02,1.389653126819330731e-01
1.740000000000000000e+02,1.389644885144130926e-01
1.750000000000000000e+02,1.389636307874430876e-01
1.760000000000000000e+02,1.389627383327530774e-01
1.770000000000000000e+02,1.389618099458980738e-01
1.780000000000000000e+02,1.389608444135030929e-01
1.790000000000000000e+02,1.389598404591580738e-01
1.800000000000000000e+02,1.389587967877080887e-01
1.810000000000000000e+02,1.389577120651580844e-01
1.820000000000000000e+02,1.389565849157080868e-01
1.830000000000000000e+02,1.389554139376080744e-01
1.840000000000000000e+02,1.389541976911080889e-01
1.850000000000000000e+02,1.389529346830580825e-01
1.860000000000000000e+02,1.389516233734080786e-01
1.870000000000000000e+02,1.389502622209580762e-01
1.880000000000000000e+02,1.389488496264580930e-01
1.890000000000000000e+02,1.389473839436580760e-01
1.900000000000000000e+02,1.389458634951580840e-01
1.910000000000000000e+02,1.389442865384080683e-01
1.920000000000000000e+02,1.389426513195080870e-01
1.930000000000000000e+02,1.389409560339580907e-01
1.940000000000000000e+02,1.389391988241580889e-01
1.950000000000000000e+02,1.389373777981580682e-01
1.960000000000000000e+02,1.389354910082580830e-01
1.970000000000000000e+02,1.389335364803080675e-01
1.980000000000000000e+02,1.389315121742080716e-01
1.990000000000000000e+02,1.389294160016580904e-01
2.000000000000000000e+02,1.389272458335080729e-01
2.010000000000000000e+02,1.389249994975080837e-01
2.020000000000000000e+02,1.389226747637080928e-01
2.030000000000000000e+02,1.389202693824580781e-01
2.040000000000000000e+02,1.389177810354080833e-01
2.050000000000000000e+02,1.389152073426580813e-01
2.060000000000000000e+02,1.389125459077080738e-01
2.070000000000000000e+02,1.389097942408080710e-01
2.080000000000000000e+02,1.389069498199580754e-01
2.090000000000000000e+02,1.389040100868580707e-01
2.100000000000000000e+02,1.389009724294080761e-01
2.110000000000000000e+02,1.388978341941080885e-01
2.120000000000000000e+02,1.388945926338580883e-01
2.130000000000000000e+02,1.388912450072580795e-01
2.140000000000000000e+02,1.388877884969580701e-01
2.150000000000000000e+02,1.388842201587580927e-01
2.160000000000000000e+02,1.388805370808080808e-01
2.170000000000000000e+02,1.388767363324580895e-01
2.180000000000000000e+02,1.388728148565080700e-01
2.190000000000000000e+02,1.388687695544080780e-01
2.200000000000000000e+02,1.388645973066080785e-01
2.210000000000000000e+02,1.388602949006080833e-01
2.220000000000000000e+02,1.388558591035580769e-01
2.230000000000000000e+02,1.388512866503080756e-01
2.240000000000000000e+02,1.388465741770080752e-01
2.250000000000000000e+02,1.388417182760580681e-01
2.260000000000000000e+02,1.388367155292580812e-01
2.270000000000000000e+02,1.388315624686580763e-01
2.280000000000000000e+02,1.388262555299580869e-01
2.290000000000000000e+02,1.388207910797580880e-01
2.300000000000000000e+02,1.388151654764080700e-01
2.310000000000000000e+02,1.388093750246580937e-01
2.320000000000000000e+02,1.388034160147580687e-01
2.330000000000000000e+02,1.387972846278080763e-01
2.340000000000000000e+02,1.387909770196580905e-01
2.350000000000000000e+02,1.387844893338580909e-01
2.360000000000000000e+02,1.387778175963580718e-01
2.370000000000000000e+02,1.387709578358080897e-01
2.380000000000000000e+02,1.387639060664580815e-01
2.390000000000000000e+02,1.387566582234580903e-01
2.400000000000000000e+02,1.387492102246580816e-01
2.410000000000000000e+02,1.387415579185080905e-01
2.420000000000000000e+02,1.387336970874580855e-01
2.430000000000000000e+02,1.387256235450580744e-01
2.440000000000000000e+02,1.387173330600080801e-01
2.450000000000000000e+02,1.387088213242080870e-01
2.460000000000000000e+02,1.387000839544580699e-01
2.470000000000000000e+02,1.386911165653080813e-01
2.480000000000000000e+02,1.386819147896580784e-01
2.490000000000000000e+02,1.386724742495580864e-01
2.500000000000000000e+02,1.386627904901080732e-01
2.510000000000000000e+02,1.386528590641580849e-01
2.520000000000000000e+02,1.386426754331580857e-01
2.530000000000000000e+02,1.386322349926580877e-01
2.540000000000000000e+02,1.386215332401580791e-01
2.550000000000000000e+02,1.386105656036580869e-01
2.560000000000000000e+02,1.385993274336580761e-01
2.570000000000000000e+02,1.385878141431580723e-01
2.580000000000000000e+02,1.385760212126580793e-01
2.590000000000000000e+02,1.385639440036580683e-01
2.600000000000000000e+02,1.385515778136580944e-01
2.610000000000000000e+02,1.385389179826580774e-01
2.620000000000000000e+02,1.385259598171580675e-01
2.630000000000000000e+02,1.385126986451580833e-01
2.640000000000000000e+02,1.384991298296580908e-01
2.650000000000000000e+02,1.384852486756580903e-01
2.660000000000000000e+02,1.384710505386580748e-01
2.670000000000000000e+02,1.384565307766580933e-01
2.680000000000000000e+02,1.384416846601580764e-01
2.690000000000000000e+02,1.384265075381580778e-01
2.700000000000000000e+02,1.384109947726580858e-01
2.710000000000000000e+02,1.383951415951580888e-01
2.720000000000000000e+02,1.383789434606580715e-01
2.730000000000000000e+02,1.383623959321580721e-01
2.740000000000000000e+02,1.383454943811580906e-01
2.750000000000000000e+02,1.383282342526580833e-01
