Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,1.31e+12,1.0,0.0,1700.1454764110924,2231.0129682786637,0.11104772184166357,0.2552715022468678,1.28e+05,291402.0522751803,7631.369800954416,100000000.0,0.000307861690035566,0.7338086749851456,0.4705771171357418,0.94,0.39657721971483245,0.2578040822541906,5.775603150531881e-05,0.000301371158122087,1.4438252016228272,0.0,1683.0,1235.0,
0,326.5820,2.55e+12,1.0,0.0,1541.2864921171704,2073.2617994376487,0.1091860227525623,0.6263671308676397,1.46e+05,189967.9902788073,24067.88169353469,100000000.0,0.00022329835357463016,0.7338086749851456,0.6112798364186164,0.94,0.5153300932441455,0.13924898105357955,6.786880044214945e-05,0.0006883613896403796,1.7316264273876913,0.0,1683.0,1235.0,
1,681.4170,2.96e+12,1.0,0.0,1664.4621918714963,2026.558972879048,0.10005075674013024,0.5375040377413025,1.42e+05,191050.65368132995,16914.448769562972,100000000.0,0.00012537223112903928,0.7338086749851456,0.6002744324040463,0.94,0.3539620310213971,0.15476875410744986,5.2574174319088e-05,0.0008274651029411173,2.142207298351711,0.0,1683.0,1235.0,
2,1025.8900,2.37e+12,1.0,0.0,1561.9540868567858,1978.1376003642986,0.09646399334092601,0.6027630651522722,1.46e+05,189692.25780626613,16259.108152906927,100000000.0,9.406096962943678e-05,0.7338086749851456,0.6467454165856182,0.94,0.37396858055644544,0.15941281803668922,4.486368425386171e-05,0.0008584082270525451,2.1611670962622123,0.0,1683.0,1235.0,
3,1405.3590,2.61e+12,1.0,0.0,1621.312761328174,1904.210848917013,0.09823872466643363,0.5221300721805757,1.43e+05,214454.6130378095,16269.859150553631,100000000.0,8.048290021211306e-05,0.7338086749851456,0.6122063282926836,0.94,0.3762290756038842,0.17965409261436865,5.2329246616742876e-05,0.0008391881886473703,2.306720076771124,0.0,1683.0,1235.0,
4,1783.1180,1.86e+12,1.0,0.0,1589.8586816670886,1524.744876640558,0.08384364370403086,0.38224603269592305,1.44e+05,231434.37057554297,17369.33672093693,100000000.0,6.927284953916395e-05,0.7338086749851456,0.6468666734671016,0.94,0.38385500398419825,0.22895304167610878,4.580139179170881e-05,0.0007305181989224507,2.127057677115772,0.0,1683.0,1235.0,
5,2145.4690,1.68e+12,1.0,0.0,1556.1998711158922,1598.5137582596458,0.08784813047860557,0.3499040159983875,1.49e+05,229580.3690750418,20834.7359009313,100000000.0,6.264486784842221e-05,0.7338086749851456,0.7179865948535102,0.94,0.39566703457450736,0.23879037749241605,4.133397438182801e-05,0.0007326910425144678,1.7472843958170028,0.0,1683.0,1235.0,
6,2524.6100,1.80e+12,1.0,0.0,1527.0495387237697,1515.5728803254376,0.08863739065148961,0.39137042023419055,1.52e+05,225541.6451091485,21603.297662979458,100000000.0,5.587361532242317e-05,0.7338086749851456,0.7450183368379851,0.94,0.39255208277695897,0.2230014541909864,4.234067380472209e-05,0.000747046727417062,1.744153651451298,0.0,1683.0,1235.0,
7,2914.8980,2.05e+12,1.0,0.0,1439.600732976998,1387.480470489524,0.08556675948095908,0.5400984699842624,1.59e+05,199716.31571078795,25976.42748412191,100000000.0,4.674334132598731e-05,0.7338086749851456,0.8230642348837551,0.94,0.37881136441141045,0.17189758353062876,4.065902639612006e-05,0.000757484495120129,1.633026559802686,0.0,1683.0,1235.0,
8,3322.7780,1.82e+12,1.0,0.0,1337.6966502485297,858.9692068210427,0.0642177124163152,0.6571668807247538,1.67e+05,157729.68127502862,36217.34707984084,100000000.0,3.623565057261235e-05,0.7338086749851456,0.8959186136704689,0.94,0.36263795579933744,0.1274530156340524,5.0680694369324676e-05,0.0005422617342336576,1.5746492557420289,0.0,1683.0,1235.0,
