# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478400000096e-01
2.000000000000000000e+00,1.389829478400000096e-01
3.000000000000000000e+00,1.389829478400000096e-01
4.000000000000000000e+00,1.389829478400000096e-01
5.000000000000000000e+00,1.389829478400000096e-01
6.000000000000000000e+00,1.389829478400000096e-01
7.000000000000000000e+00,1.389829478399999818e-01
8.000000000000000000e+00,1.389829478399999541e-01
9.000000000000000000e+00,1.389829478399998430e-01
1.000000000000000000e+01,1.389829478399995932e-01
1.100000000000000000e+01,1.389829478399990659e-01
1.200000000000000000e+01,1.389829478399980389e-01
1.300000000000000000e+01,1.389829478399960960e-01
1.400000000000000000e+01,1.389829478399925988e-01
1.500000000000000000e+01,1.389829478399864648e-01
1.600000000000000000e+01,1.389829478399761953e-01
1.700000000000000000e+01,1.389829478399593754e-01
1.800000000000000000e+01,1.389829478399327023e-01
1.900000000000000000e+01,1.389829478398913742e-01
2.000000000000000000e+01,1.389829478398287299e-01
2.100000000000000000e+01,1.389829478397356100e-01
2.200000000000000000e+01,1.389829478395998297e-01
2.300000000000000000e+01,1.389829478394050410e-01
2.400000000000000000e+01,1.389829478391299278e-01
2.500000000000000000e+01,1.389829478387469286e-01
2.600000000000000000e+01,1.389829478382207106e-01
2.700000000000000000e+01,1.389829478375066152e-01
2.800000000000000000e+01,1.389829478365485760e-01
2.900000000000000000e+01,1.389829478352769265e-01
3.000000000000000000e+01,1.389829478336058466e-01
3.100000000000000000e+01,1.389829478314305311e-01
3.200000000000000000e+01,1.389829478286235265e-01
3.300000000000000000e+01,1.389829478250315109e-01
3.400000000000000000e+01,1.389829478204709368e-01
3.500000000000000000e+01,1.389829478147230624e-01
3.600000000000000000e+01,1.389829478075294833e-01
3.700000000000000000e+01,1.389829477985863038e-01
3.800000000000000000e+01,1.389829477875369201e-01
3.900000000000000000e+01,1.389829477739665531e-01
4.000000000000000000e+01,1.389829477573942818e-01
4.100000000000000000e+01,1.389829477372650501e-01
4.200000000000000000e+01,1.389829477129410629e-01
4.300000000000000000e+01,1.389829476836921263e-01
4.400000000000000000e+01,1.389829476486862114e-01
4.500000000000000000e+01,1.389829476069761593e-01
4.600000000000000000e+01,1.389829475574886619e-01
4.700000000000000000e+01,1.389829474990141867e-01
4.800000000000000000e+01,1.389829474301926826e-01
4.900000000000000000e+01,1.389829473494954837e-01
5.000000000000000000e+01,1.389829472552108480e-01
5.100000000000000000e+01,1.389829471454311904e-01
5.200000000000000000e+01,1.389829470180309889e-01
5.300000000000000000e+01,1.389829468706495763e-01
5.400000000000000000e+01,1.389829467006757635e-01
5.500000000000000000e+01,1.389829465052241364e-01
5.600000000000000000e+01,1.389829462811004723e-01
5.700000000000000000e+01,1.389829460247880011e-01
5.800000000000000000e+01,1.389829457324320283e-01
5.900000000000000000e+01,1.389829453998071007e-01
6.000000000000000000e+01,1.389829450222687113e-01
6.100000000000000000e+01,1.389829445947492748e-01
6.200000000000000000e+01,1.389829441117085007e-01
6.300000000000000000e+01,1.389829435670899282e-01
6.400000000000000000e+01,1.389829429543402717e-01
6.500000000000000000e+01,1.389829422663039216e-01
6.600000000000000000e+01,1.389829414951870290e-01
6.700000000000000000e+01,1.389829406325712446e-01
6.800000000000000000e+01,1.389829396693134100e-01
6.900000000000000000e+01,1.389829385955030083e-01
7.000000000000000000e+01,1.389829374004344642e-01
7.100000000000000000e+01,1.389829360725124141e-01
7.200000000000000000e+01,1.389829345992190934e-01
7.300000000000000000e+01,1.389829329670968505e-01
7.400000000000000000e+01,1.389829311616210539e-01
7.500000000000000000e+01,1.389829291671258460e-01
7.600000000000000000e+01,1.389829269667695044e-01
7.700000000000000000e+01,1.389829245424133997e-01
7.800000000000000000e+01,1.389829218745496087e-01
7.900000000000000000e+01,1.389829189422157052e-01
8.000000000000000000e+01,1.389829157228920087e-01
8.100000000000000000e+01,1.389829121925759692e-01
8.200000000000000000e+01,1.389829083256423070e-01
8.300000000000000000e+01,1.389829040944917105e-01
8.400000000000000000e+01,1.389828994695576636e-01
8.500000000000000000e+01,1.389828944194927141e-01
8.600000000000000000e+01,1.389828889108204457e-01
8.700000000000000000e+01,1.389828829078497141e-01
8.800000000000000000e+01,1.389828763725635130e-01
8.900000000000000000e+01,1.389828692646403463e-01
9.000000000000000000e+01,1.389828615412306567e-01
9.100000000000000000e+01,1.389828531570369563e-01
9.200000000000000000e+01,1.389828440641183160e-01
9.300000000000000000e+01,1.389828342116191939e-01
9.400000000000000000e+01,1.389828235460812134e-01
9.500000000000000000e+01,1.389828120109521947e-01
9.600000000000000000e+01,1.389827995467357025e-01
9.700000000000000000e+01,1.389827860908026957e-01
9.800000000000000000e+01,1.389827715774956951e-01
9.900000000000000000e+01,1.389827559377032062e-01
1.000000000000000000e+02,1.389827390990922007e-01
1.010000000000000000e+02,1.389827209860152180e-01
1.020000000000000000e+02,1.389827015187831971e-01
1.030000000000000000e+02,1.389826806147182181e-01
1.040000000000000000e+02,1.389826581869237077e-01
1.050000000000000000e+02,1.389826341444992119e-01
1.060000000000000000e+02,1.389826083935452039e-01
1.070000000000000000e+02,1.389825808349872127e-01
1.080000000000000000e+02,1.389825513650287114e-01
1.090000000000000000e+02,1.389825198761522052e-01
1.100000000000000000e+02,1.389824862560667118e-01
1.110000000000000000e+02,1.389824503887931995e-01
1.120000000000000000e+02,1.389824121528017153e-01
1.130000000000000000e+02,1.389823714198236970e-01
1.140000000000000000e+02,1.389823280570817166e-01
1.150000000000000000e+02,1.389822819268267118e-01
1.160000000000000000e+02,1.389822328853851929e-01
1.170000000000000000e+02,1.389821807831247147e-01
1.180000000000000000e+02,1.389821254641412096e-01
1.190000000000000000e+02,1.389820667651872066e-01
1.200000000000000000e+02,1.389820045168207174e-01
1.210000000000000000e+02,1.389819385435291932e-01
1.220000000000000000e+02,1.389818686615666987e-01
1.230000000000000000e+02,1.389817946797637094e-01
1.240000000000000000e+02,1.389817163999127192e-01
1.250000000000000000e+02,1.389816336146026954e-01
1.260000000000000000e+02,1.389815461085762149e-01
1.270000000000000000e+02,1.389814536597447081e-01
1.280000000000000000e+02,1.389813560355337152e-01
1.290000000000000000e+02,1.389812529934986995e-01
1.300000000000000000e+02,1.389811442812887154e-01
1.310000000000000000e+02,1.389810296367686993e-01
1.320000000000000000e+02,1.389809087891537009e-01
1.330000000000000000e+02,1.389807814555787113e-01
1.340000000000000000e+02,1.389806473420586996e-01
1.350000000000000000e+02,1.389805061444286949e-01
1.360000000000000000e+02,1.389803575454637008e-01
1.370000000000000000e+02,1.389802012174187196e-01
1.380000000000000000e+02,1.389800368222736948e-01
1.390000000000000000e+02,1.389798640085237180e-01
1.400000000000000000e+02,1.389796824057236979e-01
1.410000000000000000e+02,1.389794916342337039e-01
1.420000000000000000e+02,1.389792913063886970e-01
1.430000000000000000e+02,1.389790810141336985e-01
1.440000000000000000e+02,1.389788603318637128e-01
1.450000000000000000e+02,1.389786288205137055e-01
1.460000000000000000e+02,1.389783860274386995e-01
1.470000000000000000e+02,1.389781314805887125e-01
1.480000000000000000e+02,1.389778646956137120e-01
1.490000000000000000e+02,1.389775851698337172e-01
1.500000000000000000e+02,1.389772923793337056e-01
1.510000000000000000e+02,1.389769857915287010e-01
1.520000000000000000e+02,1.389766648540637084e-01
1.530000000000000000e+02,1.389763289832137150e-01
1.540000000000000000e+02,1.389759775841287182e-01
1.550000000000000000e+02,1.389756100440187048e-01
1.560000000000000000e+02,1.389752257253286938e-01
1.570000000000000000e+02,1.389748239785087158e-01
1.580000000000000000e+02,1.389744041238787087e-01
1.590000000000000000e+02,1.389739654597337004e-01
1.600000000000000000e+02,1.389735072594137089e-01
1.610000000000000000e+02,1.389730287764737171e-01
1.620000000000000000e+02,1.389725292520587185e-01
1.630000000000000000e+02,1.389720078853487195e-01
1.640000000000000000e+02,1.389714638548037173e-01
1.650000000000000000e+02,1.389708963226136962e-01
1.660000000000000000e+02,1.389703044197337090e-01
1.670000000000000000e+02,1.389696872429136976e-01
1.680000000000000000e+02,1.389690438648137072e-01
1.690000000000000000e+02,1.389683733394886933e-01
1.700000000000000000e+02,1.389676746931637064e-01
1.710000000000000000e+02,1.389669469075986985e-01
1.720000000000000000e+02,1.389661889438287001e-01
1.730000000000000000e+02,1.389653997324936940e-01
1.740000000000000000e+02,1.389645781722136930e-01
1.750000000000000000e+02,1.389637231419336982e-01
1.760000000000000000e+02,1.389628334723436998e-01
1.770000000000000000e+02,1.389619079591886963e-01
1.780000000000000000e+02,1.389609453745186962e-01
1.790000000000000000e+02,1.389599444564437181e-01
1.800000000000000000e+02,1.389589039021437156e-01
1.810000000000000000e+02,1.389578223780937039e-01
1.820000000000000000e+02,1.389566985245437036e-01
1.830000000000000000e+02,1.389555309251936932e-01
1.840000000000000000e+02,1.389543181236937153e-01
1.850000000000000000e+02,1.389530586397937084e-01
1.860000000000000000e+02,1.389517509490937053e-01
1.870000000000000000e+02,1.389503935015437008e-01
1.880000000000000000e+02,1.389489846867937028e-01
1.890000000000000000e+02,1.389475228611437019e-01
1.900000000000000000e+02,1.389460063467937156e-01
1.910000000000000000e+02,1.389444333995437098e-01
1.920000000000000000e+02,1.389428022730937184e-01
1.930000000000000000e+02,1.389411111575437063e-01
1.940000000000000000e+02,1.389393581766437125e-01
1.950000000000000000e+02,1.389375414486437033e-01
1.960000000000000000e+02,1.389356590335937003e-01
1.970000000000000000e+02,1.389337089362936983e-01
1.980000000000000000e+02,1.389316891107937046e-01
1.990000000000000000e+02,1.389295974830437042e-01
2.000000000000000000e+02,1.389274319350436993e-01
2.010000000000000000e+02,1.389251902890437096e-01
2.020000000000000000e+02,1.389228703127937115e-01
2.030000000000000000e+02,1.389204697462937121e-01
2.040000000000000000e+02,1.389179862599436988e-01
2.050000000000000000e+02,1.389154174590936930e-01
2.060000000000000000e+02,1.389127609344937009e-01
2.070000000000000000e+02,1.389100142358437040e-01
2.080000000000000000e+02,1.389071748518437011e-01
2.090000000000000000e+02,1.389042401835937079e-01
2.100000000000000000e+02,1.389012076118437133e-01
2.110000000000000000e+02,1.388980744821937119e-01
2.120000000000000000e+02,1.388948380462436960e-01
2.130000000000000000e+02,1.388914955030436937e-01
2.140000000000000000e+02,1.388880440766936952e-01
2.150000000000000000e+02,1.388844808822937149e-01
2.160000000000000000e+02,1.388808029391437049e-01
2.170000000000000000e+02,1.388770072891936935e-01
2.180000000000000000e+02,1.388730909183437112e-01
2.190000000000000000e+02,1.388690507147437025e-01
2.200000000000000000e+02,1.388648835191436948e-01
2.210000000000000000e+02,1.388605861411437159e-01
2.220000000000000000e+02,1.388561553473937060e-01
2.230000000000000000e+02,1.388515878650937174e-01
2.240000000000000000e+02,1.388468803116437167e-01
2.250000000000000000e+02,1.388420292487436980e-01
2.260000000000000000e+02,1.388370312610937019e-01
2.270000000000000000e+02,1.388318828931437154e-01
2.280000000000000000e+02,1.388265805703937095e-01
2.290000000000000000e+02,1.388211206438436929e-01
2.300000000000000000e+02,1.388154994569437140e-01
2.310000000000000000e+02,1.388097133149437112e-01
2.320000000000000000e+02,1.388037585040937105e-01
2.330000000000000000e+02,1.387976311908936944e-01
2.340000000000000000e+02,1.387913275191436924e-01
2.350000000000000000e+02,1.387848436289937093e-01
2.360000000000000000e+02,1.387781755209936962e-01
2.370000000000000000e+02,1.387713192108437077e-01
2.380000000000000000e+02,1.387642707216936999e-01
2.390000000000000000e+02,1.387570259744937140e-01
2.400000000000000000e+02,1.387495808748936965e-01
2.410000000000000000e+02,1.387419312717436959e-01
2.420000000000000000e+02,1.387340729334436973e-01
2.430000000000000000e+02,1.387260016559437037e-01
2.440000000000000000e+02,1.387177131904936966e-01
2.450000000000000000e+02,1.387092032125936958e-01
2.460000000000000000e+02,1.387004673470436933e-01
2.470000000000000000e+02,1.386915012167437011e-01
2.480000000000000000e+02,1.386823004341937171e-01
2.490000000000000000e+02,1.386728606036436995e-01
2.500000000000000000e+02,1.386631772565437015e-01
2.510000000000000000e+02,1.386532459239437076e-01
2.520000000000000000e+02,1.386430620759437071e-01
2.530000000000000000e+02,1.386326211224437055e-01
2.540000000000000000e+02,1.386219185369436946e-01
2.550000000000000000e+02,1.386109497319437112e-01
2.560000000000000000e+02,1.385997100694437156e-01
2.570000000000000000e+02,1.385881949864437024e-01
2.580000000000000000e+02,1.385763999164437155e-01
2.590000000000000000e+02,1.385643201804437064e-01
2.600000000000000000e+02,1.385519510824436973e-01
2.610000000000000000e+02,1.385392879544437017e-01
2.620000000000000000e+02,1.385263261249436995e-01
2.630000000000000000e+02,1.385130609034437021e-01
2.640000000000000000e+02,1.384994876389437080e-01
2.650000000000000000e+02,1.384856016599436968e-01
2.660000000000000000e+02,1.384713983019437156e-01
2.670000000000000000e+02,1.384568729109437180e-01
2.680000000000000000e+02,1.384420207874436926e-01
2.690000000000000000e+02,1.384268372624437027e-01
2.700000000000000000e+02,1.384113176874437190e-01
2.710000000000000000e+02,1.383954574359436973e-01
2.720000000000000000e+02,1.383792518639437030e-01
2.730000000000000000e+02,1.383626964149436978e-01
2.740000000000000000e+02,1.383457865624437011e-01
2.750000000000000000e+02,1.383285177284437062e-01
