# Time [s], Mass [Kg]
1.000000000000000000e+00,9.821874549759998518e-02
2.000000000000000000e+00,9.821874549759998518e-02
3.000000000000000000e+00,9.821874549759997131e-02
4.000000000000000000e+00,9.821874549759992967e-02
5.000000000000000000e+00,9.821874549759980477e-02
6.000000000000000000e+00,9.821874549759937456e-02
7.000000000000000000e+00,9.821874549759815332e-02
8.000000000000000000e+00,9.821874549759498918e-02
9.000000000000000000e+00,9.821874549758750905e-02
1.000000000000000000e+01,9.821874549757093897e-02
1.100000000000000000e+01,9.821874549753642492e-02
1.200000000000000000e+01,9.821874549746816008e-02
1.300000000000000000e+01,9.821874549733919380e-02
1.400000000000000000e+01,9.821874549710515878e-02
1.500000000000000000e+01,9.821874549669536159e-02
1.600000000000000000e+01,9.821874549600040361e-02
1.700000000000000000e+01,9.821874549485523631e-02
1.800000000000000000e+01,9.821874549301672086e-02
1.900000000000000000e+01,9.821874549013402678e-02
2.000000000000000000e+01,9.821874548571063457e-02
2.100000000000000000e+01,9.821874547905606878e-02
2.200000000000000000e+01,9.821874546922550187e-02
2.300000000000000000e+01,9.821874545494491127e-02
2.400000000000000000e+01,9.821874543451984685e-02
2.500000000000000000e+01,9.821874540572519963e-02
2.600000000000000000e+01,9.821874536567266889e-02
2.700000000000000000e+01,9.821874531065430403e-02
2.800000000000000000e+01,9.821874523595858220e-02
2.900000000000000000e+01,9.821874513565446996e-02
3.000000000000000000e+01,9.821874500234312189e-02
3.100000000000000000e+01,9.821874482687278918e-02
3.200000000000000000e+01,9.821874459800977730e-02
3.300000000000000000e+01,9.821874430206892215e-02
3.400000000000000000e+01,9.821874392249686780e-02
3.500000000000000000e+01,9.821874343939665519e-02
3.600000000000000000e+01,9.821874282900712461e-02
3.700000000000000000e+01,9.821874206312510014e-02
3.800000000000000000e+01,9.821874110844946992e-02
3.900000000000000000e+01,9.821873992587926150e-02
4.000000000000000000e+01,9.821873846974506217e-02
4.100000000000000000e+01,9.821873668693986703e-02
4.200000000000000000e+01,9.821873451600821037e-02
4.300000000000000000e+01,9.821873188616037087e-02
4.400000000000000000e+01,9.821872871615766609e-02
4.500000000000000000e+01,9.821872491317056031e-02
4.600000000000000000e+01,9.821872037155451873e-02
4.700000000000000000e+01,9.821871497146396346e-02
4.800000000000000000e+01,9.821870857745881866e-02
4.900000000000000000e+01,9.821870103702336208e-02
5.000000000000000000e+01,9.821869217886386449e-02
5.100000000000000000e+01,9.821868181127237085e-02
5.200000000000000000e+01,9.821866972040137200e-02
