# Time [s], Thickness [m]
1.000000000000000000e+00,8.000000400000000303e-03
2.000000000000000000e+00,8.000000400000000303e-03
3.000000000000000000e+00,8.000000400000000303e-03
4.000000000000000000e+00,8.000000400000000303e-03
5.000000000000000000e+00,8.000000400000000303e-03
6.000000000000000000e+00,8.000000400000000303e-03
7.000000000000000000e+00,8.000000400000000303e-03
8.000000000000000000e+00,8.000000400000000303e-03
9.000000000000000000e+00,8.000000400000000303e-03
1.000000000000000000e+01,8.000000400000000303e-03
1.100000000000000000e+01,8.000000400000000303e-03
1.200000000000000000e+01,8.000000400000000303e-03
1.300000000000000000e+01,8.000000400000000303e-03
1.400000000000000000e+01,8.000000400000000303e-03
1.500000000000000000e+01,8.000000400000000303e-03
1.600000000000000000e+01,8.000000400000000303e-03
1.700000000000000000e+01,8.000000400000000303e-03
1.800000000000000000e+01,8.000000400000000303e-03
1.900000000000000000e+01,8.000000400000000303e-03
2.000000000000000000e+01,8.000000400000000303e-03
2.100000000000000000e+01,7.999999400000000829e-03
2.200000000000000000e+01,7.999999400000000829e-03
2.300000000000000000e+01,7.999999400000000829e-03
2.400000000000000000e+01,7.999999400000000829e-03
2.500000000000000000e+01,7.999999400000000829e-03
2.600000000000000000e+01,7.999998499999999221e-03
2.700000000000000000e+01,7.999998499999999221e-03
2.800000000000000000e+01,7.999997599999999348e-03
2.900000000000000000e+01,7.999996699999999475e-03
3.000000000000000000e+01,7.999994800000000128e-03
3.100000000000000000e+01,7.999992900000000781e-03
3.200000000000000000e+01,7.999990099999999826e-03
3.300000000000000000e+01,7.999987300000000606e-03
3.400000000000000000e+01,7.999982699999999905e-03
3.500000000000000000e+01,7.999977099999999730e-03
3.600000000000000000e+01,7.999969600000000208e-03
3.700000000000000000e+01,7.999960299999999205e-03
3.800000000000000000e+01,7.999948200000000717e-03
3.900000000000000000e+01,7.999933299999999539e-03
4.000000000000000000e+01,7.999914699999999268e-03
4.100000000000000000e+01,7.999891400000000430e-03
4.200000000000000000e+01,7.999863499999999156e-03
4.300000000000000000e+01,7.999828100000000095e-03
4.400000000000000000e+01,7.999787100000000858e-03
4.500000000000000000e+01,7.999735900000000746e-03
4.600000000000000000e+01,7.999676299999999504e-03
4.700000000000000000e+01,7.999603600000000300e-03
4.800000000000000000e+01,7.999518900000000474e-03
4.900000000000000000e+01,7.999417400000000122e-03
5.000000000000000000e+01,7.999299099999999246e-03
5.100000000000000000e+01,7.999161299999999961e-03
5.200000000000000000e+01,7.999000100000000502e-03
5.300000000000000000e+01,7.998812900000000850e-03
5.400000000000000000e+01,7.998596900000000051e-03
5.500000000000000000e+01,7.998349099999999684e-03
5.600000000000000000e+01,7.998065099999999983e-03
5.700000000000000000e+01,7.997740999999999184e-03
5.800000000000000000e+01,7.997373099999999929e-03
5.900000000000000000e+01,7.996955899999999909e-03
6.000000000000000000e+01,7.996485600000000429e-03
6.100000000000000000e+01,7.995956599999999581e-03
6.200000000000000000e+01,7.995370800000000180e-03
6.300000000000000000e+01,7.994719799999999363e-03
6.400000000000000000e+01,7.993995199999999468e-03
6.500000000000000000e+01,7.993193299999999668e-03
6.600000000000000000e+01,7.992307699999999515e-03
6.700000000000000000e+01,7.991330700000000287e-03
6.800000000000000000e+01,7.990257799999999147e-03
6.900000000000000000e+01,7.989082499999999518e-03
7.000000000000000000e+01,7.987799099999999888e-03
7.100000000000000000e+01,7.986401199999999811e-03
7.200000000000000000e+01,7.984884100000000720e-03
7.300000000000000000e+01,7.983243100000000578e-03
7.400000000000000000e+01,7.981470799999999463e-03
7.500000000000000000e+01,7.979563400000000417e-03
7.600000000000000000e+01,7.977517300000000477e-03
7.700000000000000000e+01,7.975326899999999469e-03
7.800000000000000000e+01,7.972988300000000833e-03
7.900000000000000000e+01,7.970498899999999345e-03
8.000000000000000000e+01,7.967854800000000182e-03
8.100000000000000000e+01,7.965054399999999327e-03
8.200000000000000000e+01,7.962094600000000494e-03
8.300000000000000000e+01,7.958973799999999668e-03
8.400000000000000000e+01,7.955690799999999910e-03
8.500000000000000000e+01,7.952244000000000673e-03
8.600000000000000000e+01,7.948634200000000496e-03
8.700000000000000000e+01,7.944859599999999633e-03
8.800000000000000000e+01,7.940921899999999964e-03
8.900000000000000000e+01,7.936820400000000816e-03
9.000000000000000000e+01,7.932556800000000602e-03
9.100000000000000000e+01,7.928131099999999321e-03
9.200000000000000000e+01,7.923546199999999262e-03
9.300000000000000000e+01,7.918802100000000427e-03
9.400000000000000000e+01,7.913900499999999491e-03
9.500000000000000000e+01,7.908844400000000080e-03
9.600000000000000000e+01,7.903635500000000605e-03
9.700000000000000000e+01,7.898275700000000413e-03
9.800000000000000000e+01,7.892767000000000185e-03
9.900000000000000000e+01,7.887111999999999942e-03
1.000000000000000000e+02,7.881313600000000238e-03
1.010000000000000000e+02,7.875372699999999213e-03
1.020000000000000000e+02,7.869292999999999427e-03
1.030000000000000000e+02,7.863077300000000103e-03
1.040000000000000000e+02,7.856725700000000839e-03
1.050000000000000000e+02,7.850242800000000604e-03
1.060000000000000000e+02,7.843630399999999142e-03
1.070000000000000000e+02,7.836891299999999144e-03
1.080000000000000000e+02,7.830026599999999684e-03
1.090000000000000000e+02,7.823038799999999446e-03
1.100000000000000000e+02,7.815930999999999920e-03
1.110000000000000000e+02,7.808704399999999782e-03
1.120000000000000000e+02,7.801361799999999985e-03
1.130000000000000000e+02,7.793905200000000345e-03
1.140000000000000000e+02,7.786335900000000004e-03
1.150000000000000000e+02,7.778656699999999917e-03
1.160000000000000000e+02,7.770868900000000093e-03
1.170000000000000000e+02,7.762974100000000210e-03
1.180000000000000000e+02,7.754974999999999889e-03
1.190000000000000000e+02,7.746872000000000133e-03
1.200000000000000000e+02,7.738667999999999762e-03
1.210000000000000000e+02,7.730363900000000385e-03
1.220000000000000000e+02,7.721961000000000276e-03
1.230000000000000000e+02,7.713460800000000381e-03
1.240000000000000000e+02,7.704865200000000046e-03
1.250000000000000000e+02,7.696175000000000412e-03
1.260000000000000000e+02,7.687392200000000425e-03
1.270000000000000000e+02,7.678517099999999755e-03
1.280000000000000000e+02,7.669551299999999815e-03
1.290000000000000000e+02,7.660496000000000145e-03
1.300000000000000000e+02,7.651206600000000010e-03
1.310000000000000000e+02,7.641951600000000330e-03
1.320000000000000000e+02,7.632666700000000429e-03
1.330000000000000000e+02,7.623327400000000191e-03
1.340000000000000000e+02,7.613920599999999921e-03
1.350000000000000000e+02,7.604439299999999832e-03
1.360000000000000000e+02,7.594878799999999625e-03
1.370000000000000000e+02,7.585236300000000077e-03
1.380000000000000000e+02,7.575511499999999787e-03
1.390000000000000000e+02,7.565703200000000080e-03
1.400000000000000000e+02,7.555810700000000282e-03
1.410000000000000000e+02,7.545834900000000268e-03
1.420000000000000000e+02,7.535775199999999834e-03
1.430000000000000000e+02,7.525633099999999923e-03
1.440000000000000000e+02,7.515408599999999668e-03
1.450000000000000000e+02,7.505101600000000338e-03
1.460000000000000000e+02,7.494713600000000274e-03
1.470000000000000000e+02,7.484245100000000081e-03
1.480000000000000000e+02,7.473696000000000159e-03
1.490000000000000000e+02,7.463067799999999717e-03
1.500000000000000000e+02,7.452360400000000024e-03
1.510000000000000000e+02,7.441574200000000347e-03
1.520000000000000000e+02,7.430710400000000229e-03
1.530000000000000000e+02,7.419769199999999738e-03
1.540000000000000000e+02,7.408750700000000210e-03
1.550000000000000000e+02,7.397655900000000249e-03
1.560000000000000000e+02,7.386484599999999789e-03
1.570000000000000000e+02,7.375238000000000106e-03
1.580000000000000000e+02,7.363916400000000001e-03
1.590000000000000000e+02,7.352519299999999737e-03
1.600000000000000000e+02,7.341047699999999655e-03
1.610000000000000000e+02,7.329501700000000224e-03
1.620000000000000000e+02,7.317754000000000099e-03
1.630000000000000000e+02,7.306055199999999736e-03
1.640000000000000000e+02,7.294336299999999891e-03
1.650000000000000000e+02,7.282571399999999973e-03
1.660000000000000000e+02,7.270747299999999816e-03
1.670000000000000000e+02,7.258855699999999626e-03
1.680000000000000000e+02,7.246891999999999570e-03
1.690000000000000000e+02,7.234854199999999833e-03
1.700000000000000000e+02,7.222740000000000063e-03
1.710000000000000000e+02,7.210548500000000388e-03
1.720000000000000000e+02,7.198279699999999941e-03
1.730000000000000000e+02,7.185933200000000319e-03
1.740000000000000000e+02,7.173508900000000188e-03
1.750000000000000000e+02,7.161006800000000415e-03
1.760000000000000000e+02,7.148427399999999869e-03
1.770000000000000000e+02,7.135770300000000149e-03
1.780000000000000000e+02,7.123036299999999793e-03
1.790000000000000000e+02,7.110225500000000136e-03
1.800000000000000000e+02,7.097338299999999579e-03
1.810000000000000000e+02,7.084374299999999722e-03
1.820000000000000000e+02,7.071333899999999832e-03
1.830000000000000000e+02,7.058218100000000252e-03
1.840000000000000000e+02,7.045025899999999772e-03
1.850000000000000000e+02,7.031757900000000332e-03
1.860000000000000000e+02,7.018414300000000265e-03
1.870000000000000000e+02,7.004994900000000371e-03
1.880000000000000000e+02,6.991500500000000055e-03
1.890000000000000000e+02,6.977801199999999690e-03
