Loop,Time,r0-A,p0-C0,p0-Cpa,r0-E,r0-Hp,p0-K,Value,r0-Xi,p0-eps,p0-ka,r0-n,r0-nO2,p0-rho,
-1,0,41651512099.95574,1.0,1733.3590199638425,159255.24326874688,698798.4265939663,812.7192776085792,0.00011167769000169297,0.0,0.7826126653039607,0.20739128892955483,0.8461181125781623,0.0,1189.37,
-1,0,44152205410.74341,1.0,1633.146393319553,158033.92865263962,728884.1773378162,1161.4200078488357,0.00012552750581122782,0.0,0.7739495585197858,0.20628471391374537,0.8705551141696184,0.0,1189.37,
-1,0,46517833248.55822,1.0,1991.4454921904835,143540.26035171738,760278.8598432329,1078.88939422712,0.0002715420750152088,0.0,0.6466517339852585,0.21019336893436966,1.0656464181742757,0.0,1189.37,
-1,0,51631910976.421814,1.0,2111.714518407213,146048.42809648806,662024.9077722201,1097.4002534585686,0.0004066731568986688,0.0,0.6506132960984136,0.25972334007966924,0.9888468704839459,0.0,1189.37,
-1,0,41911514172.82067,1.0,2206.353329702585,137696.09153090333,831407.9769366164,872.3778488742425,0.0006675768408252267,0.0,0.6636507467821691,0.24969896876101785,1.0064476233626671,0.0,1189.37,
-1,0,47149531639.59356,1.0,1769.6673267365495,158150.15689522034,762142.5214286901,1087.4133770643698,0.0009354675458959746,0.0,0.8379561467802056,0.24950653045120158,1.0293600498025048,0.0,1189.37,
-1,0,53141656591.58326,1.0,2095.2933415398256,147199.22722055065,787280.108978156,974.7970094508205,0.0010136831433827842,0.0,0.742182807336174,0.2703883453092685,0.899389492860079,0.0,1189.37,
-1,0,59673058293.40834,1.0,1609.0355964961566,148126.3383856548,710201.2470570778,965.0696454663675,0.0010167569568437576,0.0,0.6449582533477332,0.280989387095776,1.0837020045228547,0.0,1189.37,
-1,0,46756021633.04509,1.0,2246.862195559646,157884.59532879078,759142.9579900486,969.5740766090221,0.0011413187436778618,0.0,0.9238098590559283,0.2696638101962579,1.0782745716556796,0.0,1189.37,
-1,0,46621455383.35003,1.0,2008.3777278524285,152188.24421292037,863426.9594049362,1089.8415025156312,0.0011758956938245136,0.0,0.7472866016930959,0.21327477484575705,1.0784181771428092,0.0,1189.37,
-1,0,60751632259.65076,1.0,2215.2902986184713,144749.74389581804,800400.4576146163,884.2308072922787,0.0012311315128759547,0.0,0.6493321461544339,0.20367755055577452,0.7663800863389608,0.0,1189.37,
-1,0,57155346974.60743,1.0,2075.8520029164256,166089.6722645137,836661.4530783822,801.6732503031426,0.0013166252262315136,0.0,0.9073624201349415,0.28521388900084266,0.8110685651073318,0.0,1189.37,
-1,0,42838789301.68688,1.0,2031.7928613182198,147462.14304355253,798678.3779975382,998.965877535923,0.0013841454038794124,0.0,0.777160796343167,0.22641138554510096,0.9363677373166012,0.0,1189.37,
-1,0,55036019342.56948,1.0,2036.0132040117865,160150.55953188124,780212.2450161591,1011.0819490931134,0.0014489194049716646,0.0,0.8040317570616768,0.23169124104211125,0.9820341246031303,0.0,1189.37,
-1,0,47690909371.90049,1.0,1661.4962802847224,156127.65049950025,709819.1710868231,835.2712963310767,0.0015689763656303486,0.0,0.6654679686093198,0.22619799746944544,1.03541364830696,0.0,1189.37,
-1,0,59432105768.76644,1.0,1941.815748357709,161291.82159798522,739299.732701233,1090.2036593838645,0.001583230524746279,0.0,0.7800583454217326,0.23864211245987044,0.8959832458640025,0.0,1189.37,
-1,0,47375042332.77474,1.0,1667.4473026472504,150309.13226124697,712943.8052083908,1176.92235830454,0.0016351728029119876,0.0,0.7298324975664114,0.22758343859192526,1.0429214517044427,0.0,1189.37,
-1,0,51767280163.706985,1.0,2129.1883524872082,159442.87098723176,717069.5049737259,949.1347930627429,0.0016414291483477458,0.0,0.7708358720289985,0.29262080511193944,0.8394316702924716,0.0,1189.37,
-1,0,49563185041.21785,1.0,2249.6887158042746,149214.91075019568,661496.2751891181,1097.2084047858616,0.0016861154591400129,0.0,0.7812403010013973,0.26714178117376436,0.9768237297851344,0.0,1189.37,
-1,0,54461725809.35265,1.0,2234.0793574668755,142336.78635605657,806919.0027666494,1065.7200092364692,0.001795697225780139,0.0,0.750855093211799,0.23991775252465214,0.9531379836564378,0.0,1189.37,
-1,0,47252027480.78436,1.0,2121.4262718083173,150886.18768921238,872795.3994959845,856.7639630443728,0.0017971545500785385,0.0,0.8707401577395271,0.2629802358193097,0.7574520884620852,0.0,1189.37,
-1,0,48011549809.21825,1.0,1965.3550098618448,167111.3870953172,644056.1461871549,821.2315962635209,0.0018144352206537224,0.0,0.844682297890093,0.20939229227562534,0.8573490519414697,0.0,1189.37,
-1,0,47067913034.676025,1.0,1644.3956341578496,158421.17853732943,714339.4566489484,928.1601600264395,0.0019947324273665037,0.0,0.8546586755624785,0.20417811444753717,1.0160656750494255,0.0,1189.37,
-1,0,49001662395.21854,1.0,1771.8959313666185,161163.18309782003,695418.5953348437,850.8111473412753,0.0023220945513442548,0.0,0.9148318938161717,0.26788434974287445,1.0714980994028123,0.0,1189.37,
-1,0,52005723475.29471,1.0,2013.2872584827817,161152.2544204016,736021.1331455304,1060.25330707704,0.0026008851657227197,0.0,0.7612855004719027,0.2212865074597184,1.051395814895824,0.0,1189.37,
-1,0,58076117797.436165,1.0,2013.9214266083013,157081.672580091,702562.3837572098,929.6828836142987,0.002625337993115582,0.0,0.9213472769610319,0.2096381722048743,0.9635195597769498,0.0,1189.37,
-1,0,43288103083.78333,1.0,1701.5803087697461,175390.69856257827,728267.105421876,825.8633225645075,0.0027058655311320186,0.0,0.9471648901634964,0.2373563556640192,0.9234762371509263,0.0,1189.37,
-1,0,46849334286.211555,1.0,2233.526264173045,164412.28771910508,703935.9752873637,1115.0049570911888,0.0027184645291991587,0.0,0.8483775636696351,0.21923060027339542,0.9372034457846328,0.0,1189.37,
-1,0,50142927714.89442,1.0,2133.8689656512543,144060.0584945961,893742.7765201264,996.0788590370641,0.002747430180279751,0.0,0.8353642578689637,0.2885055785904193,0.8203714212568208,0.0,1189.37,
