# Time [s], Mass [Kg]
1.000000000000000000e+00,9.821874549759998518e-02
2.000000000000000000e+00,9.821874549759997131e-02
3.000000000000000000e+00,9.821874549759995743e-02
4.000000000000000000e+00,9.821874549759991579e-02
5.000000000000000000e+00,9.821874549759977702e-02
6.000000000000000000e+00,9.821874549759937456e-02
7.000000000000000000e+00,9.821874549759830597e-02
8.000000000000000000e+00,9.821874549759571082e-02
9.000000000000000000e+00,9.821874549758981277e-02
1.000000000000000000e+01,9.821874549757725337e-02
1.100000000000000000e+01,9.821874549755192640e-02
1.200000000000000000e+01,9.821874549750318761e-02
1.300000000000000000e+01,9.821874549741328730e-02
1.400000000000000000e+01,9.821874549725341519e-02
1.500000000000000000e+01,9.821874549697837131e-02
1.600000000000000000e+01,9.821874549651896102e-02
1.700000000000000000e+01,9.821874549577187807e-02
1.800000000000000000e+01,9.821874549458611825e-02
1.900000000000000000e+01,9.821874549274529909e-02
2.000000000000000000e+01,9.821874548994478926e-02
2.100000000000000000e+01,9.821874548576287056e-02
2.200000000000000000e+01,9.821874547962444746e-02
2.300000000000000000e+01,9.821874547075602757e-02
2.400000000000000000e+01,9.821874545813084889e-02
2.500000000000000000e+01,9.821874544040212762e-02
2.600000000000000000e+01,9.821874541582280294e-02
2.700000000000000000e+01,9.821874538215025208e-02
2.800000000000000000e+01,9.821874533653375539e-02
2.900000000000000000e+01,9.821874527538193567e-02
3.000000000000000000e+01,9.821874519420942251e-02
3.100000000000000000e+01,9.821874508745961907e-02
3.200000000000000000e+01,9.821874494829968549e-02
3.300000000000000000e+01,9.821874476838825252e-02
3.400000000000000000e+01,9.821874453761179902e-02
3.500000000000000000e+01,9.821874424378333746e-02
3.600000000000000000e+01,9.821874387230859760e-02
3.700000000000000000e+01,9.821874340581299156e-02
3.800000000000000000e+01,9.821874282371829967e-02
3.900000000000000000e+01,9.821874210178287157e-02
4.000000000000000000e+01,9.821874121159453186e-02
4.100000000000000000e+01,9.821874011999870424e-02
4.200000000000000000e+01,9.821873878848820516e-02
4.300000000000000000e+01,9.821873717253760960e-02
4.400000000000000000e+01,9.821873522085530772e-02
4.500000000000000000e+01,9.821873287459970125e-02
4.600000000000000000e+01,9.821873006653270011e-02
4.700000000000000000e+01,9.821872672007016247e-02
4.800000000000000000e+01,9.821872274830165117e-02
4.900000000000000000e+01,9.821871805294080104e-02
5.000000000000000000e+01,9.821871252313896239e-02
5.100000000000000000e+01,9.821870603429960767e-02
5.200000000000000000e+01,9.821869844681850592e-02
5.300000000000000000e+01,9.821868960463145393e-02
5.400000000000000000e+01,9.821867933380540316e-02
5.500000000000000000e+01,9.821866744105139935e-02
5.600000000000000000e+01,9.821865371198840178e-02
5.700000000000000000e+01,9.821863790950090267e-02
5.800000000000000000e+01,9.821861977201540306e-02
5.900000000000000000e+01,9.821859901145640892e-02
6.000000000000000000e+01,9.821857531137090369e-02
6.100000000000000000e+01,9.821854832496940135e-02
6.200000000000000000e+01,9.821851767276590373e-02
6.300000000000000000e+01,9.821848294045740224e-02
6.400000000000000000e+01,9.821844367671890563e-02
6.500000000000000000e+01,9.821839939044740841e-02
6.600000000000000000e+01,9.821834954847590005e-02
6.700000000000000000e+01,9.821829357320591147e-02
6.800000000000000000e+01,9.821823083940990629e-02
6.900000000000000000e+01,9.821816067175791198e-02
7.000000000000000000e+01,9.821808234226540868e-02
7.100000000000000000e+01,9.821799506669040558e-02
7.200000000000000000e+01,9.821789800188440722e-02
7.300000000000000000e+01,9.821779024307440709e-02
7.400000000000000000e+01,9.821767081982940573e-02
7.500000000000000000e+01,9.821753869328940512e-02
7.600000000000000000e+01,9.821739275332939945e-02
7.700000000000000000e+01,9.821723181414440673e-02
7.800000000000000000e+01,9.821705461132440584e-02
7.900000000000000000e+01,9.821685979887440077e-02
8.000000000000000000e+01,9.821664594415940863e-02
8.100000000000000000e+01,9.821641152519940132e-02
8.200000000000000000e+01,9.821615492791940794e-02
8.300000000000000000e+01,9.821587444030940861e-02
8.400000000000000000e+01,9.821556824981940437e-02
8.500000000000000000e+01,9.821523444072940978e-02
8.600000000000000000e+01,9.821487098777940961e-02
