# Time [s], Mass [Kg]
1.000000000000000000e+00,9.821874549759998518e-02
2.000000000000000000e+00,9.821874549759997131e-02
3.000000000000000000e+00,9.821874549759997131e-02
4.000000000000000000e+00,9.821874549759994355e-02
5.000000000000000000e+00,9.821874549759991579e-02
6.000000000000000000e+00,9.821874549759984641e-02
7.000000000000000000e+00,9.821874549759969375e-02
8.000000000000000000e+00,9.821874549759938844e-02
9.000000000000000000e+00,9.821874549759883333e-02
1.000000000000000000e+01,9.821874549759783413e-02
1.100000000000000000e+01,9.821874549759608553e-02
1.200000000000000000e+01,9.821874549759315731e-02
1.300000000000000000e+01,9.821874549758835560e-02
1.400000000000000000e+01,9.821874549758073669e-02
1.500000000000000000e+01,9.821874549756888506e-02
1.600000000000000000e+01,9.821874549755088557e-02
1.700000000000000000e+01,9.821874549752404593e-02
1.800000000000000000e+01,9.821874549748474403e-02
1.900000000000000000e+01,9.821874549742813654e-02
2.000000000000000000e+01,9.821874549734779802e-02
2.100000000000000000e+01,9.821874549723540182e-02
2.200000000000000000e+01,9.821874549708015101e-02
2.300000000000000000e+01,9.821874549686826494e-02
2.400000000000000000e+01,9.821874549658232700e-02
2.500000000000000000e+01,9.821874549620045192e-02
2.600000000000000000e+01,9.821874549569543922e-02
2.700000000000000000e+01,9.821874549503367691e-02
2.800000000000000000e+01,9.821874549417397571e-02
2.900000000000000000e+01,9.821874549306620905e-02
3.000000000000000000e+01,9.821874549164970325e-02
3.100000000000000000e+01,9.821874548985154441e-02
3.200000000000000000e+01,9.821874548758455226e-02
3.300000000000000000e+01,9.821874548474503197e-02
3.400000000000000000e+01,9.821874548121038717e-02
3.500000000000000000e+01,9.821874547683626111e-02
3.600000000000000000e+01,9.821874547145351131e-02
3.700000000000000000e+01,9.821874546486490665e-02
3.800000000000000000e+01,9.821874545684125546e-02
3.900000000000000000e+01,9.821874544711747812e-02
4.000000000000000000e+01,9.821874543538806901e-02
4.100000000000000000e+01,9.821874542130222541e-02
4.200000000000000000e+01,9.821874540445861557e-02
4.300000000000000000e+01,9.821874538439959168e-02
4.400000000000000000e+01,9.821874536060495875e-02
4.500000000000000000e+01,9.821874533248528549e-02
4.600000000000000000e+01,9.821874529937477116e-02
4.700000000000000000e+01,9.821874526052329357e-02
4.800000000000000000e+01,9.821874521508819345e-02
4.900000000000000000e+01,9.821874516212550366e-02
5.000000000000000000e+01,9.821874510058001273e-02
5.100000000000000000e+01,9.821874502927541162e-02
5.200000000000000000e+01,9.821874494690370494e-02
5.300000000000000000e+01,9.821874485201310956e-02
5.400000000000000000e+01,9.821874474299630009e-02
5.500000000000000000e+01,9.821874461807778012e-02
5.600000000000000000e+01,9.821874447529950480e-02
5.700000000000000000e+01,9.821874431250687820e-02
5.800000000000000000e+01,9.821874412733407056e-02
5.900000000000000000e+01,9.821874391718696251e-02
6.000000000000000000e+01,9.821874367922685256e-02
6.100000000000000000e+01,9.821874341035356781e-02
6.200000000000000000e+01,9.821874310718546608e-02
6.300000000000000000e+01,9.821874276604075638e-02
6.400000000000000000e+01,9.821874238291804227e-02
6.500000000000000000e+01,9.821874195347274350e-02
6.600000000000000000e+01,9.821874147299634872e-02
6.700000000000000000e+01,9.821874093639471059e-02
6.800000000000000000e+01,9.821874033816051230e-02
6.900000000000000000e+01,9.821873967234993896e-02
7.000000000000000000e+01,9.821873893255847476e-02
7.100000000000000000e+01,9.821873811188927550e-02
7.200000000000000000e+01,9.821873720292727261e-02
7.300000000000000000e+01,9.821873619771208375e-02
7.400000000000000000e+01,9.821873508770208316e-02
7.500000000000000000e+01,9.821873386374578574e-02
7.600000000000000000e+01,9.821873251605207911e-02
7.700000000000000000e+01,9.821873103414982542e-02
7.800000000000000000e+01,9.821872940685608122e-02
7.900000000000000000e+01,9.821872762224298503e-02
8.000000000000000000e+01,9.821872566759093370e-02
8.100000000000000000e+01,9.821872352935552553e-02
8.200000000000000000e+01,9.821872119313318494e-02
8.300000000000000000e+01,9.821871864360663673e-02
8.400000000000000000e+01,9.821871586450922620e-02
8.500000000000000000e+01,9.821871283858783774e-02
8.600000000000000000e+01,9.821870954754177707e-02
