# Time [s], Thickness [m]
1.000000000000000000e+00,8.000000400000000303e-03
2.000000000000000000e+00,8.000000400000000303e-03
3.000000000000000000e+00,8.000000400000000303e-03
4.000000000000000000e+00,8.000000400000000303e-03
5.000000000000000000e+00,8.000000400000000303e-03
6.000000000000000000e+00,8.000000400000000303e-03
7.000000000000000000e+00,8.000000400000000303e-03
8.000000000000000000e+00,8.000000400000000303e-03
9.000000000000000000e+00,8.000000400000000303e-03
1.000000000000000000e+01,8.000000400000000303e-03
1.100000000000000000e+01,8.000000400000000303e-03
1.200000000000000000e+01,8.000000400000000303e-03
1.300000000000000000e+01,8.000000400000000303e-03
1.400000000000000000e+01,8.000000400000000303e-03
1.500000000000000000e+01,8.000000400000000303e-03
1.600000000000000000e+01,8.000000400000000303e-03
1.700000000000000000e+01,8.000000400000000303e-03
1.800000000000000000e+01,8.000000400000000303e-03
1.900000000000000000e+01,8.000000400000000303e-03
2.000000000000000000e+01,8.000000400000000303e-03
2.100000000000000000e+01,8.000000400000000303e-03
2.200000000000000000e+01,8.000000400000000303e-03
2.300000000000000000e+01,8.000000400000000303e-03
2.400000000000000000e+01,8.000000400000000303e-03
2.500000000000000000e+01,8.000000400000000303e-03
2.600000000000000000e+01,8.000000400000000303e-03
2.700000000000000000e+01,7.999999400000000829e-03
2.800000000000000000e+01,7.999999400000000829e-03
2.900000000000000000e+01,7.999999400000000829e-03
3.000000000000000000e+01,7.999999400000000829e-03
3.100000000000000000e+01,7.999999400000000829e-03
3.200000000000000000e+01,7.999999400000000829e-03
3.300000000000000000e+01,7.999999400000000829e-03
3.400000000000000000e+01,7.999999400000000829e-03
3.500000000000000000e+01,7.999999400000000829e-03
3.600000000000000000e+01,7.999999400000000829e-03
3.700000000000000000e+01,7.999998499999999221e-03
3.800000000000000000e+01,7.999998499999999221e-03
3.900000000000000000e+01,7.999998499999999221e-03
4.000000000000000000e+01,7.999997599999999348e-03
4.100000000000000000e+01,7.999997599999999348e-03
4.200000000000000000e+01,7.999996699999999475e-03
4.300000000000000000e+01,7.999995700000000001e-03
4.400000000000000000e+01,7.999994800000000128e-03
4.500000000000000000e+01,7.999993900000000255e-03
4.600000000000000000e+01,7.999992900000000781e-03
4.700000000000000000e+01,7.999991999999999173e-03
4.800000000000000000e+01,7.999990099999999826e-03
4.900000000000000000e+01,7.999988300000000080e-03
5.000000000000000000e+01,7.999986400000000733e-03
5.100000000000000000e+01,7.999984499999999651e-03
5.200000000000000000e+01,7.999981800000000032e-03
5.300000000000000000e+01,7.999979000000000812e-03
5.400000000000000000e+01,7.999975200000000383e-03
5.500000000000000000e+01,7.999971499999999555e-03
5.600000000000000000e+01,7.999967800000000462e-03
5.700000000000000000e+01,7.999962200000000287e-03
5.800000000000000000e+01,7.999957499999999985e-03
5.900000000000000000e+01,7.999950999999999937e-03
6.000000000000000000e+01,7.999944499999999889e-03
6.100000000000000000e+01,7.999937099999999968e-03
6.200000000000000000e+01,7.999928700000000573e-03
6.300000000000000000e+01,7.999919399999999570e-03
6.400000000000000000e+01,7.999909100000000828e-03
6.500000000000000000e+01,7.999897900000000478e-03
6.600000000000000000e+01,7.999885800000000255e-03
6.700000000000000000e+01,7.999871900000000285e-03
6.800000000000000000e+01,7.999857000000000842e-03
6.900000000000000000e+01,7.999841100000000191e-03
7.000000000000000000e+01,7.999822499999999920e-03
7.100000000000000000e+01,7.999802900000000175e-03
7.200000000000000000e+01,7.999781500000000684e-03
7.300000000000000000e+01,7.999758200000000111e-03
7.400000000000000000e+01,7.999733099999999791e-03
7.500000000000000000e+01,7.999705200000000252e-03
7.600000000000000000e+01,7.999675300000000031e-03
7.700000000000000000e+01,7.999642799999999790e-03
7.800000000000000000e+01,7.999608300000000602e-03
7.900000000000000000e+01,7.999570100000000586e-03
8.000000000000000000e+01,7.999529099999999615e-03
8.100000000000000000e+01,7.999484399999999551e-03
8.200000000000000000e+01,7.999436900000000267e-03
8.300000000000000000e+01,7.999385700000000154e-03
8.400000000000000000e+01,7.999330799999999214e-03
8.500000000000000000e+01,7.999272099999999580e-03
8.600000000000000000e+01,7.999208799999999245e-03
8.700000000000000000e+01,7.999140800000000343e-03
8.800000000000000000e+01,7.999068099999999404e-03
8.900000000000000000e+01,7.998990799999999499e-03
9.000000000000000000e+01,7.998907899999999419e-03
9.100000000000000000e+01,7.998819500000000499e-03
9.200000000000000000e+01,7.998725400000000069e-03
9.300000000000000000e+01,7.998624799999999591e-03
9.400000000000000000e+01,7.998518600000000672e-03
9.500000000000000000e+01,7.998405000000000098e-03
9.600000000000000000e+01,7.998283999999999602e-03
9.700000000000000000e+01,7.998156399999999458e-03
9.800000000000000000e+01,7.998020399999999919e-03
9.900000000000000000e+01,7.997877000000000458e-03
1.000000000000000000e+02,7.997725199999999868e-03
1.010000000000000000e+02,7.997564000000000409e-03
1.020000000000000000e+02,7.997393599999999547e-03
1.030000000000000000e+02,7.997213899999999417e-03
1.040000000000000000e+02,7.997024800000000419e-03
1.050000000000000000e+02,7.996824600000000671e-03
1.060000000000000000e+02,7.996613200000000574e-03
1.070000000000000000e+02,7.996391499999999999e-03
1.080000000000000000e+02,7.996157699999999202e-03
1.090000000000000000e+02,7.995911899999999517e-03
1.100000000000000000e+02,7.995653000000000135e-03
1.110000000000000000e+02,7.995380999999999322e-03
1.120000000000000000e+02,7.995096000000000147e-03
1.130000000000000000e+02,7.994797099999999268e-03
1.140000000000000000e+02,7.994483199999999345e-03
1.150000000000000000e+02,7.994154499999999580e-03
1.160000000000000000e+02,7.993809899999999163e-03
1.170000000000000000e+02,7.993449499999999430e-03
1.180000000000000000e+02,7.993072299999999172e-03
1.190000000000000000e+02,7.992678300000000124e-03
1.200000000000000000e+02,7.992265700000000805e-03
1.210000000000000000e+02,7.991835500000000689e-03
1.220000000000000000e+02,7.991386600000000701e-03
1.230000000000000000e+02,7.990918099999999233e-03
1.240000000000000000e+02,7.990430099999999355e-03
1.250000000000000000e+02,7.989920699999999987e-03
1.260000000000000000e+02,7.989390799999999265e-03
1.270000000000000000e+02,7.988839399999999452e-03
1.280000000000000000e+02,7.988264800000000401e-03
1.290000000000000000e+02,7.987667800000000651e-03
1.300000000000000000e+02,7.987047500000000327e-03
1.310000000000000000e+02,7.986402099999999685e-03
1.320000000000000000e+02,7.985733400000000204e-03
1.330000000000000000e+02,7.985037800000000657e-03
1.340000000000000000e+02,7.984317799999999729e-03
1.350000000000000000e+02,7.983570000000000597e-03
1.360000000000000000e+02,7.982795100000000463e-03
1.370000000000000000e+02,7.981993300000000263e-03
1.380000000000000000e+02,7.981161599999999842e-03
1.390000000000000000e+02,7.980301999999999882e-03
1.400000000000000000e+02,7.979412599999999300e-03
1.410000000000000000e+02,7.978492400000000359e-03
1.420000000000000000e+02,7.977541499999999189e-03
1.430000000000000000e+02,7.976558999999999386e-03
1.440000000000000000e+02,7.975543800000000141e-03
1.450000000000000000e+02,7.974496100000000656e-03
1.460000000000000000e+02,7.973415799999999595e-03
1.470000000000000000e+02,7.972300999999999346e-03
1.480000000000000000e+02,7.971151699999999909e-03
1.490000000000000000e+02,7.969967099999999277e-03
1.500000000000000000e+02,7.968747099999999584e-03
1.510000000000000000e+02,7.967490699999999620e-03
1.520000000000000000e+02,7.966197100000000850e-03
1.530000000000000000e+02,7.964866200000000201e-03
1.540000000000000000e+02,7.963498100000000746e-03
1.550000000000000000e+02,7.962090899999999666e-03
1.560000000000000000e+02,7.960644600000000431e-03
1.570000000000000000e+02,7.959158200000000100e-03
1.580000000000000000e+02,7.957632699999999878e-03
1.590000000000000000e+02,7.956066200000000421e-03
1.600000000000000000e+02,7.954458699999999993e-03
1.610000000000000000e+02,7.952809300000000456e-03
1.620000000000000000e+02,7.951118099999999675e-03
1.630000000000000000e+02,7.949384900000000184e-03
1.640000000000000000e+02,7.947607900000000503e-03
1.650000000000000000e+02,7.945788100000000104e-03
1.660000000000000000e+02,7.943924499999999514e-03
1.670000000000000000e+02,7.942016200000000595e-03
1.680000000000000000e+02,7.940063299999999477e-03
1.690000000000000000e+02,7.938065600000000430e-03
1.700000000000000000e+02,7.936023199999999583e-03
1.710000000000000000e+02,7.933934199999999326e-03
1.720000000000000000e+02,7.931798699999999258e-03
1.730000000000000000e+02,7.929617499999999652e-03
1.740000000000000000e+02,7.927389800000000236e-03
1.750000000000000000e+02,7.925114599999999801e-03
1.760000000000000000e+02,7.922791900000000082e-03
1.770000000000000000e+02,7.920421699999999343e-03
1.780000000000000000e+02,7.918002999999999847e-03
1.790000000000000000e+02,7.915536900000000667e-03
1.800000000000000000e+02,7.913021399999999386e-03
1.810000000000000000e+02,7.910457399999999348e-03
1.820000000000000000e+02,7.907845099999999752e-03
1.830000000000000000e+02,7.905183399999999791e-03
1.840000000000000000e+02,7.902472299999999464e-03
1.850000000000000000e+02,7.899711800000000506e-03
1.860000000000000000e+02,7.896901099999999174e-03
1.870000000000000000e+02,7.894040999999999211e-03
1.880000000000000000e+02,7.891156700000000537e-03
1.890000000000000000e+02,7.888224900000000844e-03
