# Time [s], Mass [Kg]
1.000000000000000000e+00,1.106727076863999876e-01
2.000000000000000000e+00,1.106727076863999876e-01
3.000000000000000000e+00,1.106727076863999737e-01
4.000000000000000000e+00,1.106727076863999737e-01
5.000000000000000000e+00,1.106727076863999459e-01
6.000000000000000000e+00,1.106727076863998904e-01
7.000000000000000000e+00,1.106727076863997933e-01
8.000000000000000000e+00,1.106727076863995712e-01
9.000000000000000000e+00,1.106727076863991688e-01
1.000000000000000000e+01,1.106727076863984333e-01
1.100000000000000000e+01,1.106727076863971843e-01
1.200000000000000000e+01,1.106727076863951026e-01
1.300000000000000000e+01,1.106727076863917580e-01
1.400000000000000000e+01,1.106727076863865677e-01
1.500000000000000000e+01,1.106727076863786713e-01
1.600000000000000000e+01,1.106727076863669584e-01
1.700000000000000000e+01,1.106727076863499304e-01
1.800000000000000000e+01,1.106727076863256443e-01
1.900000000000000000e+01,1.106727076862915882e-01
2.000000000000000000e+01,1.106727076862445563e-01
2.100000000000000000e+01,1.106727076861805104e-01
2.200000000000000000e+01,1.106727076860944819e-01
2.300000000000000000e+01,1.106727076859802539e-01
2.400000000000000000e+01,1.106727076858302627e-01
2.500000000000000000e+01,1.106727076856353909e-01
2.600000000000000000e+01,1.106727076853846053e-01
2.700000000000000000e+01,1.106727076850647778e-01
2.800000000000000000e+01,1.106727076846603097e-01
2.900000000000000000e+01,1.106727076841528268e-01
3.000000000000000000e+01,1.106727076835207629e-01
3.100000000000000000e+01,1.106727076827390549e-01
3.200000000000000000e+01,1.106727076817786426e-01
3.300000000000000000e+01,1.106727076806059140e-01
3.400000000000000000e+01,1.106727076791823028e-01
3.500000000000000000e+01,1.106727076774637747e-01
3.600000000000000000e+01,1.106727076754000366e-01
3.700000000000000000e+01,1.106727076729339676e-01
3.800000000000000000e+01,1.106727076700012996e-01
3.900000000000000000e+01,1.106727076665298543e-01
4.000000000000000000e+01,1.106727076624380857e-01
4.100000000000000000e+01,1.106727076576349555e-01
4.200000000000000000e+01,1.106727076520194336e-01
4.300000000000000000e+01,1.106727076454788461e-01
4.400000000000000000e+01,1.106727076378874880e-01
4.500000000000000000e+01,1.106727076291069006e-01
4.600000000000000000e+01,1.106727076189846087e-01
4.700000000000000000e+01,1.106727076073525801e-01
4.800000000000000000e+01,1.106727075940267535e-01
4.900000000000000000e+01,1.106727075788052905e-01
5.000000000000000000e+01,1.106727075614673123e-01
5.100000000000000000e+01,1.106727075417718864e-01
5.200000000000000000e+01,1.106727075194560289e-01
5.300000000000000000e+01,1.106727074942345374e-01
5.400000000000000000e+01,1.106727074657994081e-01
5.500000000000000000e+01,1.106727074338171996e-01
5.600000000000000000e+01,1.106727073979265619e-01
5.700000000000000000e+01,1.106727073577362386e-01
5.800000000000000000e+01,1.106727073128252054e-01
5.900000000000000000e+01,1.106727072627428365e-01
6.000000000000000000e+01,1.106727072070039369e-01
6.100000000000000000e+01,1.106727071450867295e-01
6.200000000000000000e+01,1.106727070764341181e-01
6.300000000000000000e+01,1.106727070004502878e-01
6.400000000000000000e+01,1.106727069164982341e-01
6.500000000000000000e+01,1.106727068238985839e-01
6.600000000000000000e+01,1.106727067219277771e-01
6.700000000000000000e+01,1.106727066098132234e-01
6.800000000000000000e+01,1.106727064867364246e-01
6.900000000000000000e+01,1.106727063518307824e-01
7.000000000000000000e+01,1.106727062041702042e-01
7.100000000000000000e+01,1.106727060427756121e-01
7.200000000000000000e+01,1.106727058666215208e-01
7.300000000000000000e+01,1.106727056746132365e-01
7.400000000000000000e+01,1.106727054655924636e-01
7.500000000000000000e+01,1.106727052383411486e-01
