# Time [s], Mass [Kg]
1.000000000000000000e+00,9.821874549759998518e-02
2.000000000000000000e+00,9.821874549759998518e-02
3.000000000000000000e+00,9.821874549759997131e-02
4.000000000000000000e+00,9.821874549759995743e-02
5.000000000000000000e+00,9.821874549759988804e-02
6.000000000000000000e+00,9.821874549759972151e-02
7.000000000000000000e+00,9.821874549759930517e-02
8.000000000000000000e+00,9.821874549759836148e-02
9.000000000000000000e+00,9.821874549759637696e-02
1.000000000000000000e+01,9.821874549759249118e-02
1.100000000000000000e+01,9.821874549758524697e-02
1.200000000000000000e+01,9.821874549757238226e-02
1.300000000000000000e+01,9.821874549755038597e-02
1.400000000000000000e+01,9.821874549751410943e-02
1.500000000000000000e+01,9.821874549745611416e-02
1.600000000000000000e+01,9.821874549736589466e-02
1.700000000000000000e+01,9.821874549722894865e-02
1.800000000000000000e+01,9.821874549702568069e-02
1.900000000000000000e+01,9.821874549672993115e-02
2.000000000000000000e+01,9.821874549630743578e-02
2.100000000000000000e+01,9.821874549571389668e-02
2.200000000000000000e+01,9.821874549489255368e-02
2.300000000000000000e+01,9.821874549377182517e-02
2.400000000000000000e+01,9.821874549226232431e-02
2.500000000000000000e+01,9.821874549025350065e-02
2.600000000000000000e+01,9.821874548760993473e-02
2.700000000000000000e+01,9.821874548416682782e-02
2.800000000000000000e+01,9.821874547972557490e-02
2.900000000000000000e+01,9.821874547404858824e-02
3.000000000000000000e+01,9.821874546685267771e-02
3.100000000000000000e+01,9.821874545780433230e-02
3.200000000000000000e+01,9.821874544651272576e-02
3.300000000000000000e+01,9.821874543252068213e-02
3.400000000000000000e+01,9.821874541529740377e-02
3.500000000000000000e+01,9.821874539422772998e-02
3.600000000000000000e+01,9.821874536860432381e-02
3.700000000000000000e+01,9.821874533761913717e-02
3.800000000000000000e+01,9.821874530035221151e-02
3.900000000000000000e+01,9.821874525575839676e-02
4.000000000000000000e+01,9.821874520265340414e-02
4.100000000000000000e+01,9.821874513970592357e-02
4.200000000000000000e+01,9.821874506541948546e-02
4.300000000000000000e+01,9.821874497811666771e-02
4.400000000000000000e+01,9.821874487592782699e-02
4.500000000000000000e+01,9.821874475677473681e-02
4.600000000000000000e+01,9.821874461834841086e-02
4.700000000000000000e+01,9.821874445810012400e-02
4.800000000000000000e+01,9.821874427322704881e-02
4.900000000000000000e+01,9.821874406063614560e-02
5.000000000000000000e+01,9.821874381692437261e-02
5.100000000000000000e+01,9.821874353836551608e-02
5.200000000000000000e+01,9.821874322090064224e-02
