# Time [s], Mass [Kg]
1.000000000000000000e+00,9.821874549759174178e-02
2.000000000000000000e+00,9.821874549758517758e-02
3.000000000000000000e+00,9.821874549757488027e-02
4.000000000000000000e+00,9.821874549755578443e-02
5.000000000000000000e+00,9.821874549751755112e-02
6.000000000000000000e+00,9.821874549744054328e-02
7.000000000000000000e+00,9.821874549728974724e-02
8.000000000000000000e+00,9.821874549700584933e-02
9.000000000000000000e+00,9.821874549649264874e-02
1.000000000000000000e+01,9.821874549559989065e-02
1.100000000000000000e+01,9.821874549410032629e-02
1.200000000000000000e+01,9.821874549166015322e-02
1.300000000000000000e+01,9.821874548780146208e-02
1.400000000000000000e+01,9.821874548185419163e-02
1.500000000000000000e+01,9.821874547289784207e-02
1.600000000000000000e+01,9.821874545969049020e-02
1.700000000000000000e+01,9.821874544058371848e-02
1.800000000000000000e+01,9.821874541342097420e-02
1.900000000000000000e+01,9.821874537541967765e-02
2.000000000000000000e+01,9.821874532303075112e-02
2.100000000000000000e+01,9.821874525177995419e-02
2.200000000000000000e+01,9.821874515608086664e-02
2.300000000000000000e+01,9.821874502903750470e-02
2.400000000000000000e+01,9.821874486219907274e-02
2.500000000000000000e+01,9.821874464531608895e-02
2.600000000000000000e+01,9.821874436603916791e-02
2.700000000000000000e+01,9.821874400957505968e-02
2.800000000000000000e+01,9.821874355830047254e-02
2.900000000000000000e+01,9.821874299143837361e-02
3.000000000000000000e+01,9.821874228467239454e-02
3.100000000000000000e+01,9.821874140951077081e-02
3.200000000000000000e+01,9.821874033281799421e-02
3.300000000000000000e+01,9.821873901643544957e-02
3.400000000000000000e+01,9.821873741647364764e-02
3.500000000000000000e+01,9.821873548260529052e-02
3.600000000000000000e+01,9.821873315751014633e-02
3.700000000000000000e+01,9.821873037602189827e-02
3.800000000000000000e+01,9.821872706437530243e-02
3.900000000000000000e+01,9.821872313941949761e-02
4.000000000000000000e+01,9.821871850785345026e-02
4.100000000000000000e+01,9.821871306510560062e-02
4.200000000000000000e+01,9.821870669436939816e-02
4.300000000000000000e+01,9.821869926601954626e-02
4.400000000000000000e+01,9.821869063586524673e-02
4.500000000000000000e+01,9.821868064417119126e-02
4.600000000000000000e+01,9.821866911480169049e-02
4.700000000000000000e+01,9.821865585407719978e-02
4.800000000000000000e+01,9.821864064939969663e-02
4.900000000000000000e+01,9.821862326764368989e-02
5.000000000000000000e+01,9.821860345362769251e-02
5.100000000000000000e+01,9.821858092873270163e-02
5.200000000000000000e+01,9.821855538976870248e-02
5.300000000000000000e+01,9.821852650810070084e-02
5.400000000000000000e+01,9.821849392649670274e-02
5.500000000000000000e+01,9.821845725860268994e-02
5.600000000000000000e+01,9.821841608760019382e-02
5.700000000000000000e+01,9.821836996276420151e-02
5.800000000000000000e+01,9.821831839903269468e-02
5.900000000000000000e+01,9.821826087386670290e-02
6.000000000000000000e+01,9.821819682655019701e-02
6.100000000000000000e+01,9.821812565897120040e-02
6.200000000000000000e+01,9.821804672829269334e-02
6.300000000000000000e+01,9.821795934470219092e-02
6.400000000000000000e+01,9.821786277532219833e-02
6.500000000000000000e+01,9.821775624005719962e-02
6.600000000000000000e+01,9.821763891045219574e-02
6.700000000000000000e+01,9.821750990426719730e-02
6.800000000000000000e+01,9.821736827871720144e-02
6.900000000000000000e+01,9.821721303669719849e-02
7.000000000000000000e+01,9.821704312479719035e-02
7.100000000000000000e+01,9.821685742663720242e-02
7.200000000000000000e+01,9.821665475997219674e-02
7.300000000000000000e+01,9.821643387825719496e-02
7.400000000000000000e+01,9.821619347063219319e-02
7.500000000000000000e+01,9.821593215184719339e-02
7.600000000000000000e+01,9.821564846375720192e-02
7.700000000000000000e+01,9.821534087598719764e-02
7.800000000000000000e+01,9.821500776779219788e-02
7.900000000000000000e+01,9.821464744711219663e-02
8.000000000000000000e+01,9.821425814454219638e-02
8.100000000000000000e+01,9.821383799851220175e-02
8.200000000000000000e+01,9.821338506428720083e-02
8.300000000000000000e+01,9.821289729792219425e-02
8.400000000000000000e+01,9.821237258252218938e-02
8.500000000000000000e+01,9.821180869120219037e-02
8.600000000000000000e+01,9.821120330338720117e-02
8.700000000000000000e+01,9.821055400335219898e-02
8.800000000000000000e+01,9.820985825939219926e-02
8.900000000000000000e+01,9.820911346292220123e-02
9.000000000000000000e+01,9.820831689155219701e-02
9.100000000000000000e+01,9.820746569666718995e-02
9.200000000000000000e+01,9.820655694137719882e-02
9.300000000000000000e+01,9.820558758302719293e-02
9.400000000000000000e+01,9.820455443117719063e-02
9.500000000000000000e+01,9.820345419237719309e-02
9.600000000000000000e+01,9.820228348462720080e-02
9.700000000000000000e+01,9.820103880367719862e-02
9.800000000000000000e+01,9.819971650987720235e-02
9.900000000000000000e+01,9.819831283082719464e-02
1.000000000000000000e+02,9.819682389482720097e-02
1.010000000000000000e+02,9.819524569582720186e-02
1.020000000000000000e+02,9.819357411137719094e-02
1.030000000000000000e+02,9.819180490607719303e-02
1.040000000000000000e+02,9.818993367772720082e-02
1.050000000000000000e+02,9.818795589187719053e-02
1.060000000000000000e+02,9.818586692872720290e-02
1.070000000000000000e+02,9.818366204707719425e-02
1.080000000000000000e+02,9.818133637237719258e-02
1.090000000000000000e+02,9.817888493077719936e-02
1.100000000000000000e+02,9.817630259752720134e-02
1.110000000000000000e+02,9.817358411407720031e-02
1.120000000000000000e+02,9.817072407552719648e-02
1.130000000000000000e+02,9.816771694817719163e-02
1.140000000000000000e+02,9.816455706672719272e-02
1.150000000000000000e+02,9.816123865162719453e-02
1.160000000000000000e+02,9.815775584397719300e-02
1.170000000000000000e+02,9.815410264122718942e-02
1.180000000000000000e+02,9.815027294597719609e-02
1.190000000000000000e+02,9.814626053687719454e-02
1.200000000000000000e+02,9.814205909152719232e-02
1.210000000000000000e+02,9.813766219497720156e-02
1.220000000000000000e+02,9.813306327147719443e-02
1.230000000000000000e+02,9.812825573072719854e-02
