# Time [s], Mass [Kg]
1.000000000000000000e+00,9.821874549759998518e-02
2.000000000000000000e+00,9.821874549759992967e-02
3.000000000000000000e+00,9.821874549759557205e-02
4.000000000000000000e+00,9.821874549747407201e-02
5.000000000000000000e+00,9.821874549574111102e-02
6.000000000000000000e+00,9.821874548013587169e-02
7.000000000000000000e+00,9.821874537973843133e-02
8.000000000000000000e+00,9.821874487999514292e-02
9.000000000000000000e+00,9.821874284768941643e-02
1.000000000000000000e+01,9.821873582659751412e-02
1.100000000000000000e+01,9.821871461474751541e-02
1.200000000000000000e+01,9.821865732210700861e-02
1.300000000000000000e+01,9.821851658011501729e-02
1.400000000000000000e+01,9.821819783477502008e-02
1.500000000000000000e+01,9.821752509892001104e-02
1.600000000000000000e+01,9.821619046917501317e-02
1.700000000000000000e+01,9.821368467772501054e-02
1.800000000000000000e+01,9.820920900627501393e-02
1.900000000000000000e+01,9.820157511857501020e-02
2.000000000000000000e+01,9.818911003102501200e-02
2.100000000000000000e+01,9.816959941202502149e-02
2.200000000000000000e+01,9.814031627902501664e-02
2.300000000000000000e+01,9.809818270652501115e-02
2.400000000000000000e+01,9.804038477952502217e-02
2.500000000000000000e+01,9.796479043652502050e-02
2.600000000000000000e+01,9.786938198702500868e-02
2.700000000000000000e+01,9.775278497202501138e-02
2.800000000000000000e+01,9.761494505202501781e-02
2.900000000000000000e+01,9.745666756702502098e-02
3.000000000000000000e+01,9.727932540702501074e-02
3.100000000000000000e+01,9.708455011702502024e-02
3.200000000000000000e+01,9.687400491702501115e-02
3.300000000000000000e+01,9.664926160202501337e-02
3.400000000000000000e+01,9.641174545702502208e-02
3.500000000000000000e+01,9.616270664202501706e-02
3.600000000000000000e+01,9.590324048202501783e-02
3.700000000000000000e+01,9.563430815702501919e-02
3.800000000000000000e+01,9.535673743202500996e-02
3.900000000000000000e+01,9.507125546202500888e-02
4.000000000000000000e+01,9.477850833202501601e-02
4.100000000000000000e+01,9.447905628702502057e-02
4.200000000000000000e+01,9.417339933202500957e-02
4.300000000000000000e+01,9.385628737702501889e-02
4.400000000000000000e+01,9.353696453702502189e-02
4.500000000000000000e+01,9.322105983702501375e-02
4.600000000000000000e+01,9.290005915202501074e-02
4.700000000000000000e+01,9.257421616702501965e-02
4.800000000000000000e+01,9.224343652702501895e-02
4.900000000000000000e+01,9.190805176202501703e-02
5.000000000000000000e+01,9.156831441202500921e-02
5.100000000000000000e+01,9.122451424702501810e-02
5.200000000000000000e+01,9.087690781702500997e-02
5.300000000000000000e+01,9.052573420202501830e-02
5.400000000000000000e+01,9.017120918202500834e-02
5.500000000000000000e+01,8.981353484702501999e-02
5.600000000000000000e+01,8.944831940202500886e-02
5.700000000000000000e+01,8.908449770702500659e-02
5.800000000000000000e+01,8.872578398202501937e-02
5.900000000000000000e+01,8.836335608702501621e-02
6.000000000000000000e+01,8.799770884702501350e-02
6.100000000000000000e+01,8.762871638202501812e-02
6.200000000000000000e+01,8.725668129702501830e-02
6.300000000000000000e+01,8.688178229702502031e-02
6.400000000000000000e+01,8.650423575702501089e-02
6.500000000000000000e+01,8.612420976202501965e-02
6.600000000000000000e+01,8.574186523702501117e-02
6.700000000000000000e+01,8.535230422702501374e-02
6.800000000000000000e+01,8.496442603202501720e-02
6.900000000000000000e+01,8.458245156702501322e-02
7.000000000000000000e+01,8.419759607702501092e-02
7.100000000000000000e+01,8.381030782702501847e-02
7.200000000000000000e+01,8.342039329202501075e-02
7.300000000000000000e+01,8.302808589202501088e-02
7.400000000000000000e+01,8.263350869702501544e-02
7.500000000000000000e+01,8.223682481202501671e-02
7.600000000000000000e+01,8.183815794202500826e-02
7.700000000000000000e+01,8.143328610702500747e-02
7.800000000000000000e+01,8.103061176202501492e-02
7.900000000000000000e+01,8.063346617702500663e-02
8.000000000000000000e+01,8.023343965702500746e-02
8.100000000000000000e+01,7.983110306702501102e-02
8.200000000000000000e+01,7.942630186202501164e-02
8.300000000000000000e+01,7.901927593702501307e-02
8.400000000000000000e+01,7.861014127202500812e-02
8.500000000000000000e+01,7.819904732202501152e-02
8.600000000000000000e+01,7.778610004202501926e-02
8.700000000000000000e+01,7.736672832702501390e-02
8.800000000000000000e+01,7.694958084202500881e-02
8.900000000000000000e+01,7.653829096202501014e-02
9.000000000000000000e+01,7.612419119202501472e-02
9.100000000000000000e+01,7.570784290702500807e-02
9.200000000000000000e+01,7.528905006202502026e-02
9.300000000000000000e+01,7.486803267202501999e-02
9.400000000000000000e+01,7.444488434702500879e-02
9.500000000000000000e+01,7.401973571702501198e-02
9.600000000000000000e+01,7.359267428202501127e-02
9.700000000000000000e+01,7.315910059702501744e-02
9.800000000000000000e+01,7.272784523702501003e-02
9.900000000000000000e+01,7.230242828202501637e-02
1.000000000000000000e+02,7.187393094702501650e-02
1.010000000000000000e+02,7.144296433202501628e-02
1.020000000000000000e+02,7.100932842702500913e-02
1.030000000000000000e+02,7.057324963202500634e-02
1.040000000000000000e+02,7.013481593702500239e-02
