# Time [s], Thickness [m]
1.000000000000000000e+00,8.000000400000000303e-03
2.000000000000000000e+00,8.000000400000000303e-03
3.000000000000000000e+00,8.000000400000000303e-03
4.000000000000000000e+00,8.000000400000000303e-03
5.000000000000000000e+00,8.000000400000000303e-03
6.000000000000000000e+00,8.000000400000000303e-03
7.000000000000000000e+00,8.000000400000000303e-03
8.000000000000000000e+00,8.000000400000000303e-03
9.000000000000000000e+00,8.000000400000000303e-03
1.000000000000000000e+01,7.999999400000000829e-03
1.100000000000000000e+01,7.999998499999999221e-03
1.200000000000000000e+01,7.999996699999999475e-03
1.300000000000000000e+01,7.999989199999999953e-03
1.400000000000000000e+01,7.999973400000000637e-03
1.500000000000000000e+01,7.999937099999999968e-03
1.600000000000000000e+01,7.999863499999999156e-03
1.700000000000000000e+01,7.999720099999999695e-03
1.800000000000000000e+01,7.999455600000000138e-03
1.900000000000000000e+01,7.998990799999999499e-03
2.000000000000000000e+01,7.998212200000000272e-03
2.100000000000000000e+01,7.996960500000000610e-03
2.200000000000000000e+01,7.995033599999999685e-03
2.300000000000000000e+01,7.992190300000000247e-03
2.400000000000000000e+01,7.988169800000000098e-03
2.500000000000000000e+01,7.982774600000000845e-03
2.600000000000000000e+01,7.975855800000000717e-03
2.700000000000000000e+01,7.967232700000000112e-03
2.800000000000000000e+01,7.956861500000000573e-03
2.900000000000000000e+01,7.944778499999999299e-03
3.000000000000000000e+01,7.931077899999999792e-03
3.100000000000000000e+01,7.915888899999999270e-03
3.200000000000000000e+01,7.899348599999999818e-03
3.300000000000000000e+01,7.881591099999999891e-03
3.400000000000000000e+01,7.862737399999999988e-03
3.500000000000000000e+01,7.842899299999999199e-03
3.600000000000000000e+01,7.822169000000000344e-03
3.700000000000000000e+01,7.800631199999999779e-03
3.800000000000000000e+01,7.778359099999999915e-03
3.900000000000000000e+01,7.755414599999999742e-03
4.000000000000000000e+01,7.731853999999999810e-03
4.100000000000000000e+01,7.707725700000000145e-03
4.200000000000000000e+01,7.683072699999999797e-03
4.300000000000000000e+01,7.657933500000000185e-03
4.400000000000000000e+01,7.631414599999999764e-03
4.500000000000000000e+01,7.605915399999999688e-03
4.600000000000000000e+01,7.579952899999999917e-03
4.700000000000000000e+01,7.553624000000000102e-03
4.800000000000000000e+01,7.526872700000000228e-03
4.900000000000000000e+01,7.499739499999999795e-03
5.000000000000000000e+01,7.472237999999999970e-03
5.100000000000000000e+01,7.444395700000000157e-03
5.200000000000000000e+01,7.416232499999999769e-03
5.300000000000000000e+01,7.387769899999999633e-03
5.400000000000000000e+01,7.359025499999999678e-03
5.500000000000000000e+01,7.330017200000000371e-03
5.600000000000000000e+01,7.300759700000000220e-03
5.700000000000000000e+01,7.270522899999999622e-03
5.800000000000000000e+01,7.241492599999999752e-03
5.900000000000000000e+01,7.212088000000000179e-03
6.000000000000000000e+01,7.182452399999999897e-03
6.100000000000000000e+01,7.152523400000000177e-03
6.200000000000000000e+01,7.122342900000000129e-03
6.300000000000000000e+01,7.091918000000000007e-03
6.400000000000000000e+01,7.061271499999999778e-03
6.500000000000000000e+01,7.030415299999999597e-03
6.600000000000000000e+01,6.999364600000000311e-03
6.700000000000000000e+01,6.968130799999999736e-03
6.800000000000000000e+01,6.935904300000000217e-03
6.900000000000000000e+01,6.904944799999999938e-03
7.000000000000000000e+01,6.873679799999999999e-03
7.100000000000000000e+01,6.842250900000000115e-03
7.200000000000000000e+01,6.810590200000000115e-03
7.300000000000000000e+01,6.778733299999999996e-03
7.400000000000000000e+01,6.746682799999999779e-03
7.500000000000000000e+01,6.714455799999999655e-03
7.600000000000000000e+01,6.682062100000000365e-03
7.700000000000000000e+01,6.649512300000000320e-03
7.800000000000000000e+01,6.616107700000000216e-03
7.900000000000000000e+01,6.583916000000000421e-03
8.000000000000000000e+01,6.551411899999999913e-03
8.100000000000000000e+01,6.518750900000000112e-03
8.200000000000000000e+01,6.485870599999999687e-03
8.300000000000000000e+01,6.452808200000000050e-03
8.400000000000000000e+01,6.419565500000000077e-03
8.500000000000000000e+01,6.386159500000000364e-03
8.600000000000000000e+01,6.352597800000000031e-03
8.700000000000000000e+01,6.318889599999999614e-03
8.800000000000000000e+01,6.284281099999999669e-03
8.900000000000000000e+01,6.250935600000000203e-03
9.000000000000000000e+01,6.217281300000000385e-03
9.100000000000000000e+01,6.183478000000000065e-03
9.200000000000000000e+01,6.149457799999999939e-03
9.300000000000000000e+01,6.115255899999999870e-03
9.400000000000000000e+01,6.080873300000000196e-03
9.500000000000000000e+01,6.046324500000000227e-03
9.600000000000000000e+01,6.011616000000000008e-03
9.700000000000000000e+01,5.976755599999999599e-03
9.800000000000000000e+01,5.940985900000000063e-03
9.900000000000000000e+01,5.906503199999999648e-03
1.000000000000000000e+02,5.871684799999999683e-03
1.010000000000000000e+02,5.836700600000000426e-03
1.020000000000000000e+02,5.801479800000000284e-03
1.030000000000000000e+02,5.766060200000000004e-03
1.040000000000000000e+02,5.730441799999999586e-03
1.050000000000000000e+02,5.694638900000000004e-03
1.060000000000000000e+02,5.658656800000000028e-03
1.070000000000000000e+02,5.621834200000000101e-03
1.080000000000000000e+02,5.586173899999999706e-03
1.090000000000000000e+02,5.550137699999999931e-03
1.100000000000000000e+02,5.513905099999999969e-03
1.110000000000000000e+02,5.477411199999999807e-03
1.120000000000000000e+02,5.440693800000000191e-03
1.130000000000000000e+02,5.403752000000000381e-03
1.140000000000000000e+02,5.366600099999999617e-03
1.150000000000000000e+02,5.329241499999999923e-03
1.160000000000000000e+02,5.291682699999999615e-03
1.170000000000000000e+02,5.253258599999999570e-03
1.180000000000000000e+02,5.216049999999999853e-03
1.190000000000000000e+02,5.178389099999999856e-03
1.200000000000000000e+02,5.140485699999999998e-03
1.210000000000000000e+02,5.102267500000000344e-03
1.220000000000000000e+02,5.063778300000000218e-03
1.230000000000000000e+02,5.025015699999999669e-03
1.240000000000000000e+02,4.985995099999999611e-03
1.250000000000000000e+02,4.946139199999999639e-03
1.260000000000000000e+02,4.907276900000000219e-03
1.270000000000000000e+02,4.867924400000000172e-03
1.280000000000000000e+02,4.828279399999999694e-03
1.290000000000000000e+02,4.788279099999999920e-03
1.300000000000000000e+02,4.747961600000000400e-03
1.310000000000000000e+02,4.707322899999999768e-03
1.320000000000000000e+02,4.666374099999999643e-03
1.330000000000000000e+02,4.625115100000000423e-03
1.340000000000000000e+02,4.582847000000000136e-03
1.350000000000000000e+02,4.541667600000000304e-03
1.360000000000000000e+02,4.499905299999999893e-03
1.370000000000000000e+02,4.457777799999999846e-03
1.380000000000000000e+02,4.415207099999999586e-03
1.390000000000000000e+02,4.372232600000000406e-03
1.400000000000000000e+02,4.328845100000000036e-03
1.410000000000000000e+02,4.284514599999999888e-03
1.420000000000000000e+02,4.240952000000000090e-03
1.430000000000000000e+02,4.196707200000000110e-03
1.440000000000000000e+02,4.151993399999999793e-03
1.450000000000000000e+02,4.106741399999999827e-03
1.460000000000000000e+02,4.060982700000000112e-03
1.470000000000000000e+02,4.014703900000000415e-03
1.480000000000000000e+02,3.967905400000000006e-03
1.490000000000000000e+02,3.919883600000000079e-03
1.500000000000000000e+02,3.872646300000000090e-03
1.510000000000000000e+02,3.824571399999999836e-03
1.520000000000000000e+02,3.775878600000000078e-03
1.530000000000000000e+02,3.726480800000000169e-03
1.540000000000000000e+02,3.676407699999999831e-03
1.550000000000000000e+02,3.625640900000000159e-03
1.560000000000000000e+02,3.573521000000000076e-03
1.570000000000000000e+02,3.521921099999999940e-03
1.580000000000000000e+02,3.469319499999999959e-03
1.590000000000000000e+02,3.415952900000000184e-03
1.600000000000000000e+02,3.361748500000000077e-03
1.610000000000000000e+02,3.306752300000000144e-03
1.620000000000000000e+02,3.250400999999999985e-03
1.630000000000000000e+02,3.194355399999999987e-03
1.640000000000000000e+02,3.137265800000000032e-03
1.650000000000000000e+02,3.079405099999999937e-03
1.660000000000000000e+02,3.020743800000000052e-03
1.670000000000000000e+02,2.961366200000000067e-03
1.680000000000000000e+02,2.900696400000000053e-03
1.690000000000000000e+02,2.840477000000000106e-03
1.700000000000000000e+02,2.779388099999999858e-03
1.710000000000000000e+02,2.717742699999999793e-03
1.720000000000000000e+02,2.655534299999999862e-03
1.730000000000000000e+02,2.592252299999999853e-03
1.740000000000000000e+02,2.529547300000000148e-03
1.750000000000000000e+02,2.466193900000000078e-03
1.760000000000000000e+02,2.402494700000000049e-03
1.770000000000000000e+02,2.338439700000000121e-03
1.780000000000000000e+02,2.274116699999999876e-03
1.790000000000000000e+02,2.208830800000000007e-03
1.800000000000000000e+02,2.144388899999999983e-03
1.810000000000000000e+02,2.079453800000000043e-03
1.820000000000000000e+02,2.014337799999999998e-03
1.830000000000000000e+02,1.949002700000000048e-03
1.840000000000000000e+02,1.882741799999999898e-03
1.850000000000000000e+02,1.817351999999999943e-03
1.860000000000000000e+02,1.751547599999999988e-03
1.870000000000000000e+02,1.685647499999999924e-03
1.880000000000000000e+02,1.619608700000000050e-03
1.890000000000000000e+02,1.552624500000000015e-03
