# Time [s], Mass [Kg]
1.000000000000000000e+00,9.821874549759174178e-02
2.000000000000000000e+00,9.821874549758423389e-02
3.000000000000000000e+00,9.821874549756705319e-02
4.000000000000000000e+00,9.821874549751691275e-02
5.000000000000000000e+00,9.821874549736944737e-02
6.000000000000000000e+00,9.821874549696783807e-02
7.000000000000000000e+00,9.821874549596677773e-02
8.000000000000000000e+00,9.821874549366675644e-02
9.000000000000000000e+00,9.821874548874540145e-02
1.000000000000000000e+01,9.821874547884243412e-02
1.100000000000000000e+01,9.821874545994582761e-02
1.200000000000000000e+01,9.821874542552226639e-02
1.300000000000000000e+01,9.821874536532294864e-02
1.400000000000000000e+01,9.821874526376603298e-02
1.500000000000000000e+01,9.821874509783300178e-02
1.600000000000000000e+01,9.821874483436028591e-02
1.700000000000000000e+01,9.821874442666771177e-02
1.800000000000000000e+01,9.821874381034971513e-02
1.900000000000000000e+01,9.821874289814083725e-02
2.000000000000000000e+01,9.821874157385723780e-02
2.100000000000000000e+01,9.821873968500619001e-02
2.200000000000000000e+01,9.821873703410682888e-02
2.300000000000000000e+01,9.821873336900348306e-02
2.400000000000000000e+01,9.821872837129393130e-02
2.500000000000000000e+01,9.821872164332658139e-02
2.600000000000000000e+01,9.821871269413302852e-02
2.700000000000000000e+01,9.821870092232903859e-02
2.800000000000000000e+01,9.821868559482403727e-02
2.900000000000000000e+01,9.821866582975304072e-02
3.000000000000000000e+01,9.821864057390752856e-02
3.100000000000000000e+01,9.821860857695154101e-02
3.200000000000000000e+01,9.821856836497452892e-02
3.300000000000000000e+01,9.821851820925353582e-02
3.400000000000000000e+01,9.821845609556403844e-02
3.500000000000000000e+01,9.821837968911503736e-02
3.600000000000000000e+01,9.821828629707353431e-02
3.700000000000000000e+01,9.821817283261354004e-02
3.800000000000000000e+01,9.821803577857353418e-02
3.900000000000000000e+01,9.821787113596854024e-02
4.000000000000000000e+01,9.821767437657853705e-02
4.100000000000000000e+01,9.821744040348853733e-02
4.200000000000000000e+01,9.821716350460353573e-02
4.300000000000000000e+01,9.821683726287853966e-02
4.400000000000000000e+01,9.821645454086352922e-02
4.500000000000000000e+01,9.821600744384353932e-02
4.600000000000000000e+01,9.821548721882353283e-02
4.700000000000000000e+01,9.821488422488353076e-02
4.800000000000000000e+01,9.821418786557353786e-02
4.900000000000000000e+01,9.821338651961852850e-02
5.000000000000000000e+01,9.821246748941353522e-02
5.100000000000000000e+01,9.821141692190853145e-02
5.200000000000000000e+01,9.821021980735852863e-02
5.300000000000000000e+01,9.820885993935853098e-02
5.400000000000000000e+01,9.820731971925852899e-02
5.500000000000000000e+01,9.820558024525853635e-02
5.600000000000000000e+01,9.820362127615853143e-02
5.700000000000000000e+01,9.820142108815853310e-02
5.800000000000000000e+01,9.819895650475853055e-02
5.900000000000000000e+01,9.819620283790853055e-02
6.000000000000000000e+01,9.819313380395854052e-02
6.100000000000000000e+01,9.818972163090854133e-02
6.200000000000000000e+01,9.818593712085853242e-02
6.300000000000000000e+01,9.818174944500852874e-02
6.400000000000000000e+01,9.817712626495853079e-02
6.500000000000000000e+01,9.817203390635853566e-02
6.600000000000000000e+01,9.816643723400853006e-02
6.700000000000000000e+01,9.816029944995853518e-02
6.800000000000000000e+01,9.815358229600854023e-02
6.900000000000000000e+01,9.814624640905852959e-02
7.000000000000000000e+01,9.813825149730853736e-02
7.100000000000000000e+01,9.812955613220852857e-02
7.200000000000000000e+01,9.812011782740853727e-02
7.300000000000000000e+01,9.810989327210853372e-02
7.400000000000000000e+01,9.809883862610853378e-02
7.500000000000000000e+01,9.808690958660853942e-02
7.600000000000000000e+01,9.807406137060853402e-02
7.700000000000000000e+01,9.806024917960853848e-02
7.800000000000000000e+01,9.804542861110852880e-02
7.900000000000000000e+01,9.802955540960853198e-02
8.000000000000000000e+01,9.801258548110854119e-02
8.100000000000000000e+01,9.799447546860853842e-02
8.200000000000000000e+01,9.797518325660853344e-02
8.300000000000000000e+01,9.795466758510854022e-02
8.400000000000000000e+01,9.793288835610854115e-02
8.500000000000000000e+01,9.790980703810853170e-02
8.600000000000000000e+01,9.788538693360852860e-02
8.700000000000000000e+01,9.785959339210853480e-02
8.800000000000000000e+01,9.783239337860853702e-02
8.900000000000000000e+01,9.780375626260853772e-02
9.000000000000000000e+01,9.777365380360852898e-02
9.100000000000000000e+01,9.774205979460853788e-02
9.200000000000000000e+01,9.770895068160853625e-02
9.300000000000000000e+01,9.767430559660852940e-02
9.400000000000000000e+01,9.763810600360853242e-02
9.500000000000000000e+01,9.760033607610853201e-02
9.600000000000000000e+01,9.756098242360854156e-02
9.700000000000000000e+01,9.752003345960853775e-02
9.800000000000000000e+01,9.747748095610853092e-02
9.900000000000000000e+01,9.743331946210853634e-02
1.000000000000000000e+02,9.738754581210853911e-02
1.010000000000000000e+02,9.734015887710853465e-02
1.020000000000000000e+02,9.729115976410852851e-02
1.030000000000000000e+02,9.724055220060853766e-02
1.040000000000000000e+02,9.718834126760853009e-02
1.050000000000000000e+02,9.713453464260853043e-02
1.060000000000000000e+02,9.707914145010854146e-02
1.070000000000000000e+02,9.702217136610853665e-02
1.080000000000000000e+02,9.696363638210853120e-02
1.090000000000000000e+02,9.690355023110854005e-02
1.100000000000000000e+02,9.684192686310853782e-02
1.110000000000000000e+02,9.677878156860852954e-02
1.120000000000000000e+02,9.671413125210853723e-02
1.130000000000000000e+02,9.664827542860852938e-02
1.140000000000000000e+02,9.658128183560853175e-02
1.150000000000000000e+02,9.651291411810852816e-02
1.160000000000000000e+02,9.644315697160853185e-02
1.170000000000000000e+02,9.637201050310853501e-02
1.180000000000000000e+02,9.629948186760853290e-02
1.190000000000000000e+02,9.622558261410853186e-02
1.200000000000000000e+02,9.615032707510853816e-02
1.210000000000000000e+02,9.607373038960853595e-02
1.220000000000000000e+02,9.599580943110853914e-02
1.230000000000000000e+02,9.591658248410853127e-02
1.240000000000000000e+02,9.583606660760853047e-02
1.250000000000000000e+02,9.575428015360853973e-02
1.260000000000000000e+02,9.567124155310853528e-02
1.270000000000000000e+02,9.558696929010852827e-02
1.280000000000000000e+02,9.550148290260852824e-02
1.290000000000000000e+02,9.541480010260852684e-02
1.300000000000000000e+02,9.532693925660853940e-02
1.310000000000000000e+02,9.523791827310854052e-02
1.320000000000000000e+02,9.514775424560853456e-02
1.330000000000000000e+02,9.505646500360853679e-02
1.340000000000000000e+02,9.496406789960853967e-02
1.350000000000000000e+02,9.487057941610853307e-02
1.360000000000000000e+02,9.477601487810853598e-02
1.370000000000000000e+02,9.468039088860853714e-02
1.380000000000000000e+02,9.458372376160853467e-02
1.390000000000000000e+02,9.448602835910853426e-02
1.400000000000000000e+02,9.438731865010853428e-02
1.410000000000000000e+02,9.428760784460853139e-02
1.420000000000000000e+02,9.418691021460853796e-02
1.430000000000000000e+02,9.408523900460853684e-02
1.440000000000000000e+02,9.398260729460852780e-02
1.450000000000000000e+02,9.387902867960853937e-02
1.460000000000000000e+02,9.377451399960853862e-02
1.470000000000000000e+02,9.366907380460853805e-02
1.480000000000000000e+02,9.356272033960853773e-02
1.490000000000000000e+02,9.345546411460853298e-02
1.500000000000000000e+02,9.334731506960852743e-02
1.510000000000000000e+02,9.323828376960853481e-02
1.520000000000000000e+02,9.312838065960853118e-02
1.530000000000000000e+02,9.301761485460853518e-02
1.540000000000000000e+02,9.290590558460852522e-02
1.550000000000000000e+02,9.279340730960852768e-02
1.560000000000000000e+02,9.268031675960852755e-02
1.570000000000000000e+02,9.256656584460852544e-02
1.580000000000000000e+02,9.245211266460852395e-02
1.590000000000000000e+02,9.233693039460852403e-02
1.600000000000000000e+02,9.222100020460853587e-02
1.610000000000000000e+02,9.210430958460852358e-02
1.620000000000000000e+02,9.198685005960853533e-02
1.630000000000000000e+02,9.186861704960852526e-02
1.640000000000000000e+02,9.174960746460852912e-02
1.650000000000000000e+02,9.162981888460852709e-02
1.660000000000000000e+02,9.150925148460853364e-02
1.670000000000000000e+02,9.138790746460853653e-02
1.680000000000000000e+02,9.126578754460852594e-02
1.690000000000000000e+02,9.114289191460853146e-02
1.700000000000000000e+02,9.101922371460853534e-02
1.710000000000000000e+02,9.089478526460853525e-02
1.720000000000000000e+02,9.076957939960852983e-02
1.730000000000000000e+02,9.064360890960852790e-02
1.740000000000000000e+02,9.051687605460853603e-02
1.750000000000000000e+02,9.038938440960853082e-02
1.760000000000000000e+02,9.026113745960853696e-02
1.770000000000000000e+02,9.013213777460853116e-02
1.780000000000000000e+02,9.000238857460853004e-02
1.790000000000000000e+02,8.987189210960852548e-02
1.800000000000000000e+02,8.974065053460852925e-02
1.810000000000000000e+02,8.960866774460853057e-02
1.820000000000000000e+02,8.947594612460853247e-02
