# Time [s], Thickness [m]
1.000000000000000000e+00,8.000000400000000303e-03
2.000000000000000000e+00,8.000000400000000303e-03
3.000000000000000000e+00,8.000000400000000303e-03
4.000000000000000000e+00,8.000000400000000303e-03
5.000000000000000000e+00,8.000000400000000303e-03
6.000000000000000000e+00,8.000000400000000303e-03
7.000000000000000000e+00,8.000000400000000303e-03
8.000000000000000000e+00,8.000000400000000303e-03
9.000000000000000000e+00,8.000000400000000303e-03
1.000000000000000000e+01,8.000000400000000303e-03
1.100000000000000000e+01,8.000000400000000303e-03
1.200000000000000000e+01,7.999999400000000829e-03
1.300000000000000000e+01,7.999999400000000829e-03
1.400000000000000000e+01,7.999999400000000829e-03
1.500000000000000000e+01,7.999998499999999221e-03
1.600000000000000000e+01,7.999997599999999348e-03
1.700000000000000000e+01,7.999996699999999475e-03
1.800000000000000000e+01,7.999993900000000255e-03
1.900000000000000000e+01,7.999990099999999826e-03
2.000000000000000000e+01,7.999984499999999651e-03
2.100000000000000000e+01,7.999976199999999857e-03
2.200000000000000000e+01,7.999963100000000160e-03
2.300000000000000000e+01,7.999944499999999889e-03
2.400000000000000000e+01,7.999919399999999570e-03
2.500000000000000000e+01,7.999882999999999300e-03
2.600000000000000000e+01,7.999834600000000143e-03
2.700000000000000000e+01,7.999767499999999379e-03
2.800000000000000000e+01,7.999680000000000332e-03
2.900000000000000000e+01,7.999563600000000538e-03
3.000000000000000000e+01,7.999413599999999694e-03
3.100000000000000000e+01,7.999219899999999994e-03
3.200000000000000000e+01,7.998973100000000835e-03
3.300000000000000000e+01,7.998662999999999607e-03
3.400000000000000000e+01,7.998275600000000207e-03
3.500000000000000000e+01,7.997796899999999598e-03
3.600000000000000000e+01,7.997209200000000850e-03
3.700000000000000000e+01,7.996494899999999698e-03
3.800000000000000000e+01,7.995634300000000264e-03
3.900000000000000000e+01,7.994603399999999568e-03
4.000000000000000000e+01,7.993380499999999320e-03
4.100000000000000000e+01,7.991940700000000133e-03
4.200000000000000000e+01,7.990256899999999274e-03
4.300000000000000000e+01,7.988303000000000417e-03
4.400000000000000000e+01,7.986053800000000175e-03
4.500000000000000000e+01,7.983482400000000215e-03
4.600000000000000000e+01,7.980563700000000218e-03
4.700000000000000000e+01,7.977274200000000412e-03
4.800000000000000000e+01,7.973592700000000505e-03
4.900000000000000000e+01,7.969501400000000499e-03
5.000000000000000000e+01,7.964982699999999596e-03
5.100000000000000000e+01,7.960024300000000108e-03
5.200000000000000000e+01,7.954618000000000105e-03
5.300000000000000000e+01,7.948756200000000466e-03
5.400000000000000000e+01,7.942438099999999182e-03
5.500000000000000000e+01,7.935663699999999723e-03
5.600000000000000000e+01,7.928436599999999848e-03
5.700000000000000000e+01,7.920762499999999331e-03
5.800000000000000000e+01,7.912651600000000784e-03
5.900000000000000000e+01,7.904112300000000133e-03
6.000000000000000000e+01,7.895158600000000415e-03
6.100000000000000000e+01,7.885801600000000647e-03
6.200000000000000000e+01,7.876054400000000524e-03
6.300000000000000000e+01,7.865932799999999364e-03
6.400000000000000000e+01,7.855552199999999222e-03
6.500000000000000000e+01,7.844861599999999185e-03
6.600000000000000000e+01,7.833851500000000787e-03
6.700000000000000000e+01,7.822526600000000857e-03
6.800000000000000000e+01,7.810894399999999786e-03
6.900000000000000000e+01,7.798966000000000058e-03
7.000000000000000000e+01,7.786752200000000151e-03
7.100000000000000000e+01,7.774264599999999685e-03
7.200000000000000000e+01,7.761513299999999935e-03
7.300000000000000000e+01,7.748510699999999925e-03
7.400000000000000000e+01,7.735265399999999986e-03
7.500000000000000000e+01,7.721788200000000331e-03
7.600000000000000000e+01,7.708088499999999829e-03
7.700000000000000000e+01,7.694175000000000146e-03
7.800000000000000000e+01,7.680056600000000414e-03
7.900000000000000000e+01,7.665741299999999890e-03
8.000000000000000000e+01,7.651236799999999900e-03
8.100000000000000000e+01,7.636550800000000035e-03
8.200000000000000000e+01,7.621689699999999873e-03
8.300000000000000000e+01,7.606659099999999590e-03
8.400000000000000000e+01,7.591465999999999839e-03
8.500000000000000000e+01,7.576115399999999722e-03
8.600000000000000000e+01,7.560613600000000087e-03
8.700000000000000000e+01,7.544890000000000277e-03
8.800000000000000000e+01,7.529126500000000305e-03
8.900000000000000000e+01,7.513278600000000175e-03
9.000000000000000000e+01,7.497326500000000074e-03
9.100000000000000000e+01,7.481261200000000403e-03
9.200000000000000000e+01,7.465077100000000118e-03
9.300000000000000000e+01,7.448772900000000079e-03
9.400000000000000000e+01,7.432349000000000420e-03
9.500000000000000000e+01,7.415805000000000140e-03
9.600000000000000000e+01,7.399142699999999850e-03
9.700000000000000000e+01,7.382364500000000371e-03
9.800000000000000000e+01,7.365472100000000112e-03
9.900000000000000000e+01,7.348467600000000224e-03
1.000000000000000000e+02,7.331353100000000123e-03
1.010000000000000000e+02,7.314131599999999962e-03
1.020000000000000000e+02,7.296805699999999763e-03
1.030000000000000000e+02,7.279376500000000333e-03
1.040000000000000000e+02,7.261847099999999694e-03
1.050000000000000000e+02,7.244168300000000150e-03
1.060000000000000000e+02,7.226488100000000130e-03
1.070000000000000000e+02,7.208760800000000094e-03
1.080000000000000000e+02,7.190965100000000151e-03
1.090000000000000000e+02,7.173089300000000217e-03
1.100000000000000000e+02,7.155127800000000114e-03
1.110000000000000000e+02,7.137076899999999884e-03
1.120000000000000000e+02,7.118935699999999651e-03
1.130000000000000000e+02,7.100703199999999944e-03
1.140000000000000000e+02,7.082379399999999894e-03
1.150000000000000000e+02,7.063964800000000106e-03
1.160000000000000000e+02,7.045460400000000054e-03
1.170000000000000000e+02,7.026866500000000272e-03
1.180000000000000000e+02,7.008184699999999573e-03
1.190000000000000000e+02,6.989415700000000363e-03
1.200000000000000000e+02,6.970560599999999982e-03
1.210000000000000000e+02,6.951620799999999774e-03
1.220000000000000000e+02,6.932537499999999638e-03
1.230000000000000000e+02,6.913471000000000026e-03
1.240000000000000000e+02,6.894372900000000047e-03
1.250000000000000000e+02,6.875219299999999790e-03
1.260000000000000000e+02,6.855997299999999628e-03
1.270000000000000000e+02,6.836698900000000301e-03
1.280000000000000000e+02,6.817319399999999772e-03
1.290000000000000000e+02,6.797856700000000363e-03
1.300000000000000000e+02,6.778309100000000191e-03
1.310000000000000000e+02,6.758675900000000319e-03
1.320000000000000000e+02,6.738957000000000280e-03
1.330000000000000000e+02,6.719151999999999937e-03
1.340000000000000000e+02,6.699261300000000294e-03
1.350000000000000000e+02,6.679285800000000356e-03
1.360000000000000000e+02,6.659225099999999987e-03
1.370000000000000000e+02,6.639051699999999785e-03
1.380000000000000000e+02,6.618882100000000011e-03
1.390000000000000000e+02,6.598670499999999793e-03
1.400000000000000000e+02,6.578395600000000107e-03
1.410000000000000000e+02,6.558045299999999862e-03
1.420000000000000000e+02,6.537613000000000278e-03
1.430000000000000000e+02,6.517094600000000390e-03
1.440000000000000000e+02,6.496487700000000247e-03
1.450000000000000000e+02,6.475790900000000239e-03
1.460000000000000000e+02,6.455003299999999625e-03
1.470000000000000000e+02,6.434124400000000403e-03
1.480000000000000000e+02,6.413154800000000176e-03
1.490000000000000000e+02,6.392093800000000006e-03
1.500000000000000000e+02,6.370941599999999962e-03
1.510000000000000000e+02,6.349699099999999916e-03
1.520000000000000000e+02,6.328316900000000370e-03
1.530000000000000000e+02,6.306938399999999917e-03
1.540000000000000000e+02,6.285515099999999800e-03
1.550000000000000000e+02,6.264022999999999640e-03
1.560000000000000000e+02,6.242448900000000141e-03
1.570000000000000000e+02,6.220785399999999646e-03
1.580000000000000000e+02,6.199027900000000056e-03
1.590000000000000000e+02,6.177172100000000339e-03
1.600000000000000000e+02,6.155217499999999890e-03
1.610000000000000000e+02,6.133161500000000425e-03
1.620000000000000000e+02,6.111003900000000141e-03
1.630000000000000000e+02,6.088743899999999633e-03
1.640000000000000000e+02,6.066381499999999767e-03
1.650000000000000000e+02,6.043915599999999735e-03
1.660000000000000000e+02,6.021306899999999580e-03
1.670000000000000000e+02,5.998684599999999992e-03
1.680000000000000000e+02,5.975999899999999941e-03
1.690000000000000000e+02,5.953230399999999596e-03
1.700000000000000000e+02,5.930363699999999932e-03
1.710000000000000000e+02,5.907390700000000015e-03
1.720000000000000000e+02,5.884308399999999689e-03
1.730000000000000000e+02,5.861112400000000056e-03
1.740000000000000000e+02,5.837801400000000238e-03
1.750000000000000000e+02,5.814372600000000148e-03
1.760000000000000000e+02,5.790825500000000049e-03
1.770000000000000000e+02,5.767159200000000069e-03
1.780000000000000000e+02,5.743372699999999866e-03
1.790000000000000000e+02,5.719437699999999764e-03
1.800000000000000000e+02,5.695465499999999986e-03
1.810000000000000000e+02,5.671408499999999915e-03
1.820000000000000000e+02,5.647245300000000058e-03
1.830000000000000000e+02,5.622962999999999920e-03
1.840000000000000000e+02,5.598553499999999773e-03
1.850000000000000000e+02,5.574013099999999658e-03
1.860000000000000000e+02,5.549337700000000345e-03
1.870000000000000000e+02,5.524525899999999622e-03
1.880000000000000000e+02,5.499575300000000139e-03
1.890000000000000000e+02,5.474484100000000415e-03
