# Time [s], Mass [Kg]
1.000000000000000000e+00,9.821874549759998518e-02
2.000000000000000000e+00,9.821874549759998518e-02
3.000000000000000000e+00,9.821874549759997131e-02
4.000000000000000000e+00,9.821874549759997131e-02
5.000000000000000000e+00,9.821874549759994355e-02
6.000000000000000000e+00,9.821874549759987416e-02
7.000000000000000000e+00,9.821874549759974926e-02
8.000000000000000000e+00,9.821874549759948558e-02
9.000000000000000000e+00,9.821874549759895823e-02
1.000000000000000000e+01,9.821874549759797290e-02
1.100000000000000000e+01,9.821874549759618267e-02
1.200000000000000000e+01,9.821874549759310180e-02
1.300000000000000000e+01,9.821874549758793926e-02
1.400000000000000000e+01,9.821874549757952932e-02
1.500000000000000000e+01,9.821874549756617889e-02
1.600000000000000000e+01,9.821874549754551487e-02
1.700000000000000000e+01,9.821874549751419270e-02
1.800000000000000000e+01,9.821874549746760497e-02
1.900000000000000000e+01,9.821874549739958993e-02
2.000000000000000000e+01,9.821874549730186255e-02
2.100000000000000000e+01,9.821874549716354263e-02
2.200000000000000000e+01,9.821874549697051648e-02
2.300000000000000000e+01,9.821874549670456256e-02
2.400000000000000000e+01,9.821874549634253271e-02
2.500000000000000000e+01,9.821874549585520031e-02
2.600000000000000000e+01,9.821874549520601128e-02
2.700000000000000000e+01,9.821874549434965462e-02
2.800000000000000000e+01,9.821874549323036940e-02
2.900000000000000000e+01,9.821874549178002956e-02
3.000000000000000000e+01,9.821874548991596510e-02
3.100000000000000000e+01,9.821874548753853351e-02
3.200000000000000000e+01,9.821874548452831644e-02
3.300000000000000000e+01,9.821874548074303879e-02
3.400000000000000000e+01,9.821874547601416872e-02
3.500000000000000000e+01,9.821874547014299017e-02
3.600000000000000000e+01,9.821874546289637020e-02
3.700000000000000000e+01,9.821874545400222090e-02
3.800000000000000000e+01,9.821874544314415645e-02
3.900000000000000000e+01,9.821874542995602531e-02
4.000000000000000000e+01,9.821874541401572067e-02
4.100000000000000000e+01,9.821874539483849142e-02
4.200000000000000000e+01,9.821874537186968401e-02
4.300000000000000000e+01,9.821874534447702643e-02
4.400000000000000000e+01,9.821874531194196845e-02
4.500000000000000000e+01,9.821874527345067496e-02
4.600000000000000000e+01,9.821874522808445029e-02
4.700000000000000000e+01,9.821874517480888578e-02
4.800000000000000000e+01,9.821874511246286854e-02
4.900000000000000000e+01,9.821874503974689641e-02
5.000000000000000000e+01,9.821874495520967197e-02
5.100000000000000000e+01,9.821874485723504355e-02
5.200000000000000000e+01,9.821874474402811361e-02
