Loop,Time,r0-A,p0-C0,p0-Cpa,r0-E,r0-Hp,p0-K,Value,r0-Xi,p0-eps,p0-ka,r0-n,r0-nO2,p0-rho,
-1,0,4.30e+10,1.0,2229.7002042965987,1.39e+05,1336591.6887861195,1647.167931806898,0.0009122792469985493,0.0,0.7862457981299802,0.27815948907583304,1.0644296163516112,0.0,1189.37,
0,13.4499,5.20e+10,1.0,1886.4968046503332,1.54e+05,903984.3417191595,3342.6990120492137,0.000721309387886916,0.0,0.8142793807293569,0.6119582052938284,0.9764884290829674,0.0,1189.37,
1,26.7215,4.71e+10,1.0,2102.7743858048725,1.43e+05,1192004.8267489919,2234.7903063951094,0.0005625793905616422,0.0,0.7913402863274901,0.45023901733933414,0.9845116071931262,0.0,1189.37,
2,39.0969,5.09e+10,1.0,2229.85256213705,1.50e+05,985027.1175874325,1550.1729651504484,0.00018937129626702846,0.0,0.8216142431340336,0.3906295155631133,1.0708541363248494,0.0,1189.37,
3,52.7788,5.09e+10,1.0,2229.85256213705,1.50e+05,985027.1175874325,1550.1729651504484,0.00018937129626702846,0.0,0.8216142431340336,0.3906295155631133,1.0708541363248494,0.0,1189.37,
4,65.7628,5.50e+10,1.0,2222.0541830729608,1.57e+05,950390.2110889549,1756.7367420886242,9.50683991679263e-05,0.0,0.8879673572814168,0.4526396379307166,1.0837323523360367,0.0,1189.37,
5,79.5476,5.50e+10,1.0,2222.0541830729608,1.57e+05,950390.2110889549,1756.7367420886242,9.50683991679263e-05,0.0,0.8879673572814168,0.4526396379307166,1.0837323523360367,0.0,1189.37,
6,97.1844,5.49e+10,1.0,2218.740290967549,1.55e+05,987710.6502182006,1406.771465497542,9.227363937937795e-05,0.0,0.8920499136093436,0.3636223615799374,1.074986595562089,0.0,1189.37,
7,117.1396,5.51e+10,1.0,2219.795617959103,1.59e+05,947157.297954069,1510.2649392051158,8.152421887837513e-05,0.0,0.913560894887872,0.45056309120475035,1.0875558590300527,0.0,1189.37,
8,135.2661,5.51e+10,1.0,2219.795617959103,1.59e+05,947157.297954069,1510.2649392051158,8.152421887837513e-05,0.0,0.913560894887872,0.45056309120475035,1.0875558590300527,0.0,1189.37,
9,154.9790,5.40e+10,1.0,2174.7665837666254,1.57e+05,930902.4913717918,1446.0672722207744,7.544188035877337e-05,0.0,0.886306410060334,0.42940880125782294,1.0502048798408272,0.0,1189.37,
10,183.7857,5.40e+10,1.0,2158.381379456734,1.58e+05,920546.5943165659,1251.2167607404926,6.726861595822919e-05,0.0,0.8928730652124014,0.42181096905199317,1.0479207380536837,0.0,1189.37,
11,211.5610,5.37e+10,1.0,2164.271368020608,1.55e+05,912301.5899013745,1300.0707777892171,6.0059136032020353e-05,0.0,0.8493791862172527,0.34912959759157225,1.01632048097316,0.0,1189.37,
12,241.9656,5.45e+10,1.0,2208.239194882697,1.55e+05,921620.1401315811,1091.291628478665,5.707411891719971e-05,0.0,0.8586691106873553,0.2866747104729768,1.0353956687401902,0.0,1189.37,
13,280.2434,5.57e+10,1.0,2244.2457759236286,1.57e+05,945256.5429251088,1163.7934700677565,5.705193902393467e-05,0.0,0.9134722125333069,0.3036440704954547,1.0865871227605444,0.0,1189.37,
14,322.3148,5.34e+10,1.0,2105.102565486104,1.56e+05,896311.9113367622,1129.441959837774,3.713291277180406e-05,0.0,0.8544667420047142,0.2882686863668239,0.9830870749517826,0.0,1189.37,
15,362.4153,5.29e+10,1.0,2079.257555199036,1.55e+05,879953.4231094364,1044.3875063621972,2.6082053943901194e-05,0.0,0.8360286297897744,0.27654586526396563,0.9571358450962334,0.0,1189.37,
