# Time [s], Mass [Kg]
1.000000000000000000e+00,9.821874549759998518e-02
2.000000000000000000e+00,9.821874549759998518e-02
3.000000000000000000e+00,9.821874549759997131e-02
4.000000000000000000e+00,9.821874549759995743e-02
5.000000000000000000e+00,9.821874549759988804e-02
6.000000000000000000e+00,9.821874549759972151e-02
7.000000000000000000e+00,9.821874549759930517e-02
8.000000000000000000e+00,9.821874549759834760e-02
9.000000000000000000e+00,9.821874549759637696e-02
1.000000000000000000e+01,9.821874549759247730e-02
1.100000000000000000e+01,9.821874549758523310e-02
1.200000000000000000e+01,9.821874549757234063e-02
1.300000000000000000e+01,9.821874549755034434e-02
1.400000000000000000e+01,9.821874549751406780e-02
1.500000000000000000e+01,9.821874549745605865e-02
1.600000000000000000e+01,9.821874549736586690e-02
1.700000000000000000e+01,9.821874549722903192e-02
1.800000000000000000e+01,9.821874549702593049e-02
1.900000000000000000e+01,9.821874549673045851e-02
2.000000000000000000e+01,9.821874549630832396e-02
2.100000000000000000e+01,9.821874549571520119e-02
2.200000000000000000e+01,9.821874549489456596e-02
2.300000000000000000e+01,9.821874549377510033e-02
2.400000000000000000e+01,9.821874549226750073e-02
2.500000000000000000e+01,9.821874549026128609e-02
2.600000000000000000e+01,9.821874548762121737e-02
2.700000000000000000e+01,9.821874548418284279e-02
2.800000000000000000e+01,9.821874547974768221e-02
2.900000000000000000e+01,9.821874547407839773e-02
3.000000000000000000e+01,9.821874546689292329e-02
3.100000000000000000e+01,9.821874545785755362e-02
3.200000000000000000e+01,9.821874544658089345e-02
3.300000000000000000e+01,9.821874543260636359e-02
3.400000000000000000e+01,9.821874541540387415e-02
3.500000000000000000e+01,9.821874539436104001e-02
3.600000000000000000e+01,9.821874536877327200e-02
3.700000000000000000e+01,9.821874533783225836e-02
3.800000000000000000e+01,9.821874530061795727e-02
3.900000000000000000e+01,9.821874525608650930e-02
4.000000000000000000e+01,9.821874520305637346e-02
4.100000000000000000e+01,9.821874514019782176e-02
4.200000000000000000e+01,9.821874506601559196e-02
4.300000000000000000e+01,9.821874497883434363e-02
4.400000000000000000e+01,9.821874487678640409e-02
4.500000000000000000e+01,9.821874475779690528e-02
4.600000000000000000e+01,9.821874461956703328e-02
4.700000000000000000e+01,9.821874445955479371e-02
4.800000000000000000e+01,9.821874427494976800e-02
4.900000000000000000e+01,9.821874406265375390e-02
5.000000000000000000e+01,9.821874381927538089e-02
5.100000000000000000e+01,9.821874354109262628e-02
5.200000000000000000e+01,9.821874322404623714e-02
