Loop,Time,r0-A,p0-C0,p0-Cpa,p0-Cpb,r0-E,r0-Hp,p0-K,Value,r0-Xi,p0-eps,p0-ka,p0-kb,r0-n,r0-nO2,p0-rho,
-1,0,4.57e+10,1.0,230.72927781615982,4.381598440696607,1.61e+05,841567.8708883624,1348.6692871409555,0.00014536405771734649,0.0,0.8745827790990297,0.5082548243626658,0.0007666263041681711,1.0892119586488112,0.0,1189.37,
0,22.9029,4.57e+10,1.0,230.72927781615982,4.381598440696607,1.61e+05,841567.8708883624,1348.6692871409555,0.00014536405771734649,0.0,0.8745827790990297,0.5082548243626658,0.0007666263041681711,1.0892119586488112,0.0,1189.37,
1,58.0473,4.57e+10,1.0,230.72927781615982,4.381598440696607,1.61e+05,841567.8708883624,1348.6692871409555,0.00014536405771734649,0.0,0.8745827790990297,0.5082548243626658,0.0007666263041681711,1.0892119586488112,0.0,1189.37,
2,92.8610,4.57e+10,1.0,230.72927781615982,4.381598440696607,1.61e+05,841567.8708883624,1348.6692871409555,0.00014536405771734649,0.0,0.8745827790990297,0.5082548243626658,0.0007666263041681711,1.0892119586488112,0.0,1189.37,
3,139.5615,4.57e+10,1.0,230.72927781615982,4.381598440696607,1.61e+05,841567.8708883624,1348.6692871409555,0.00014536405771734649,0.0,0.8745827790990297,0.5082548243626658,0.0007666263041681711,1.0892119586488112,0.0,1189.37,
4,193.6217,5.44e+10,1.0,203.60347228912104,4.2148046200358005,1.58e+05,790581.9747595217,1980.561811195185,0.00012068373452655253,0.0,0.8109131691464809,0.2477883540871345,0.0005196048775889528,0.946460917438414,0.0,1189.37,
5,248.4776,4.93e+10,1.0,208.59013554086,4.175649845475838,1.62e+05,809637.2752481006,1317.5359914527364,0.00010471178670685333,0.0,0.8688333703407825,0.33071938179615357,0.0005923197250498459,0.9981587671427443,0.0,1189.37,
6,301.9373,5.52e+10,1.0,202.02961998562193,3.960145816240421,1.57e+05,759057.541123977,1492.5365363219237,7.233693900171484e-05,0.0,0.785282085672073,0.19955218472613145,0.0003030975514195823,0.8726278553164866,0.0,1189.37,
7,349.6478,5.52e+10,1.0,202.02961998562193,3.960145816240421,1.57e+05,759057.541123977,1492.5365363219237,7.233693900171484e-05,0.0,0.785282085672073,0.19955218472613145,0.0003030975514195823,0.8726278553164866,0.0,1189.37,
8,401.2308,5.52e+10,1.0,202.02961998562193,3.960145816240421,1.57e+05,759057.541123977,1492.5365363219237,7.233693900171484e-05,0.0,0.785282085672073,0.19955218472613145,0.0003030975514195823,0.8726278553164866,0.0,1189.37,
9,459.9522,4.89e+10,1.0,196.32882226927467,4.002234506817294,1.58e+05,772408.6312127702,1223.5126957317416,7.14662066101611e-05,0.0,0.804937357463497,0.19596167707618814,0.0003550507487880198,0.9184779668679897,0.0,1189.37,
10,515.1955,5.75e+10,1.0,190.62278483910012,3.8871806655192236,1.55e+05,741609.9365309465,809.6947488673952,5.323834938430792e-05,0.0,0.7381834938413074,0.1390633429210674,0.00020158603160412813,0.8279646732334403,0.0,1189.37,
11,571.2556,5.22e+10,1.0,191.47058527419114,3.87795234351816,1.58e+05,740250.6394258321,1061.164853340198,4.808767722135664e-05,0.0,0.77992398537817,0.16858298387613593,0.00029793728922550267,0.8717826416842411,0.0,1189.37,
12,626.9243,5.42e+10,1.0,191.60687901130274,3.8598034287749297,1.57e+05,747524.7032649273,896.9798926482933,3.396411719905714e-05,0.0,0.7697930014035662,0.1490288001751873,0.0002473112326900231,0.8458492534924656,0.0,1189.37,
13,682.5599,5.23e+10,1.0,194.83798503964238,4.06838126425354,1.55e+05,783457.4211380221,908.9788845758189,8.10663366524939e-06,0.0,0.7644055510166357,0.1377632161453646,0.00024712847500547034,0.8617632454862794,0.0,1189.37,
14,736.2919,5.23e+10,1.0,194.83798503964238,4.06838126425354,1.55e+05,783457.4211380221,908.9788845758189,8.10663366524939e-06,0.0,0.7644055510166357,0.1377632161453646,0.00024712847500547034,0.8617632454862794,0.0,1189.37,
15,792.5261,5.23e+10,1.0,194.83798503964238,4.06838126425354,1.55e+05,783457.4211380221,908.9788845758189,8.10663366524939e-06,0.0,0.7644055510166357,0.1377632161453646,0.00024712847500547034,0.8617632454862794,0.0,1189.37,
16,846.0578,5.23e+10,1.0,194.83798503964238,4.06838126425354,1.55e+05,783457.4211380221,908.9788845758189,8.10663366524939e-06,0.0,0.7644055510166357,0.1377632161453646,0.00024712847500547034,0.8617632454862794,0.0,1189.37,
17,905.1747,5.23e+10,1.0,194.83798503964238,4.06838126425354,1.55e+05,783457.4211380221,908.9788845758189,8.10663366524939e-06,0.0,0.7644055510166357,0.1377632161453646,0.00024712847500547034,0.8617632454862794,0.0,1189.37,
18,960.6492,5.09e+10,1.0,192.04797566863562,4.0865989564680465,1.55e+05,788706.9052581193,934.6782663600854,6.068436716569921e-06,0.0,0.768166698573217,0.13659067575021816,0.0002788499235904172,0.8706659891980171,0.0,1189.37,
19,1018.9323,5.13e+10,1.0,192.76179244508052,4.09171328768586,1.54e+05,789570.1291194102,908.4665037389937,5.891771103070999e-06,0.0,0.7649060278407567,0.13469193325973866,0.000266133948425461,0.8660926718370006,0.0,1189.37,
20,1077.8970,5.11e+10,1.0,192.54200524726048,4.089759636906312,1.54e+05,788934.828654104,913.900744430382,5.054608711633714e-06,0.0,0.7640545057559565,0.13227405938327125,0.00026467475607545475,0.8665624596369182,0.0,1189.37,
21,1133.7669,5.11e+10,1.0,192.54200524726048,4.089759636906312,1.54e+05,788934.828654104,913.900744430382,5.054608711633714e-06,0.0,0.7640545057559565,0.13227405938327125,0.00026467475607545475,0.8665624596369182,0.0,1189.37,
22,1187.9102,5.12e+10,1.0,193.69560802682446,4.106905682651601,1.54e+05,792549.5501902777,932.2716947160234,2.8258569837609615e-06,0.0,0.7671982520476065,0.13562538918133674,0.00026876997449364916,0.8684452980681058,0.0,1189.37,
23,1247.8497,5.07e+10,1.0,192.7033127064633,4.110107428734546,1.54e+05,792928.6692417765,932.6161940631278,2.4388667542507586e-06,0.0,0.7677113112529719,0.1337535228130134,0.0002761047203500187,0.8704443510807582,0.0,1189.37,
24,1302.2173,5.09e+10,1.0,193.36713462055693,4.109511453140835,1.54e+05,792261.6651203991,932.5862625288721,2.3877248983453844e-06,0.0,0.7668365191354095,0.13496817922999793,0.00027107791561875675,0.8700694383069331,0.0,1189.37,
25,1358.6877,5.10e+10,1.0,193.30471408348586,4.1032006710035205,1.54e+05,791964.4739531579,933.5190746698931,2.01873204758149e-06,0.0,0.767357269221391,0.13549405942200407,0.00027194467746446244,0.8691016232459646,0.0,1189.37,
26,1413.3555,5.09e+10,1.0,192.8266223419712,4.0991327825709325,1.54e+05,790501.2878889337,927.8881481538131,2.000925258720427e-06,0.0,0.766034999322901,0.13490836570227813,0.00027085234016932557,0.8693647425199187,0.0,1189.37,
27,1468.8890,5.09e+10,1.0,192.8900658365541,4.103146366434849,1.54e+05,791038.4894465778,929.6648714371017,1.9227279319975753e-06,0.0,0.7669178732117181,0.13411553551343697,0.00027199171485133575,0.869293271325449,0.0,1189.37,
28,1528.1991,5.10e+10,1.0,193.04039322543974,4.102073494617402,1.54e+05,791146.5988917009,929.737809596324,1.853901286299334e-06,0.0,0.766340751381661,0.1347917012589983,0.0002706087079168588,0.8691893153362884,0.0,1189.37,
29,1587.8694,5.09e+10,1.0,192.94261183683187,4.101078955993214,1.54e+05,790929.6428036643,930.4366578871886,1.8423453660141736e-06,0.0,0.766302612404806,0.13483941040026318,0.0002712635842902415,0.8693037965818344,0.0,1189.37,
30,1647.3403,5.09e+10,1.0,192.92959202117675,4.102452542856971,1.54e+05,790925.5843674513,929.1680905078565,1.8286933822500925e-06,0.0,0.7660907718111539,0.1345230288127009,0.00027075761948688946,0.8693251867987132,0.0,1189.37,
31,1707.9104,5.09e+10,1.0,193.03302561400602,4.102116906908958,1.54e+05,791101.9724337244,929.2839236448249,1.82230253977346e-06,0.0,0.7663844734620098,0.13458561443648953,0.00027068557926454735,0.8691368233768293,0.0,1189.37,
32,1770.5345,5.09e+10,1.0,192.92555946990979,4.102223576301959,1.54e+05,790944.4997801837,929.6697855336104,1.8157708044232804e-06,0.0,0.7661975323394343,0.13459717288617762,0.00027105128527832604,0.8693838634213291,0.0,1189.37,
33,1830.5961,5.09e+10,1.0,192.98221869707726,4.102489696335369,1.54e+05,791129.1081719456,929.4769240002354,1.810123140134015e-06,0.0,0.7665060536381185,0.1344858304875856,0.0002710949651133768,0.8692405534988767,0.0,1189.37,
34,1893.5754,5.09e+10,1.0,192.98221869707726,4.102489696335369,1.54e+05,791129.1081719456,929.4769240002354,1.810123140134015e-06,0.0,0.7665060536381185,0.1344858304875856,0.0002710949651133768,0.8692405534988767,0.0,1189.37,
35,1954.4419,5.09e+10,1.0,192.9826617396373,4.102646138719415,1.54e+05,791161.0068528742,930.0057238907419,1.8082000854628066e-06,0.0,0.7665107204697728,0.13455835399891813,0.0002712818129367357,0.8692875651877865,0.0,1189.37,
36,2019.9672,5.09e+10,1.0,192.88978327220354,4.10194962887309,1.54e+05,790929.2811152809,929.6537222039901,1.806586824279999e-06,0.0,0.7663382679853592,0.13444709008163566,0.0002712631924558104,0.8693552658693499,0.0,1189.37,
37,2084.6322,5.09e+10,1.0,192.88978327220354,4.10194962887309,1.54e+05,790929.2811152809,929.6537222039901,1.806586824279999e-06,0.0,0.7663382679853592,0.13444709008163566,0.0002712631924558104,0.8693552658693499,0.0,1189.37,
38,2145.1112,5.09e+10,1.0,192.92089359073998,4.102343489664648,1.54e+05,791047.433205697,929.6899200189871,1.8057237733795e-06,0.0,0.7663937375508261,0.13446345821216193,0.0002713161501284021,0.8693343061151744,0.0,1189.37,
39,2212.2003,5.09e+10,1.0,192.92089359073998,4.102343489664648,1.54e+05,791047.433205697,929.6899200189871,1.8057237733795e-06,0.0,0.7663937375508261,0.13446345821216193,0.0002713161501284021,0.8693343061151744,0.0,1189.37,
40,2281.8878,5.09e+10,1.0,192.90118929000957,4.102146070577785,1.54e+05,791009.7502858229,929.6380894071314,1.8046396163917807e-06,0.0,0.7664425257904373,0.13442833216538813,0.0002714185009328243,0.8693252568375491,0.0,1189.37,
41,2351.7925,5.09e+10,1.0,192.89490322943863,4.102024118490391,1.54e+05,791017.0451300065,929.8570190022019,1.8035188989427228e-06,0.0,0.7664518514501657,0.13443086674459764,0.0002715012016586946,0.869358270133098,0.0,1189.37,
42,2416.2908,5.09e+10,1.0,192.85739528206227,4.102288701958036,1.54e+05,791072.9371748926,929.8951896134491,1.8010597822778294e-06,0.0,0.7665316526847072,0.13431474887275655,0.0002718487554060297,0.8693873572243414,0.0,1189.37,
43,2479.2700,5.09e+10,1.0,192.81801851684406,4.102051511735953,1.54e+05,791137.6588072164,930.015425350269,1.798524305201647e-06,0.0,0.7667511506405804,0.13415143809014407,0.0002723057215811319,0.8693554015986391,0.0,1189.37,
44,2543.4664,5.08e+10,1.0,192.8116803406592,4.102543762632322,1.54e+05,791392.3080224962,930.5628934101719,1.7894312529127092e-06,0.0,0.767196939456043,0.13391847924325695,0.0002730064599111132,0.8693564644250227,0.0,1189.37,
45,2606.7260,5.08e+10,1.0,192.77805641370918,4.102789721939452,1.54e+05,791742.3404536195,931.2804266702312,1.7836256361746495e-06,0.0,0.7678238009158395,0.133558463274533,0.00027412042495352483,0.8693100497755875,0.0,1189.37,
46,2668.2140,5.08e+10,1.0,192.89661533074405,4.1032696246581555,1.54e+05,792017.8342680892,932.0585393802153,1.7740242540206002e-06,0.0,0.7682237669543001,0.13349781751239673,0.00027449576141249076,0.8695596749239624,0.0,1189.37,
47,2731.8400,5.08e+10,1.0,192.92142775989709,4.103431274891937,1.54e+05,792197.2267292193,932.4997103366284,1.7706025971454542e-06,0.0,0.7685435589074532,0.13333496249973192,0.00027493520189511556,0.8696716736045031,0.0,1189.37,
48,2798.1614,5.08e+10,1.0,192.92142775989709,4.103431274891937,1.54e+05,792197.2267292193,932.4997103366284,1.7706025971454542e-06,0.0,0.7685435589074532,0.13333496249973192,0.00027493520189511556,0.8696716736045031,0.0,1189.37,
49,2865.5768,5.09e+10,1.0,193.0701630254728,4.103378584150709,1.54e+05,792312.0869524281,933.188419317276,1.7608458359419077e-06,0.0,0.7686282147640005,0.13348150439312056,0.0002746759945346715,0.8698232013769587,0.0,1189.37,
50,2930.6871,5.09e+10,1.0,193.0701630254728,4.103378584150709,1.54e+05,792312.0869524281,933.188419317276,1.7608458359419077e-06,0.0,0.7686282147640005,0.13348150439312056,0.0002746759945346715,0.8698232013769587,0.0,1189.37,
51,2996.4773,5.09e+10,1.0,193.0701630254728,4.103378584150709,1.54e+05,792312.0869524281,933.188419317276,1.7608458359419077e-06,0.0,0.7686282147640005,0.13348150439312056,0.0002746759945346715,0.8698232013769587,0.0,1189.37,
52,3057.2747,5.09e+10,1.0,193.06177331122854,4.103038440723621,1.54e+05,792254.5437778777,933.077802751846,1.756435024343491e-06,0.0,0.7685902778121825,0.13345491792485603,0.0002745981560718847,0.869819656255143,0.0,1189.37,
53,3125.4568,5.09e+10,1.0,193.06177331122854,4.103038440723621,1.54e+05,792254.5437778777,933.077802751846,1.756435024343491e-06,0.0,0.7685902778121825,0.13345491792485603,0.0002745981560718847,0.869819656255143,0.0,1189.37,
54,3192.3070,5.09e+10,1.0,193.06642461030094,4.10316584434624,1.54e+05,792305.7476127413,933.1064018010252,1.7555361834623718e-06,0.0,0.7686714474981902,0.13342078501237842,0.00027471296325751616,0.869825587566496,0.0,1189.37,
55,3265.0763,5.10e+10,1.0,193.3808337036677,4.095460238510837,1.55e+05,791217.8341444948,933.9294743146058,1.743490424179965e-06,0.0,0.7682823148150553,0.13193079567300778,0.00027654084270037734,0.8733735745139494,0.0,1189.37,
56,3329.4769,5.12e+10,1.0,193.67287770990706,4.0843001230692,1.55e+05,789454.7773584776,934.3598886465427,1.7038676619547398e-06,0.0,0.7673985215595887,0.12987801965483728,0.0002789378506569407,0.8780622876289795,0.0,1189.37,
57,3399.9731,5.12e+10,1.0,193.67287770990706,4.0843001230692,1.55e+05,789454.7773584776,934.3598886465427,1.7038676619547398e-06,0.0,0.7673985215595887,0.12987801965483728,0.0002789378506569407,0.8780622876289795,0.0,1189.37,
58,3465.6920,5.15e+10,1.0,194.12820652049334,4.0690406873005,1.55e+05,787135.9823021743,935.4397724219037,1.6965939181503388e-06,0.0,0.7664512495542748,0.12679259778443527,0.00028298062698139275,0.8850310036624018,0.0,1189.37,
59,3533.2144,5.15e+10,1.0,194.12820652049334,4.0690406873005,1.55e+05,787135.9823021743,935.4397724219037,1.6965939181503388e-06,0.0,0.7664512495542748,0.12679259778443527,0.00028298062698139275,0.8850310036624018,0.0,1189.37,
60,3602.9069,5.17e+10,1.0,194.5198302531177,4.060042394880844,1.55e+05,785808.4087938489,936.6340778159729,1.674567862961029e-06,0.0,0.7659518853190193,0.12495817801195425,0.00028549569751280877,0.8896375459434938,0.0,1189.37,
61,3669.9300,5.17e+10,1.0,194.5198302531177,4.060042394880844,1.55e+05,785808.4087938489,936.6340778159729,1.674567862961029e-06,0.0,0.7659518853190193,0.12495817801195425,0.00028549569751280877,0.8896375459434938,0.0,1189.37,
62,3737.7547,5.17e+10,1.0,194.5198302531177,4.060042394880844,1.55e+05,785808.4087938489,936.6340778159729,1.674567862961029e-06,0.0,0.7659518853190193,0.12495817801195425,0.00028549569751280877,0.8896375459434938,0.0,1189.37,
63,3810.3408,5.16e+10,1.0,194.57042170684457,4.059422536641087,1.55e+05,785967.5572229091,937.5411911321678,1.6671911146904422e-06,0.0,0.7663671148756326,0.1246983909640773,0.00028603637464602203,0.8896267951568735,0.0,1189.37,
64,3875.8315,5.14e+10,1.0,194.17442820787505,4.068489430279456,1.55e+05,787473.1193628256,936.9328530718797,1.665076945871956e-06,0.0,0.7672630653463446,0.12633746229187928,0.0002840118960220782,0.8847815816971991,0.0,1189.37,
65,3942.6113,5.15e+10,1.0,194.57072456943573,4.056990027186347,1.55e+05,785923.1016925748,938.7134780608978,1.650787140365327e-06,0.0,0.7669339430082476,0.12390560007444737,0.00028737309027481123,0.8898114453672081,0.0,1189.37,
66,4008.4913,5.15e+10,1.0,194.4708564790407,4.058714834644357,1.55e+05,786154.2620724014,938.2538515204549,1.6500629759638171e-06,0.0,0.7670145565517285,0.12422574767533567,0.00028690552342667684,0.8889745766614574,0.0,1189.37,
67,4077.1128,5.15e+10,1.0,194.50047627669417,4.057420260670731,1.55e+05,785831.3162700757,938.1573646414636,1.643295583520794e-06,0.0,0.7666930519622699,0.12405685767004032,0.0002871030844229871,0.8896823062111963,0.0,1189.37,
68,4149.7499,5.15e+10,1.0,194.41930522881904,4.059241508419254,1.55e+05,786196.0154322016,938.2141476776851,1.6379703425801685e-06,0.0,0.7670227352867123,0.12429864528940787,0.0002868786644809084,0.8886790850067348,0.0,1189.37,
69,4215.1555,5.15e+10,1.0,194.46725952143163,4.059334137733494,1.55e+05,786149.104063672,938.010573513832,1.6338355805415692e-06,0.0,0.7668940807844358,0.12438338626121587,0.0002866394284775387,0.888945054083224,0.0,1189.37,
70,4283.9802,5.13e+10,1.0,194.11309642817466,4.065826236920604,1.55e+05,787199.3085719377,937.6826146273734,1.6262988225350717e-06,0.0,0.7675864878458891,0.12550017409858735,0.0002854616455472026,0.8853199194075039,0.0,1189.37,
71,4349.4078,5.12e+10,1.0,193.90655244690006,4.071670052788855,1.55e+05,788175.3983415328,937.6061533991626,1.6209226497561202e-06,0.0,0.7682119091123278,0.12653374304949475,0.000284394505883227,0.8826084635051604,0.0,1189.37,
72,4411.9847,5.12e+10,1.0,193.95502031241352,4.070706126262933,1.55e+05,788036.1907031643,937.5999185618988,1.6171982947713462e-06,0.0,0.7681822240523761,0.12633726961992484,0.00028459799477514197,0.8831646451008013,0.0,1189.37,
73,4482.3448,5.12e+10,1.0,193.97656996829562,4.06847411473561,1.55e+05,787710.7593483418,938.0564716979375,1.597209597659376e-06,0.0,0.7681079293523362,0.12574914021588326,0.0002855112219839177,0.8839252732963064,0.0,1189.37,
74,4545.4393,5.12e+10,1.0,194.21582993169415,4.059278285258526,1.55e+05,786631.6475532767,939.9021136281473,1.5634604879013456e-06,0.0,0.7683229624662531,0.12346002817860866,0.00028887928644337566,0.887604590792439,0.0,1189.37,
75,4609.1773,5.10e+10,1.0,194.17091615606014,4.057284060901434,1.55e+05,786546.5984453313,941.357454670667,1.472273642831774e-06,0.0,0.7690138518233988,0.12248314401945021,0.00029096095126228606,0.8882369405001417,0.0,1189.37,
76,4675.2555,5.12e+10,1.0,195.16685107061355,4.024227929383269,1.55e+05,782419.7988059163,948.0370458266161,1.3456314430298119e-06,0.0,0.7693896197813317,0.1144159177108085,0.00030328433213180114,0.9029836841511525,0.0,1189.37,
77,4748.1963,5.11e+10,1.0,195.74819732564353,4.000424374602559,1.55e+05,779524.8107197857,953.290428295065,1.28324376838874e-06,0.0,0.7701248560154974,0.1082326591764905,0.00031303873759504783,0.913206154816423,0.0,1189.37,
78,4820.6143,5.09e+10,1.0,195.3179620614302,4.011646931980629,1.55e+05,781410.121573732,952.6773524050026,1.2742368546952242e-06,0.0,0.7711824681464555,0.11033518823402688,0.0003103492748341559,0.9073407704923342,0.0,1189.37,
