# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000199999999850e+01
5.000000000000000000e+00,2.500001299999999915e+01
6.000000000000000000e+00,2.500005700000000175e+01
7.000000000000000000e+00,2.500019800000000103e+01
8.000000000000000000e+00,2.500057999999999936e+01
9.000000000000000000e+00,2.500148599999999988e+01
1.000000000000000000e+01,2.500338899999999853e+01
1.100000000000000000e+01,2.500700000000000145e+01
1.200000000000000000e+01,2.501328799999999930e+01
1.300000000000000000e+01,2.502346800000000115e+01
1.400000000000000000e+01,2.503896900000000159e+01
1.500000000000000000e+01,2.506138400000000033e+01
1.600000000000000000e+01,2.509240499999999940e+01
1.700000000000000000e+01,2.513377200000000045e+01
1.800000000000000000e+01,2.518721400000000088e+01
1.900000000000000000e+01,2.525441000000000003e+01
2.000000000000000000e+01,2.533694600000000108e+01
2.100000000000000000e+01,2.543629800000000074e+01
2.200000000000000000e+01,2.555380399999999952e+01
2.300000000000000000e+01,2.569066000000000116e+01
2.400000000000000000e+01,2.584792300000000154e+01
2.500000000000000000e+01,2.602648699999999948e+01
2.600000000000000000e+01,2.622711200000000176e+01
2.700000000000000000e+01,2.645042400000000171e+01
2.800000000000000000e+01,2.669691100000000006e+01
2.900000000000000000e+01,2.696693199999999990e+01
3.000000000000000000e+01,2.726074799999999954e+01
3.100000000000000000e+01,2.757851000000000141e+01
3.200000000000000000e+01,2.792028399999999877e+01
3.300000000000000000e+01,2.828604299999999938e+01
3.400000000000000000e+01,2.867567999999999984e+01
3.500000000000000000e+01,2.908903300000000058e+01
3.600000000000000000e+01,2.952588700000000088e+01
3.700000000000000000e+01,2.998596999999999824e+01
3.800000000000000000e+01,3.046895200000000159e+01
3.900000000000000000e+01,3.097448500000000138e+01
4.000000000000000000e+01,3.150218999999999880e+01
4.100000000000000000e+01,3.205161700000000025e+01
4.200000000000000000e+01,3.262234099999999870e+01
4.300000000000000000e+01,3.321393599999999680e+01
4.400000000000000000e+01,3.382589000000000112e+01
4.500000000000000000e+01,3.445774500000000273e+01
4.600000000000000000e+01,3.510900099999999924e+01
4.700000000000000000e+01,3.577913999999999817e+01
4.800000000000000000e+01,3.646770099999999815e+01
4.900000000000000000e+01,3.717415600000000353e+01
5.000000000000000000e+01,3.789799099999999754e+01
5.100000000000000000e+01,3.863869499999999846e+01
5.200000000000000000e+01,3.939579400000000220e+01
5.300000000000000000e+01,4.016878899999999675e+01
5.400000000000000000e+01,4.095718000000000103e+01
5.500000000000000000e+01,4.176048300000000069e+01
5.600000000000000000e+01,4.257822000000000173e+01
5.700000000000000000e+01,4.340992700000000326e+01
5.800000000000000000e+01,4.425513099999999866e+01
5.900000000000000000e+01,4.511339199999999749e+01
6.000000000000000000e+01,4.598425300000000249e+01
6.100000000000000000e+01,4.686727499999999935e+01
6.200000000000000000e+01,4.776202399999999670e+01
6.300000000000000000e+01,4.866808699999999988e+01
6.400000000000000000e+01,4.958508299999999736e+01
6.500000000000000000e+01,5.051256899999999916e+01
6.600000000000000000e+01,5.145016900000000248e+01
6.700000000000000000e+01,5.239752599999999916e+01
6.800000000000000000e+01,5.335421800000000303e+01
6.900000000000000000e+01,5.431994199999999751e+01
7.000000000000000000e+01,5.529429600000000278e+01
7.100000000000000000e+01,5.627695099999999684e+01
7.200000000000000000e+01,5.726759299999999797e+01
7.300000000000000000e+01,5.826586900000000213e+01
7.400000000000000000e+01,5.927149200000000207e+01
7.500000000000000000e+01,6.028411100000000289e+01
7.600000000000000000e+01,6.130347400000000135e+01
7.700000000000000000e+01,6.232926199999999994e+01
7.800000000000000000e+01,6.336116799999999927e+01
7.900000000000000000e+01,6.439896400000000654e+01
8.000000000000000000e+01,6.544232900000000086e+01
8.100000000000000000e+01,6.649106600000000356e+01
8.200000000000000000e+01,6.754488399999999615e+01
8.300000000000000000e+01,6.860352299999999559e+01
8.400000000000000000e+01,6.966679399999999589e+01
8.500000000000000000e+01,7.073443600000000231e+01
8.600000000000000000e+01,7.180620600000000309e+01
8.700000000000000000e+01,7.288194300000000680e+01
8.800000000000000000e+01,7.396139499999999600e+01
8.900000000000000000e+01,7.504434200000000033e+01
9.000000000000000000e+01,7.613062299999999993e+01
9.100000000000000000e+01,7.722005500000000211e+01
9.200000000000000000e+01,7.831239300000000014e+01
9.300000000000000000e+01,7.940749399999999980e+01
9.400000000000000000e+01,8.050517299999999921e+01
9.500000000000000000e+01,8.160527799999999843e+01
9.600000000000000000e+01,8.270759599999999523e+01
9.700000000000000000e+01,8.381199599999999350e+01
9.800000000000000000e+01,8.491833499999999901e+01
9.900000000000000000e+01,8.602645900000000267e+01
1.000000000000000000e+02,8.713620799999999633e+01
1.010000000000000000e+02,8.824740599999999802e+01
1.020000000000000000e+02,8.935998499999999467e+01
1.030000000000000000e+02,9.047378500000000656e+01
1.040000000000000000e+02,9.158866899999999589e+01
1.050000000000000000e+02,9.270448299999999620e+01
1.060000000000000000e+02,9.382114400000000387e+01
1.070000000000000000e+02,9.493853799999999410e+01
1.080000000000000000e+02,9.605652600000000518e+01
1.090000000000000000e+02,9.717501799999999434e+01
1.100000000000000000e+02,9.829386100000000681e+01
1.110000000000000000e+02,9.941300200000000586e+01
1.120000000000000000e+02,1.005323300000000017e+02
1.130000000000000000e+02,1.016517400000000038e+02
1.140000000000000000e+02,1.027711500000000058e+02
1.150000000000000000e+02,1.038904200000000060e+02
1.160000000000000000e+02,1.050095100000000059e+02
1.170000000000000000e+02,1.061283300000000054e+02
1.180000000000000000e+02,1.072467900000000043e+02
1.190000000000000000e+02,1.083648100000000056e+02
1.200000000000000000e+02,1.094822800000000029e+02
1.210000000000000000e+02,1.105991599999999977e+02
1.220000000000000000e+02,1.117153899999999993e+02
1.230000000000000000e+02,1.128308799999999934e+02
1.240000000000000000e+02,1.139455600000000004e+02
1.250000000000000000e+02,1.150593300000000028e+02
1.260000000000000000e+02,1.161722000000000037e+02
1.270000000000000000e+02,1.172840800000000030e+02
1.280000000000000000e+02,1.183949099999999959e+02
1.290000000000000000e+02,1.195045899999999932e+02
1.300000000000000000e+02,1.206131100000000060e+02
1.310000000000000000e+02,1.217204100000000011e+02
1.320000000000000000e+02,1.228264499999999941e+02
1.330000000000000000e+02,1.239311399999999992e+02
1.340000000000000000e+02,1.250344699999999989e+02
1.350000000000000000e+02,1.261363800000000026e+02
1.360000000000000000e+02,1.272368500000000040e+02
1.370000000000000000e+02,1.283358000000000061e+02
1.380000000000000000e+02,1.294331699999999898e+02
1.390000000000000000e+02,1.305289799999999900e+02
1.400000000000000000e+02,1.316231799999999907e+02
1.410000000000000000e+02,1.327156799999999919e+02
1.420000000000000000e+02,1.338064999999999998e+02
1.430000000000000000e+02,1.348956000000000017e+02
1.440000000000000000e+02,1.359829300000000103e+02
1.450000000000000000e+02,1.370684400000000096e+02
1.460000000000000000e+02,1.381521299999999997e+02
1.470000000000000000e+02,1.392339800000000025e+02
1.480000000000000000e+02,1.403138899999999865e+02
1.490000000000000000e+02,1.413919199999999989e+02
1.500000000000000000e+02,1.424680299999999988e+02
1.510000000000000000e+02,1.435421599999999955e+02
1.520000000000000000e+02,1.446142600000000016e+02
1.530000000000000000e+02,1.456843700000000013e+02
1.540000000000000000e+02,1.467524400000000071e+02
1.550000000000000000e+02,1.478184200000000033e+02
1.560000000000000000e+02,1.488823199999999929e+02
1.570000000000000000e+02,1.499441400000000044e+02
1.580000000000000000e+02,1.510038099999999872e+02
1.590000000000000000e+02,1.520613600000000076e+02
1.600000000000000000e+02,1.531167100000000119e+02
1.610000000000000000e+02,1.541699500000000000e+02
1.620000000000000000e+02,1.552209799999999973e+02
1.630000000000000000e+02,1.562697599999999909e+02
1.640000000000000000e+02,1.573163499999999999e+02
1.650000000000000000e+02,1.583606900000000053e+02
1.660000000000000000e+02,1.594027600000000007e+02
1.670000000000000000e+02,1.604425699999999892e+02
1.680000000000000000e+02,1.614800700000000120e+02
1.690000000000000000e+02,1.625152999999999963e+02
1.700000000000000000e+02,1.635482299999999896e+02
1.710000000000000000e+02,1.645788300000000106e+02
1.720000000000000000e+02,1.656071000000000026e+02
1.730000000000000000e+02,1.666330100000000130e+02
1.740000000000000000e+02,1.676565899999999942e+02
1.750000000000000000e+02,1.686777600000000064e+02
1.760000000000000000e+02,1.696965899999999863e+02
1.770000000000000000e+02,1.707130300000000034e+02
1.780000000000000000e+02,1.717271000000000072e+02
1.790000000000000000e+02,1.727387699999999882e+02
1.800000000000000000e+02,1.737480199999999968e+02
1.810000000000000000e+02,1.747548500000000047e+02
1.820000000000000000e+02,1.757592500000000086e+02
1.830000000000000000e+02,1.767612499999999898e+02
1.840000000000000000e+02,1.777607700000000079e+02
1.850000000000000000e+02,1.787578699999999969e+02
1.860000000000000000e+02,1.797525200000000041e+02
1.870000000000000000e+02,1.807447099999999978e+02
1.880000000000000000e+02,1.817344200000000001e+02
1.890000000000000000e+02,1.827216600000000142e+02
1.900000000000000000e+02,1.837064499999999896e+02
1.910000000000000000e+02,1.846887499999999989e+02
1.920000000000000000e+02,1.856685600000000136e+02
1.930000000000000000e+02,1.866458700000000022e+02
1.940000000000000000e+02,1.876207100000000025e+02
1.950000000000000000e+02,1.885930299999999988e+02
1.960000000000000000e+02,1.895628800000000069e+02
1.970000000000000000e+02,1.905302000000000078e+02
1.980000000000000000e+02,1.914950000000000045e+02
1.990000000000000000e+02,1.924573100000000068e+02
2.000000000000000000e+02,1.934170699999999954e+02
2.010000000000000000e+02,1.943743399999999895e+02
2.020000000000000000e+02,1.953290599999999984e+02
2.030000000000000000e+02,1.962812500000000000e+02
2.040000000000000000e+02,1.972309400000000039e+02
2.050000000000000000e+02,1.981780699999999911e+02
2.060000000000000000e+02,1.991226800000000026e+02
2.070000000000000000e+02,2.000647700000000100e+02
2.080000000000000000e+02,2.010043200000000070e+02
2.090000000000000000e+02,2.019414500000000032e+02
2.100000000000000000e+02,2.028762499999999989e+02
2.110000000000000000e+02,2.038090400000000102e+02
2.120000000000000000e+02,2.047402800000000127e+02
2.130000000000000000e+02,2.056706499999999949e+02
2.140000000000000000e+02,2.066010699999999929e+02
2.150000000000000000e+02,2.075326799999999992e+02
2.160000000000000000e+02,2.084667200000000093e+02
2.170000000000000000e+02,2.094045600000000036e+02
2.180000000000000000e+02,2.103475999999999999e+02
2.190000000000000000e+02,2.112971300000000099e+02
2.200000000000000000e+02,2.122544900000000041e+02
2.210000000000000000e+02,2.132208100000000002e+02
2.220000000000000000e+02,2.141971299999999871e+02
2.230000000000000000e+02,2.151843399999999917e+02
2.240000000000000000e+02,2.161831400000000087e+02
2.250000000000000000e+02,2.171941099999999949e+02
2.260000000000000000e+02,2.182176200000000108e+02
2.270000000000000000e+02,2.192539800000000128e+02
2.280000000000000000e+02,2.203033000000000072e+02
2.290000000000000000e+02,2.213656200000000069e+02
2.300000000000000000e+02,2.224408099999999990e+02
2.310000000000000000e+02,2.235286900000000117e+02
2.320000000000000000e+02,2.246289999999999907e+02
2.330000000000000000e+02,2.257413899999999956e+02
2.340000000000000000e+02,2.268654500000000098e+02
2.350000000000000000e+02,2.280006999999999948e+02
2.360000000000000000e+02,2.291466399999999908e+02
2.370000000000000000e+02,2.303027800000000127e+02
2.380000000000000000e+02,2.314685800000000029e+02
2.390000000000000000e+02,2.326434800000000109e+02
2.400000000000000000e+02,2.338268899999999917e+02
2.410000000000000000e+02,2.350182599999999979e+02
2.420000000000000000e+02,2.362170299999999941e+02
2.430000000000000000e+02,2.374226199999999949e+02
2.440000000000000000e+02,2.386345200000000091e+02
2.450000000000000000e+02,2.398521599999999978e+02
2.460000000000000000e+02,2.410750400000000013e+02
2.470000000000000000e+02,2.423026900000000126e+02
2.480000000000000000e+02,2.435345800000000054e+02
2.490000000000000000e+02,2.447702500000000043e+02
2.500000000000000000e+02,2.460092799999999897e+02
2.510000000000000000e+02,2.472511900000000082e+02
2.520000000000000000e+02,2.484956099999999992e+02
2.530000000000000000e+02,2.497421300000000031e+02
2.540000000000000000e+02,2.509903999999999940e+02
2.550000000000000000e+02,2.522400800000000061e+02
2.560000000000000000e+02,2.534908100000000104e+02
2.570000000000000000e+02,2.547423100000000034e+02
2.580000000000000000e+02,2.559942599999999970e+02
2.590000000000000000e+02,2.572463399999999751e+02
2.600000000000000000e+02,2.584983199999999783e+02
2.610000000000000000e+02,2.597499399999999810e+02
2.620000000000000000e+02,2.610009499999999889e+02
2.630000000000000000e+02,2.622511000000000081e+02
2.640000000000000000e+02,2.635001800000000003e+02
2.650000000000000000e+02,2.647480199999999968e+02
2.660000000000000000e+02,2.659943499999999972e+02
2.670000000000000000e+02,2.672389800000000264e+02
2.680000000000000000e+02,2.684817499999999768e+02
2.690000000000000000e+02,2.697224100000000249e+02
2.700000000000000000e+02,2.709608799999999746e+02
2.710000000000000000e+02,2.721969599999999900e+02
2.720000000000000000e+02,2.734304500000000075e+02
2.730000000000000000e+02,2.746612499999999955e+02
2.740000000000000000e+02,2.758891600000000039e+02
2.750000000000000000e+02,2.771141099999999824e+02
2.760000000000000000e+02,2.783358799999999746e+02
2.770000000000000000e+02,2.795543799999999806e+02
2.780000000000000000e+02,2.807694399999999746e+02
2.790000000000000000e+02,2.819809300000000007e+02
2.800000000000000000e+02,2.831887500000000273e+02
2.810000000000000000e+02,2.843927600000000098e+02
2.820000000000000000e+02,2.855928299999999922e+02
2.830000000000000000e+02,2.867888500000000249e+02
2.840000000000000000e+02,2.879806800000000067e+02
2.850000000000000000e+02,2.891682400000000257e+02
2.860000000000000000e+02,2.903513800000000060e+02
2.870000000000000000e+02,2.915300300000000107e+02
2.880000000000000000e+02,2.927040400000000204e+02
2.890000000000000000e+02,2.938733199999999783e+02
2.900000000000000000e+02,2.950377500000000168e+02
2.910000000000000000e+02,2.961972000000000094e+02
2.920000000000000000e+02,2.973515899999999874e+02
2.930000000000000000e+02,2.985008199999999761e+02
