# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,2.762023300960968902e-02
5.000000000000000000e+00,4.559999999962457279e-02
6.000000000000000000e+00,7.370187530475486026e-02
7.000000000000000000e+00,1.115259556029875587e-01
8.000000000000000000e+00,1.598008054458419092e-01
9.000000000000000000e+00,2.186602630156236349e-01
1.000000000000000000e+01,2.878848222566914306e-01
1.100000000000000000e+01,3.666553624959526525e-01
1.200000000000000000e+01,4.540096959252097886e-01
1.300000000000000000e+01,5.488254139704259460e-01
1.400000000000000000e+01,6.499543925964710311e-01
1.500000000000000000e+01,7.562872789675820773e-01
1.600000000000000000e+01,8.668115004315779526e-01
1.700000000000000000e+01,9.806238857319669044e-01
1.800000000000000000e+01,1.096928464522384683e+00
1.900000000000000000e+01,1.215041327732185650e+00
2.000000000000000000e+01,1.334370584034882068e+00
2.100000000000000000e+01,1.454421172150069275e+00
2.200000000000000000e+01,1.574769727761841098e+00
2.300000000000000000e+01,1.695066541628237111e+00
2.400000000000000000e+01,1.815014904335359391e+00
2.500000000000000000e+01,1.934368145146978302e+00
2.600000000000000000e+01,2.052923677436347294e+00
2.700000000000000000e+01,2.170515585404138914e+00
2.800000000000000000e+01,2.287005581329237813e+00
2.900000000000000000e+01,2.402281748448454213e+00
3.000000000000000000e+01,2.516257180218604006e+00
3.100000000000000000e+01,2.628857455704268542e+00
3.200000000000000000e+01,2.740034557927399028e+00
3.300000000000000000e+01,2.849741878371037540e+00
3.400000000000000000e+01,2.957946553055484262e+00
3.500000000000000000e+01,3.064628874446069240e+00
3.600000000000000000e+01,3.169776217670138507e+00
3.700000000000000000e+01,3.273382239550181705e+00
3.800000000000000000e+01,3.375448701454897282e+00
3.900000000000000000e+01,3.475974952438444898e+00
4.000000000000000000e+01,3.574970646031440769e+00
4.100000000000000000e+01,3.672444964572026294e+00
4.200000000000000000e+01,3.768416659439074223e+00
4.300000000000000000e+01,3.862901746913336876e+00
4.400000000000000000e+01,3.955919704729689013e+00
4.500000000000000000e+01,4.047489682787690946e+00
4.600000000000000000e+01,4.137634399531213703e+00
4.700000000000000000e+01,4.226375093743707900e+00
4.800000000000000000e+01,4.313736002686051840e+00
4.900000000000000000e+01,4.399742320645229299e+00
5.000000000000000000e+01,4.484415250636790695e+00
5.100000000000000000e+01,4.567781610954585680e+00
5.200000000000000000e+01,4.649864879440420040e+00
5.300000000000000000e+01,4.730688265992754715e+00
5.400000000000000000e+01,4.810278209094706270e+00
5.500000000000000000e+01,4.888657127479751452e+00
5.600000000000000000e+01,4.965848204650129993e+00
5.700000000000000000e+01,5.041875964340197136e+00
5.800000000000000000e+01,5.116763983144744010e+00
5.900000000000000000e+01,5.190537866112318710e+00
6.000000000000000000e+01,5.263222500917534852e+00
6.100000000000000000e+01,5.334850865268256470e+00
6.200000000000000000e+01,5.405458970316081135e+00
6.300000000000000000e+01,5.475090055119492760e+00
6.400000000000000000e+01,5.543788570767199886e+00
6.500000000000000000e+01,5.611606860808855402e+00
6.600000000000000000e+01,5.678594461961655071e+00
6.700000000000000000e+01,5.744803528911867296e+00
6.800000000000000000e+01,5.810280806110996288e+00
6.900000000000000000e+01,5.875066659694932802e+00
7.000000000000000000e+01,5.939200640881167281e+00
7.100000000000000000e+01,6.002712152342445151e+00
7.200000000000000000e+01,6.065627225349892626e+00
7.300000000000000000e+01,6.127966653814412190e+00
7.400000000000000000e+01,6.189744811291427951e+00
7.500000000000000000e+01,6.250971904567878212e+00
7.600000000000000000e+01,6.311655442423297124e+00
7.700000000000000000e+01,6.371800992843874134e+00
7.800000000000000000e+01,6.431412121793878889e+00
7.900000000000000000e+01,6.490492729215372236e+00
8.000000000000000000e+01,6.549042613035354954e+00
8.100000000000000000e+01,6.607061919181412613e+00
8.200000000000000000e+01,6.664552866350113902e+00
8.300000000000000000e+01,6.721513082643074455e+00
8.400000000000000000e+01,6.777944639421052742e+00
8.500000000000000000e+01,6.833845156346527006e+00
8.600000000000000000e+01,6.889216040751957593e+00
8.700000000000000000e+01,6.944055867516852665e+00
8.800000000000000000e+01,6.998367042135885008e+00
8.900000000000000000e+01,7.052145614077348412e+00
9.000000000000000000e+01,7.105393568120915937e+00
9.100000000000000000e+01,7.158111753183858283e+00
9.200000000000000000e+01,7.210300181484959658e+00
9.300000000000000000e+01,7.261958523718232250e+00
9.400000000000000000e+01,7.313090502254057768e+00
9.500000000000000000e+01,7.363696697238834687e+00
9.600000000000000000e+01,7.413780076506967021e+00
9.700000000000000000e+01,7.463343098261018049e+00
9.800000000000000000e+01,7.512388775518427764e+00
9.900000000000000000e+01,7.560919815744229666e+00
1.000000000000000000e+02,7.608940858924674089e+00
1.010000000000000000e+02,7.656454758466839650e+00
1.020000000000000000e+02,7.703464264126022698e+00
1.030000000000000000e+02,7.749972998153635828e+00
1.040000000000000000e+02,7.795984436554925345e+00
1.050000000000000000e+02,7.841502865774478082e+00
1.060000000000000000e+02,7.886532768420907225e+00
1.070000000000000000e+02,7.931077320659619900e+00
1.080000000000000000e+02,7.975141406484802964e+00
1.090000000000000000e+02,8.018729155404329845e+00
1.100000000000000000e+02,8.061845061497143305e+00
1.110000000000000000e+02,8.104493962180086442e+00
1.120000000000000000e+02,8.146680136874154599e+00
1.130000000000000000e+02,8.188409429079266388e+00
1.140000000000000000e+02,8.229685537010777097e+00
1.150000000000000000e+02,8.270515252949186547e+00
1.160000000000000000e+02,8.310901871582348832e+00
1.170000000000000000e+02,8.350851232468119889e+00
1.180000000000000000e+02,8.390366776806065019e+00
1.190000000000000000e+02,8.429453777145180737e+00
1.200000000000000000e+02,8.468117130684182925e+00
1.210000000000000000e+02,8.506361861499009080e+00
1.220000000000000000e+02,8.544191992440692829e+00
1.230000000000000000e+02,8.581612496273178792e+00
1.240000000000000000e+02,8.618626733156236952e+00
1.250000000000000000e+02,8.655240738056280136e+00
1.260000000000000000e+02,8.691458770066745387e+00
1.270000000000000000e+02,8.727285230503163405e+00
1.280000000000000000e+02,8.762724962204334389e+00
1.290000000000000000e+02,8.797780661205678143e+00
1.300000000000000000e+02,8.832459263710655151e+00
1.310000000000000000e+02,8.866764634926608935e+00
1.320000000000000000e+02,8.900700347475252627e+00
1.330000000000000000e+02,8.934270572549060319e+00
1.340000000000000000e+02,8.967481368073061176e+00
1.350000000000000000e+02,9.000334830170199751e+00
1.360000000000000000e+02,9.032834688874020301e+00
1.370000000000000000e+02,9.064986677208061394e+00
1.380000000000000000e+02,9.096793227713199315e+00
1.390000000000000000e+02,9.128257521136541541e+00
1.400000000000000000e+02,9.159384437659122469e+00
1.410000000000000000e+02,9.190176203760957563e+00
1.420000000000000000e+02,9.220637850645402978e+00
1.430000000000000000e+02,9.250771651335728762e+00
1.440000000000000000e+02,9.280582375104533099e+00
1.450000000000000000e+02,9.310071941468239132e+00
1.460000000000000000e+02,9.339245147126760571e+00
1.470000000000000000e+02,9.368105309047322748e+00
1.480000000000000000e+02,9.396654708363021413e+00
1.490000000000000000e+02,9.424898180089225974e+00
1.500000000000000000e+02,9.452837797734352066e+00
1.510000000000000000e+02,9.480476211078300963e+00
1.520000000000000000e+02,9.507818054156738086e+00
1.530000000000000000e+02,9.534865511610128408e+00
1.540000000000000000e+02,9.561620949235383193e+00
1.550000000000000000e+02,9.588087673218590012e+00
1.560000000000000000e+02,9.614268258539826917e+00
1.570000000000000000e+02,9.640165703003868103e+00
1.580000000000000000e+02,9.665782414132616296e+00
1.590000000000000000e+02,9.691120349866430672e+00
1.600000000000000000e+02,9.716181898544050455e+00
1.610000000000000000e+02,9.740969127978365449e+00
1.620000000000000000e+02,9.765484284919100588e+00
1.630000000000000000e+02,9.789728813786320316e+00
1.640000000000000000e+02,9.813704227468072361e+00
1.650000000000000000e+02,9.837412105737064039e+00
1.660000000000000000e+02,9.860853371445934101e+00
1.670000000000000000e+02,9.884029863764176582e+00
1.680000000000000000e+02,9.906941692958527668e+00
1.690000000000000000e+02,9.929590010769285158e+00
1.700000000000000000e+02,9.951973795366667375e+00
1.710000000000000000e+02,9.974095194628436190e+00
1.720000000000000000e+02,9.995953598246261507e+00
1.730000000000000000e+02,1.001754814724199605e+01
1.740000000000000000e+02,1.003887948086381243e+01
1.750000000000000000e+02,1.005994727537209776e+01
1.760000000000000000e+02,1.008075060930967481e+01
1.770000000000000000e+02,1.010128923704072257e+01
1.780000000000000000e+02,1.012156163188821267e+01
1.790000000000000000e+02,1.014156774241154935e+01
1.800000000000000000e+02,1.016130692196430374e+01
1.810000000000000000e+02,1.018077669729444601e+01
1.820000000000000000e+02,1.019997696526285935e+01
1.830000000000000000e+02,1.021890636029095667e+01
