# Time [s], Temperature [C]
1.000000000000000000e+00,6.821096799999999405e+01
2.000000000000000000e+00,9.215837100000000248e+01
3.000000000000000000e+00,1.116140699999999981e+02
4.000000000000000000e+00,1.277312500000000028e+02
5.000000000000000000e+00,1.418237300000000118e+02
6.000000000000000000e+00,1.543757600000000139e+02
7.000000000000000000e+00,1.657592799999999897e+02
8.000000000000000000e+00,1.761989599999999996e+02
9.000000000000000000e+00,1.858588100000000054e+02
1.000000000000000000e+01,1.948616199999999878e+02
1.100000000000000000e+01,2.032983600000000024e+02
1.200000000000000000e+01,2.112435499999999990e+02
1.300000000000000000e+01,2.187540300000000002e+02
1.400000000000000000e+01,2.258776900000000012e+02
1.500000000000000000e+01,2.326558400000000120e+02
1.600000000000000000e+01,2.391226699999999994e+02
1.700000000000000000e+01,2.453074300000000108e+02
1.800000000000000000e+01,2.512388500000000136e+02
1.900000000000000000e+01,2.569404900000000112e+02
2.000000000000000000e+01,2.624371600000000058e+02
2.100000000000000000e+01,2.677479599999999778e+02
2.200000000000000000e+01,2.728915400000000204e+02
2.300000000000000000e+01,2.778871199999999817e+02
2.400000000000000000e+01,2.827432900000000018e+02
2.500000000000000000e+01,2.874633200000000102e+02
2.600000000000000000e+01,2.920514800000000264e+02
2.700000000000000000e+01,2.964987800000000107e+02
2.800000000000000000e+01,3.008045299999999997e+02
2.900000000000000000e+01,3.049673199999999724e+02
3.000000000000000000e+01,3.089831199999999853e+02
3.100000000000000000e+01,3.128595000000000255e+02
3.200000000000000000e+01,3.166039700000000039e+02
3.300000000000000000e+01,3.202212200000000166e+02
3.400000000000000000e+01,3.237201800000000276e+02
3.500000000000000000e+01,3.271111799999999903e+02
3.600000000000000000e+01,3.303976099999999860e+02
3.700000000000000000e+01,3.335859399999999937e+02
3.800000000000000000e+01,3.366844500000000266e+02
3.900000000000000000e+01,3.396946100000000115e+02
4.000000000000000000e+01,3.426219800000000077e+02
4.100000000000000000e+01,3.454717099999999732e+02
4.200000000000000000e+01,3.482432900000000018e+02
