# Time [s], Temperature [C]
1.000000000000000000e+00,4.720732100000000031e+01
2.000000000000000000e+00,5.930729300000000137e+01
3.000000000000000000e+00,6.920007300000000328e+01
4.000000000000000000e+00,7.741168999999999301e+01
5.000000000000000000e+00,8.462335199999999702e+01
6.000000000000000000e+00,9.107472199999999418e+01
7.000000000000000000e+00,9.695302599999999416e+01
8.000000000000000000e+00,1.023693999999999988e+02
9.000000000000000000e+00,1.074071399999999983e+02
1.000000000000000000e+01,1.121259900000000016e+02
1.100000000000000000e+01,1.165712400000000031e+02
1.200000000000000000e+01,1.207787200000000070e+02
1.300000000000000000e+01,1.247767000000000053e+02
1.400000000000000000e+01,1.285891699999999958e+02
1.500000000000000000e+01,1.322347900000000038e+02
1.600000000000000000e+01,1.357295699999999954e+02
1.700000000000000000e+01,1.390879799999999875e+02
1.800000000000000000e+01,1.423208799999999883e+02
1.900000000000000000e+01,1.454387099999999862e+02
2.000000000000000000e+01,1.484507399999999961e+02
2.100000000000000000e+01,1.513638300000000072e+02
2.200000000000000000e+01,1.541855799999999874e+02
2.300000000000000000e+01,1.569224100000000135e+02
2.400000000000000000e+01,1.595787500000000136e+02
2.500000000000000000e+01,1.621597299999999962e+02
2.600000000000000000e+01,1.646707299999999918e+02
2.700000000000000000e+01,1.671145899999999926e+02
2.800000000000000000e+01,1.694952399999999955e+02
2.900000000000000000e+01,1.718168900000000008e+02
3.000000000000000000e+01,1.740814799999999991e+02
3.100000000000000000e+01,1.762920399999999859e+02
3.200000000000000000e+01,1.784521599999999921e+02
3.300000000000000000e+01,1.805626100000000065e+02
3.400000000000000000e+01,1.826267200000000059e+02
3.500000000000000000e+01,1.846466100000000097e+02
3.600000000000000000e+01,1.866235399999999913e+02
3.700000000000000000e+01,1.885594299999999919e+02
3.800000000000000000e+01,1.904566800000000057e+02
3.900000000000000000e+01,1.923158599999999865e+02
4.000000000000000000e+01,1.941387000000000000e+02
4.100000000000000000e+01,1.959273699999999963e+02
4.200000000000000000e+01,1.976822699999999884e+02
4.300000000000000000e+01,1.994048500000000104e+02
4.400000000000000000e+01,2.010968799999999987e+02
4.500000000000000000e+01,2.027582600000000070e+02
4.600000000000000000e+01,2.043910500000000070e+02
4.700000000000000000e+01,2.059962500000000034e+02
4.800000000000000000e+01,2.075741700000000094e+02
4.900000000000000000e+01,2.091257300000000043e+02
5.000000000000000000e+01,2.106527399999999943e+02
5.100000000000000000e+01,2.121549500000000137e+02
5.200000000000000000e+01,2.136334400000000073e+02
5.300000000000000000e+01,2.150900100000000066e+02
5.400000000000000000e+01,2.165238200000000006e+02
5.500000000000000000e+01,2.179361100000000135e+02
5.600000000000000000e+01,2.193281200000000126e+02
5.700000000000000000e+01,2.206997200000000134e+02
5.800000000000000000e+01,2.220517000000000110e+02
5.900000000000000000e+01,2.233848999999999876e+02
6.000000000000000000e+01,2.246998900000000106e+02
6.100000000000000000e+01,2.259969800000000077e+02
6.200000000000000000e+01,2.272767200000000116e+02
6.300000000000000000e+01,2.285397600000000011e+02
6.400000000000000000e+01,2.297861599999999953e+02
6.500000000000000000e+01,2.310173299999999870e+02
6.600000000000000000e+01,2.322329400000000135e+02
6.700000000000000000e+01,2.334334699999999998e+02
6.800000000000000000e+01,2.346198899999999981e+02
6.900000000000000000e+01,2.357917300000000012e+02
7.000000000000000000e+01,2.369499399999999980e+02
7.100000000000000000e+01,2.380951399999999865e+02
7.200000000000000000e+01,2.392270800000000008e+02
7.300000000000000000e+01,2.403464099999999917e+02
7.400000000000000000e+01,2.414538300000000106e+02
7.500000000000000000e+01,2.425490700000000004e+02
7.600000000000000000e+01,2.436330000000000098e+02
7.700000000000000000e+01,2.447055499999999881e+02
7.800000000000000000e+01,2.457668799999999862e+02
7.900000000000000000e+01,2.468175999999999988e+02
8.000000000000000000e+01,2.478581700000000012e+02
8.100000000000000000e+01,2.488886300000000062e+02
8.200000000000000000e+01,2.499090899999999920e+02
8.300000000000000000e+01,2.509200899999999876e+02
8.400000000000000000e+01,2.519218299999999999e+02
8.500000000000000000e+01,2.529140500000000031e+02
8.600000000000000000e+01,2.538978700000000117e+02
8.700000000000000000e+01,2.548727399999999932e+02
8.800000000000000000e+01,2.558391100000000051e+02
8.900000000000000000e+01,2.567976400000000012e+02
9.000000000000000000e+01,2.577478899999999840e+02
9.100000000000000000e+01,2.586902200000000107e+02
9.200000000000000000e+01,2.596252099999999814e+02
9.300000000000000000e+01,2.605525799999999776e+02
9.400000000000000000e+01,2.614722899999999868e+02
9.500000000000000000e+01,2.623856200000000172e+02
9.600000000000000000e+01,2.632914700000000039e+02
9.700000000000000000e+01,2.641904599999999732e+02
9.800000000000000000e+01,2.650833700000000022e+02
9.900000000000000000e+01,2.659692400000000134e+02
1.000000000000000000e+02,2.668488199999999892e+02
1.010000000000000000e+02,2.677222899999999868e+02
1.020000000000000000e+02,2.685893899999999803e+02
1.030000000000000000e+02,2.694505300000000148e+02
1.040000000000000000e+02,2.703060899999999833e+02
1.050000000000000000e+02,2.711555500000000052e+02
1.060000000000000000e+02,2.719991099999999733e+02
1.070000000000000000e+02,2.728372499999999832e+02
1.080000000000000000e+02,2.736698600000000283e+02
1.090000000000000000e+02,2.744969800000000077e+02
1.100000000000000000e+02,2.753190900000000170e+02
1.110000000000000000e+02,2.761354999999999791e+02
1.120000000000000000e+02,2.769468100000000277e+02
1.130000000000000000e+02,2.777533900000000244e+02
1.140000000000000000e+02,2.785546899999999937e+02
1.150000000000000000e+02,2.793508899999999926e+02
1.160000000000000000e+02,2.801425800000000095e+02
1.170000000000000000e+02,2.809291999999999803e+02
1.180000000000000000e+02,2.817110000000000127e+02
1.190000000000000000e+02,2.824883399999999938e+02
1.200000000000000000e+02,2.832606200000000172e+02
1.210000000000000000e+02,2.840284399999999891e+02
1.220000000000000000e+02,2.847920500000000175e+02
1.230000000000000000e+02,2.855509900000000130e+02
1.240000000000000000e+02,2.863055400000000077e+02
1.250000000000000000e+02,2.870560899999999833e+02
1.260000000000000000e+02,2.878020900000000211e+02
1.270000000000000000e+02,2.885439799999999764e+02
1.280000000000000000e+02,2.892820699999999761e+02
1.290000000000000000e+02,2.900156900000000064e+02
1.300000000000000000e+02,2.907451199999999858e+02
1.310000000000000000e+02,2.914708600000000160e+02
1.320000000000000000e+02,2.921924399999999764e+02
1.330000000000000000e+02,2.929100599999999872e+02
1.340000000000000000e+02,2.936243000000000052e+02
1.350000000000000000e+02,2.943343800000000101e+02
1.360000000000000000e+02,2.950406800000000089e+02
1.370000000000000000e+02,2.957435600000000022e+02
1.380000000000000000e+02,2.964427800000000275e+02
1.390000000000000000e+02,2.971383700000000090e+02
1.400000000000000000e+02,2.978306299999999851e+02
1.410000000000000000e+02,2.985192000000000121e+02
1.420000000000000000e+02,2.992044099999999958e+02
1.430000000000000000e+02,2.998863200000000120e+02
1.440000000000000000e+02,3.005646699999999782e+02
1.450000000000000000e+02,3.012398400000000152e+02
1.460000000000000000e+02,3.019119900000000030e+02
1.470000000000000000e+02,3.025804699999999912e+02
1.480000000000000000e+02,3.032457299999999805e+02
1.490000000000000000e+02,3.039082300000000032e+02
1.500000000000000000e+02,3.045673800000000142e+02
1.510000000000000000e+02,3.052233299999999758e+02
1.520000000000000000e+02,3.058765900000000215e+02
1.530000000000000000e+02,3.065264300000000048e+02
1.540000000000000000e+02,3.071734299999999962e+02
1.550000000000000000e+02,3.078177800000000275e+02
1.560000000000000000e+02,3.084587700000000154e+02
1.570000000000000000e+02,3.090970800000000054e+02
1.580000000000000000e+02,3.097328200000000038e+02
1.590000000000000000e+02,3.103652299999999968e+02
1.600000000000000000e+02,3.109949300000000108e+02
1.610000000000000000e+02,3.116220999999999890e+02
1.620000000000000000e+02,3.122462800000000129e+02
1.630000000000000000e+02,3.128677700000000073e+02
1.640000000000000000e+02,3.134867899999999850e+02
1.650000000000000000e+02,3.141028699999999958e+02
1.660000000000000000e+02,3.147160299999999893e+02
1.670000000000000000e+02,3.153271500000000174e+02
1.680000000000000000e+02,3.159351199999999835e+02
1.690000000000000000e+02,3.165405900000000088e+02
1.700000000000000000e+02,3.171437700000000177e+02
1.710000000000000000e+02,3.177441999999999780e+02
1.720000000000000000e+02,3.183420100000000161e+02
1.730000000000000000e+02,3.189375299999999811e+02
1.740000000000000000e+02,3.195301200000000108e+02
1.750000000000000000e+02,3.201205400000000054e+02
1.760000000000000000e+02,3.207083099999999831e+02
1.770000000000000000e+02,3.212937600000000202e+02
1.780000000000000000e+02,3.218763700000000085e+02
1.790000000000000000e+02,3.224568499999999744e+02
1.800000000000000000e+02,3.230347600000000057e+02
1.810000000000000000e+02,3.236102000000000203e+02
1.820000000000000000e+02,3.241833500000000186e+02
1.830000000000000000e+02,3.247539699999999812e+02
1.840000000000000000e+02,3.253221399999999903e+02
1.850000000000000000e+02,3.258881799999999771e+02
1.860000000000000000e+02,3.264517799999999852e+02
1.870000000000000000e+02,3.270126599999999826e+02
1.880000000000000000e+02,3.275717500000000086e+02
1.890000000000000000e+02,3.281279599999999732e+02
1.900000000000000000e+02,3.286820999999999913e+02
1.910000000000000000e+02,3.292338599999999929e+02
1.920000000000000000e+02,3.297833899999999971e+02
1.930000000000000000e+02,3.303302899999999909e+02
1.940000000000000000e+02,3.308751800000000003e+02
1.950000000000000000e+02,3.314175999999999931e+02
1.960000000000000000e+02,3.319577300000000264e+02
1.970000000000000000e+02,3.324954799999999864e+02
1.980000000000000000e+02,3.330311300000000188e+02
1.990000000000000000e+02,3.335640599999999836e+02
2.000000000000000000e+02,3.340953400000000215e+02
2.010000000000000000e+02,3.346239299999999730e+02
2.020000000000000000e+02,3.351501799999999776e+02
2.030000000000000000e+02,3.541757200000000125e+02
2.040000000000000000e+02,3.630460199999999986e+02
2.050000000000000000e+02,3.705076900000000251e+02
2.060000000000000000e+02,3.763658100000000104e+02
2.070000000000000000e+02,3.814311200000000213e+02
2.080000000000000000e+02,3.858116099999999733e+02
2.090000000000000000e+02,3.897002600000000143e+02
2.100000000000000000e+02,3.931776699999999778e+02
2.110000000000000000e+02,3.963200400000000059e+02
2.120000000000000000e+02,3.991759000000000128e+02
2.130000000000000000e+02,4.017902799999999957e+02
2.140000000000000000e+02,4.041952499999999873e+02
2.150000000000000000e+02,4.064171799999999735e+02
2.160000000000000000e+02,4.084833399999999983e+02
2.170000000000000000e+02,4.104135400000000118e+02
2.180000000000000000e+02,4.122223799999999869e+02
2.190000000000000000e+02,4.139311799999999835e+02
2.200000000000000000e+02,4.155505699999999933e+02
2.210000000000000000e+02,4.170908499999999890e+02
2.220000000000000000e+02,4.185678399999999897e+02
2.230000000000000000e+02,4.199891400000000203e+02
2.240000000000000000e+02,4.213604399999999828e+02
2.250000000000000000e+02,4.226927800000000275e+02
2.260000000000000000e+02,4.239945999999999913e+02
2.270000000000000000e+02,4.252627600000000143e+02
