# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,1.000000000000000000e+00
4.800000000000000000e+01,9.999999400000000316e-01
4.900000000000000000e+01,9.999999400000000316e-01
5.000000000000000000e+01,9.999999400000000316e-01
5.100000000000000000e+01,9.999999400000000316e-01
5.200000000000000000e+01,9.999999400000000316e-01
5.300000000000000000e+01,9.999999400000000316e-01
5.400000000000000000e+01,9.999999400000000316e-01
5.500000000000000000e+01,9.999998799999999521e-01
5.600000000000000000e+01,9.999998799999999521e-01
5.700000000000000000e+01,9.999998799999999521e-01
5.800000000000000000e+01,9.999998799999999521e-01
5.900000000000000000e+01,9.999998199999999837e-01
6.000000000000000000e+01,9.999998199999999837e-01
6.100000000000000000e+01,9.999998199999999837e-01
6.200000000000000000e+01,9.999997600000000153e-01
6.300000000000000000e+01,9.999997600000000153e-01
6.400000000000000000e+01,9.999997000000000469e-01
6.500000000000000000e+01,9.999996399999999674e-01
6.600000000000000000e+01,9.999996399999999674e-01
6.700000000000000000e+01,9.999995799999999990e-01
6.800000000000000000e+01,9.999995200000000306e-01
6.900000000000000000e+01,9.999994599999999512e-01
7.000000000000000000e+01,9.999993999999999827e-01
7.100000000000000000e+01,9.999992800000000459e-01
7.200000000000000000e+01,9.999992300000000167e-01
7.300000000000000000e+01,9.999991099999999689e-01
7.400000000000000000e+01,9.999990500000000004e-01
7.500000000000000000e+01,9.999989299999999526e-01
7.600000000000000000e+01,9.999988100000000157e-01
7.700000000000000000e+01,9.999986299999999995e-01
7.800000000000000000e+01,9.999985099999999516e-01
7.900000000000000000e+01,9.999983300000000463e-01
8.000000000000000000e+01,9.999981500000000301e-01
8.100000000000000000e+01,9.999979100000000454e-01
8.200000000000000000e+01,9.999976799999999999e-01
8.300000000000000000e+01,9.999974400000000152e-01
8.400000000000000000e+01,9.999972000000000305e-01
8.500000000000000000e+01,9.999968999999999664e-01
8.600000000000000000e+01,9.999966000000000133e-01
8.700000000000000000e+01,9.999962399999999807e-01
8.800000000000000000e+01,9.999958899999999984e-01
8.900000000000000000e+01,9.999954699999999974e-01
9.000000000000000000e+01,9.999949900000000280e-01
9.100000000000000000e+01,9.999945199999999979e-01
9.200000000000000000e+01,9.999940400000000285e-01
9.300000000000000000e+01,9.999934400000000112e-01
9.400000000000000000e+01,9.999928500000000442e-01
9.500000000000000000e+01,9.999921899999999475e-01
9.600000000000000000e+01,9.999915400000000121e-01
9.700000000000000000e+01,9.999907599999999785e-01
9.800000000000000000e+01,9.999899899999999953e-01
9.900000000000000000e+01,9.999890900000000249e-01
1.000000000000000000e+02,9.999881999999999938e-01
1.010000000000000000e+02,9.999871900000000258e-01
1.020000000000000000e+02,9.999861100000000391e-01
1.030000000000000000e+02,9.999849800000000233e-01
1.040000000000000000e+02,9.999837900000000390e-01
1.050000000000000000e+02,9.999824800000000069e-01
1.060000000000000000e+02,9.999810500000000379e-01
1.070000000000000000e+02,9.999795599999999896e-01
1.080000000000000000e+02,9.999780099999999727e-01
1.090000000000000000e+02,9.999762800000000507e-01
1.100000000000000000e+02,9.999744900000000492e-01
1.110000000000000000e+02,9.999725799999999998e-01
1.120000000000000000e+02,9.999704999999999844e-01
1.130000000000000000e+02,9.999683499999999503e-01
1.140000000000000000e+02,9.999660299999999502e-01
1.150000000000000000e+02,9.999635199999999946e-01
1.160000000000000000e+02,9.999609000000000414e-01
1.170000000000000000e+02,9.999580999999999609e-01
1.180000000000000000e+02,9.999551800000000545e-01
1.190000000000000000e+02,9.999520200000000525e-01
1.200000000000000000e+02,9.999486800000000342e-01
1.210000000000000000e+02,9.999451000000000311e-01
1.220000000000000000e+02,9.999413499999999511e-01
1.230000000000000000e+02,9.999374199999999657e-01
1.240000000000000000e+02,9.999331799999999770e-01
1.250000000000000000e+02,9.999287100000000539e-01
1.260000000000000000e+02,9.999240000000000350e-01
1.270000000000000000e+02,9.999190000000000023e-01
1.280000000000000000e+02,9.999136899999999661e-01
1.290000000000000000e+02,9.999080900000000272e-01
1.300000000000000000e+02,9.999021900000000240e-01
