# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000800000000112e+01
5.000000000000000000e+00,2.500004399999999904e+01
6.000000000000000000e+00,2.500019999999999953e+01
7.000000000000000000e+00,2.500072499999999920e+01
8.000000000000000000e+00,2.500219299999999834e+01
9.000000000000000000e+00,2.500572800000000129e+01
1.000000000000000000e+01,2.501323100000000110e+01
1.100000000000000000e+01,2.502757499999999879e+01
1.200000000000000000e+01,2.505266599999999855e+01
1.300000000000000000e+01,2.509342799999999940e+01
1.400000000000000000e+01,2.515564200000000028e+01
1.500000000000000000e+01,2.524574300000000093e+01
1.600000000000000000e+01,2.537058999999999997e+01
1.700000000000000000e+01,2.553723000000000098e+01
1.800000000000000000e+01,2.575271000000000043e+01
1.900000000000000000e+01,2.602394299999999916e+01
2.000000000000000000e+01,2.635758799999999979e+01
2.100000000000000000e+01,2.675995999999999952e+01
2.200000000000000000e+01,2.723695599999999928e+01
2.300000000000000000e+01,2.779395900000000097e+01
2.400000000000000000e+01,2.843577000000000155e+01
2.500000000000000000e+01,2.916654199999999975e+01
2.600000000000000000e+01,2.998974199999999968e+01
2.700000000000000000e+01,3.090817499999999995e+01
2.800000000000000000e+01,3.192398499999999828e+01
2.900000000000000000e+01,3.303871900000000039e+01
3.000000000000000000e+01,3.425332999999999828e+01
3.100000000000000000e+01,3.556824100000000044e+01
3.200000000000000000e+01,3.698339800000000110e+01
3.300000000000000000e+01,3.849826000000000192e+01
3.400000000000000000e+01,4.011190400000000267e+01
3.500000000000000000e+01,4.182303600000000188e+01
3.600000000000000000e+01,4.363008500000000112e+01
3.700000000000000000e+01,4.553120799999999946e+01
3.800000000000000000e+01,4.752439499999999839e+01
3.900000000000000000e+01,4.960741000000000156e+01
4.000000000000000000e+01,5.177789700000000295e+01
4.100000000000000000e+01,5.403327900000000028e+01
4.200000000000000000e+01,5.637099099999999652e+01
4.300000000000000000e+01,5.878824999999999790e+01
4.400000000000000000e+01,6.128224900000000019e+01
4.500000000000000000e+01,6.385023100000000085e+01
4.600000000000000000e+01,6.648937999999999704e+01
4.700000000000000000e+01,6.919692999999999472e+01
4.800000000000000000e+01,7.197011600000000442e+01
4.900000000000000000e+01,7.480616000000000554e+01
5.000000000000000000e+01,7.770225499999999386e+01
5.100000000000000000e+01,8.065567000000000064e+01
5.200000000000000000e+01,8.366361999999999455e+01
5.300000000000000000e+01,8.672339599999999393e+01
5.400000000000000000e+01,8.983239700000000028e+01
5.500000000000000000e+01,9.298809799999999370e+01
5.600000000000000000e+01,9.618807200000000535e+01
5.700000000000000000e+01,9.942997699999999384e+01
5.800000000000000000e+01,1.027114799999999946e+02
5.900000000000000000e+01,1.060302999999999969e+02
6.000000000000000000e+01,1.093841800000000006e+02
6.100000000000000000e+01,1.127709499999999991e+02
6.200000000000000000e+01,1.161884100000000046e+02
6.300000000000000000e+01,1.196344600000000042e+02
6.400000000000000000e+01,1.231071699999999964e+02
6.500000000000000000e+01,1.266045100000000048e+02
6.600000000000000000e+01,1.301247400000000027e+02
6.700000000000000000e+01,1.336661100000000033e+02
6.800000000000000000e+01,1.372270200000000102e+02
6.900000000000000000e+01,1.408058200000000113e+02
7.000000000000000000e+01,1.444009700000000009e+02
7.100000000000000000e+01,1.480108799999999860e+02
7.200000000000000000e+01,1.516340199999999925e+02
7.300000000000000000e+01,1.552688400000000115e+02
7.400000000000000000e+01,1.589138800000000060e+02
7.500000000000000000e+01,1.625677300000000116e+02
7.600000000000000000e+01,1.662290500000000009e+02
7.700000000000000000e+01,1.698966800000000035e+02
7.800000000000000000e+01,1.735694300000000112e+02
7.900000000000000000e+01,1.772462500000000034e+02
8.000000000000000000e+01,1.809260899999999879e+02
8.100000000000000000e+01,1.846079300000000103e+02
8.200000000000000000e+01,1.882908199999999965e+02
8.300000000000000000e+01,1.919736300000000142e+02
8.400000000000000000e+01,1.956553299999999922e+02
8.500000000000000000e+01,1.993348799999999983e+02
8.600000000000000000e+01,2.030112499999999898e+02
8.700000000000000000e+01,2.066834900000000061e+02
8.800000000000000000e+01,2.103507500000000050e+02
8.900000000000000000e+01,2.140121800000000007e+02
9.000000000000000000e+01,2.176670799999999986e+02
9.100000000000000000e+01,2.213147899999999879e+02
9.200000000000000000e+01,2.249545899999999961e+02
9.300000000000000000e+01,2.285858499999999935e+02
9.400000000000000000e+01,2.322078199999999981e+02
9.500000000000000000e+01,2.358198199999999929e+02
9.600000000000000000e+01,2.394210099999999954e+02
9.700000000000000000e+01,2.430105900000000076e+02
9.800000000000000000e+01,2.465877399999999966e+02
9.900000000000000000e+01,2.501517299999999864e+02
1.000000000000000000e+02,2.537019300000000044e+02
1.010000000000000000e+02,2.572376699999999801e+02
1.020000000000000000e+02,2.607583599999999819e+02
1.030000000000000000e+02,2.642633700000000090e+02
1.040000000000000000e+02,2.677522900000000163e+02
1.050000000000000000e+02,2.712244299999999839e+02
1.060000000000000000e+02,2.746792300000000182e+02
1.070000000000000000e+02,2.781159700000000043e+02
1.080000000000000000e+02,2.815338699999999790e+02
1.090000000000000000e+02,2.849321899999999914e+02
1.100000000000000000e+02,2.883100299999999834e+02
1.110000000000000000e+02,2.916667499999999791e+02
1.120000000000000000e+02,2.950014300000000276e+02
1.130000000000000000e+02,2.983134200000000078e+02
1.140000000000000000e+02,3.016019900000000007e+02
1.150000000000000000e+02,3.048663900000000240e+02
1.160000000000000000e+02,3.081057099999999878e+02
1.170000000000000000e+02,3.113190900000000170e+02
1.180000000000000000e+02,3.145053399999999897e+02
1.190000000000000000e+02,3.176632999999999925e+02
1.200000000000000000e+02,3.207916000000000167e+02
1.210000000000000000e+02,3.238887300000000096e+02
1.220000000000000000e+02,3.269531600000000253e+02
1.230000000000000000e+02,3.299833399999999983e+02
1.240000000000000000e+02,3.329776600000000144e+02
1.250000000000000000e+02,3.359344199999999887e+02
1.260000000000000000e+02,3.388518700000000194e+02
1.270000000000000000e+02,3.417282099999999900e+02
1.280000000000000000e+02,3.445614899999999921e+02
1.290000000000000000e+02,3.473496400000000222e+02
1.300000000000000000e+02,3.500904499999999757e+02
1.310000000000000000e+02,3.527816799999999944e+02
1.320000000000000000e+02,3.554210199999999986e+02
1.330000000000000000e+02,3.580062899999999786e+02
1.340000000000000000e+02,3.605354300000000194e+02
1.350000000000000000e+02,3.630064699999999789e+02
1.360000000000000000e+02,3.654177199999999743e+02
1.370000000000000000e+02,3.677676099999999906e+02
1.380000000000000000e+02,3.700547500000000127e+02
1.390000000000000000e+02,3.722779199999999946e+02
1.400000000000000000e+02,3.744363399999999729e+02
1.410000000000000000e+02,3.765294499999999971e+02
1.420000000000000000e+02,3.785572799999999916e+02
1.430000000000000000e+02,3.805201999999999884e+02
1.440000000000000000e+02,3.824191900000000146e+02
1.450000000000000000e+02,3.842558599999999842e+02
1.460000000000000000e+02,3.860322899999999890e+02
1.470000000000000000e+02,3.877509499999999889e+02
1.480000000000000000e+02,3.894149199999999951e+02
1.490000000000000000e+02,3.910275899999999751e+02
1.500000000000000000e+02,3.925924400000000105e+02
1.510000000000000000e+02,3.941137100000000260e+02
1.520000000000000000e+02,3.955959199999999782e+02
1.530000000000000000e+02,3.970437000000000012e+02
1.540000000000000000e+02,3.984622200000000021e+02
1.550000000000000000e+02,3.998565699999999765e+02
1.560000000000000000e+02,4.012319600000000150e+02
1.570000000000000000e+02,4.025936599999999999e+02
1.580000000000000000e+02,4.039467500000000086e+02
1.590000000000000000e+02,4.052966599999999744e+02
1.600000000000000000e+02,4.066482500000000186e+02
1.610000000000000000e+02,4.080070200000000114e+02
1.620000000000000000e+02,4.093775899999999979e+02
1.630000000000000000e+02,4.107654099999999744e+02
1.640000000000000000e+02,4.121757200000000125e+02
1.650000000000000000e+02,4.136131300000000124e+02
1.660000000000000000e+02,4.150832199999999830e+02
1.670000000000000000e+02,4.165906400000000076e+02
1.680000000000000000e+02,4.181404400000000123e+02
1.690000000000000000e+02,4.197383699999999749e+02
1.700000000000000000e+02,4.213901399999999740e+02
1.710000000000000000e+02,4.231021999999999821e+02
1.720000000000000000e+02,4.248801599999999894e+02
1.730000000000000000e+02,4.267309599999999818e+02
1.740000000000000000e+02,4.286625399999999786e+02
1.750000000000000000e+02,4.306830100000000243e+02
1.760000000000000000e+02,4.328013000000000261e+02
1.770000000000000000e+02,4.350272800000000188e+02
1.780000000000000000e+02,4.373725000000000023e+02
1.790000000000000000e+02,4.398480799999999817e+02
1.800000000000000000e+02,4.424678299999999922e+02
1.810000000000000000e+02,4.452463099999999940e+02
1.820000000000000000e+02,4.481999500000000012e+02
1.830000000000000000e+02,4.513457599999999843e+02
1.840000000000000000e+02,4.547000400000000013e+02
1.850000000000000000e+02,4.582789900000000216e+02
1.860000000000000000e+02,4.620957900000000222e+02
1.870000000000000000e+02,4.661582599999999843e+02
1.880000000000000000e+02,4.704640499999999861e+02
1.890000000000000000e+02,4.749939600000000155e+02
1.900000000000000000e+02,4.797065699999999993e+02
1.910000000000000000e+02,4.845317999999999756e+02
1.920000000000000000e+02,4.893765300000000025e+02
1.930000000000000000e+02,4.941396500000000174e+02
1.940000000000000000e+02,4.987462800000000129e+02
1.950000000000000000e+02,5.031734299999999962e+02
1.960000000000000000e+02,5.074454700000000003e+02
1.970000000000000000e+02,5.115982099999999946e+02
1.980000000000000000e+02,5.156476400000000240e+02
1.990000000000000000e+02,5.196072400000000471e+02
2.000000000000000000e+02,5.234860200000000532e+02
2.010000000000000000e+02,5.272908300000000281e+02
2.020000000000000000e+02,5.310271599999999808e+02
2.030000000000000000e+02,5.347012300000000096e+02
2.040000000000000000e+02,5.383159200000000055e+02
2.050000000000000000e+02,5.418746300000000247e+02
2.060000000000000000e+02,5.453803100000000086e+02
2.070000000000000000e+02,5.488364299999999503e+02
2.080000000000000000e+02,5.522449299999999539e+02
2.090000000000000000e+02,5.556074200000000474e+02
2.100000000000000000e+02,5.589258999999999560e+02
2.110000000000000000e+02,5.622025099999999611e+02
2.120000000000000000e+02,5.654381700000000137e+02
2.130000000000000000e+02,5.686342200000000275e+02
2.140000000000000000e+02,5.717923600000000306e+02
2.150000000000000000e+02,5.749130199999999604e+02
2.160000000000000000e+02,5.779984699999999975e+02
2.170000000000000000e+02,5.810490700000000288e+02
2.180000000000000000e+02,5.840654899999999543e+02
2.190000000000000000e+02,5.870490700000000288e+02
2.200000000000000000e+02,5.899999400000000378e+02
2.210000000000000000e+02,5.929196200000000090e+02
2.220000000000000000e+02,5.958082900000000564e+02
2.230000000000000000e+02,5.986666300000000547e+02
2.240000000000000000e+02,6.014954800000000432e+02
2.250000000000000000e+02,6.042954099999999471e+02
2.260000000000000000e+02,6.070667099999999436e+02
2.270000000000000000e+02,6.098102400000000216e+02
2.280000000000000000e+02,6.125267900000000054e+02
2.290000000000000000e+02,6.152161300000000210e+02
2.300000000000000000e+02,6.178793299999999817e+02
2.310000000000000000e+02,6.205165399999999636e+02
2.320000000000000000e+02,6.231279899999999543e+02
2.330000000000000000e+02,6.257145400000000564e+02
2.340000000000000000e+02,6.282760600000000295e+02
2.350000000000000000e+02,6.308132299999999759e+02
2.360000000000000000e+02,6.333263500000000477e+02
2.370000000000000000e+02,6.358157999999999674e+02
2.380000000000000000e+02,6.382817400000000134e+02
2.390000000000000000e+02,6.407245500000000220e+02
2.400000000000000000e+02,6.431446499999999560e+02
2.410000000000000000e+02,6.455423600000000306e+02
2.420000000000000000e+02,6.479179699999999684e+02
2.430000000000000000e+02,6.502716100000000097e+02
2.440000000000000000e+02,6.526035799999999654e+02
2.450000000000000000e+02,6.549141200000000254e+02
2.460000000000000000e+02,6.572033099999999877e+02
2.470000000000000000e+02,6.594715599999999540e+02
2.480000000000000000e+02,6.617192999999999756e+02
2.490000000000000000e+02,6.639464100000000144e+02
2.500000000000000000e+02,6.661532600000000457e+02
2.510000000000000000e+02,6.683400900000000320e+02
2.520000000000000000e+02,6.705071400000000494e+02
2.530000000000000000e+02,6.726541700000000219e+02
2.540000000000000000e+02,6.747823499999999513e+02
2.550000000000000000e+02,6.768911100000000260e+02
2.560000000000000000e+02,6.789807100000000446e+02
2.570000000000000000e+02,6.810515100000000075e+02
2.580000000000000000e+02,6.831038200000000415e+02
2.590000000000000000e+02,6.851373300000000199e+02
2.600000000000000000e+02,6.871527099999999564e+02
2.610000000000000000e+02,6.891499000000000024e+02
2.620000000000000000e+02,6.911290299999999434e+02
2.630000000000000000e+02,6.930902700000000323e+02
2.640000000000000000e+02,6.950338100000000168e+02
2.650000000000000000e+02,6.969600799999999481e+02
2.660000000000000000e+02,6.988688399999999774e+02
2.670000000000000000e+02,7.007604999999999791e+02
2.680000000000000000e+02,7.026350099999999657e+02
2.690000000000000000e+02,7.044927400000000262e+02
2.700000000000000000e+02,7.063337400000000343e+02
2.710000000000000000e+02,7.081581400000000031e+02
2.720000000000000000e+02,7.099661300000000210e+02
2.730000000000000000e+02,7.117579299999999876e+02
2.740000000000000000e+02,7.135335700000000543e+02
2.750000000000000000e+02,7.152931499999999687e+02
2.760000000000000000e+02,7.170366800000000467e+02
2.770000000000000000e+02,7.187647100000000364e+02
2.780000000000000000e+02,7.204769900000000007e+02
2.790000000000000000e+02,7.221738299999999526e+02
2.800000000000000000e+02,7.238553500000000440e+02
2.810000000000000000e+02,7.255216699999999719e+02
2.820000000000000000e+02,7.271728500000000395e+02
2.830000000000000000e+02,7.288092000000000326e+02
2.840000000000000000e+02,7.304306599999999889e+02
2.850000000000000000e+02,7.320374100000000226e+02
2.860000000000000000e+02,7.336295199999999568e+02
2.870000000000000000e+02,7.352072799999999688e+02
2.880000000000000000e+02,7.367707500000000209e+02
2.890000000000000000e+02,7.383200100000000248e+02
2.900000000000000000e+02,7.398552200000000312e+02
2.910000000000000000e+02,7.413764599999999518e+02
2.920000000000000000e+02,7.428837300000000141e+02
2.930000000000000000e+02,7.443773800000000165e+02
