# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000800000000112e+01
5.000000000000000000e+00,2.500004600000000110e+01
6.000000000000000000e+00,2.500020800000000065e+01
7.000000000000000000e+00,2.500074400000000097e+01
8.000000000000000000e+00,2.500224100000000149e+01
9.000000000000000000e+00,2.500583100000000059e+01
1.000000000000000000e+01,2.501343200000000166e+01
1.100000000000000000e+01,2.502791799999999967e+01
1.200000000000000000e+01,2.505321500000000157e+01
1.300000000000000000e+01,2.509424599999999828e+01
1.400000000000000000e+01,2.515679599999999994e+01
1.500000000000000000e+01,2.524729900000000171e+01
1.600000000000000000e+01,2.537260200000000054e+01
1.700000000000000000e+01,2.553974699999999842e+01
1.800000000000000000e+01,2.575575800000000015e+01
1.900000000000000000e+01,2.602754399999999890e+01
2.000000000000000000e+01,2.636174600000000012e+01
2.100000000000000000e+01,2.676467900000000100e+01
2.200000000000000000e+01,2.724223299999999881e+01
2.300000000000000000e+01,2.779979700000000165e+01
2.400000000000000000e+01,2.844220400000000026e+01
2.500000000000000000e+01,2.917361299999999957e+01
2.600000000000000000e+01,2.999751300000000143e+01
2.700000000000000000e+01,3.091674000000000078e+01
2.800000000000000000e+01,3.193347500000000139e+01
2.900000000000000000e+01,3.304928600000000216e+01
3.000000000000000000e+01,3.426516000000000162e+01
3.100000000000000000e+01,3.558156199999999814e+01
3.200000000000000000e+01,3.699837500000000290e+01
3.300000000000000000e+01,3.851517100000000227e+01
3.400000000000000000e+01,4.013096199999999669e+01
3.500000000000000000e+01,4.184445199999999687e+01
3.600000000000000000e+01,4.365410599999999874e+01
3.700000000000000000e+01,4.555799499999999824e+01
3.800000000000000000e+01,4.755413800000000180e+01
3.900000000000000000e+01,4.964028900000000277e+01
4.000000000000000000e+01,5.181409500000000179e+01
4.100000000000000000e+01,5.407287199999999672e+01
4.200000000000000000e+01,5.641400099999999895e+01
4.300000000000000000e+01,5.883469399999999894e+01
4.400000000000000000e+01,6.133218000000000103e+01
4.500000000000000000e+01,6.390351100000000173e+01
4.600000000000000000e+01,6.654592900000000100e+01
4.700000000000000000e+01,6.925654600000000016e+01
4.800000000000000000e+01,7.203266100000000449e+01
4.900000000000000000e+01,7.487135299999999916e+01
5.000000000000000000e+01,7.776979799999999443e+01
5.100000000000000000e+01,8.072512100000000146e+01
5.200000000000000000e+01,8.373455800000000693e+01
5.300000000000000000e+01,8.679541799999999796e+01
5.400000000000000000e+01,8.990499099999999544e+01
5.500000000000000000e+01,9.306069200000000308e+01
5.600000000000000000e+01,9.626002499999999884e+01
5.700000000000000000e+01,9.950060299999999813e+01
5.800000000000000000e+01,1.027800799999999981e+02
5.900000000000000000e+01,1.060961999999999961e+02
6.000000000000000000e+01,1.094467300000000023e+02
6.100000000000000000e+01,1.128292200000000065e+02
6.200000000000000000e+01,1.162415799999999990e+02
6.300000000000000000e+01,1.196815600000000046e+02
6.400000000000000000e+01,1.231472499999999997e+02
6.500000000000000000e+01,1.266367400000000032e+02
6.600000000000000000e+01,1.301480400000000088e+02
6.700000000000000000e+01,1.336795799999999872e+02
6.800000000000000000e+01,1.372296399999999892e+02
6.900000000000000000e+01,1.407965399999999931e+02
7.000000000000000000e+01,1.443786800000000028e+02
7.100000000000000000e+01,1.479745599999999968e+02
7.200000000000000000e+01,1.515826000000000136e+02
7.300000000000000000e+01,1.552011599999999873e+02
7.400000000000000000e+01,1.588287699999999916e+02
7.500000000000000000e+01,1.624639999999999986e+02
7.600000000000000000e+01,1.661055599999999970e+02
7.700000000000000000e+01,1.697522299999999973e+02
7.800000000000000000e+01,1.734028299999999945e+02
7.900000000000000000e+01,1.770562999999999931e+02
8.000000000000000000e+01,1.807116900000000044e+02
8.100000000000000000e+01,1.843678999999999917e+02
8.200000000000000000e+01,1.880239699999999914e+02
8.300000000000000000e+01,1.916787600000000111e+02
8.400000000000000000e+01,1.953312099999999987e+02
8.500000000000000000e+01,1.989802699999999902e+02
8.600000000000000000e+01,2.026249200000000030e+02
8.700000000000000000e+01,2.062641800000000103e+02
8.800000000000000000e+01,2.098971899999999948e+02
8.900000000000000000e+01,2.135232699999999966e+02
9.000000000000000000e+01,2.171415599999999984e+02
9.100000000000000000e+01,2.207514299999999992e+02
9.200000000000000000e+01,2.243522199999999884e+02
9.300000000000000000e+01,2.279432500000000061e+02
9.400000000000000000e+01,2.315237999999999943e+02
9.500000000000000000e+01,2.350930199999999957e+02
9.600000000000000000e+01,2.386501900000000091e+02
9.700000000000000000e+01,2.421945000000000050e+02
9.800000000000000000e+01,2.457252499999999884e+02
9.900000000000000000e+01,2.492416100000000085e+02
1.000000000000000000e+02,2.527428899999999885e+02
1.010000000000000000e+02,2.562284200000000283e+02
1.020000000000000000e+02,2.596978100000000040e+02
1.030000000000000000e+02,2.631504800000000159e+02
1.040000000000000000e+02,2.665859100000000126e+02
1.050000000000000000e+02,2.700037199999999871e+02
1.060000000000000000e+02,2.734032000000000266e+02
1.070000000000000000e+02,2.767838100000000168e+02
1.080000000000000000e+02,2.801448100000000068e+02
1.090000000000000000e+02,2.834856300000000147e+02
1.100000000000000000e+02,2.868056900000000269e+02
1.110000000000000000e+02,2.901042199999999980e+02
1.120000000000000000e+02,2.933805500000000279e+02
1.130000000000000000e+02,2.966340900000000147e+02
1.140000000000000000e+02,2.998641700000000014e+02
1.150000000000000000e+02,3.030700699999999870e+02
1.160000000000000000e+02,3.062510700000000270e+02
1.170000000000000000e+02,3.094061599999999999e+02
1.180000000000000000e+02,3.125341500000000110e+02
1.190000000000000000e+02,3.156339100000000144e+02
1.200000000000000000e+02,3.187040999999999826e+02
1.210000000000000000e+02,3.217431300000000078e+02
1.220000000000000000e+02,3.247496300000000247e+02
1.230000000000000000e+02,3.277220199999999863e+02
1.240000000000000000e+02,3.306587499999999977e+02
1.250000000000000000e+02,3.335581700000000183e+02
1.260000000000000000e+02,3.364186100000000010e+02
1.270000000000000000e+02,3.392383100000000127e+02
1.280000000000000000e+02,3.420153799999999933e+02
1.290000000000000000e+02,3.447477400000000216e+02
1.300000000000000000e+02,3.474332299999999805e+02
1.310000000000000000e+02,3.500695799999999736e+02
1.320000000000000000e+02,3.526547499999999786e+02
1.330000000000000000e+02,3.551865199999999732e+02
1.340000000000000000e+02,3.576628999999999792e+02
1.350000000000000000e+02,3.600822099999999750e+02
1.360000000000000000e+02,3.624424999999999955e+02
1.370000000000000000e+02,3.647423099999999749e+02
1.380000000000000000e+02,3.669804100000000062e+02
1.390000000000000000e+02,3.691556699999999864e+02
1.400000000000000000e+02,3.712671500000000151e+02
1.410000000000000000e+02,3.733144199999999842e+02
1.420000000000000000e+02,3.752974500000000262e+02
1.430000000000000000e+02,3.772166399999999840e+02
1.440000000000000000e+02,3.790730899999999792e+02
1.450000000000000000e+02,3.808683500000000208e+02
1.460000000000000000e+02,3.826043099999999981e+02
1.470000000000000000e+02,3.842835699999999974e+02
1.480000000000000000e+02,3.859090899999999920e+02
1.490000000000000000e+02,3.874840399999999931e+02
1.500000000000000000e+02,3.890122099999999818e+02
1.510000000000000000e+02,3.904975900000000024e+02
1.520000000000000000e+02,3.919445499999999925e+02
1.530000000000000000e+02,3.933580000000000041e+02
1.540000000000000000e+02,3.947426800000000071e+02
1.550000000000000000e+02,3.961037000000000035e+02
1.560000000000000000e+02,3.974463799999999765e+02
1.570000000000000000e+02,3.987756999999999721e+02
1.580000000000000000e+02,4.000968599999999924e+02
1.590000000000000000e+02,4.014149199999999951e+02
1.600000000000000000e+02,4.027348900000000071e+02
1.610000000000000000e+02,4.040618900000000053e+02
1.620000000000000000e+02,4.054010299999999916e+02
1.630000000000000000e+02,4.067577800000000252e+02
1.640000000000000000e+02,4.081364699999999743e+02
1.650000000000000000e+02,4.095424499999999739e+02
1.660000000000000000e+02,4.109807099999999878e+02
1.670000000000000000e+02,4.124561499999999796e+02
1.680000000000000000e+02,4.139742400000000089e+02
1.690000000000000000e+02,4.155401899999999955e+02
1.700000000000000000e+02,4.171598500000000058e+02
1.710000000000000000e+02,4.188391399999999862e+02
1.720000000000000000e+02,4.205841100000000097e+02
1.730000000000000000e+02,4.224020100000000184e+02
1.740000000000000000e+02,4.243005099999999743e+02
1.750000000000000000e+02,4.262878999999999792e+02
1.760000000000000000e+02,4.283731399999999780e+02
1.770000000000000000e+02,4.305663799999999810e+02
1.780000000000000000e+02,4.328785700000000247e+02
1.790000000000000000e+02,4.353221700000000283e+02
1.800000000000000000e+02,4.379101900000000001e+02
1.810000000000000000e+02,4.406581100000000220e+02
1.820000000000000000e+02,4.435812999999999988e+02
1.830000000000000000e+02,4.466969900000000280e+02
1.840000000000000000e+02,4.500234399999999937e+02
1.850000000000000000e+02,4.535770899999999983e+02
1.860000000000000000e+02,4.573708500000000186e+02
1.870000000000000000e+02,4.614113199999999892e+02
1.880000000000000000e+02,4.656982399999999984e+02
1.890000000000000000e+02,4.702102699999999800e+02
1.900000000000000000e+02,4.749038699999999835e+02
1.910000000000000000e+02,4.797094099999999912e+02
1.920000000000000000e+02,4.845325000000000273e+02
1.930000000000000000e+02,4.892740499999999884e+02
1.940000000000000000e+02,4.938609599999999773e+02
1.950000000000000000e+02,4.982724900000000048e+02
1.960000000000000000e+02,5.025307300000000055e+02
1.970000000000000000e+02,5.066682999999999879e+02
1.980000000000000000e+02,5.107025499999999738e+02
1.990000000000000000e+02,5.146466100000000097e+02
2.000000000000000000e+02,5.185094599999999900e+02
2.010000000000000000e+02,5.222987100000000282e+02
2.020000000000000000e+02,5.260199599999999691e+02
2.030000000000000000e+02,5.296776099999999587e+02
2.040000000000000000e+02,5.332764899999999670e+02
2.050000000000000000e+02,5.368198200000000497e+02
2.060000000000000000e+02,5.403103599999999460e+02
2.070000000000000000e+02,5.437510399999999890e+02
2.080000000000000000e+02,5.471438000000000557e+02
2.090000000000000000e+02,5.504907799999999725e+02
2.100000000000000000e+02,5.537940700000000334e+02
2.110000000000000000e+02,5.570548700000000508e+02
2.120000000000000000e+02,5.602752699999999777e+02
2.130000000000000000e+02,5.634564199999999801e+02
2.140000000000000000e+02,5.665994899999999461e+02
2.150000000000000000e+02,5.697056300000000419e+02
2.160000000000000000e+02,5.727758800000000292e+02
2.170000000000000000e+02,5.758116499999999860e+02
2.180000000000000000e+02,5.788133500000000140e+02
2.190000000000000000e+02,5.817819200000000137e+02
2.200000000000000000e+02,5.847180799999999863e+02
2.210000000000000000e+02,5.876229899999999589e+02
2.220000000000000000e+02,5.904976199999999835e+02
2.230000000000000000e+02,5.933418599999999969e+02
2.240000000000000000e+02,5.961567400000000134e+02
2.250000000000000000e+02,5.989426300000000083e+02
2.260000000000000000e+02,6.017002599999999575e+02
2.270000000000000000e+02,6.044304200000000264e+02
2.280000000000000000e+02,6.071331800000000385e+02
2.290000000000000000e+02,6.098092699999999695e+02
2.300000000000000000e+02,6.124591100000000097e+02
2.310000000000000000e+02,6.150830700000000206e+02
2.320000000000000000e+02,6.176818799999999783e+02
2.330000000000000000e+02,6.202554900000000089e+02
2.340000000000000000e+02,6.228048700000000508e+02
2.350000000000000000e+02,6.253297700000000532e+02
2.360000000000000000e+02,6.278308700000000044e+02
2.370000000000000000e+02,6.303084700000000566e+02
2.380000000000000000e+02,6.327627599999999575e+02
2.390000000000000000e+02,6.351944600000000491e+02
2.400000000000000000e+02,6.376034499999999525e+02
2.410000000000000000e+02,6.399901700000000346e+02
2.420000000000000000e+02,6.423548600000000306e+02
2.430000000000000000e+02,6.446976300000000037e+02
2.440000000000000000e+02,6.470191700000000310e+02
2.450000000000000000e+02,6.493197000000000116e+02
2.460000000000000000e+02,6.515991800000000467e+02
2.470000000000000000e+02,6.538579700000000230e+02
2.480000000000000000e+02,6.560965599999999540e+02
2.490000000000000000e+02,6.583147599999999784e+02
2.500000000000000000e+02,6.605126999999999953e+02
2.510000000000000000e+02,6.626909200000000055e+02
2.520000000000000000e+02,6.648498499999999467e+02
2.530000000000000000e+02,6.669891400000000203e+02
2.540000000000000000e+02,6.691096800000000258e+02
2.550000000000000000e+02,6.712110000000000127e+02
2.560000000000000000e+02,6.732934599999999818e+02
2.570000000000000000e+02,6.753573000000000093e+02
2.580000000000000000e+02,6.774027700000000323e+02
2.590000000000000000e+02,6.794300500000000511e+02
2.600000000000000000e+02,6.814391500000000406e+02
2.610000000000000000e+02,6.834304799999999886e+02
2.620000000000000000e+02,6.854041099999999460e+02
2.630000000000000000e+02,6.873601700000000392e+02
2.640000000000000000e+02,6.892988900000000285e+02
2.650000000000000000e+02,6.912205199999999650e+02
2.660000000000000000e+02,6.931248799999999619e+02
2.670000000000000000e+02,6.950123899999999821e+02
2.680000000000000000e+02,6.968831800000000385e+02
2.690000000000000000e+02,6.987373000000000047e+02
2.700000000000000000e+02,7.005750699999999824e+02
2.710000000000000000e+02,7.023965500000000475e+02
2.720000000000000000e+02,7.042020300000000361e+02
2.730000000000000000e+02,7.059912100000000237e+02
2.740000000000000000e+02,7.077643399999999474e+02
2.750000000000000000e+02,7.095222199999999475e+02
2.760000000000000000e+02,7.112643399999999474e+02
2.770000000000000000e+02,7.129910300000000234e+02
2.780000000000000000e+02,7.147024499999999989e+02
2.790000000000000000e+02,7.163985599999999749e+02
2.800000000000000000e+02,7.180794700000000148e+02
2.810000000000000000e+02,7.197456700000000183e+02
2.820000000000000000e+02,7.213969700000000103e+02
2.830000000000000000e+02,7.230336300000000165e+02
2.840000000000000000e+02,7.246557599999999866e+02
2.850000000000000000e+02,7.262634299999999712e+02
2.860000000000000000e+02,7.278568099999999959e+02
2.870000000000000000e+02,7.294360400000000482e+02
2.880000000000000000e+02,7.310012799999999515e+02
2.890000000000000000e+02,7.325524900000000343e+02
2.900000000000000000e+02,7.340897800000000188e+02
2.910000000000000000e+02,7.356135299999999688e+02
2.920000000000000000e+02,7.371236599999999726e+02
2.930000000000000000e+02,7.386204199999999673e+02
