# Time [s], Temperature [C]
1.000000000000000000e+00,1.080908400000000000e+02
2.000000000000000000e+00,1.585437799999999982e+02
3.000000000000000000e+00,1.965570500000000038e+02
4.000000000000000000e+00,2.279372299999999996e+02
5.000000000000000000e+00,2.549147600000000011e+02
6.000000000000000000e+00,2.787352900000000204e+02
7.000000000000000000e+00,3.004192499999999768e+02
8.000000000000000000e+00,3.208445100000000139e+02
9.000000000000000000e+00,3.397395000000000209e+02
1.000000000000000000e+01,3.565317099999999755e+02
1.100000000000000000e+01,3.892951400000000035e+02
1.200000000000000000e+01,4.102306500000000256e+02
1.300000000000000000e+01,4.277179899999999861e+02
1.400000000000000000e+01,4.410791899999999828e+02
1.500000000000000000e+01,4.515180700000000229e+02
1.600000000000000000e+01,4.603987099999999941e+02
1.700000000000000000e+01,4.693945899999999938e+02
1.800000000000000000e+01,4.797010799999999904e+02
1.900000000000000000e+01,4.921929900000000089e+02
2.000000000000000000e+01,5.077148399999999810e+02
2.100000000000000000e+01,5.201005199999999604e+02
2.200000000000000000e+01,5.292909499999999525e+02
2.300000000000000000e+01,5.369574599999999691e+02
2.400000000000000000e+01,5.437716100000000097e+02
2.500000000000000000e+01,5.503531500000000278e+02
2.600000000000000000e+01,5.571056499999999687e+02
2.700000000000000000e+01,5.642849099999999680e+02
2.800000000000000000e+01,5.719732099999999946e+02
2.900000000000000000e+01,5.798317299999999932e+02
3.000000000000000000e+01,5.867908899999999903e+02
3.100000000000000000e+01,5.925128799999999956e+02
3.200000000000000000e+01,5.976383700000000090e+02
3.300000000000000000e+01,6.022512799999999515e+02
3.400000000000000000e+01,6.066771899999999960e+02
3.500000000000000000e+01,6.110220900000000483e+02
3.600000000000000000e+01,6.154298700000000508e+02
3.700000000000000000e+01,6.199604500000000371e+02
3.800000000000000000e+01,6.246067500000000337e+02
3.900000000000000000e+01,6.291978100000000040e+02
4.000000000000000000e+01,6.334849199999999882e+02
4.100000000000000000e+01,6.373669399999999996e+02
4.200000000000000000e+01,6.408967300000000478e+02
4.300000000000000000e+01,6.441663200000000415e+02
4.400000000000000000e+01,6.472789900000000216e+02
4.500000000000000000e+01,6.502828399999999647e+02
4.600000000000000000e+01,6.532546999999999571e+02
4.700000000000000000e+01,6.562300999999999931e+02
4.800000000000000000e+01,6.592220499999999674e+02
4.900000000000000000e+01,6.622232699999999568e+02
5.000000000000000000e+01,6.651893300000000409e+02
5.100000000000000000e+01,6.680497400000000425e+02
5.200000000000000000e+01,6.707434100000000399e+02
5.300000000000000000e+01,6.732731300000000374e+02
5.400000000000000000e+01,6.756638199999999870e+02
5.500000000000000000e+01,6.779294999999999618e+02
5.600000000000000000e+01,6.801305499999999711e+02
5.700000000000000000e+01,6.822663000000000011e+02
5.800000000000000000e+01,6.843842799999999897e+02
5.900000000000000000e+01,6.864853500000000395e+02
