# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.915079995362458862e-02
5.000000000000000000e+00,3.748642353082986406e-02
6.000000000000000000e+00,5.983475718274645916e-02
7.000000000000000000e+00,9.034761368187844977e-02
8.000000000000000000e+00,1.289100765451444419e-01
9.000000000000000000e+00,1.760599575334635680e-01
1.000000000000000000e+01,2.313289367530153018e-01
1.100000000000000000e+01,2.941054473588986529e-01
1.200000000000000000e+01,3.636440260174493844e-01
1.300000000000000000e+01,4.390155365080443128e-01
1.400000000000000000e+01,5.193166749894995160e-01
1.500000000000000000e+01,6.036913721129498756e-01
1.600000000000000000e+01,6.913395630106425882e-01
1.700000000000000000e+01,7.815412200648252927e-01
1.800000000000000000e+01,8.736836258820886991e-01
1.900000000000000000e+01,9.672264614110744896e-01
2.000000000000000000e+01,1.061711981345551337e+00
2.100000000000000000e+01,1.156755798480313846e+00
2.200000000000000000e+01,1.252023725150685829e+00
2.300000000000000000e+01,1.347242308294930080e+00
2.400000000000000000e+01,1.442186636025553081e+00
2.500000000000000000e+01,1.536661836674170223e+00
2.600000000000000000e+01,1.630513638232525375e+00
2.700000000000000000e+01,1.723611006262061762e+00
2.800000000000000000e+01,1.815852774236704104e+00
2.900000000000000000e+01,1.907150697079911916e+00
3.000000000000000000e+01,1.997437233655637634e+00
3.100000000000000000e+01,2.086661590866037308e+00
3.200000000000000000e+01,2.174782462548937811e+00
3.300000000000000000e+01,2.261768175674767622e+00
3.400000000000000000e+01,2.347596193313018276e+00
3.500000000000000000e+01,2.432251921820123286e+00
3.600000000000000000e+01,2.515728855555508847e+00
3.700000000000000000e+01,2.598022772067728248e+00
3.800000000000000000e+01,2.679133735892063495e+00
3.900000000000000000e+01,2.759067382453184170e+00
4.000000000000000000e+01,2.837831516548072308e+00
4.100000000000000000e+01,2.915433733789140280e+00
4.200000000000000000e+01,2.991887078945331346e+00
4.300000000000000000e+01,3.067208473411662251e+00
4.400000000000000000e+01,3.141408782324735416e+00
4.500000000000000000e+01,3.214507193514074324e+00
4.600000000000000000e+01,3.286519254047617355e+00
4.700000000000000000e+01,3.357461904633026961e+00
4.800000000000000000e+01,3.427355231839959160e+00
4.900000000000000000e+01,3.496217402989388212e+00
5.000000000000000000e+01,3.564065359569549951e+00
5.100000000000000000e+01,3.630917862830477016e+00
5.200000000000000000e+01,3.696795166869438543e+00
5.300000000000000000e+01,3.761715457307557742e+00
5.400000000000000000e+01,3.825697285703461237e+00
5.500000000000000000e+01,3.888759068907939653e+00
5.600000000000000000e+01,3.950918990329213010e+00
5.700000000000000000e+01,4.012195799756632653e+00
5.800000000000000000e+01,4.072606585560515136e+00
5.900000000000000000e+01,4.132169186522458126e+00
6.000000000000000000e+01,4.190901674673086497e+00
6.100000000000000000e+01,4.248819593244628656e+00
6.200000000000000000e+01,4.305939571338159411e+00
6.300000000000000000e+01,4.362278264721607179e+00
6.400000000000000000e+01,4.417853079371695912e+00
6.500000000000000000e+01,4.472677702309877823e+00
6.600000000000000000e+01,4.526767356456014468e+00
6.700000000000000000e+01,4.580138973868070451e+00
6.800000000000000000e+01,4.632804913416207704e+00
6.900000000000000000e+01,4.684780155005729085e+00
7.000000000000000000e+01,4.736079743597331415e+00
7.100000000000000000e+01,4.786715231671438531e+00
7.200000000000000000e+01,4.836701620736463703e+00
7.300000000000000000e+01,4.886050127975992474e+00
7.400000000000000000e+01,4.934775029414461223e+00
7.500000000000000000e+01,4.982887171759424305e+00
7.600000000000000000e+01,5.030400525267724632e+00
7.700000000000000000e+01,5.077324570797270731e+00
7.800000000000000000e+01,5.123673075668400578e+00
7.900000000000000000e+01,5.169455905842498922e+00
8.000000000000000000e+01,5.214683400437655436e+00
8.100000000000000000e+01,5.259366998829121620e+00
8.200000000000000000e+01,5.303516726944413229e+00
8.300000000000000000e+01,5.347143925372030537e+00
8.400000000000000000e+01,5.390257189337642529e+00
8.500000000000000000e+01,5.432865592006066890e+00
8.600000000000000000e+01,5.474979500825864598e+00
8.700000000000000000e+01,5.516607936343578267e+00
8.800000000000000000e+01,5.557758516186456887e+00
8.900000000000000000e+01,5.598442221241474392e+00
9.000000000000000000e+01,5.638666377871963675e+00
9.100000000000000000e+01,5.678439630691356932e+00
9.200000000000000000e+01,5.717768590404492812e+00
9.300000000000000000e+01,5.756662454636352066e+00
9.400000000000000000e+01,5.795128964697794594e+00
9.500000000000000000e+01,5.833174705501634527e+00
9.600000000000000000e+01,5.870807996765093684e+00
9.700000000000000000e+01,5.908035763714828192e+00
9.800000000000000000e+01,5.944864649268895462e+00
9.900000000000000000e+01,5.981301913384633906e+00
1.000000000000000000e+02,6.017353390622290910e+00
1.010000000000000000e+02,6.053026480723307401e+00
1.020000000000000000e+02,6.088327088455364411e+00
1.030000000000000000e+02,6.123261862791102850e+00
1.040000000000000000e+02,6.157835931805762719e+00
1.050000000000000000e+02,6.192056131031514532e+00
1.060000000000000000e+02,6.225928010879381524e+00
1.070000000000000000e+02,6.259457160372413398e+00
1.080000000000000000e+02,6.292648968346503224e+00
1.090000000000000000e+02,6.325508545935506710e+00
1.100000000000000000e+02,6.358042391230844359e+00
1.110000000000000000e+02,6.390254936787020945e+00
1.120000000000000000e+02,6.422151263783018926e+00
1.130000000000000000e+02,6.453736789061444767e+00
1.140000000000000000e+02,6.485015022354452263e+00
1.150000000000000000e+02,6.515992206301427281e+00
1.160000000000000000e+02,6.546672708950794117e+00
1.170000000000000000e+02,6.577060734757337102e+00
1.180000000000000000e+02,6.607161136607810015e+00
1.190000000000000000e+02,6.636977526653724979e+00
1.200000000000000000e+02,6.666514965613288268e+00
1.210000000000000000e+02,6.695777549690959063e+00
1.220000000000000000e+02,6.724769747005489684e+00
1.230000000000000000e+02,6.753494328854844575e+00
1.240000000000000000e+02,6.781956258884322963e+00
1.250000000000000000e+02,6.810159573489020346e+00
1.260000000000000000e+02,6.838107921106368003e+00
1.270000000000000000e+02,6.865805323262665461e+00
1.280000000000000000e+02,6.893254189230425766e+00
1.290000000000000000e+02,6.920459779374098730e+00
1.300000000000000000e+02,6.947424516470625200e+00
1.310000000000000000e+02,6.974152668058401616e+00
1.320000000000000000e+02,7.000646693916571017e+00
1.330000000000000000e+02,7.026910159067666584e+00
1.340000000000000000e+02,7.052947222451976472e+00
1.350000000000000000e+02,7.078760513279973132e+00
1.360000000000000000e+02,7.104352578339991453e+00
1.370000000000000000e+02,7.129726806244947923e+00
1.380000000000000000e+02,7.154887398057632630e+00
1.390000000000000000e+02,7.179835933381657931e+00
1.400000000000000000e+02,7.204575745956099730e+00
1.410000000000000000e+02,7.229109848166537233e+00
1.420000000000000000e+02,7.253441387304414789e+00
1.430000000000000000e+02,7.277572536400891856e+00
1.440000000000000000e+02,7.301505404880014538e+00
1.450000000000000000e+02,7.325244440487980846e+00
1.460000000000000000e+02,7.348790935667861568e+00
1.470000000000000000e+02,7.372147220640207443e+00
1.480000000000000000e+02,7.395316844911659970e+00
1.490000000000000000e+02,7.418301349074065243e+00
1.500000000000000000e+02,7.441103498124368443e+00
1.510000000000000000e+02,7.463726193779299578e+00
1.520000000000000000e+02,7.486171217536003120e+00
1.530000000000000000e+02,7.508440717782811191e+00
1.540000000000000000e+02,7.530536579924112850e+00
1.550000000000000000e+02,7.552461870841084668e+00
1.560000000000000000e+02,7.574218152558501949e+00
1.570000000000000000e+02,7.595807960162240136e+00
1.580000000000000000e+02,7.617233362325991131e+00
1.590000000000000000e+02,7.638496175286669576e+00
1.600000000000000000e+02,7.659598768149982639e+00
1.610000000000000000e+02,7.680543055841299704e+00
1.620000000000000000e+02,7.701330116957721295e+00
1.630000000000000000e+02,7.721963161045956703e+00
1.640000000000000000e+02,7.742442785661239668e+00
1.650000000000000000e+02,7.762771513146950575e+00
1.660000000000000000e+02,7.782951421702850148e+00
1.670000000000000000e+02,7.802983388129383968e+00
1.680000000000000000e+02,7.822869987868559249e+00
1.690000000000000000e+02,7.842612407154928356e+00
1.700000000000000000e+02,7.862212750500392922e+00
1.710000000000000000e+02,7.881672510616009042e+00
1.720000000000000000e+02,7.900993146213194152e+00
1.730000000000000000e+02,7.920176269599977559e+00
1.740000000000000000e+02,7.939223271721474795e+00
1.750000000000000000e+02,7.958136251788269888e+00
1.760000000000000000e+02,7.976916713000032466e+00
1.770000000000000000e+02,7.995565576733781654e+00
1.780000000000000000e+02,8.014084654261798946e+00
1.790000000000000000e+02,8.032475175006450030e+00
1.800000000000000000e+02,8.050738883618215880e+00
1.810000000000000000e+02,8.068877129541368376e+00
1.820000000000000000e+02,8.086890876037323039e+00
1.830000000000000000e+02,8.104781599888358556e+00
