# Time [s], Temperature [C]
1.000000000000000000e+00,4.582204399999999822e+01
2.000000000000000000e+00,5.770145800000000236e+01
3.000000000000000000e+00,6.739089199999999380e+01
4.000000000000000000e+00,7.548872400000000482e+01
5.000000000000000000e+00,8.260935200000000123e+01
6.000000000000000000e+00,8.899208799999999542e+01
7.000000000000000000e+00,9.481365200000000470e+01
8.000000000000000000e+00,1.001825000000000045e+02
9.000000000000000000e+00,1.051796999999999969e+02
1.000000000000000000e+01,1.098628199999999993e+02
1.100000000000000000e+01,1.142766699999999958e+02
1.200000000000000000e+01,1.184562499999999972e+02
1.300000000000000000e+01,1.224297100000000000e+02
1.400000000000000000e+01,1.262195300000000060e+02
1.500000000000000000e+01,1.298441300000000069e+02
1.600000000000000000e+01,1.333201599999999871e+02
1.700000000000000000e+01,1.366612399999999923e+02
1.800000000000000000e+01,1.398780500000000018e+02
1.900000000000000000e+01,1.429810500000000104e+02
2.000000000000000000e+01,1.459791999999999916e+02
2.100000000000000000e+01,1.488794300000000135e+02
2.200000000000000000e+01,1.516892899999999997e+02
2.300000000000000000e+01,1.544148700000000076e+02
2.400000000000000000e+01,1.570607599999999877e+02
2.500000000000000000e+01,1.596319399999999860e+02
2.600000000000000000e+01,1.621337900000000047e+02
2.700000000000000000e+01,1.645694399999999860e+02
2.800000000000000000e+01,1.669421199999999885e+02
2.900000000000000000e+01,1.692563800000000072e+02
3.000000000000000000e+01,1.715142999999999915e+02
3.100000000000000000e+01,1.737183400000000120e+02
3.200000000000000000e+01,1.758719600000000014e+02
3.300000000000000000e+01,1.779773299999999949e+02
3.400000000000000000e+01,1.800359500000000139e+02
3.500000000000000000e+01,1.820508100000000127e+02
3.600000000000000000e+01,1.840233000000000061e+02
3.700000000000000000e+01,1.859550900000000127e+02
3.800000000000000000e+01,1.878486900000000048e+02
3.900000000000000000e+01,1.897042500000000018e+02
4.000000000000000000e+01,1.915237999999999943e+02
4.100000000000000000e+01,1.933092000000000041e+02
4.200000000000000000e+01,1.950612900000000138e+02
4.300000000000000000e+01,1.967816200000000038e+02
4.400000000000000000e+01,1.984710100000000068e+02
4.500000000000000000e+01,2.001309500000000128e+02
4.600000000000000000e+01,2.017621499999999912e+02
4.700000000000000000e+01,2.033660299999999950e+02
4.800000000000000000e+01,2.049426899999999989e+02
4.900000000000000000e+01,2.064936500000000024e+02
5.000000000000000000e+01,2.080200700000000040e+02
5.100000000000000000e+01,2.095220199999999977e+02
5.200000000000000000e+01,2.110006300000000010e+02
5.300000000000000000e+01,2.124571100000000001e+02
5.400000000000000000e+01,2.138920400000000086e+02
5.500000000000000000e+01,2.153053299999999979e+02
5.600000000000000000e+01,2.166985200000000020e+02
5.700000000000000000e+01,2.180721000000000060e+02
5.800000000000000000e+01,2.194259000000000128e+02
5.900000000000000000e+01,2.207618099999999970e+02
6.000000000000000000e+01,2.220797599999999932e+02
6.100000000000000000e+01,2.233800699999999892e+02
6.200000000000000000e+01,2.246638000000000090e+02
6.300000000000000000e+01,2.259311999999999898e+02
6.400000000000000000e+01,2.271824499999999887e+02
6.500000000000000000e+01,2.284190499999999986e+02
6.600000000000000000e+01,2.296404899999999998e+02
6.700000000000000000e+01,2.308477000000000032e+02
6.800000000000000000e+01,2.320413700000000006e+02
6.900000000000000000e+01,2.332214500000000044e+02
7.000000000000000000e+01,2.343881100000000117e+02
7.100000000000000000e+01,2.355427400000000091e+02
7.200000000000000000e+01,2.366850599999999929e+02
7.300000000000000000e+01,2.378156600000000083e+02
7.400000000000000000e+01,2.389351800000000026e+02
7.500000000000000000e+01,2.400432600000000036e+02
7.600000000000000000e+01,2.411405000000000030e+02
7.700000000000000000e+01,2.422276599999999860e+02
7.800000000000000000e+01,2.433049000000000035e+02
7.900000000000000000e+01,2.443721299999999985e+02
8.000000000000000000e+01,2.454305699999999888e+02
8.100000000000000000e+01,2.464793400000000076e+02
8.200000000000000000e+01,2.475193199999999933e+02
8.300000000000000000e+01,2.485507399999999905e+02
8.400000000000000000e+01,2.495741399999999999e+02
8.500000000000000000e+01,2.505887600000000077e+02
8.600000000000000000e+01,2.515958899999999971e+02
8.700000000000000000e+01,2.525949899999999957e+02
8.800000000000000000e+01,2.535863799999999912e+02
8.900000000000000000e+01,2.545705000000000098e+02
9.000000000000000000e+01,2.555466900000000123e+02
9.100000000000000000e+01,2.565161100000000260e+02
9.200000000000000000e+01,2.574786399999999844e+02
9.300000000000000000e+01,2.584334099999999808e+02
9.400000000000000000e+01,2.593815599999999790e+02
9.500000000000000000e+01,2.603226000000000226e+02
9.600000000000000000e+01,2.612569899999999734e+02
9.700000000000000000e+01,2.621844500000000266e+02
9.800000000000000000e+01,2.631049199999999928e+02
9.900000000000000000e+01,2.640188600000000179e+02
1.000000000000000000e+02,2.649259000000000128e+02
1.010000000000000000e+02,2.658260200000000282e+02
1.020000000000000000e+02,2.667196400000000267e+02
1.030000000000000000e+02,2.676066000000000145e+02
1.040000000000000000e+02,2.684871499999999855e+02
1.050000000000000000e+02,2.693602900000000204e+02
1.060000000000000000e+02,2.702273299999999949e+02
1.070000000000000000e+02,2.710879800000000159e+02
1.080000000000000000e+02,2.719419300000000135e+02
1.090000000000000000e+02,2.727894600000000196e+02
1.100000000000000000e+02,2.736306799999999839e+02
1.110000000000000000e+02,2.744652100000000132e+02
1.120000000000000000e+02,2.752937000000000012e+02
1.130000000000000000e+02,2.761164200000000051e+02
1.140000000000000000e+02,2.769327700000000050e+02
1.150000000000000000e+02,2.777430699999999888e+02
1.160000000000000000e+02,2.785478200000000015e+02
1.170000000000000000e+02,2.793463699999999790e+02
1.180000000000000000e+02,2.801390999999999849e+02
1.190000000000000000e+02,2.809265700000000265e+02
1.200000000000000000e+02,2.817082800000000020e+02
1.210000000000000000e+02,2.824845599999999877e+02
1.220000000000000000e+02,2.832557100000000219e+02
1.230000000000000000e+02,2.840214199999999778e+02
1.240000000000000000e+02,2.847820100000000139e+02
1.250000000000000000e+02,2.855378999999999792e+02
1.260000000000000000e+02,2.862885699999999929e+02
1.270000000000000000e+02,2.870344200000000114e+02
1.280000000000000000e+02,2.877760900000000106e+02
1.290000000000000000e+02,2.885126999999999953e+02
1.300000000000000000e+02,2.892447799999999916e+02
1.310000000000000000e+02,2.899727199999999812e+02
1.320000000000000000e+02,2.906961400000000140e+02
1.330000000000000000e+02,2.914152500000000146e+02
1.340000000000000000e+02,2.921307400000000030e+02
1.350000000000000000e+02,2.928416399999999840e+02
1.360000000000000000e+02,2.935488599999999906e+02
1.370000000000000000e+02,2.942521100000000160e+02
1.380000000000000000e+02,2.949512899999999718e+02
1.390000000000000000e+02,2.956468499999999722e+02
1.400000000000000000e+02,2.963388699999999858e+02
1.410000000000000000e+02,2.970271000000000186e+02
1.420000000000000000e+02,2.977119099999999889e+02
1.430000000000000000e+02,2.983934899999999857e+02
1.440000000000000000e+02,2.990711099999999760e+02
1.450000000000000000e+02,2.997452700000000050e+02
1.460000000000000000e+02,3.004165600000000040e+02
1.470000000000000000e+02,3.010843800000000101e+02
1.480000000000000000e+02,3.017487199999999916e+02
1.490000000000000000e+02,3.024100999999999999e+02
1.500000000000000000e+02,3.030683900000000222e+02
1.510000000000000000e+02,3.037232700000000136e+02
1.520000000000000000e+02,3.043757899999999950e+02
1.530000000000000000e+02,3.050246599999999830e+02
1.540000000000000000e+02,3.056704700000000230e+02
1.550000000000000000e+02,3.063141200000000026e+02
1.560000000000000000e+02,3.069541600000000017e+02
1.570000000000000000e+02,3.075913400000000024e+02
1.580000000000000000e+02,3.082260699999999929e+02
1.590000000000000000e+02,3.088577599999999848e+02
1.600000000000000000e+02,3.094866000000000099e+02
1.610000000000000000e+02,3.101127000000000180e+02
1.620000000000000000e+02,3.107362699999999904e+02
1.630000000000000000e+02,3.113569600000000150e+02
1.640000000000000000e+02,3.119749100000000226e+02
1.650000000000000000e+02,3.125905500000000075e+02
1.660000000000000000e+02,3.132029999999999745e+02
1.670000000000000000e+02,3.138132299999999759e+02
1.680000000000000000e+02,3.144206199999999853e+02
1.690000000000000000e+02,3.150254800000000159e+02
1.700000000000000000e+02,3.156278699999999731e+02
1.710000000000000000e+02,3.162277500000000146e+02
1.720000000000000000e+02,3.168249500000000012e+02
1.730000000000000000e+02,3.174200099999999907e+02
1.740000000000000000e+02,3.180124200000000201e+02
1.750000000000000000e+02,3.186019600000000196e+02
1.760000000000000000e+02,3.191898499999999785e+02
1.770000000000000000e+02,3.197746000000000208e+02
1.780000000000000000e+02,3.203572700000000282e+02
