# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000599999999906e+01
5.000000000000000000e+00,2.500002900000000139e+01
6.000000000000000000e+00,2.500012200000000107e+01
7.000000000000000000e+00,2.500041999999999831e+01
8.000000000000000000e+00,2.500122299999999953e+01
9.000000000000000000e+00,2.500311500000000109e+01
1.000000000000000000e+01,2.500706500000000077e+01
1.100000000000000000e+01,2.501452300000000051e+01
1.200000000000000000e+01,2.502745600000000081e+01
1.300000000000000000e+01,2.504832499999999840e+01
1.400000000000000000e+01,2.508000900000000044e+01
1.500000000000000000e+01,2.512571300000000107e+01
1.600000000000000000e+01,2.518883500000000097e+01
1.700000000000000000e+01,2.527286000000000143e+01
1.800000000000000000e+01,2.538124499999999983e+01
1.900000000000000000e+01,2.551734199999999930e+01
2.000000000000000000e+01,2.568431299999999951e+01
2.100000000000000000e+01,2.588509000000000171e+01
2.200000000000000000e+01,2.612232399999999899e+01
2.300000000000000000e+01,2.639838800000000063e+01
2.400000000000000000e+01,2.671535300000000035e+01
2.500000000000000000e+01,2.707498199999999855e+01
2.600000000000000000e+01,2.747874600000000100e+01
2.700000000000000000e+01,2.792783899999999875e+01
2.800000000000000000e+01,2.842318200000000061e+01
2.900000000000000000e+01,2.896544600000000003e+01
3.000000000000000000e+01,2.955508199999999874e+01
3.100000000000000000e+01,3.019230100000000050e+01
3.200000000000000000e+01,3.087715100000000135e+01
3.300000000000000000e+01,3.160948799999999892e+01
3.400000000000000000e+01,3.238900000000000290e+01
3.500000000000000000e+01,3.321525199999999955e+01
3.600000000000000000e+01,3.408769199999999699e+01
3.700000000000000000e+01,3.500565300000000235e+01
3.800000000000000000e+01,3.596839899999999801e+01
3.900000000000000000e+01,3.697505999999999915e+01
4.000000000000000000e+01,3.802476099999999803e+01
4.100000000000000000e+01,3.911652399999999830e+01
4.200000000000000000e+01,4.024939299999999776e+01
4.300000000000000000e+01,4.142233300000000185e+01
4.400000000000000000e+01,4.263430000000000319e+01
4.500000000000000000e+01,4.388421999999999912e+01
4.600000000000000000e+01,4.517102100000000320e+01
4.700000000000000000e+01,4.649359499999999912e+01
4.800000000000000000e+01,4.785086400000000140e+01
4.900000000000000000e+01,4.924175300000000277e+01
5.000000000000000000e+01,5.066512699999999825e+01
5.100000000000000000e+01,5.211993799999999766e+01
5.200000000000000000e+01,5.360509100000000160e+01
5.300000000000000000e+01,5.511952200000000346e+01
5.400000000000000000e+01,5.666220100000000315e+01
5.500000000000000000e+01,5.823207899999999881e+01
5.600000000000000000e+01,5.982811399999999935e+01
5.700000000000000000e+01,6.144928699999999822e+01
5.800000000000000000e+01,6.309465399999999846e+01
5.900000000000000000e+01,6.476328300000000127e+01
6.000000000000000000e+01,6.645435299999999756e+01
6.100000000000000000e+01,6.816713699999999676e+01
6.200000000000000000e+01,6.990113800000000310e+01
6.300000000000000000e+01,7.165608199999999783e+01
6.400000000000000000e+01,7.343184700000000475e+01
6.500000000000000000e+01,7.522862200000000144e+01
6.600000000000000000e+01,7.704656199999999444e+01
6.700000000000000000e+01,7.888604700000000491e+01
6.800000000000000000e+01,8.074737500000000523e+01
6.900000000000000000e+01,8.263090499999999849e+01
7.000000000000000000e+01,8.453683499999999640e+01
7.100000000000000000e+01,8.646532399999999541e+01
7.200000000000000000e+01,8.841635100000000591e+01
7.300000000000000000e+01,9.038987699999999847e+01
7.400000000000000000e+01,9.238567399999999452e+01
7.500000000000000000e+01,9.440341899999999953e+01
7.600000000000000000e+01,9.644271100000000274e+01
7.700000000000000000e+01,9.850307499999999550e+01
7.800000000000000000e+01,1.005838899999999967e+02
7.900000000000000000e+01,1.026845799999999969e+02
8.000000000000000000e+01,1.048045599999999951e+02
8.100000000000000000e+01,1.069431699999999950e+02
8.200000000000000000e+01,1.090996800000000064e+02
8.300000000000000000e+01,1.112734300000000047e+02
8.400000000000000000e+01,1.134636500000000012e+02
8.500000000000000000e+01,1.156696699999999964e+02
8.600000000000000000e+01,1.178907600000000002e+02
8.700000000000000000e+01,1.201261599999999987e+02
8.800000000000000000e+01,1.223750699999999938e+02
8.900000000000000000e+01,1.246368499999999955e+02
9.000000000000000000e+01,1.269106900000000024e+02
9.100000000000000000e+01,1.291957600000000070e+02
9.200000000000000000e+01,1.314913899999999956e+02
9.300000000000000000e+01,1.337968899999999906e+02
9.400000000000000000e+01,1.361115399999999909e+02
9.500000000000000000e+01,1.384346500000000049e+02
9.600000000000000000e+01,1.407655499999999904e+02
9.700000000000000000e+01,1.431036200000000065e+02
9.800000000000000000e+01,1.454482299999999952e+02
9.900000000000000000e+01,1.477987200000000030e+02
1.000000000000000000e+02,1.501545099999999877e+02
1.010000000000000000e+02,1.525150500000000022e+02
1.020000000000000000e+02,1.548796499999999980e+02
1.030000000000000000e+02,1.572478800000000092e+02
1.040000000000000000e+02,1.596191300000000126e+02
1.050000000000000000e+02,1.619928400000000011e+02
1.060000000000000000e+02,1.643684800000000052e+02
1.070000000000000000e+02,1.667455300000000022e+02
1.080000000000000000e+02,1.691235000000000070e+02
1.090000000000000000e+02,1.715019499999999937e+02
1.100000000000000000e+02,1.738804199999999867e+02
1.110000000000000000e+02,1.762584400000000073e+02
1.120000000000000000e+02,1.786356000000000108e+02
1.130000000000000000e+02,1.810114700000000028e+02
1.140000000000000000e+02,1.833857000000000141e+02
1.150000000000000000e+02,1.857579000000000065e+02
1.160000000000000000e+02,1.881277000000000044e+02
1.170000000000000000e+02,1.904946899999999914e+02
1.180000000000000000e+02,1.928585999999999956e+02
1.190000000000000000e+02,1.952190200000000004e+02
1.200000000000000000e+02,1.975756399999999928e+02
1.210000000000000000e+02,1.999281000000000006e+02
1.220000000000000000e+02,2.022761199999999917e+02
1.230000000000000000e+02,2.046193800000000067e+02
1.240000000000000000e+02,2.069575800000000072e+02
1.250000000000000000e+02,2.092903399999999863e+02
1.260000000000000000e+02,2.116175100000000100e+02
1.270000000000000000e+02,2.139387999999999863e+02
1.280000000000000000e+02,2.162539500000000032e+02
1.290000000000000000e+02,2.185627000000000066e+02
1.300000000000000000e+02,2.208647799999999961e+02
1.310000000000000000e+02,2.231600500000000125e+02
1.320000000000000000e+02,2.254482600000000048e+02
1.330000000000000000e+02,2.277291299999999978e+02
1.340000000000000000e+02,2.300024899999999946e+02
1.350000000000000000e+02,2.322681100000000072e+02
1.360000000000000000e+02,2.345257599999999911e+02
1.370000000000000000e+02,2.367752999999999872e+02
1.380000000000000000e+02,2.390164599999999950e+02
1.390000000000000000e+02,2.412490400000000079e+02
1.400000000000000000e+02,2.434728900000000067e+02
1.410000000000000000e+02,2.456877900000000068e+02
1.420000000000000000e+02,2.478935899999999890e+02
1.430000000000000000e+02,2.500901000000000067e+02
1.440000000000000000e+02,2.522772099999999966e+02
1.450000000000000000e+02,2.544547100000000057e+02
1.460000000000000000e+02,2.566225299999999834e+02
1.470000000000000000e+02,2.587804600000000050e+02
1.480000000000000000e+02,2.609284099999999853e+02
1.490000000000000000e+02,2.630663499999999999e+02
1.500000000000000000e+02,2.651940000000000168e+02
1.510000000000000000e+02,2.673113700000000108e+02
1.520000000000000000e+02,2.694184000000000196e+02
1.530000000000000000e+02,2.715148599999999988e+02
1.540000000000000000e+02,2.736006800000000112e+02
1.550000000000000000e+02,2.756757799999999747e+02
1.560000000000000000e+02,2.777400499999999965e+02
1.570000000000000000e+02,2.797933300000000258e+02
1.580000000000000000e+02,2.818355099999999993e+02
1.590000000000000000e+02,2.838664899999999989e+02
1.600000000000000000e+02,2.858861099999999738e+02
1.610000000000000000e+02,2.878942299999999932e+02
1.620000000000000000e+02,2.898906900000000064e+02
1.630000000000000000e+02,2.918753100000000131e+02
1.640000000000000000e+02,2.938479300000000194e+02
1.650000000000000000e+02,2.958083199999999806e+02
1.660000000000000000e+02,2.977562899999999786e+02
1.670000000000000000e+02,2.996915900000000192e+02
1.680000000000000000e+02,3.016140399999999886e+02
1.690000000000000000e+02,3.035233499999999935e+02
1.700000000000000000e+02,3.054192800000000148e+02
1.710000000000000000e+02,3.073015700000000265e+02
1.720000000000000000e+02,3.091698600000000283e+02
1.730000000000000000e+02,3.110239599999999882e+02
1.740000000000000000e+02,3.128634900000000130e+02
1.750000000000000000e+02,3.146881700000000137e+02
1.760000000000000000e+02,3.164976800000000026e+02
1.770000000000000000e+02,3.182916299999999978e+02
1.780000000000000000e+02,3.200697299999999927e+02
1.790000000000000000e+02,3.218316300000000183e+02
1.800000000000000000e+02,3.235769700000000171e+02
1.810000000000000000e+02,3.253053600000000074e+02
1.820000000000000000e+02,3.270164500000000203e+02
1.830000000000000000e+02,3.287098100000000045e+02
1.840000000000000000e+02,3.303850400000000036e+02
1.850000000000000000e+02,3.320418099999999981e+02
1.860000000000000000e+02,3.336796299999999746e+02
1.870000000000000000e+02,3.352980999999999767e+02
1.880000000000000000e+02,3.368967900000000100e+02
1.890000000000000000e+02,3.384752500000000168e+02
1.900000000000000000e+02,3.400331100000000220e+02
1.910000000000000000e+02,3.415698899999999867e+02
1.920000000000000000e+02,3.430852699999999800e+02
1.930000000000000000e+02,3.445788299999999822e+02
1.940000000000000000e+02,3.460501399999999990e+02
1.950000000000000000e+02,3.474988399999999729e+02
1.960000000000000000e+02,3.489246200000000044e+02
1.970000000000000000e+02,3.503271199999999794e+02
1.980000000000000000e+02,3.517060200000000236e+02
1.990000000000000000e+02,3.530610399999999913e+02
2.000000000000000000e+02,3.543919399999999769e+02
2.010000000000000000e+02,3.556984600000000114e+02
2.020000000000000000e+02,3.569804700000000253e+02
2.030000000000000000e+02,3.582378499999999804e+02
2.040000000000000000e+02,3.594705500000000029e+02
2.050000000000000000e+02,3.606784400000000232e+02
2.060000000000000000e+02,3.618615100000000098e+02
2.070000000000000000e+02,3.630198700000000258e+02
2.080000000000000000e+02,3.641535900000000083e+02
2.090000000000000000e+02,3.652629699999999957e+02
2.100000000000000000e+02,3.663482399999999757e+02
2.110000000000000000e+02,3.674096099999999865e+02
2.120000000000000000e+02,3.684474200000000224e+02
2.130000000000000000e+02,3.694621900000000210e+02
2.140000000000000000e+02,3.704543199999999956e+02
2.150000000000000000e+02,3.714243500000000040e+02
2.160000000000000000e+02,3.723728300000000218e+02
2.170000000000000000e+02,3.733004500000000121e+02
2.180000000000000000e+02,3.742078200000000265e+02
2.190000000000000000e+02,3.750957300000000032e+02
2.200000000000000000e+02,3.759649699999999939e+02
2.210000000000000000e+02,3.768162500000000250e+02
2.220000000000000000e+02,3.776505099999999970e+02
2.230000000000000000e+02,3.784685999999999808e+02
2.240000000000000000e+02,3.792714500000000157e+02
2.250000000000000000e+02,3.800600000000000023e+02
2.260000000000000000e+02,3.808351400000000240e+02
2.270000000000000000e+02,3.815978700000000003e+02
2.280000000000000000e+02,3.823491200000000276e+02
2.290000000000000000e+02,3.830899000000000001e+02
2.300000000000000000e+02,3.838212599999999952e+02
2.310000000000000000e+02,3.845441000000000145e+02
2.320000000000000000e+02,3.852593400000000088e+02
2.330000000000000000e+02,3.859680799999999863e+02
2.340000000000000000e+02,3.866712999999999738e+02
2.350000000000000000e+02,3.873698999999999728e+02
2.360000000000000000e+02,3.880648199999999974e+02
2.370000000000000000e+02,3.887570200000000114e+02
2.380000000000000000e+02,3.894475100000000225e+02
2.390000000000000000e+02,3.901371199999999817e+02
2.400000000000000000e+02,3.908267500000000041e+02
2.410000000000000000e+02,3.915172699999999963e+02
2.420000000000000000e+02,3.922095899999999915e+02
2.430000000000000000e+02,3.929045699999999783e+02
2.440000000000000000e+02,3.936030299999999897e+02
2.450000000000000000e+02,3.943057299999999827e+02
2.460000000000000000e+02,3.950136400000000094e+02
2.470000000000000000e+02,3.957275099999999952e+02
2.480000000000000000e+02,3.964480599999999981e+02
2.490000000000000000e+02,3.971763000000000261e+02
2.500000000000000000e+02,3.979128699999999981e+02
2.510000000000000000e+02,3.986586300000000165e+02
2.520000000000000000e+02,3.994144000000000005e+02
2.530000000000000000e+02,4.001808800000000019e+02
2.540000000000000000e+02,4.009589799999999968e+02
2.550000000000000000e+02,4.017495400000000245e+02
2.560000000000000000e+02,4.025534999999999854e+02
2.570000000000000000e+02,4.033714600000000132e+02
2.580000000000000000e+02,4.042043499999999767e+02
2.590000000000000000e+02,4.050533100000000104e+02
2.600000000000000000e+02,4.059191299999999956e+02
2.610000000000000000e+02,4.068026100000000156e+02
2.620000000000000000e+02,4.077050800000000095e+02
2.630000000000000000e+02,4.086272000000000162e+02
2.640000000000000000e+02,4.095702800000000252e+02
2.650000000000000000e+02,4.105357099999999946e+02
2.660000000000000000e+02,4.115241100000000074e+02
2.670000000000000000e+02,4.125371700000000033e+02
2.680000000000000000e+02,4.135759600000000091e+02
2.690000000000000000e+02,4.146422099999999773e+02
2.700000000000000000e+02,4.157371499999999855e+02
2.710000000000000000e+02,4.168623999999999796e+02
2.720000000000000000e+02,4.180196199999999749e+02
2.730000000000000000e+02,4.192104199999999992e+02
2.740000000000000000e+02,4.204366099999999733e+02
2.750000000000000000e+02,4.216998600000000010e+02
2.760000000000000000e+02,4.230022299999999973e+02
2.770000000000000000e+02,4.243460400000000163e+02
2.780000000000000000e+02,4.257333699999999794e+02
2.790000000000000000e+02,4.271659900000000221e+02
2.800000000000000000e+02,4.286469700000000103e+02
2.810000000000000000e+02,4.301782799999999725e+02
2.820000000000000000e+02,4.317619900000000257e+02
2.830000000000000000e+02,4.334005399999999781e+02
2.840000000000000000e+02,4.350961599999999976e+02
2.850000000000000000e+02,4.368505200000000173e+02
2.860000000000000000e+02,4.386657099999999900e+02
2.870000000000000000e+02,4.405438500000000204e+02
2.880000000000000000e+02,4.424848600000000260e+02
2.890000000000000000e+02,4.444889200000000073e+02
2.900000000000000000e+02,4.465561200000000213e+02
2.910000000000000000e+02,4.486843900000000076e+02
2.920000000000000000e+02,4.508710300000000188e+02
2.930000000000000000e+02,4.531104399999999828e+02
