# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,4.683571200000000090e+01
3.000000000000000000e+00,5.888803099999999802e+01
4.000000000000000000e+00,6.873053699999999822e+01
5.000000000000000000e+00,7.691458099999999831e+01
6.000000000000000000e+00,8.410358399999999790e+01
7.000000000000000000e+00,9.053710900000000095e+01
8.000000000000000000e+00,9.639972699999999861e+01
9.000000000000000000e+00,1.018027000000000015e+02
1.000000000000000000e+01,1.068286399999999929e+02
1.100000000000000000e+01,1.115358200000000011e+02
1.200000000000000000e+01,1.159707700000000017e+02
1.300000000000000000e+01,1.201686600000000027e+02
1.400000000000000000e+01,1.241577099999999945e+02
1.500000000000000000e+01,1.279613099999999974e+02
1.600000000000000000e+01,1.315989399999999989e+02
1.700000000000000000e+01,1.350860099999999875e+02
1.800000000000000000e+01,1.384367499999999893e+02
1.900000000000000000e+01,1.416620900000000063e+02
2.000000000000000000e+01,1.447733299999999872e+02
2.100000000000000000e+01,1.477781699999999887e+02
2.200000000000000000e+01,1.506848599999999863e+02
2.300000000000000000e+01,1.535005600000000072e+02
2.400000000000000000e+01,1.562309300000000007e+02
2.500000000000000000e+01,1.588811599999999942e+02
2.600000000000000000e+01,1.614571200000000033e+02
2.700000000000000000e+01,1.639617200000000139e+02
2.800000000000000000e+01,1.664002399999999966e+02
2.900000000000000000e+01,1.687764400000000080e+02
3.000000000000000000e+01,1.710923200000000008e+02
3.100000000000000000e+01,1.733516999999999939e+02
3.200000000000000000e+01,1.755580600000000118e+02
3.300000000000000000e+01,1.777128899999999874e+02
3.400000000000000000e+01,1.798184400000000096e+02
3.500000000000000000e+01,1.818786299999999869e+02
3.600000000000000000e+01,1.838940399999999897e+02
3.700000000000000000e+01,1.858663300000000049e+02
3.800000000000000000e+01,1.877985400000000027e+02
3.900000000000000000e+01,1.896913299999999936e+02
4.000000000000000000e+01,1.915464200000000119e+02
4.100000000000000000e+01,1.933661700000000110e+02
4.200000000000000000e+01,1.951508200000000102e+02
4.300000000000000000e+01,1.969016900000000021e+02
4.400000000000000000e+01,1.986214400000000069e+02
4.500000000000000000e+01,2.003094800000000077e+02
4.600000000000000000e+01,2.019675599999999918e+02
4.700000000000000000e+01,2.035972299999999962e+02
4.800000000000000000e+01,2.051989299999999901e+02
4.900000000000000000e+01,2.067736700000000098e+02
5.000000000000000000e+01,2.083230299999999886e+02
5.100000000000000000e+01,2.098469200000000114e+02
5.200000000000000000e+01,2.113464099999999917e+02
5.300000000000000000e+01,2.128228000000000009e+02
5.400000000000000000e+01,2.142763500000000079e+02
5.500000000000000000e+01,2.157074700000000007e+02
5.600000000000000000e+01,2.171176600000000008e+02
5.700000000000000000e+01,2.185074199999999962e+02
5.800000000000000000e+01,2.198765400000000056e+02
5.900000000000000000e+01,2.212272199999999884e+02
6.000000000000000000e+01,2.225584699999999998e+02
6.100000000000000000e+01,2.238713400000000036e+02
6.200000000000000000e+01,2.251668699999999887e+02
6.300000000000000000e+01,2.264452100000000030e+02
6.400000000000000000e+01,2.277062999999999988e+02
6.500000000000000000e+01,2.289522399999999891e+02
6.600000000000000000e+01,2.301821600000000103e+02
6.700000000000000000e+01,2.313967399999999941e+02
6.800000000000000000e+01,2.325967100000000016e+02
6.900000000000000000e+01,2.337821500000000015e+02
7.000000000000000000e+01,2.349535799999999881e+02
7.100000000000000000e+01,2.361119400000000041e+02
7.200000000000000000e+01,2.372568699999999922e+02
7.300000000000000000e+01,2.383889599999999973e+02
7.400000000000000000e+01,2.395090199999999925e+02
7.500000000000000000e+01,2.406167900000000088e+02
7.600000000000000000e+01,2.417129799999999875e+02
7.700000000000000000e+01,2.427978099999999984e+02
7.800000000000000000e+01,2.438713799999999878e+02
7.900000000000000000e+01,2.449344000000000108e+02
8.000000000000000000e+01,2.459873699999999985e+02
8.100000000000000000e+01,2.470295999999999879e+02
8.200000000000000000e+01,2.480618699999999990e+02
8.300000000000000000e+01,2.490853999999999928e+02
8.400000000000000000e+01,2.500988299999999924e+02
8.500000000000000000e+01,2.511033799999999871e+02
8.600000000000000000e+01,2.520994399999999871e+02
8.700000000000000000e+01,2.530865900000000011e+02
8.800000000000000000e+01,2.540650300000000072e+02
8.900000000000000000e+01,2.550362100000000112e+02
9.000000000000000000e+01,2.559985700000000008e+02
9.100000000000000000e+01,2.569535799999999881e+02
9.200000000000000000e+01,2.579007899999999722e+02
9.300000000000000000e+01,2.588407599999999888e+02
9.400000000000000000e+01,2.597731600000000185e+02
9.500000000000000000e+01,2.606988799999999742e+02
9.600000000000000000e+01,2.616177099999999882e+02
9.700000000000000000e+01,2.625292999999999779e+02
9.800000000000000000e+01,2.634345999999999890e+02
9.900000000000000000e+01,2.643333700000000022e+02
1.000000000000000000e+02,2.652252799999999979e+02
1.010000000000000000e+02,2.661114499999999907e+02
1.020000000000000000e+02,2.669908800000000042e+02
1.030000000000000000e+02,2.678640700000000265e+02
1.040000000000000000e+02,2.687316599999999767e+02
1.050000000000000000e+02,2.695931100000000242e+02
1.060000000000000000e+02,2.704487300000000118e+02
1.070000000000000000e+02,2.712981899999999769e+02
1.080000000000000000e+02,2.721421500000000151e+02
1.090000000000000000e+02,2.729804100000000062e+02
1.100000000000000000e+02,2.738134200000000078e+02
1.110000000000000000e+02,2.746405599999999936e+02
1.120000000000000000e+02,2.754620100000000207e+02
1.130000000000000000e+02,2.762785900000000083e+02
1.140000000000000000e+02,2.770895399999999995e+02
1.150000000000000000e+02,2.778951400000000262e+02
1.160000000000000000e+02,2.786958900000000199e+02
1.170000000000000000e+02,2.794912699999999859e+02
1.180000000000000000e+02,2.802815200000000004e+02
1.190000000000000000e+02,2.810669899999999757e+02
1.200000000000000000e+02,2.818472300000000246e+02
1.210000000000000000e+02,2.826225600000000213e+02
1.220000000000000000e+02,2.833933099999999854e+02
1.230000000000000000e+02,2.841591500000000110e+02
1.240000000000000000e+02,2.849202300000000037e+02
1.250000000000000000e+02,2.856770000000000209e+02
1.260000000000000000e+02,2.864289600000000178e+02
1.270000000000000000e+02,2.871764200000000073e+02
1.280000000000000000e+02,2.879197700000000282e+02
1.290000000000000000e+02,2.886584799999999973e+02
1.300000000000000000e+02,2.893927600000000098e+02
1.310000000000000000e+02,2.901233500000000163e+02
1.320000000000000000e+02,2.908493300000000090e+02
1.330000000000000000e+02,2.915712599999999952e+02
1.340000000000000000e+02,2.922894000000000005e+02
1.350000000000000000e+02,2.930033900000000244e+02
1.360000000000000000e+02,2.937136199999999917e+02
1.370000000000000000e+02,2.944200099999999907e+02
1.380000000000000000e+02,2.951227700000000027e+02
1.390000000000000000e+02,2.958215000000000146e+02
1.400000000000000000e+02,2.965168800000000147e+02
1.410000000000000000e+02,2.972086800000000153e+02
1.420000000000000000e+02,2.978966100000000097e+02
1.430000000000000000e+02,2.985812999999999988e+02
1.440000000000000000e+02,2.992625699999999824e+02
1.450000000000000000e+02,2.999403399999999920e+02
1.460000000000000000e+02,3.006147799999999961e+02
1.470000000000000000e+02,3.012856800000000135e+02
1.480000000000000000e+02,3.019534300000000258e+02
1.490000000000000000e+02,3.026182900000000018e+02
1.500000000000000000e+02,3.032796000000000163e+02
1.510000000000000000e+02,3.039379599999999755e+02
1.520000000000000000e+02,3.045932599999999866e+02
1.530000000000000000e+02,3.052455100000000243e+02
1.540000000000000000e+02,3.058946500000000128e+02
1.550000000000000000e+02,3.065408300000000281e+02
1.560000000000000000e+02,3.071838399999999751e+02
1.570000000000000000e+02,3.078242799999999875e+02
1.580000000000000000e+02,3.084617299999999886e+02
1.590000000000000000e+02,3.090963399999999979e+02
1.600000000000000000e+02,3.097280000000000086e+02
1.610000000000000000e+02,3.103569299999999771e+02
1.620000000000000000e+02,3.109830000000000041e+02
1.630000000000000000e+02,3.116061100000000010e+02
1.640000000000000000e+02,3.122272600000000011e+02
1.650000000000000000e+02,3.128450000000000273e+02
1.660000000000000000e+02,3.134602399999999989e+02
1.670000000000000000e+02,3.140730300000000170e+02
1.680000000000000000e+02,3.146827700000000050e+02
1.690000000000000000e+02,3.152902199999999766e+02
1.700000000000000000e+02,3.158949299999999880e+02
1.710000000000000000e+02,3.164970999999999890e+02
1.720000000000000000e+02,3.170966799999999921e+02
1.730000000000000000e+02,3.176939699999999789e+02
1.740000000000000000e+02,3.182882399999999734e+02
1.750000000000000000e+02,3.188804600000000278e+02
1.760000000000000000e+02,3.194699400000000082e+02
1.770000000000000000e+02,3.200572500000000105e+02
1.780000000000000000e+02,3.206415400000000204e+02
1.790000000000000000e+02,3.212239999999999895e+02
1.800000000000000000e+02,3.218033399999999915e+02
1.810000000000000000e+02,3.223804900000000089e+02
1.820000000000000000e+02,3.229554099999999721e+02
1.830000000000000000e+02,3.235277699999999754e+02
1.840000000000000000e+02,3.240978099999999813e+02
1.850000000000000000e+02,3.246653699999999958e+02
1.860000000000000000e+02,3.252307700000000068e+02
1.870000000000000000e+02,3.257933300000000258e+02
1.880000000000000000e+02,3.263542199999999980e+02
1.890000000000000000e+02,3.269120800000000031e+02
1.900000000000000000e+02,3.274679899999999861e+02
1.910000000000000000e+02,3.280215499999999906e+02
1.920000000000000000e+02,3.285726300000000037e+02
