Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,2.31e+12,1.0,0.0,1475.6731406970835,1409.2438920100296,0.15210931189266208,0.4838429842496168,1.68e+05,120810.16784384879,36415.114103655214,100000000.0,0.0003691231510729178,0.7338086749851456,0.8838080770815501,0.94,0.3603247035451824,0.05700792019989712,5.685316325577014e-05,0.0008328999393226363,1.0185331577433556,0.0,1683.0,1235.0,
0,105.1755,2.31e+12,1.0,0.0,1475.6731406970835,1409.2438920100296,0.15210931189266208,0.4838429842496168,1.68e+05,120810.16784384879,36415.114103655214,100000000.0,0.0003691231510729178,0.7338086749851456,0.8838080770815501,0.94,0.3603247035451824,0.05700792019989712,5.685316325577014e-05,0.0008328999393226363,1.0185331577433556,0.0,1683.0,1235.0,
1,217.1697,2.31e+12,1.0,0.0,1475.6731406970835,1409.2438920100296,0.15210931189266208,0.4838429842496168,1.68e+05,120810.16784384879,36415.114103655214,100000000.0,0.0003691231510729178,0.7338086749851456,0.8838080770815501,0.94,0.3603247035451824,0.05700792019989712,5.685316325577014e-05,0.0008328999393226363,1.0185331577433556,0.0,1683.0,1235.0,
2,368.4175,2.31e+12,1.0,0.0,1475.6731406970835,1409.2438920100296,0.15210931189266208,0.4838429842496168,1.68e+05,120810.16784384879,36415.114103655214,100000000.0,0.0003691231510729178,0.7338086749851456,0.8838080770815501,0.94,0.3603247035451824,0.05700792019989712,5.685316325577014e-05,0.0008328999393226363,1.0185331577433556,0.0,1683.0,1235.0,
3,529.5827,2.33e+12,1.0,0.0,1038.9800544711275,1136.9886638867374,0.1419700530574018,0.6789939520006161,1.65e+05,223073.89633181744,23332.422597867597,100000000.0,0.0002843081081811968,0.7338086749851456,0.6696750949068155,0.94,0.6450130409038782,0.1812781482346089,7.82679140500932e-05,0.0003705495186980944,1.0081270717208541,0.0,1683.0,1235.0,
4,688.4476,2.27e+12,1.0,0.0,1265.5626535071694,2056.3099564757485,0.10495291729163435,0.4616733199359513,1.65e+05,190640.41211056523,27384.9738854687,100000000.0,0.00019248872844173542,0.7338086749851456,0.8480173272356017,0.94,0.2774491898320457,0.13538498227402185,5.633633623716776e-05,0.0006983618117422754,0.946231317731552,0.0,1683.0,1235.0,
5,842.7996,2.29e+12,1.0,0.0,1224.706959791898,2701.674133565142,0.10780628466403733,0.40139502316959186,1.73e+05,119750.77237594794,21926.377372266383,100000000.0,0.00014802795276392826,0.7338086749851456,0.9322661158981137,0.94,0.26314704878821726,0.152852727908582,7.350348666559978e-05,0.0005844176301508366,0.970431996156202,0.0,1683.0,1235.0,
6,997.1524,2.38e+12,1.0,0.0,1300.050318271633,1551.3934613003794,0.12780355397391518,0.5883955273206156,1.64e+05,196038.9022902698,19061.97602932938,100000000.0,7.905724960234186e-05,0.7338086749851456,0.8081782753054274,0.94,0.38028960107891197,0.12477469987583178,5.947451007510061e-05,0.0006093897377901599,1.0338751096454908,0.0,1683.0,1235.0,
7,1150.9154,2.30e+12,1.0,0.0,1137.094387246847,2361.2941380371503,0.10247704024247219,0.5125097651674055,1.69e+05,143140.70548824017,26495.716333083437,100000000.0,7.605571071865127e-05,0.7338086749851456,0.7863644250285882,0.94,0.3072083931158724,0.15885454536911414,5.310919580244809e-05,0.00048605823516898074,0.990720051222691,0.0,1683.0,1235.0,
8,1312.9009,2.35e+12,1.0,0.0,1252.15529666672,2151.6047582970077,0.0976866385700309,0.5980615663692324,1.69e+05,159639.11019111145,23527.063257249487,100000000.0,6.139700328366502e-05,0.7338086749851456,0.8557599432670456,0.94,0.33266950992379113,0.13304915104748918,5.802518604284843e-05,0.000637386854500349,1.0058934474938859,0.0,1683.0,1235.0,
