# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.915079995362458862e-02
6.000000000000000000e+00,3.574028725257893252e-02
7.000000000000000000e+00,5.917354552135824924e-02
8.000000000000000000e+00,8.918545748856174238e-02
9.000000000000000000e+00,1.277012511867400002e-01
1.000000000000000000e+01,1.746130326036950953e-01
1.100000000000000000e+01,2.298095995008227477e-01
1.200000000000000000e+01,2.925544877770009378e-01
1.300000000000000000e+01,3.621150087043468746e-01
1.400000000000000000e+01,4.375713358830145006e-01
1.500000000000000000e+01,5.180025054563940357e-01
1.600000000000000000e+01,6.025424924247519964e-01
1.700000000000000000e+01,6.903805908413083170e-01
1.800000000000000000e+01,7.807949945930120483e-01
1.900000000000000000e+01,8.731634389751720127e-01
2.000000000000000000e+01,9.669423382696646918e-01
2.100000000000000000e+01,1.061670440717715103e+00
2.200000000000000000e+01,1.156956101004083859e+00
2.300000000000000000e+01,1.252463415747980591e+00
2.400000000000000000e+01,1.347919797568689626e+00
2.500000000000000000e+01,1.443096136103773519e+00
2.600000000000000000e+01,1.537797725859960440e+00
2.700000000000000000e+01,1.631867793980969594e+00
2.800000000000000000e+01,1.725176647138074060e+00
2.900000000000000000e+01,1.817621871223960461e+00
3.000000000000000000e+01,1.909114149440466202e+00
3.100000000000000000e+01,1.999587901824044778e+00
3.200000000000000000e+01,2.088989896906651822e+00
3.300000000000000000e+01,2.177280100851035183e+00
3.400000000000000000e+01,2.264426573868751458e+00
3.500000000000000000e+01,2.350406755493465116e+00
3.600000000000000000e+01,2.435206967176904325e+00
3.700000000000000000e+01,2.518819651160436823e+00
3.800000000000000000e+01,2.601241973453618961e+00
3.900000000000000000e+01,2.682473842653367857e+00
4.000000000000000000e+01,2.762520989398290272e+00
4.100000000000000000e+01,2.841392075927231087e+00
4.200000000000000000e+01,2.919093505615967921e+00
4.300000000000000000e+01,2.995641183687762332e+00
4.400000000000000000e+01,3.071049896740151386e+00
4.500000000000000000e+01,3.145331532933615115e+00
4.600000000000000000e+01,3.218504429826652746e+00
4.700000000000000000e+01,3.290587241319420819e+00
4.800000000000000000e+01,3.361594121930853163e+00
4.900000000000000000e+01,3.431545407244243506e+00
5.000000000000000000e+01,3.500460826132966385e+00
5.100000000000000000e+01,3.568358196847368546e+00
5.200000000000000000e+01,3.635254992248269090e+00
5.300000000000000000e+01,3.701172067527112031e+00
5.400000000000000000e+01,3.766127968481693067e+00
5.500000000000000000e+01,3.830140840784701073e+00
5.600000000000000000e+01,3.893229906052521283e+00
5.700000000000000000e+01,3.955413752508265546e+00
5.800000000000000000e+01,4.016710394618149493e+00
5.900000000000000000e+01,4.077138597486746008e+00
6.000000000000000000e+01,4.136713918817071622e+00
6.100000000000000000e+01,4.195455592493247288e+00
6.200000000000000000e+01,4.253380718270940442e+00
6.300000000000000000e+01,4.310504729923795075e+00
6.400000000000000000e+01,4.366845663204928840e+00
6.500000000000000000e+01,4.422417852357313883e+00
6.600000000000000000e+01,4.477237005067996378e+00
6.700000000000000000e+01,4.531319881991892728e+00
6.800000000000000000e+01,4.584681964092975903e+00
6.900000000000000000e+01,4.637335494132403646e+00
7.000000000000000000e+01,4.689297627616109132e+00
7.100000000000000000e+01,4.740580081875740426e+00
7.200000000000000000e+01,4.791197995210563221e+00
7.300000000000000000e+01,4.841163407803713348e+00
7.400000000000000000e+01,4.890489761651846123e+00
7.500000000000000000e+01,4.939191455520441032e+00
7.600000000000000000e+01,4.987279359401493473e+00
7.700000000000000000e+01,5.034765379854133194e+00
7.800000000000000000e+01,5.081661987402308789e+00
7.900000000000000000e+01,5.127979482230302644e+00
8.000000000000000000e+01,5.173731159840792238e+00
8.100000000000000000e+01,5.218925563720924643e+00
8.200000000000000000e+01,5.263576174257686979e+00
8.300000000000000000e+01,5.307691350240255623e+00
8.400000000000000000e+01,5.351281360919427854e+00
8.500000000000000000e+01,5.394357341159024877e+00
8.600000000000000000e+01,5.436928010354153962e+00
8.700000000000000000e+01,5.479002348247649756e+00
8.800000000000000000e+01,5.520591183222198772e+00
8.900000000000000000e+01,5.561702396808508198e+00
9.000000000000000000e+01,5.602343856473622097e+00
9.100000000000000000e+01,5.642526353939323336e+00
9.200000000000000000e+01,5.682257415786516219e+00
9.300000000000000000e+01,5.721544708026933712e+00
9.400000000000000000e+01,5.760395036080626419e+00
9.500000000000000000e+01,5.798818054494957686e+00
9.600000000000000000e+01,5.836821097290640914e+00
9.700000000000000000e+01,5.874410682300359454e+00
9.800000000000000000e+01,5.911594503592985994e+00
9.900000000000000000e+01,5.948379967730163642e+00
1.000000000000000000e+02,5.984773360656016727e+00
1.010000000000000000e+02,6.020781883659823919e+00
1.020000000000000000e+02,6.056411077403154763e+00
1.030000000000000000e+02,6.091668734374849237e+00
1.040000000000000000e+02,6.126560528484371382e+00
1.050000000000000000e+02,6.161092755052177239e+00
1.060000000000000000e+02,6.195270313534001261e+00
1.070000000000000000e+02,6.229100222216490401e+00
1.080000000000000000e+02,6.262588460096500498e+00
1.090000000000000000e+02,6.295739667547009866e+00
1.100000000000000000e+02,6.328559875400322277e+00
1.110000000000000000e+02,6.361053338116758660e+00
1.120000000000000000e+02,6.393226890616524827e+00
1.130000000000000000e+02,6.425084942923906084e+00
1.140000000000000000e+02,6.456632294952985518e+00
1.150000000000000000e+02,6.487874340111675409e+00
1.160000000000000000e+02,6.518814778475806371e+00
1.170000000000000000e+02,6.549459080225489060e+00
1.180000000000000000e+02,6.579812511255634710e+00
1.190000000000000000e+02,6.609878535500294916e+00
1.200000000000000000e+02,6.639661817043428726e+00
1.210000000000000000e+02,6.669166061508355448e+00
1.220000000000000000e+02,6.698396928101771231e+00
1.230000000000000000e+02,6.727357290002257351e+00
1.240000000000000000e+02,6.756052226187422960e+00
1.250000000000000000e+02,6.784484351320824835e+00
1.260000000000000000e+02,6.812658205960635094e+00
1.270000000000000000e+02,6.840577676313506217e+00
1.280000000000000000e+02,6.868247013798422174e+00
1.290000000000000000e+02,6.895669343878477520e+00
1.300000000000000000e+02,6.922847687784042137e+00
1.310000000000000000e+02,6.949786663273831877e+00
1.320000000000000000e+02,6.976489056664124888e+00
1.330000000000000000e+02,7.002958995785814267e+00
1.340000000000000000e+02,7.029198109459532162e+00
1.350000000000000000e+02,7.055210793959868276e+00
1.360000000000000000e+02,7.081000843686510393e+00
1.370000000000000000e+02,7.106570778215131945e+00
1.380000000000000000e+02,7.131922578556775250e+00
1.390000000000000000e+02,7.157060905604428314e+00
1.400000000000000000e+02,7.181988468389423730e+00
1.410000000000000000e+02,7.206707669581845721e+00
1.420000000000000000e+02,7.231220616142900681e+00
1.430000000000000000e+02,7.255531353088205293e+00
1.440000000000000000e+02,7.279642706966676258e+00
1.450000000000000000e+02,7.303556326449335501e+00
1.460000000000000000e+02,7.327274901112882155e+00
1.470000000000000000e+02,7.350802344833334168e+00
1.480000000000000000e+02,7.374140313108851430e+00
1.490000000000000000e+02,7.397290627555209497e+00
1.500000000000000000e+02,7.420256971660917245e+00
1.510000000000000000e+02,7.443041241823249443e+00
1.520000000000000000e+02,7.465645492297288577e+00
1.530000000000000000e+02,7.488072556946631764e+00
1.540000000000000000e+02,7.510324573646228963e+00
1.550000000000000000e+02,7.532403005097926929e+00
1.560000000000000000e+02,7.554311530392615381e+00
1.570000000000000000e+02,7.576051290722904952e+00
1.580000000000000000e+02,7.597624206727343399e+00
1.590000000000000000e+02,7.619033359928392812e+00
1.600000000000000000e+02,7.640279952681175324e+00
1.610000000000000000e+02,7.661365753548293078e+00
1.620000000000000000e+02,7.682293478629766526e+00
1.630000000000000000e+02,7.703064793442082170e+00
1.640000000000000000e+02,7.723680930046379345e+00
1.650000000000000000e+02,7.744145040967844729e+00
1.660000000000000000e+02,7.764457683126776644e+00
1.670000000000000000e+02,7.784621907893298776e+00
1.680000000000000000e+02,7.804638777011401629e+00
1.690000000000000000e+02,7.824509325619793287e+00
1.700000000000000000e+02,7.844236655637255140e+00
1.710000000000000000e+02,7.863821341287464683e+00
1.720000000000000000e+02,7.883266012630122610e+00
1.730000000000000000e+02,7.902571369012516556e+00
1.740000000000000000e+02,7.921739956921689974e+00
1.750000000000000000e+02,7.940772784134290774e+00
1.760000000000000000e+02,7.959671019492072119e+00
1.770000000000000000e+02,7.978436540869188853e+00
1.780000000000000000e+02,7.997070454444636489e+00
1.790000000000000000e+02,8.015574934718221911e+00
1.800000000000000000e+02,8.033950661097932766e+00
1.810000000000000000e+02,8.052200101837474477e+00
1.820000000000000000e+02,8.070323519791379852e+00
1.830000000000000000e+02,8.088322958363356463e+00
