Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,1.17e+12,1.0,0.0,1614.7045508171464,2753.942488995206,0.18048042852109636,0.9263613081637379,1.01e+05,303860.3212249549,39639.803554696664,100000000.0,0.0012021184240185885,0.7338086749851456,0.24413524725547842,0.94,0.9161971623667698,0.026872048085955023,4.015428863005151e-05,0.0009852259684933196,3.2269672297668026,0.0,1683.0,1235.0,
0,166.0574,2.04e+12,1.0,0.0,1960.2866164599673,1852.3513732108927,0.10488566904518223,0.7189319687566906,1.44e+05,99071.20338646974,27804.312371032967,100000000.0,0.00043765387883332066,0.7338086749851456,0.7626368528364782,0.94,0.3979542076998271,0.29483117661801816,9.48470522645392e-05,0.00045045945277493186,3.209990824851437,0.0,1683.0,1235.0,
1,366.2883,2.04e+12,1.0,0.0,1960.2866164599673,1852.3513732108927,0.10488566904518223,0.7189319687566906,1.44e+05,99071.20338646974,27804.312371032967,100000000.0,0.00043765387883332066,0.7338086749851456,0.7626368528364782,0.94,0.3979542076998271,0.29483117661801816,9.48470522645392e-05,0.00045045945277493186,3.209990824851437,0.0,1683.0,1235.0,
2,586.8955,2.04e+12,1.0,0.0,1960.2866164599673,1852.3513732108927,0.10488566904518223,0.7189319687566906,1.44e+05,99071.20338646974,27804.312371032967,100000000.0,0.00043765387883332066,0.7338086749851456,0.7626368528364782,0.94,0.3979542076998271,0.29483117661801816,9.48470522645392e-05,0.00045045945277493186,3.209990824851437,0.0,1683.0,1235.0,
3,839.8344,2.04e+12,1.0,0.0,1960.2866164599673,1852.3513732108927,0.10488566904518223,0.7189319687566906,1.44e+05,99071.20338646974,27804.312371032967,100000000.0,0.00043765387883332066,0.7338086749851456,0.7626368528364782,0.94,0.3979542076998271,0.29483117661801816,9.48470522645392e-05,0.00045045945277493186,3.209990824851437,0.0,1683.0,1235.0,
4,1100.5543,2.04e+12,1.0,0.0,1960.2866164599673,1852.3513732108927,0.10488566904518223,0.7189319687566906,1.44e+05,99071.20338646974,27804.312371032967,100000000.0,0.00043765387883332066,0.7338086749851456,0.7626368528364782,0.94,0.3979542076998271,0.29483117661801816,9.48470522645392e-05,0.00045045945277493186,3.209990824851437,0.0,1683.0,1235.0,
5,1358.4367,3.91e+12,1.0,0.0,1982.6593974030752,1359.95306688572,0.1168427346306293,0.43121307252297947,1.32e+05,294450.4294061171,12374.33382154216,100000000.0,0.0002620502347310986,0.7338086749851456,0.5394135358966607,0.94,0.41381597869531894,0.20154583054965358,3.883053472305489e-05,0.0007229417574752695,2.1136459425910705,0.0,1683.0,1235.0,
6,1617.1810,3.91e+12,1.0,0.0,1982.6593974030752,1359.95306688572,0.1168427346306293,0.43121307252297947,1.32e+05,294450.4294061171,12374.33382154216,100000000.0,0.0002620502347310986,0.7338086749851456,0.5394135358966607,0.94,0.41381597869531894,0.20154583054965358,3.883053472305489e-05,0.0007229417574752695,2.1136459425910705,0.0,1683.0,1235.0,
7,1869.4687,2.43e+12,1.0,0.0,1788.5999247012628,1499.9741125411629,0.10622603203997465,0.5183732321736827,1.43e+05,196792.6150991192,18657.383100134022,100000000.0,0.00023122152740787788,0.7338086749851456,0.6839385599384072,0.94,0.46353660647823136,0.19588695332264466,6.168315966134197e-05,0.000592801982996701,2.366635249213985,0.0,1683.0,1235.0,
8,2110.5702,3.43e+12,1.0,0.0,1460.9440465484645,1348.1214169167806,0.1134412489685836,0.6067506195429304,1.53e+05,216940.4309979821,21883.142155659665,100000000.0,0.00019613085837874762,0.7338086749851456,0.6896076475521704,0.94,0.37308398281075983,0.18782338695874212,6.0551675111654714e-05,0.0005251203783697558,1.9244190163374952,0.0,1683.0,1235.0,
9,2338.3116,2.77e+12,1.0,0.0,1488.4009497188042,1301.2747096603844,0.10841367238206681,0.5559024164754913,1.55e+05,208313.010491362,19362.589841127585,100000000.0,0.00017481888588590096,0.7338086749851456,0.7485521011348619,0.94,0.3711343798758714,0.2037263093330346,6.554120411225963e-05,0.0005667146069873303,1.8663989799864922,0.0,1683.0,1235.0,
