# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000400000000056e+01
6.000000000000000000e+00,2.500001500000000121e+01
7.000000000000000000e+00,2.500006300000000081e+01
8.000000000000000000e+00,2.500021699999999925e+01
9.000000000000000000e+00,2.500063300000000055e+01
1.000000000000000000e+01,2.500160400000000038e+01
1.100000000000000000e+01,2.500362600000000057e+01
1.200000000000000000e+01,2.500742899999999835e+01
1.300000000000000000e+01,2.501400800000000046e+01
1.400000000000000000e+01,2.502459100000000092e+01
1.500000000000000000e+01,2.504063000000000017e+01
1.600000000000000000e+01,2.506372299999999953e+01
1.700000000000000000e+01,2.509556999999999860e+01
1.800000000000000000e+01,2.513791099999999901e+01
1.900000000000000000e+01,2.519247199999999864e+01
2.000000000000000000e+01,2.526092299999999824e+01
2.100000000000000000e+01,2.534484300000000090e+01
2.200000000000000000e+01,2.544569399999999959e+01
2.300000000000000000e+01,2.556479500000000016e+01
2.400000000000000000e+01,2.570333499999999916e+01
2.500000000000000000e+01,2.586235200000000134e+01
2.600000000000000000e+01,2.604272699999999929e+01
2.700000000000000000e+01,2.624520700000000062e+01
2.800000000000000000e+01,2.647038799999999981e+01
2.900000000000000000e+01,2.671875599999999906e+01
3.000000000000000000e+01,2.699065799999999982e+01
3.100000000000000000e+01,2.728634299999999868e+01
3.200000000000000000e+01,2.760594599999999943e+01
3.300000000000000000e+01,2.794951400000000064e+01
3.400000000000000000e+01,2.831701500000000138e+01
3.500000000000000000e+01,2.870833999999999975e+01
3.600000000000000000e+01,2.912331800000000115e+01
3.700000000000000000e+01,2.956171399999999849e+01
3.800000000000000000e+01,3.002325099999999836e+01
3.900000000000000000e+01,3.050760800000000117e+01
4.000000000000000000e+01,3.101442499999999924e+01
4.100000000000000000e+01,3.154330300000000165e+01
4.200000000000000000e+01,3.209381499999999932e+01
4.300000000000000000e+01,3.266554299999999955e+01
4.400000000000000000e+01,3.325799899999999809e+01
4.500000000000000000e+01,3.387073500000000337e+01
4.600000000000000000e+01,3.450323900000000066e+01
4.700000000000000000e+01,3.515503300000000309e+01
4.800000000000000000e+01,3.582562300000000022e+01
4.900000000000000000e+01,3.651448800000000006e+01
5.000000000000000000e+01,3.722114899999999693e+01
5.100000000000000000e+01,3.794507999999999726e+01
5.200000000000000000e+01,3.868578000000000117e+01
5.300000000000000000e+01,3.944276399999999683e+01
5.400000000000000000e+01,4.021551099999999934e+01
5.500000000000000000e+01,4.100356299999999976e+01
5.600000000000000000e+01,4.180641899999999822e+01
5.700000000000000000e+01,4.262363799999999969e+01
5.800000000000000000e+01,4.345471200000000067e+01
5.900000000000000000e+01,4.429918299999999931e+01
6.000000000000000000e+01,4.515659699999999788e+01
6.100000000000000000e+01,4.602651600000000087e+01
6.200000000000000000e+01,4.690851599999999877e+01
6.300000000000000000e+01,4.780216200000000271e+01
6.400000000000000000e+01,4.870704700000000287e+01
6.500000000000000000e+01,4.962274200000000235e+01
6.600000000000000000e+01,5.054886199999999974e+01
6.700000000000000000e+01,5.148503099999999932e+01
6.800000000000000000e+01,5.243085099999999699e+01
6.900000000000000000e+01,5.338595200000000318e+01
7.000000000000000000e+01,5.435000600000000048e+01
7.100000000000000000e+01,5.532262000000000057e+01
7.200000000000000000e+01,5.630348599999999948e+01
7.300000000000000000e+01,5.729224800000000073e+01
7.400000000000000000e+01,5.828860099999999989e+01
7.500000000000000000e+01,5.929220999999999719e+01
7.600000000000000000e+01,6.030280299999999727e+01
7.700000000000000000e+01,6.132004200000000083e+01
7.800000000000000000e+01,6.234367000000000303e+01
7.900000000000000000e+01,6.337337500000000290e+01
8.000000000000000000e+01,6.440891999999999484e+01
8.100000000000000000e+01,6.545003499999999974e+01
8.200000000000000000e+01,6.649642900000000623e+01
8.300000000000000000e+01,6.754788200000000131e+01
8.400000000000000000e+01,6.860414099999999848e+01
8.500000000000000000e+01,6.966497800000000495e+01
8.600000000000000000e+01,7.073015599999999381e+01
8.700000000000000000e+01,7.179945399999999722e+01
8.800000000000000000e+01,7.287266499999999780e+01
8.900000000000000000e+01,7.394957700000000500e+01
9.000000000000000000e+01,7.502998399999999890e+01
9.100000000000000000e+01,7.611366999999999905e+01
9.200000000000000000e+01,7.720047800000000393e+01
9.300000000000000000e+01,7.829019900000000121e+01
9.400000000000000000e+01,7.938265199999999311e+01
9.500000000000000000e+01,8.047769900000000121e+01
9.600000000000000000e+01,8.157513400000000559e+01
9.700000000000000000e+01,8.267478900000000408e+01
9.800000000000000000e+01,8.377650500000000022e+01
9.900000000000000000e+01,8.488017299999999921e+01
1.000000000000000000e+02,8.598560299999999756e+01
1.010000000000000000e+02,8.709265100000000359e+01
1.020000000000000000e+02,8.820116400000000567e+01
1.030000000000000000e+02,8.931104999999999450e+01
1.040000000000000000e+02,9.042215699999999856e+01
1.050000000000000000e+02,9.153434000000000026e+01
1.060000000000000000e+02,9.264749100000000226e+01
1.070000000000000000e+02,9.376146699999999612e+01
1.080000000000000000e+02,9.487619800000000225e+01
1.090000000000000000e+02,9.599153900000000306e+01
1.100000000000000000e+02,9.710737600000000214e+01
1.110000000000000000e+02,9.822359500000000310e+01
1.120000000000000000e+02,9.934012599999999793e+01
1.130000000000000000e+02,1.004568699999999950e+02
1.140000000000000000e+02,1.015737100000000055e+02
1.150000000000000000e+02,1.026905399999999986e+02
1.160000000000000000e+02,1.038072599999999994e+02
1.170000000000000000e+02,1.049238399999999984e+02
1.180000000000000000e+02,1.060401499999999970e+02
1.190000000000000000e+02,1.071561399999999935e+02
1.200000000000000000e+02,1.082716900000000066e+02
1.210000000000000000e+02,1.093867300000000000e+02
1.220000000000000000e+02,1.105012300000000067e+02
1.230000000000000000e+02,1.116150899999999950e+02
1.240000000000000000e+02,1.127282199999999932e+02
1.250000000000000000e+02,1.138405699999999996e+02
1.260000000000000000e+02,1.149520600000000030e+02
1.270000000000000000e+02,1.160626500000000050e+02
1.280000000000000000e+02,1.171722800000000007e+02
1.290000000000000000e+02,1.182808799999999962e+02
1.300000000000000000e+02,1.193883799999999979e+02
1.310000000000000000e+02,1.204947700000000026e+02
1.320000000000000000e+02,1.215999599999999958e+02
1.330000000000000000e+02,1.227038900000000012e+02
1.340000000000000000e+02,1.238065200000000061e+02
1.350000000000000000e+02,1.249078300000000041e+02
1.360000000000000000e+02,1.260077399999999983e+02
1.370000000000000000e+02,1.271062199999999933e+02
1.380000000000000000e+02,1.282032199999999875e+02
1.390000000000000000e+02,1.292987099999999998e+02
1.400000000000000000e+02,1.303926199999999938e+02
1.410000000000000000e+02,1.314849700000000041e+02
1.420000000000000000e+02,1.325756800000000055e+02
1.430000000000000000e+02,1.336647199999999884e+02
1.440000000000000000e+02,1.347520600000000002e+02
1.450000000000000000e+02,1.358376800000000060e+02
1.460000000000000000e+02,1.369214900000000057e+02
1.470000000000000000e+02,1.380035200000000088e+02
1.480000000000000000e+02,1.390837400000000059e+02
1.490000000000000000e+02,1.401620900000000063e+02
1.500000000000000000e+02,1.412385600000000068e+02
1.510000000000000000e+02,1.423131099999999947e+02
1.520000000000000000e+02,1.433857299999999952e+02
1.530000000000000000e+02,1.444563799999999958e+02
1.540000000000000000e+02,1.455250499999999931e+02
1.550000000000000000e+02,1.465917200000000093e+02
1.560000000000000000e+02,1.476563400000000001e+02
1.570000000000000000e+02,1.487189300000000003e+02
1.580000000000000000e+02,1.497794199999999876e+02
1.590000000000000000e+02,1.508378299999999967e+02
1.600000000000000000e+02,1.518941499999999962e+02
1.610000000000000000e+02,1.529482999999999890e+02
1.620000000000000000e+02,1.540003199999999879e+02
1.630000000000000000e+02,1.550501999999999896e+02
1.640000000000000000e+02,1.560978499999999940e+02
1.650000000000000000e+02,1.571433399999999949e+02
1.660000000000000000e+02,1.581865799999999922e+02
1.670000000000000000e+02,1.592276200000000017e+02
1.680000000000000000e+02,1.602664300000000139e+02
1.690000000000000000e+02,1.613029600000000130e+02
1.700000000000000000e+02,1.623372500000000116e+02
1.710000000000000000e+02,1.633692299999999875e+02
1.720000000000000000e+02,1.643989400000000103e+02
1.730000000000000000e+02,1.654263300000000072e+02
1.740000000000000000e+02,1.664514200000000130e+02
1.750000000000000000e+02,1.674741999999999962e+02
1.760000000000000000e+02,1.684946099999999944e+02
1.770000000000000000e+02,1.695126999999999953e+02
1.780000000000000000e+02,1.705284100000000080e+02
1.790000000000000000e+02,1.715417799999999886e+02
1.800000000000000000e+02,1.725527600000000064e+02
1.810000000000000000e+02,1.735613700000000108e+02
1.820000000000000000e+02,1.745675999999999988e+02
1.830000000000000000e+02,1.755714299999999923e+02
1.840000000000000000e+02,1.765728300000000104e+02
1.850000000000000000e+02,1.775718400000000088e+02
1.860000000000000000e+02,1.785684200000000033e+02
1.870000000000000000e+02,1.795625900000000001e+02
1.880000000000000000e+02,1.805543199999999899e+02
1.890000000000000000e+02,1.815436200000000042e+02
1.900000000000000000e+02,1.825304700000000082e+02
1.910000000000000000e+02,1.835148599999999988e+02
1.920000000000000000e+02,1.844968000000000075e+02
1.930000000000000000e+02,1.854762900000000059e+02
1.940000000000000000e+02,1.864532900000000097e+02
1.950000000000000000e+02,1.874278400000000033e+02
1.960000000000000000e+02,1.883999300000000119e+02
1.970000000000000000e+02,1.893695400000000006e+02
1.980000000000000000e+02,1.903366499999999917e+02
1.990000000000000000e+02,1.913012799999999913e+02
2.000000000000000000e+02,1.922634299999999996e+02
2.010000000000000000e+02,1.932230700000000070e+02
2.020000000000000000e+02,1.941802199999999914e+02
2.030000000000000000e+02,1.951348700000000065e+02
2.040000000000000000e+02,1.960870099999999923e+02
2.050000000000000000e+02,1.970366400000000056e+02
2.060000000000000000e+02,1.979837599999999895e+02
2.070000000000000000e+02,1.989283599999999979e+02
2.080000000000000000e+02,1.998704500000000053e+02
2.090000000000000000e+02,2.008100300000000118e+02
2.100000000000000000e+02,2.017470700000000079e+02
2.110000000000000000e+02,2.026815899999999999e+02
2.120000000000000000e+02,2.036135899999999879e+02
2.130000000000000000e+02,2.045430499999999938e+02
2.140000000000000000e+02,2.054699999999999989e+02
2.150000000000000000e+02,2.063943899999999871e+02
2.160000000000000000e+02,2.073162399999999934e+02
2.170000000000000000e+02,2.082355499999999893e+02
2.180000000000000000e+02,2.091523300000000063e+02
2.190000000000000000e+02,2.100665400000000034e+02
2.200000000000000000e+02,2.109782399999999996e+02
2.210000000000000000e+02,2.118873900000000106e+02
2.220000000000000000e+02,2.127939599999999984e+02
2.230000000000000000e+02,2.136980000000000075e+02
2.240000000000000000e+02,2.145994699999999966e+02
2.250000000000000000e+02,2.154984100000000069e+02
2.260000000000000000e+02,2.163947799999999972e+02
2.270000000000000000e+02,2.172885699999999929e+02
2.280000000000000000e+02,2.181798100000000034e+02
2.290000000000000000e+02,2.190685100000000034e+02
2.300000000000000000e+02,2.199546200000000056e+02
2.310000000000000000e+02,2.208381500000000131e+02
2.320000000000000000e+02,2.217191300000000069e+02
2.330000000000000000e+02,2.225975300000000061e+02
2.340000000000000000e+02,2.234733899999999949e+02
2.350000000000000000e+02,2.243466500000000110e+02
2.360000000000000000e+02,2.252173200000000008e+02
2.370000000000000000e+02,2.260854199999999992e+02
2.380000000000000000e+02,2.269509299999999996e+02
2.390000000000000000e+02,2.278138899999999865e+02
2.400000000000000000e+02,2.286742700000000070e+02
2.410000000000000000e+02,2.295320399999999950e+02
2.420000000000000000e+02,2.303872100000000103e+02
2.430000000000000000e+02,2.312397899999999993e+02
2.440000000000000000e+02,2.320897799999999904e+02
2.450000000000000000e+02,2.329371600000000058e+02
2.460000000000000000e+02,2.337819700000000012e+02
2.470000000000000000e+02,2.346241499999999860e+02
2.480000000000000000e+02,2.354637600000000077e+02
2.490000000000000000e+02,2.363007499999999936e+02
2.500000000000000000e+02,2.371351500000000101e+02
2.510000000000000000e+02,2.379669199999999876e+02
2.520000000000000000e+02,2.387960999999999956e+02
2.530000000000000000e+02,2.396226499999999930e+02
2.540000000000000000e+02,2.404465800000000115e+02
2.550000000000000000e+02,2.412678999999999974e+02
2.560000000000000000e+02,2.420865900000000011e+02
2.570000000000000000e+02,2.429026800000000037e+02
2.580000000000000000e+02,2.437161299999999926e+02
2.590000000000000000e+02,2.445269600000000025e+02
2.600000000000000000e+02,2.453351600000000019e+02
2.610000000000000000e+02,2.461407199999999875e+02
2.620000000000000000e+02,2.469436599999999942e+02
2.630000000000000000e+02,2.477439599999999871e+02
2.640000000000000000e+02,2.485416299999999978e+02
2.650000000000000000e+02,2.493366399999999885e+02
2.660000000000000000e+02,2.501289999999999907e+02
2.670000000000000000e+02,2.509187200000000075e+02
2.680000000000000000e+02,2.517058000000000106e+02
2.690000000000000000e+02,2.524901999999999873e+02
2.700000000000000000e+02,2.532719700000000103e+02
2.710000000000000000e+02,2.540510700000000099e+02
2.720000000000000000e+02,2.548275099999999895e+02
2.730000000000000000e+02,2.556013000000000090e+02
2.740000000000000000e+02,2.563724100000000021e+02
2.750000000000000000e+02,2.571408400000000256e+02
2.760000000000000000e+02,2.579066199999999753e+02
2.770000000000000000e+02,2.586697100000000091e+02
2.780000000000000000e+02,2.594301100000000133e+02
2.790000000000000000e+02,2.601878399999999942e+02
2.800000000000000000e+02,2.609429000000000087e+02
2.810000000000000000e+02,2.616952800000000252e+02
2.820000000000000000e+02,2.624449500000000057e+02
2.830000000000000000e+02,2.631919599999999946e+02
2.840000000000000000e+02,2.639362499999999727e+02
2.850000000000000000e+02,2.646778299999999717e+02
2.860000000000000000e+02,2.654166900000000169e+02
2.870000000000000000e+02,2.661528599999999756e+02
2.880000000000000000e+02,2.668863499999999931e+02
2.890000000000000000e+02,2.676170999999999935e+02
2.900000000000000000e+02,2.683451499999999896e+02
2.910000000000000000e+02,2.690704700000000003e+02
2.920000000000000000e+02,2.697930299999999875e+02
2.930000000000000000e+02,2.705129099999999767e+02
