Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,6.67e+12,1.0,0.0,997.180637500863,3425.382192814123,0.07734331472366107,0.6729205315800174,7.00e+05,80807.20426165055,9613.186419598956,100000000.0,0.007405786388915728,0.7338086749851456,0.8390187483982317,0.94,0.26390594065928785,0.1612450148191238,0.00013082866034650687,9.618084966448476e-05,2.7124998961090925,0.0,1683.0,1235.0,
0,55.2085,3.05e+12,1.0,0.0,1173.3738435869552,2043.244580195491,0.14321813169796527,0.3929049658889593,1.94e+05,32309.081930579152,10787.691825824768,100000000.0,0.004352095376533348,0.7338086749851456,0.8805428875269781,0.94,0.29047745660573343,0.07623013715476297,7.171521257418541e-05,0.0004455641087003009,2.4833585315303814,0.0,1683.0,1235.0,
1,119.4351,3.66e+12,1.0,0.0,1054.4310365526671,1425.4702152337486,0.08476714067658361,0.46631770765794667,1.90e+05,128897.98968478519,25876.999367676133,100000000.0,0.002802399245574623,0.7338086749851456,0.9251385958792493,0.94,0.36415592430774557,0.20534227763275048,8.43957340847107e-05,0.0004577105367056856,2.9281467342373926,0.0,1683.0,1235.0,
2,193.4839,5.09e+12,1.0,0.0,890.313542212038,2106.5228198298055,0.09417420462540099,0.4853344449565401,1.88e+05,139438.14231883473,17415.80949007949,100000000.0,0.002486286067723215,0.7338086749851456,0.8862563198747169,0.94,0.44508890277817004,0.19343176134303555,6.483883870056327e-05,0.0006762380269358357,1.7004258657579427,0.0,1683.0,1235.0,
3,270.3432,3.68e+12,1.0,0.0,870.9381989616659,1933.599444891905,0.05366215282272868,0.533401932101,1.77e+05,103027.67459296208,30484.218294000395,100000000.0,0.002126259896306701,0.7338086749851456,0.90820767342439,0.94,0.21005873860489466,0.1657740347826384,6.177886422105877e-05,0.00021653261198601934,1.706195479908592,0.0,1683.0,1235.0,
4,349.2829,3.68e+12,1.0,0.0,870.9381989616659,1933.599444891905,0.05366215282272868,0.533401932101,1.77e+05,103027.67459296208,30484.218294000395,100000000.0,0.002126259896306701,0.7338086749851456,0.90820767342439,0.94,0.21005873860489466,0.1657740347826384,6.177886422105877e-05,0.00021653261198601934,1.706195479908592,0.0,1683.0,1235.0,
5,431.1302,3.68e+12,1.0,0.0,870.9381989616659,1933.599444891905,0.05366215282272868,0.533401932101,1.77e+05,103027.67459296208,30484.218294000395,100000000.0,0.002126259896306701,0.7338086749851456,0.90820767342439,0.94,0.21005873860489466,0.1657740347826384,6.177886422105877e-05,0.00021653261198601934,1.706195479908592,0.0,1683.0,1235.0,
6,510.6697,4.69e+12,1.0,0.0,1005.5887490376675,1508.2202151491247,0.09256851981015751,0.515492269300222,1.82e+05,114576.96766240848,16158.99397940602,100000000.0,0.0010579054865985293,0.7338086749851456,0.9169454024270707,0.94,0.30174608970845995,0.148993068582715,6.381990048077636e-05,0.00043824778015728123,2.395419502410793,0.0,1683.0,1235.0,
7,587.7164,4.69e+12,1.0,0.0,1005.5887490376675,1508.2202151491247,0.09256851981015751,0.515492269300222,1.82e+05,114576.96766240848,16158.99397940602,100000000.0,0.0010579054865985293,0.7338086749851456,0.9169454024270707,0.94,0.30174608970845995,0.148993068582715,6.381990048077636e-05,0.00043824778015728123,2.395419502410793,0.0,1683.0,1235.0,
8,669.6665,3.44e+12,1.0,0.0,975.3548490383196,1458.5166626056698,0.10005997839979432,0.43846260904447104,1.82e+05,77601.56853952141,22426.860667713685,100000000.0,0.0010293172791396655,0.7338086749851456,0.8722627383995651,0.94,0.25511249825643384,0.11676583868436165,7.377067619731198e-05,0.00047987665951986874,2.2453425582802637,0.0,1683.0,1235.0,
