# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.915079995362458862e-02
6.000000000000000000e+00,3.574028725257893252e-02
7.000000000000000000e+00,5.780487740346602205e-02
8.000000000000000000e+00,8.753627135162818373e-02
9.000000000000000000e+00,1.253616044067482060e-01
1.000000000000000000e+01,1.718037552659736900e-01
1.100000000000000000e+01,2.263898408456907207e-01
1.200000000000000000e+01,2.885893200302890871e-01
1.300000000000000000e+01,3.576318302339202004e-01
1.400000000000000000e+01,4.326183226186968156e-01
1.500000000000000000e+01,5.126333951402772815e-01
1.600000000000000000e+01,5.968002951695695613e-01
1.700000000000000000e+01,6.843101145218858372e-01
1.800000000000000000e+01,7.744473535576716916e-01
1.900000000000000000e+01,8.665793001235280180e-01
2.000000000000000000e+01,9.601577711067389442e-01
2.100000000000000000e+01,1.054722829083570845e+00
2.200000000000000000e+01,1.149873725531678437e+00
2.300000000000000000e+01,1.245276997603886437e+00
2.400000000000000000e+01,1.340655000714844336e+00
2.500000000000000000e+01,1.435773006311557465e+00
2.600000000000000000e+01,1.530435945392378594e+00
2.700000000000000000e+01,1.624483747725644855e+00
2.800000000000000000e+01,1.717788853330580956e+00
2.900000000000000000e+01,1.810241103736616619e+00
3.000000000000000000e+01,1.901751694405475090e+00
3.100000000000000000e+01,1.992254640114184738e+00
3.200000000000000000e+01,2.081694655177413811e+00
3.300000000000000000e+01,2.170030452671524390e+00
3.400000000000000000e+01,2.257230298844690175e+00
3.500000000000000000e+01,2.343269839260043952e+00
3.600000000000000000e+01,2.428134087158822396e+00
3.700000000000000000e+01,2.511815269334220613e+00
3.800000000000000000e+01,2.594309887207839171e+00
3.900000000000000000e+01,2.675616541544064475e+00
4.000000000000000000e+01,2.755741071444841594e+00
4.100000000000000000e+01,2.834691527689165547e+00
4.200000000000000000e+01,2.912473977531320646e+00
4.300000000000000000e+01,2.989102809635826308e+00
4.400000000000000000e+01,3.064593725863160145e+00
4.500000000000000000e+01,3.138957826918636229e+00
4.600000000000000000e+01,3.212216027268901097e+00
4.700000000000000000e+01,3.284382078927284176e+00
4.800000000000000000e+01,3.355472501786239459e+00
4.900000000000000000e+01,3.425508659780378107e+00
5.000000000000000000e+01,3.494507905166618578e+00
5.100000000000000000e+01,3.562486231764270261e+00
5.200000000000000000e+01,3.629465878805935741e+00
5.300000000000000000e+01,3.695464447342028169e+00
5.400000000000000000e+01,3.760501404677242032e+00
5.500000000000000000e+01,3.824594265924130099e+00
5.600000000000000000e+01,3.887762181731274413e+00
5.700000000000000000e+01,3.950023386304480688e+00
5.800000000000000000e+01,4.011396172551703998e+00
5.900000000000000000e+01,4.071898925903536082e+00
6.000000000000000000e+01,4.131548238859327427e+00
6.100000000000000000e+01,4.190363347052839416e+00
6.200000000000000000e+01,4.248359666498162213e+00
6.300000000000000000e+01,4.305553715701300632e+00
6.400000000000000000e+01,4.361962853240521909e+00
6.500000000000000000e+01,4.417603859596915150e+00
6.600000000000000000e+01,4.472490150808328124e+00
6.700000000000000000e+01,4.526637219883804519e+00
6.800000000000000000e+01,4.580062746640469307e+00
6.900000000000000000e+01,4.632778679144045952e+00
7.000000000000000000e+01,4.684800903125976745e+00
7.100000000000000000e+01,4.736143673158474066e+00
7.200000000000000000e+01,4.786819299361114055e+00
7.300000000000000000e+01,4.836842477163553866e+00
7.400000000000000000e+01,4.886224436162458495e+00
7.500000000000000000e+01,4.934980183961926059e+00
7.600000000000000000e+01,4.983120252049414667e+00
7.700000000000000000e+01,5.030658688335289952e+00
7.800000000000000000e+01,5.077604999818539966e+00
7.900000000000000000e+01,5.123973110574706169e+00
8.000000000000000000e+01,5.169773031779043571e+00
8.100000000000000000e+01,5.215014419030818082e+00
8.200000000000000000e+01,5.259710189181487472e+00
8.300000000000000000e+01,5.303869166703622184e+00
8.400000000000000000e+01,5.347503410179980321e+00
8.500000000000000000e+01,5.390622025226604386e+00
8.600000000000000000e+01,5.433233491961395600e+00
8.700000000000000000e+01,5.475349221244646181e+00
8.800000000000000000e+01,5.516977944427713609e+00
8.900000000000000000e+01,5.558126817244202655e+00
9.000000000000000000e+01,5.598806347063026045e+00
9.100000000000000000e+01,5.639025327642046115e+00
9.200000000000000000e+01,5.678791936722742406e+00
9.300000000000000000e+01,5.718112522589677837e+00
9.400000000000000000e+01,5.756997446494671600e+00
9.500000000000000000e+01,5.795453948121101817e+00
9.600000000000000000e+01,5.833489409504531764e+00
9.700000000000000000e+01,5.871110121428483986e+00
9.800000000000000000e+01,5.908325139692260031e+00
9.900000000000000000e+01,5.945140813407769897e+00
1.000000000000000000e+02,5.981564024694299597e+00
1.010000000000000000e+02,6.017600765493530623e+00
1.020000000000000000e+02,6.053259000410401214e+00
1.030000000000000000e+02,6.088544888641347796e+00
1.040000000000000000e+02,6.123464791180273536e+00
1.050000000000000000e+02,6.158023190711576333e+00
1.060000000000000000e+02,6.192227801575375778e+00
1.070000000000000000e+02,6.226084440923420615e+00
1.080000000000000000e+02,6.259598505000509405e+00
1.090000000000000000e+02,6.292775730184039240e+00
1.100000000000000000e+02,6.325620595377070998e+00
1.110000000000000000e+02,6.358139600431512051e+00
1.120000000000000000e+02,6.390338268921962772e+00
1.130000000000000000e+02,6.422221367437904505e+00
1.140000000000000000e+02,6.453792999014699383e+00
1.150000000000000000e+02,6.485058165950905895e+00
1.160000000000000000e+02,6.516023361086803689e+00
1.170000000000000000e+02,6.546692101071791114e+00
1.180000000000000000e+02,6.577069394305079975e+00
1.190000000000000000e+02,6.607158723246310927e+00
1.200000000000000000e+02,6.636965036508438054e+00
1.210000000000000000e+02,6.666493366941162790e+00
1.220000000000000000e+02,6.695747523014579983e+00
1.230000000000000000e+02,6.724731954127288525e+00
1.240000000000000000e+02,6.753449156991798041e+00
1.250000000000000000e+02,6.781905102614004477e+00
1.260000000000000000e+02,6.810102529878040656e+00
1.270000000000000000e+02,6.838045835170532882e+00
1.280000000000000000e+02,6.865738273916931256e+00
1.290000000000000000e+02,6.893183238335105933e+00
1.300000000000000000e+02,6.920384985551240042e+00
1.310000000000000000e+02,6.947347391719335796e+00
1.320000000000000000e+02,6.974073004525311426e+00
1.330000000000000000e+02,7.000565243629331746e+00
1.340000000000000000e+02,7.026827656958759327e+00
1.350000000000000000e+02,7.052863681054022393e+00
1.360000000000000000e+02,7.078676879210818562e+00
1.370000000000000000e+02,7.104269081872756075e+00
1.380000000000000000e+02,7.129643903047361952e+00
1.390000000000000000e+02,7.154805534257997479e+00
1.400000000000000000e+02,7.179755091696756963e+00
1.410000000000000000e+02,7.204496360648018793e+00
1.420000000000000000e+02,7.229031896790130141e+00
1.430000000000000000e+02,7.253365738034053933e+00
1.440000000000000000e+02,7.277498935174779859e+00
1.450000000000000000e+02,7.301434481172856650e+00
1.460000000000000000e+02,7.325175502844152753e+00
1.470000000000000000e+02,7.348724389962548287e+00
1.480000000000000000e+02,7.372083680631590141e+00
1.490000000000000000e+02,7.395256056912653086e+00
1.500000000000000000e+02,7.418243915255379406e+00
1.510000000000000000e+02,7.441049164195073118e+00
1.520000000000000000e+02,7.463674290107197073e+00
1.530000000000000000e+02,7.486122757827896379e+00
1.540000000000000000e+02,7.508395244454573181e+00
1.550000000000000000e+02,7.530494469437483573e+00
1.560000000000000000e+02,7.552422877695650349e+00
1.570000000000000000e+02,7.574182647913539235e+00
1.580000000000000000e+02,7.595775294662978183e+00
1.590000000000000000e+02,7.617203503109668539e+00
1.600000000000000000e+02,7.638469290901737097e+00
1.610000000000000000e+02,7.659574825066959747e+00
1.620000000000000000e+02,7.680521624437442796e+00
1.630000000000000000e+02,7.701311564265950871e+00
1.640000000000000000e+02,7.721946866845040169e+00
1.650000000000000000e+02,7.742429116171402725e+00
1.660000000000000000e+02,7.762760246244710949e+00
1.670000000000000000e+02,7.782941952411522202e+00
1.680000000000000000e+02,7.802976082255892898e+00
1.690000000000000000e+02,7.822865014496981573e+00
1.700000000000000000e+02,7.842609552330381817e+00
1.710000000000000000e+02,7.862211614257345715e+00
1.720000000000000000e+02,7.881672887495680513e+00
1.730000000000000000e+02,7.900994833887178714e+00
1.740000000000000000e+02,7.920179442004512183e+00
1.750000000000000000e+02,7.939227728945635221e+00
1.760000000000000000e+02,7.958142166538690887e+00
1.770000000000000000e+02,7.976923519764880233e+00
1.780000000000000000e+02,7.995572901111343000e+00
1.790000000000000000e+02,8.014092856147769339e+00
1.800000000000000000e+02,8.032484065099863457e+00
1.810000000000000000e+02,8.050748275245826591e+00
1.820000000000000000e+02,8.068886478993126943e+00
1.830000000000000000e+02,8.086900541876930859e+00
