# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.915079995362458862e-02
6.000000000000000000e+00,3.380449737731881787e-02
7.000000000000000000e+00,5.599727877995352293e-02
8.000000000000000000e+00,8.453172605098728531e-02
9.000000000000000000e+00,1.215207817364955672e-01
1.000000000000000000e+01,1.668222878700585665e-01
1.100000000000000000e+01,2.201919558805951194e-01
1.200000000000000000e+01,2.811611341463416402e-01
1.300000000000000000e+01,3.489186477376805540e-01
1.400000000000000000e+01,4.226455241552608544e-01
1.500000000000000000e+01,5.014371065799949623e-01
1.600000000000000000e+01,5.844345983764204222e-01
1.700000000000000000e+01,6.708403256691694017e-01
1.800000000000000000e+01,7.599452760596885348e-01
1.900000000000000000e+01,8.511256737821826235e-01
2.000000000000000000e+01,9.438292568717796538e-01
2.100000000000000000e+01,1.037591658202905887e+00
2.200000000000000000e+01,1.132010412054048398e+00
2.300000000000000000e+01,1.226754398535132129e+00
2.400000000000000000e+01,1.321534572699966326e+00
2.500000000000000000e+01,1.416115673017139143e+00
2.600000000000000000e+01,1.510305554338117862e+00
2.700000000000000000e+01,1.603932068125895727e+00
2.800000000000000000e+01,1.696866621712142642e+00
2.900000000000000000e+01,1.788993099162752065e+00
3.000000000000000000e+01,1.880222764151042281e+00
3.100000000000000000e+01,1.970485040370592467e+00
3.200000000000000000e+01,2.059723656469097275e+00
3.300000000000000000e+01,2.147888146295406919e+00
3.400000000000000000e+01,2.234950869160002629e+00
3.500000000000000000e+01,2.320884585862716953e+00
3.600000000000000000e+01,2.405672766673858654e+00
3.700000000000000000e+01,2.489300453289748027e+00
3.800000000000000000e+01,2.571765332536677384e+00
3.900000000000000000e+01,2.653068122864326916e+00
4.000000000000000000e+01,2.733203125409724876e+00
4.100000000000000000e+01,2.812181485243186341e+00
4.200000000000000000e+01,2.890014314033579890e+00
4.300000000000000000e+01,2.966704683507090490e+00
4.400000000000000000e+01,3.042268806328056296e+00
4.500000000000000000e+01,3.116726344258096582e+00
4.600000000000000000e+01,3.190083741752277824e+00
4.700000000000000000e+01,3.262362196585930185e+00
4.800000000000000000e+01,3.333576374096028250e+00
4.900000000000000000e+01,3.403740513248653787e+00
5.000000000000000000e+01,3.472876912298613394e+00
5.100000000000000000e+01,3.541003629005956110e+00
5.200000000000000000e+01,3.608137751087344913e+00
5.300000000000000000e+01,3.674296601260563566e+00
5.400000000000000000e+01,3.739498286293038820e+00
5.500000000000000000e+01,3.803759151498308899e+00
5.600000000000000000e+01,3.867101759166259534e+00
5.700000000000000000e+01,3.929543021955689497e+00
5.800000000000000000e+01,3.991101200873770516e+00
5.900000000000000000e+01,4.051790043445561373e+00
6.000000000000000000e+01,4.111629108618887862e+00
6.100000000000000000e+01,4.170635466316466200e+00
6.200000000000000000e+01,4.228825141636924911e+00
6.300000000000000000e+01,4.286214206523652592e+00
6.400000000000000000e+01,4.342822623563718842e+00
6.500000000000000000e+01,4.398661539757110717e+00
6.600000000000000000e+01,4.453747127895820945e+00
6.700000000000000000e+01,4.508096367473006794e+00
6.800000000000000000e+01,4.561724266441872899e+00
6.900000000000000000e+01,4.614640971958838378e+00
7.000000000000000000e+01,4.666866790441436486e+00
7.100000000000000000e+01,4.718411124641902710e+00
7.200000000000000000e+01,4.769288685455075338e+00
7.300000000000000000e+01,4.819515387609757617e+00
7.400000000000000000e+01,4.869099615029730543e+00
7.500000000000000000e+01,4.918057758021364911e+00
7.600000000000000000e+01,4.966398277849234155e+00
7.700000000000000000e+01,5.014138088262305004e+00
7.800000000000000000e+01,5.061285532682049393e+00
7.900000000000000000e+01,5.107851336525184749e+00
8.000000000000000000e+01,5.153849351351960983e+00
8.100000000000000000e+01,5.199287784264419621e+00
8.200000000000000000e+01,5.244180397350806544e+00
8.300000000000000000e+01,5.288535444375276562e+00
8.400000000000000000e+01,5.332362167505213968e+00
8.500000000000000000e+01,5.375673585794959131e+00
8.600000000000000000e+01,5.418476063952910593e+00
8.700000000000000000e+01,5.460781127590887074e+00
8.800000000000000000e+01,5.502598763716242125e+00
8.900000000000000000e+01,5.543937036557949227e+00
9.000000000000000000e+01,5.584801586094693349e+00
9.100000000000000000e+01,5.625204860922494277e+00
9.200000000000000000e+01,5.665154765414471605e+00
9.300000000000000000e+01,5.704657418673095393e+00
9.400000000000000000e+01,5.743722488735549803e+00
9.500000000000000000e+01,5.782357596169433123e+00
9.600000000000000000e+01,5.820569898204623449e+00
9.700000000000000000e+01,5.858365570943385947e+00
9.800000000000000000e+01,5.895754752720494984e+00
9.900000000000000000e+01,5.932743413614431027e+00
1.000000000000000000e+02,5.969338406958697441e+00
1.010000000000000000e+02,6.005544331253319434e+00
1.020000000000000000e+02,6.041370558269834490e+00
1.030000000000000000e+02,6.076823250463815107e+00
1.040000000000000000e+02,6.111907958478893121e+00
1.050000000000000000e+02,6.146630088741779296e+00
1.060000000000000000e+02,6.180995370276796130e+00
1.070000000000000000e+02,6.215012351785651923e+00
1.080000000000000000e+02,6.248685444269595379e+00
1.090000000000000000e+02,6.282020272843469755e+00
1.100000000000000000e+02,6.315020060925588652e+00
1.110000000000000000e+02,6.347693365163133095e+00
1.120000000000000000e+02,6.380045148381480402e+00
1.130000000000000000e+02,6.412079608135032416e+00
1.140000000000000000e+02,6.443801764816972977e+00
1.150000000000000000e+02,6.475215188014952439e+00
1.160000000000000000e+02,6.506326739204975063e+00
1.170000000000000000e+02,6.537141102370934043e+00
1.180000000000000000e+02,6.567662514443837196e+00
1.190000000000000000e+02,6.597895592702355927e+00
1.200000000000000000e+02,6.627843185898876222e+00
1.210000000000000000e+02,6.657511471338668052e+00
1.220000000000000000e+02,6.686904834449626023e+00
1.230000000000000000e+02,6.716026726013153869e+00
1.240000000000000000e+02,6.744881246338758629e+00
1.250000000000000000e+02,6.773471076804214341e+00
1.260000000000000000e+02,6.801802093635391344e+00
1.270000000000000000e+02,6.829877966777798015e+00
1.280000000000000000e+02,6.857701494968812206e+00
1.290000000000000000e+02,6.885276863205166187e+00
1.300000000000000000e+02,6.912606648321991898e+00
1.310000000000000000e+02,6.939696014386168343e+00
1.320000000000000000e+02,6.966548030391124691e+00
1.330000000000000000e+02,6.993165905135240834e+00
1.340000000000000000e+02,7.019552031933359082e+00
1.350000000000000000e+02,7.045710377236495070e+00
1.360000000000000000e+02,7.071644550427889975e+00
1.370000000000000000e+02,7.097358049754062925e+00
1.380000000000000000e+02,7.122851959527053189e+00
1.390000000000000000e+02,7.148131221528315038e+00
1.400000000000000000e+02,7.173197902588460906e+00
1.410000000000000000e+02,7.198055587438288327e+00
1.420000000000000000e+02,7.222705961153204512e+00
1.430000000000000000e+02,7.247151994052614121e+00
1.440000000000000000e+02,7.271398341681634570e+00
1.450000000000000000e+02,7.295445791236351951e+00
1.460000000000000000e+02,7.319296632602817709e+00
1.470000000000000000e+02,7.342955261064523675e+00
1.480000000000000000e+02,7.366423796100819210e+00
1.490000000000000000e+02,7.389702796947426933e+00
1.500000000000000000e+02,7.412796637123443944e+00
1.510000000000000000e+02,7.435707458619187804e+00
1.520000000000000000e+02,7.458437765876116288e+00
1.530000000000000000e+02,7.480988114274645717e+00
1.540000000000000000e+02,7.503362990284049516e+00
1.550000000000000000e+02,7.525563667799637813e+00
1.560000000000000000e+02,7.547592001519692673e+00
1.570000000000000000e+02,7.569451431738354330e+00
1.580000000000000000e+02,7.591143079627331147e+00
1.590000000000000000e+02,7.612668439246555785e+00
1.600000000000000000e+02,7.634031375758008942e+00
1.610000000000000000e+02,7.655232267124530310e+00
1.620000000000000000e+02,7.676273265440740623e+00
1.630000000000000000e+02,7.697156865609142251e+00
1.640000000000000000e+02,7.717884324255728679e+00
1.650000000000000000e+02,7.738459016136856938e+00
1.660000000000000000e+02,7.758882100600060561e+00
1.670000000000000000e+02,7.779154320800482303e+00
1.680000000000000000e+02,7.799278131348938103e+00
1.690000000000000000e+02,7.819255740001372246e+00
1.700000000000000000e+02,7.839088161812572508e+00
1.710000000000000000e+02,7.858777523774731044e+00
1.720000000000000000e+02,7.878324774104349615e+00
1.730000000000000000e+02,7.897732714266517462e+00
1.740000000000000000e+02,7.917001471675885860e+00
1.750000000000000000e+02,7.936134140417127725e+00
1.760000000000000000e+02,7.955131715996979658e+00
1.770000000000000000e+02,7.973995354673420799e+00
1.780000000000000000e+02,7.992727102710940557e+00
1.790000000000000000e+02,8.011327504771024621e+00
1.800000000000000000e+02,8.029799088187674627e+00
1.810000000000000000e+02,8.048141980402272466e+00
1.820000000000000000e+02,8.066359180874179913e+00
1.830000000000000000e+02,8.084450228087815660e+00
