Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,2.38e+12,1.0,0.0,671.4400431833678,786.9688248869115,0.02265453865969095,0.5494411466300793,1.86e+05,209981.01493118115,5420.126829469509,100000000.0,0.00021237086651609843,0.7338086749851456,0.7184695705746285,0.94,1.0268422984827663,0.2979249676353172,9.588198354744951e-05,0.0009191686092311138,1.01211769211675,0.0,1683.0,1235.0,
0,53.3947,2.38e+12,1.0,0.0,671.4400431833678,786.9688248869115,0.02265453865969095,0.5494411466300793,1.86e+05,209981.01493118115,5420.126829469509,100000000.0,0.00021237086651609843,0.7338086749851456,0.7184695705746285,0.94,1.0268422984827663,0.2979249676353172,9.588198354744951e-05,0.0009191686092311138,1.01211769211675,0.0,1683.0,1235.0,
1,110.8096,2.38e+12,1.0,0.0,671.4400431833678,786.9688248869115,0.02265453865969095,0.5494411466300793,1.86e+05,209981.01493118115,5420.126829469509,100000000.0,0.00021237086651609843,0.7338086749851456,0.7184695705746285,0.94,1.0268422984827663,0.2979249676353172,9.588198354744951e-05,0.0009191686092311138,1.01211769211675,0.0,1683.0,1235.0,
2,187.5639,2.38e+12,1.0,0.0,671.4400431833678,786.9688248869115,0.02265453865969095,0.5494411466300793,1.86e+05,209981.01493118115,5420.126829469509,100000000.0,0.00021237086651609843,0.7338086749851456,0.7184695705746285,0.94,1.0268422984827663,0.2979249676353172,9.588198354744951e-05,0.0009191686092311138,1.01211769211675,0.0,1683.0,1235.0,
3,266.3097,2.30e+12,1.0,0.0,1051.350263418907,1837.5833974126717,0.09725109505794877,0.57844794742358,1.76e+05,139151.39581937485,19759.392370716752,100000000.0,9.449591591917877e-05,0.7338086749851456,0.7833108983570758,0.94,0.4754729561871257,0.12214543518539925,7.197877934698375e-05,0.000459186235699878,0.987017002535485,0.0,1683.0,1235.0,
4,347.0658,2.28e+12,1.0,0.0,917.5761721709479,1732.465746643619,0.06701244741209775,0.5775334482911496,1.73e+05,190462.61139860572,18074.805305172187,100000000.0,7.682698083545063e-05,0.7338086749851456,0.6771412533082701,0.94,0.6007701476962144,0.16361945303926395,8.316379754730241e-05,0.0004995369881278429,1.0001304262000636,0.0,1683.0,1235.0,
5,429.5264,2.44e+12,1.0,0.0,1062.7907695784174,1681.9010591833114,0.06654365936724582,0.5765772529447222,1.73e+05,153946.54888982023,24554.433243130996,100000000.0,2.8601109441374836e-05,0.7338086749851456,0.8073587540935718,0.94,0.2975437414411205,0.15671372126726452,5.506032891833574e-05,0.00046510086104299654,1.0419378948566203,0.0,1683.0,1235.0,
6,512.5708,2.32e+12,1.0,0.0,1124.7155766022915,1982.5141612890761,0.0804961745832152,0.5718059735016485,1.69e+05,164922.17808540858,20735.677534999406,100000000.0,2.4934950794309748e-05,0.7338086749851456,0.7742152027507772,0.94,0.32246101357770574,0.17803188949945561,7.842041861651108e-05,0.0005178590198537192,1.0153142998049478,0.0,1683.0,1235.0,
7,594.0310,2.35e+12,1.0,0.0,1107.8445178972452,1324.144049096617,0.08843694756625306,0.5373744800419007,1.72e+05,166091.97509058204,17638.593186311788,100000000.0,2.09295328827788e-05,0.7338086749851456,0.8161399637242446,0.94,0.3359977391086749,0.17584001370082022,7.205902700293024e-05,0.0004846154507306869,1.0163003067806213,0.0,1683.0,1235.0,
8,673.4650,2.32e+12,1.0,0.0,1042.800234009932,2191.594461818716,0.08625656537509245,0.5390404063781605,1.73e+05,150306.53246948885,21850.399205031623,100000000.0,8.615749911088264e-06,0.7338086749851456,0.7931188338141699,0.94,0.28393438367763396,0.20151664432368216,6.0087576168814315e-05,0.0005094966136104657,0.9971419132915966,0.0,1683.0,1235.0,
9,750.7438,2.32e+12,1.0,0.0,1042.800234009932,2191.594461818716,0.08625656537509245,0.5390404063781605,1.73e+05,150306.53246948885,21850.399205031623,100000000.0,8.615749911088264e-06,0.7338086749851456,0.7931188338141699,0.94,0.28393438367763396,0.20151664432368216,6.0087576168814315e-05,0.0005094966136104657,0.9971419132915966,0.0,1683.0,1235.0,
10,833.2008,2.32e+12,1.0,0.0,1042.800234009932,2191.594461818716,0.08625656537509245,0.5390404063781605,1.73e+05,150306.53246948885,21850.399205031623,100000000.0,8.615749911088264e-06,0.7338086749851456,0.7931188338141699,0.94,0.28393438367763396,0.20151664432368216,6.0087576168814315e-05,0.0005094966136104657,0.9971419132915966,0.0,1683.0,1235.0,
11,918.5542,2.32e+12,1.0,0.0,1042.800234009932,2191.594461818716,0.08625656537509245,0.5390404063781605,1.73e+05,150306.53246948885,21850.399205031623,100000000.0,8.615749911088264e-06,0.7338086749851456,0.7931188338141699,0.94,0.28393438367763396,0.20151664432368216,6.0087576168814315e-05,0.0005094966136104657,0.9971419132915966,0.0,1683.0,1235.0,
12,1000.2054,2.32e+12,1.0,0.0,1034.4875845209936,2047.7593353509433,0.09472376483774658,0.532582061945664,1.73e+05,142666.54090665217,22301.68934142863,100000000.0,7.813283183703923e-06,0.7338086749851456,0.7999830797438303,0.94,0.2851416408823584,0.1539131443502204,4.815149137763081e-05,0.0005060761403856961,1.0005870765401637,0.0,1683.0,1235.0,
13,1080.7568,2.34e+12,1.0,0.0,1076.2214043153622,2088.675074376,0.097784959273555,0.5659781768811453,1.73e+05,140253.03467635112,21817.88428121415,100000000.0,6.5601988402282325e-06,0.7338086749851456,0.8156307035834676,0.94,0.29887789198852144,0.15508470829801257,5.596321073947723e-05,0.000500829928446138,1.0066958222232874,0.0,1683.0,1235.0,
14,1150.8875,2.34e+12,1.0,0.0,1067.1558063875677,2229.0017949742087,0.0910725374698334,0.5448184233487363,1.73e+05,135463.54566222016,22281.000359589038,100000000.0,3.6445400815237506e-06,0.7338086749851456,0.8150423806271079,0.94,0.2950401031587284,0.14721671727234803,5.0272626879119695e-05,0.0005032574620956003,1.0070056026290626,0.0,1683.0,1235.0,
15,1221.5264,2.35e+12,1.0,0.0,1052.7613701165237,2224.987454691436,0.0904229783847638,0.6019730775472536,1.74e+05,132045.13127204243,20216.24868274974,100000000.0,3.1663845270035357e-06,0.7338086749851456,0.8141973894948249,0.94,0.2869707476480332,0.15293104616056052,4.975495651094265e-05,0.0004825594287144625,0.998733901594425,0.0,1683.0,1235.0,
