# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000000000000000e+01
6.000000000000000000e+00,2.500000199999999850e+01
7.000000000000000000e+00,2.500000800000000112e+01
8.000000000000000000e+00,2.500002900000000139e+01
9.000000000000000000e+00,2.500008599999999959e+01
1.000000000000000000e+01,2.500022699999999887e+01
1.100000000000000000e+01,2.500053399999999826e+01
1.200000000000000000e+01,2.500113500000000144e+01
1.300000000000000000e+01,2.500221600000000066e+01
1.400000000000000000e+01,2.500402100000000161e+01
1.500000000000000000e+01,2.500684899999999899e+01
1.600000000000000000e+01,2.501104700000000136e+01
1.700000000000000000e+01,2.501700200000000152e+01
1.800000000000000000e+01,2.502512700000000123e+01
1.900000000000000000e+01,2.503585100000000097e+01
2.000000000000000000e+01,2.504960099999999912e+01
2.100000000000000000e+01,2.506680300000000017e+01
2.200000000000000000e+01,2.508786200000000122e+01
2.300000000000000000e+01,2.511316899999999919e+01
2.400000000000000000e+01,2.514308199999999971e+01
2.500000000000000000e+01,2.517793299999999945e+01
2.600000000000000000e+01,2.521802299999999875e+01
2.700000000000000000e+01,2.526361999999999952e+01
2.800000000000000000e+01,2.531496200000000130e+01
2.900000000000000000e+01,2.537225000000000108e+01
3.000000000000000000e+01,2.543566099999999963e+01
3.100000000000000000e+01,2.550533700000000081e+01
3.200000000000000000e+01,2.558139399999999952e+01
3.300000000000000000e+01,2.566392700000000104e+01
3.400000000000000000e+01,2.575300199999999862e+01
3.500000000000000000e+01,2.584866699999999895e+01
3.600000000000000000e+01,2.595094500000000082e+01
3.700000000000000000e+01,2.605984700000000132e+01
3.800000000000000000e+01,2.617536399999999830e+01
3.900000000000000000e+01,2.629747199999999907e+01
4.000000000000000000e+01,2.642613599999999963e+01
4.100000000000000000e+01,2.656130599999999831e+01
4.200000000000000000e+01,2.670292500000000047e+01
4.300000000000000000e+01,2.685092399999999913e+01
4.400000000000000000e+01,2.700522799999999890e+01
4.500000000000000000e+01,2.716575999999999880e+01
4.600000000000000000e+01,2.733242600000000166e+01
4.700000000000000000e+01,2.750513799999999875e+01
4.800000000000000000e+01,2.768379399999999890e+01
4.900000000000000000e+01,2.786829600000000084e+01
5.000000000000000000e+01,2.805853700000000117e+01
5.100000000000000000e+01,2.825441400000000058e+01
5.200000000000000000e+01,2.845581599999999867e+01
5.300000000000000000e+01,2.866263999999999967e+01
5.400000000000000000e+01,2.887476699999999852e+01
5.500000000000000000e+01,2.909209399999999945e+01
5.600000000000000000e+01,2.931450500000000048e+01
5.700000000000000000e+01,2.954189300000000173e+01
5.800000000000000000e+01,2.977414699999999925e+01
5.900000000000000000e+01,3.001115799999999822e+01
6.000000000000000000e+01,3.025281700000000029e+01
6.100000000000000000e+01,3.049900999999999840e+01
6.200000000000000000e+01,3.074963599999999886e+01
6.300000000000000000e+01,3.100458700000000078e+01
6.400000000000000000e+01,3.126376300000000086e+01
6.500000000000000000e+01,3.152705800000000025e+01
6.600000000000000000e+01,3.179436899999999966e+01
6.700000000000000000e+01,3.206559800000000138e+01
6.800000000000000000e+01,3.234064899999999909e+01
6.900000000000000000e+01,3.261943099999999873e+01
7.000000000000000000e+01,3.290183600000000297e+01
7.100000000000000000e+01,3.318777500000000202e+01
7.200000000000000000e+01,3.347716100000000239e+01
7.300000000000000000e+01,3.376990099999999728e+01
7.400000000000000000e+01,3.406591800000000347e+01
7.500000000000000000e+01,3.436511600000000044e+01
7.600000000000000000e+01,3.466741199999999878e+01
7.700000000000000000e+01,3.497271299999999883e+01
7.800000000000000000e+01,3.528096000000000032e+01
7.900000000000000000e+01,3.559206799999999760e+01
8.000000000000000000e+01,3.590595600000000331e+01
8.100000000000000000e+01,3.622254900000000077e+01
8.200000000000000000e+01,3.654177099999999712e+01
8.300000000000000000e+01,3.686355199999999854e+01
8.400000000000000000e+01,3.718782800000000321e+01
8.500000000000000000e+01,3.751452599999999649e+01
8.600000000000000000e+01,3.784358199999999783e+01
8.700000000000000000e+01,3.817492299999999972e+01
8.800000000000000000e+01,3.850849500000000347e+01
8.900000000000000000e+01,3.884423799999999716e+01
9.000000000000000000e+01,3.918208700000000277e+01
9.100000000000000000e+01,3.952197300000000268e+01
9.200000000000000000e+01,3.986384999999999934e+01
9.300000000000000000e+01,4.020764900000000353e+01
9.400000000000000000e+01,4.055332899999999796e+01
9.500000000000000000e+01,4.090083299999999866e+01
9.600000000000000000e+01,4.125011099999999686e+01
9.700000000000000000e+01,4.160110900000000100e+01
9.800000000000000000e+01,4.195377700000000232e+01
9.900000000000000000e+01,4.230806700000000120e+01
1.000000000000000000e+02,4.266392900000000310e+01
1.010000000000000000e+02,4.302132000000000289e+01
1.020000000000000000e+02,4.338018799999999686e+01
1.030000000000000000e+02,4.374050100000000185e+01
1.040000000000000000e+02,4.410222199999999759e+01
1.050000000000000000e+02,4.446529799999999710e+01
1.060000000000000000e+02,4.482968900000000190e+01
1.070000000000000000e+02,4.519535400000000180e+01
1.080000000000000000e+02,4.556225599999999787e+01
1.090000000000000000e+02,4.593035900000000282e+01
1.100000000000000000e+02,4.629962499999999892e+01
1.110000000000000000e+02,4.667002099999999842e+01
1.120000000000000000e+02,4.704150800000000032e+01
1.130000000000000000e+02,4.741405499999999762e+01
1.140000000000000000e+02,4.778762400000000099e+01
1.150000000000000000e+02,4.816219300000000203e+01
1.160000000000000000e+02,4.853773100000000085e+01
1.170000000000000000e+02,4.891420399999999802e+01
1.180000000000000000e+02,4.929157599999999917e+01
1.190000000000000000e+02,4.966982300000000095e+01
1.200000000000000000e+02,5.004891599999999841e+01
1.210000000000000000e+02,5.042882900000000035e+01
1.220000000000000000e+02,5.080953600000000137e+01
1.230000000000000000e+02,5.119100600000000156e+01
1.240000000000000000e+02,5.157321499999999759e+01
1.250000000000000000e+02,5.195614199999999983e+01
1.260000000000000000e+02,5.233975600000000128e+01
1.270000000000000000e+02,5.272403700000000271e+01
1.280000000000000000e+02,5.310896699999999981e+01
1.290000000000000000e+02,5.349452200000000346e+01
1.300000000000000000e+02,5.388067600000000112e+01
1.310000000000000000e+02,5.426741400000000226e+01
1.320000000000000000e+02,5.465470899999999688e+01
1.330000000000000000e+02,5.504253800000000041e+01
1.340000000000000000e+02,5.543089299999999753e+01
1.350000000000000000e+02,5.581975200000000115e+01
1.360000000000000000e+02,5.620908699999999669e+01
1.370000000000000000e+02,5.659889199999999931e+01
1.380000000000000000e+02,5.698914700000000266e+01
1.390000000000000000e+02,5.737983700000000198e+01
1.400000000000000000e+02,5.777093899999999849e+01
1.410000000000000000e+02,5.816243699999999706e+01
1.420000000000000000e+02,5.855431699999999751e+01
1.430000000000000000e+02,5.894656400000000218e+01
1.440000000000000000e+02,5.933916099999999716e+01
1.450000000000000000e+02,5.973208999999999946e+01
1.460000000000000000e+02,6.012534300000000087e+01
1.470000000000000000e+02,6.051890600000000120e+01
1.480000000000000000e+02,6.091275799999999663e+01
1.490000000000000000e+02,6.130689199999999772e+01
1.500000000000000000e+02,6.170129399999999720e+01
1.510000000000000000e+02,6.209595099999999945e+01
1.520000000000000000e+02,6.249084899999999720e+01
1.530000000000000000e+02,6.288597500000000196e+01
1.540000000000000000e+02,6.328132200000000296e+01
1.550000000000000000e+02,6.367687600000000003e+01
1.560000000000000000e+02,6.407262400000000468e+01
1.570000000000000000e+02,6.446855899999999906e+01
1.580000000000000000e+02,6.486467000000000382e+01
1.590000000000000000e+02,6.526094100000000253e+01
1.600000000000000000e+02,6.565736400000000117e+01
1.610000000000000000e+02,6.605393200000000320e+01
1.620000000000000000e+02,6.645063799999999787e+01
1.630000000000000000e+02,6.684746599999999717e+01
1.640000000000000000e+02,6.724440800000000706e+01
1.650000000000000000e+02,6.764145700000000261e+01
1.660000000000000000e+02,6.803860500000000400e+01
1.670000000000000000e+02,6.843584400000000301e+01
1.680000000000000000e+02,6.883316800000000057e+01
1.690000000000000000e+02,6.923055999999999699e+01
1.700000000000000000e+02,6.962802100000000394e+01
1.710000000000000000e+02,7.002554299999999898e+01
1.720000000000000000e+02,7.042311100000000579e+01
1.730000000000000000e+02,7.082071700000000192e+01
1.740000000000000000e+02,7.121836899999999559e+01
1.750000000000000000e+02,7.161604300000000478e+01
1.760000000000000000e+02,7.201373300000000199e+01
1.770000000000000000e+02,7.241144599999999798e+01
1.780000000000000000e+02,7.280916600000000471e+01
1.790000000000000000e+02,7.320688599999999724e+01
1.800000000000000000e+02,7.360459899999999323e+01
1.810000000000000000e+02,7.400229600000000119e+01
1.820000000000000000e+02,7.439998599999999840e+01
1.830000000000000000e+02,7.479764600000000030e+01
1.840000000000000000e+02,7.519527399999999773e+01
1.850000000000000000e+02,7.559287299999999732e+01
1.860000000000000000e+02,7.599043299999999590e+01
1.870000000000000000e+02,7.638793900000000292e+01
1.880000000000000000e+02,7.678539999999999566e+01
1.890000000000000000e+02,7.718280799999999431e+01
1.900000000000000000e+02,7.758014699999999664e+01
1.910000000000000000e+02,7.797741700000000264e+01
1.920000000000000000e+02,7.837461899999999559e+01
1.930000000000000000e+02,7.877173600000000420e+01
1.940000000000000000e+02,7.916877700000000573e+01
1.950000000000000000e+02,7.956572699999999543e+01
1.960000000000000000e+02,7.996259299999999826e+01
1.970000000000000000e+02,8.035935200000000123e+01
1.980000000000000000e+02,8.075602000000000658e+01
1.990000000000000000e+02,8.115258000000000038e+01
2.000000000000000000e+02,8.154903400000000602e+01
2.010000000000000000e+02,8.194537400000000105e+01
2.020000000000000000e+02,8.234159099999999398e+01
2.030000000000000000e+02,8.273769400000000473e+01
2.040000000000000000e+02,8.313366700000000264e+01
2.050000000000000000e+02,8.352950300000000539e+01
2.060000000000000000e+02,8.392520899999999529e+01
2.070000000000000000e+02,8.432077800000000423e+01
2.080000000000000000e+02,8.471620199999999556e+01
2.090000000000000000e+02,8.511148099999999772e+01
2.100000000000000000e+02,8.550659899999999425e+01
2.110000000000000000e+02,8.590156600000000253e+01
2.120000000000000000e+02,8.629637099999999350e+01
2.130000000000000000e+02,8.669102499999999623e+01
2.140000000000000000e+02,8.708550300000000277e+01
2.150000000000000000e+02,8.747982000000000369e+01
2.160000000000000000e+02,8.787396200000000590e+01
2.170000000000000000e+02,8.826792100000000119e+01
2.180000000000000000e+02,8.866170499999999777e+01
2.190000000000000000e+02,8.905529799999999341e+01
2.200000000000000000e+02,8.944870000000000232e+01
2.210000000000000000e+02,8.984191900000000430e+01
2.220000000000000000e+02,9.023493200000000058e+01
2.230000000000000000e+02,9.062775399999999593e+01
2.240000000000000000e+02,9.102036999999999978e+01
2.250000000000000000e+02,9.141277300000000139e+01
2.260000000000000000e+02,9.180496999999999730e+01
2.270000000000000000e+02,9.219695299999999349e+01
2.280000000000000000e+02,9.258871499999999344e+01
2.290000000000000000e+02,9.298026299999999367e+01
2.300000000000000000e+02,9.337158999999999764e+01
2.310000000000000000e+02,9.376268000000000313e+01
2.320000000000000000e+02,9.415354200000000162e+01
2.330000000000000000e+02,9.454416700000000162e+01
2.340000000000000000e+02,9.493454699999999491e+01
2.350000000000000000e+02,9.532468400000000486e+01
2.360000000000000000e+02,9.571456899999999735e+01
2.370000000000000000e+02,9.610420999999999481e+01
2.380000000000000000e+02,9.649359099999999501e+01
2.390000000000000000e+02,9.688271299999999542e+01
2.400000000000000000e+02,9.727157599999999604e+01
2.410000000000000000e+02,9.766016399999999464e+01
2.420000000000000000e+02,9.804848499999999945e+01
2.430000000000000000e+02,9.843653100000000222e+01
2.440000000000000000e+02,9.882429500000000644e+01
2.450000000000000000e+02,9.921177699999999788e+01
2.460000000000000000e+02,9.959896899999999675e+01
2.470000000000000000e+02,9.998587000000000558e+01
2.480000000000000000e+02,1.003724700000000070e+02
2.490000000000000000e+02,1.007587699999999984e+02
2.500000000000000000e+02,1.011447699999999941e+02
2.510000000000000000e+02,1.015304600000000050e+02
2.520000000000000000e+02,1.019158299999999997e+02
2.530000000000000000e+02,1.023008899999999954e+02
2.540000000000000000e+02,1.026856200000000001e+02
2.550000000000000000e+02,1.030700300000000027e+02
2.560000000000000000e+02,1.034540999999999968e+02
2.570000000000000000e+02,1.038378399999999999e+02
2.580000000000000000e+02,1.042212399999999946e+02
2.590000000000000000e+02,1.046042800000000028e+02
2.600000000000000000e+02,1.049869800000000026e+02
2.610000000000000000e+02,1.053693200000000019e+02
2.620000000000000000e+02,1.057513000000000005e+02
2.630000000000000000e+02,1.061329300000000018e+02
2.640000000000000000e+02,1.065141799999999961e+02
2.650000000000000000e+02,1.068950499999999977e+02
2.660000000000000000e+02,1.072755400000000066e+02
2.670000000000000000e+02,1.076556400000000053e+02
2.680000000000000000e+02,1.080353499999999940e+02
2.690000000000000000e+02,1.084146599999999978e+02
2.700000000000000000e+02,1.087935700000000026e+02
2.710000000000000000e+02,1.091720700000000051e+02
2.720000000000000000e+02,1.095501399999999990e+02
2.730000000000000000e+02,1.099278000000000048e+02
2.740000000000000000e+02,1.103050400000000053e+02
2.750000000000000000e+02,1.106818300000000050e+02
2.760000000000000000e+02,1.110581899999999962e+02
2.770000000000000000e+02,1.114341000000000008e+02
2.780000000000000000e+02,1.118095600000000047e+02
2.790000000000000000e+02,1.121845600000000047e+02
2.800000000000000000e+02,1.125591000000000008e+02
2.810000000000000000e+02,1.129331700000000041e+02
2.820000000000000000e+02,1.133067599999999970e+02
2.830000000000000000e+02,1.136798699999999940e+02
2.840000000000000000e+02,1.140524800000000027e+02
2.850000000000000000e+02,1.144246100000000013e+02
2.860000000000000000e+02,1.147962200000000053e+02
2.870000000000000000e+02,1.151673100000000005e+02
2.880000000000000000e+02,1.155378999999999934e+02
2.890000000000000000e+02,1.159079399999999964e+02
2.900000000000000000e+02,1.162774699999999939e+02
2.910000000000000000e+02,1.166464399999999983e+02
2.920000000000000000e+02,1.170148700000000019e+02
2.930000000000000000e+02,1.173827399999999983e+02
