Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,4.00e+12,1.0,0.0,2909.335464965727,3827.5631999302564,0.1111262729592147,0.853862828351098,1.19e+05,129561.5349381355,7515.476407832361,100000000.0,0.00022786282120220648,0.7338086749851456,0.4539770623967839,0.94,0.4667168307965577,0.23491459093638395,1.2190363885560893e-05,0.0001426381889190502,2.6544482865612613,0.0,1683.0,1235.0,
0,54.0283,4.00e+12,1.0,0.0,2909.335464965727,3827.5631999302564,0.1111262729592147,0.853862828351098,1.19e+05,129561.5349381355,7515.476407832361,100000000.0,0.00022786282120220648,0.7338086749851456,0.4539770623967839,0.94,0.4667168307965577,0.23491459093638395,1.2190363885560893e-05,0.0001426381889190502,2.6544482865612613,0.0,1683.0,1235.0,
1,115.0032,4.00e+12,1.0,0.0,2909.335464965727,3827.5631999302564,0.1111262729592147,0.853862828351098,1.19e+05,129561.5349381355,7515.476407832361,100000000.0,0.00022786282120220648,0.7338086749851456,0.4539770623967839,0.94,0.4667168307965577,0.23491459093638395,1.2190363885560893e-05,0.0001426381889190502,2.6544482865612613,0.0,1683.0,1235.0,
2,190.4101,3.53e+12,1.0,0.0,2001.632309791968,2003.4723778999341,0.10191792007152337,0.8027895052263463,1.38e+05,252719.39278383227,21275.279506087692,100000000.0,0.00013128909135302913,0.7338086749851456,0.6709109476112641,0.94,0.44344154765573535,0.20133318696516272,5.813806544312321e-05,0.0003987126660698109,1.9503824698537262,0.0,1683.0,1235.0,
3,273.0331,3.53e+12,1.0,0.0,2001.632309791968,2003.4723778999341,0.10191792007152337,0.8027895052263463,1.38e+05,252719.39278383227,21275.279506087692,100000000.0,0.00013128909135302913,0.7338086749851456,0.6709109476112641,0.94,0.44344154765573535,0.20133318696516272,5.813806544312321e-05,0.0003987126660698109,1.9503824698537262,0.0,1683.0,1235.0,
4,360.3701,3.53e+12,1.0,0.0,2001.632309791968,2003.4723778999341,0.10191792007152337,0.8027895052263463,1.38e+05,252719.39278383227,21275.279506087692,100000000.0,0.00013128909135302913,0.7338086749851456,0.6709109476112641,0.94,0.44344154765573535,0.20133318696516272,5.813806544312321e-05,0.0003987126660698109,1.9503824698537262,0.0,1683.0,1235.0,
5,450.0426,2.24e+12,1.0,0.0,2093.6255461192395,2364.1012417238294,0.13546386048091513,0.5663062236666129,1.28e+05,114767.15914697031,17162.744629680477,100000000.0,0.00012221037937055215,0.7338086749851456,0.4731262170397026,0.94,0.3975508864656738,0.17540969970270615,6.006528804763105e-05,0.0001465394552813571,1.293245205891246,0.0,1683.0,1235.0,
6,537.1936,4.28e+12,1.0,0.0,1526.939110039179,1714.8187201271212,0.10120630566881464,0.45097174002234763,1.60e+05,174080.17894941848,16286.257854991563,100000000.0,7.817435867474655e-05,0.7338086749851456,0.7700929997071917,0.94,0.4978874361165583,0.1535702439799224,5.4563614697932745e-05,0.00045343600093202983,1.777798824530978,0.0,1683.0,1235.0,
7,620.9508,4.07e+12,1.0,0.0,1831.7516773344937,2056.7479177179803,0.09524118833590578,0.6921198550750656,1.42e+05,214934.4463308896,23553.88824673974,100000000.0,3.1267387740529196e-05,0.7338086749851456,0.6480425901069302,0.94,0.4678984697564983,0.18444177726998973,5.6822124323892915e-05,0.0004902483144355394,1.8895013423371347,0.0,1683.0,1235.0,
8,702.8924,3.33e+12,1.0,0.0,2153.567362699133,2422.565824971633,0.08966909690960767,0.5777111014993822,1.37e+05,222428.6025907838,22584.418244175245,100000000.0,1.6061293901023907e-05,0.7338086749851456,0.6636283157901406,0.94,0.5654267421186696,0.18116620074081285,6.912472091855345e-05,0.0005090455875502754,1.779296792189395,0.0,1683.0,1235.0,
9,783.5427,3.33e+12,1.0,0.0,2153.567362699133,2422.565824971633,0.08966909690960767,0.5777111014993822,1.37e+05,222428.6025907838,22584.418244175245,100000000.0,1.6061293901023907e-05,0.7338086749851456,0.6636283157901406,0.94,0.5654267421186696,0.18116620074081285,6.912472091855345e-05,0.0005090455875502754,1.779296792189395,0.0,1683.0,1235.0,
10,867.7975,3.56e+12,1.0,0.0,2181.877860699292,2141.646145660131,0.0964717206939377,0.536454755609297,1.37e+05,199478.3460403409,21431.91124550416,100000000.0,1.193162180264648e-05,0.7338086749851456,0.6605947381920125,0.94,0.523904431883451,0.1515656868012783,6.655062515817144e-05,0.0004100158172466573,1.853433130241278,0.0,1683.0,1235.0,
11,948.2616,3.56e+12,1.0,0.0,2181.877860699292,2141.646145660131,0.0964717206939377,0.536454755609297,1.37e+05,199478.3460403409,21431.91124550416,100000000.0,1.193162180264648e-05,0.7338086749851456,0.6605947381920125,0.94,0.523904431883451,0.1515656868012783,6.655062515817144e-05,0.0004100158172466573,1.853433130241278,0.0,1683.0,1235.0,
12,1029.7957,3.79e+12,1.0,0.0,2149.161105983151,2241.0155133026665,0.094816205429888,0.5897230130080103,1.38e+05,203202.6725369443,20816.56612065332,100000000.0,1.1667461541621211e-05,0.7338086749851456,0.6708425050643745,0.94,0.5115385703250479,0.16606890367161692,6.26287781545565e-05,0.00045762571135985174,1.8000544844581228,0.0,1683.0,1235.0,
13,1110.4320,3.46e+12,1.0,0.0,2008.812259946696,2178.0559597124975,0.09802567109710064,0.6054903971163352,1.39e+05,210319.2476137351,20571.03583210944,100000000.0,1.1416748043119339e-05,0.7338086749851456,0.6600442139701397,0.94,0.47992513116446056,0.17526789105176072,6.259386331104166e-05,0.00046734278117584714,1.7587107341808905,0.0,1683.0,1235.0,
14,1199.3162,3.55e+12,1.0,0.0,2016.0771576755956,2200.9862647054188,0.09752406509660783,0.6019906603254552,1.40e+05,207611.94674843905,20764.022380792077,100000000.0,1.0816803540842449e-05,0.7338086749851456,0.6645200620455134,0.94,0.48977542645950606,0.172866823106945,6.284548305828054e-05,0.0004619838910330712,1.7823836141667015,0.0,1683.0,1235.0,
15,1282.5690,3.21e+12,1.0,0.0,1963.6317753845983,2187.6662302499726,0.09935015153216561,0.6075415964065423,1.40e+05,209528.017266313,20894.780393797435,100000000.0,1.0413073184220467e-05,0.7338086749851456,0.6610492990007801,0.94,0.4786097392245968,0.17413277816809905,6.4501558164273e-05,0.0004601497142957535,1.7345527457403191,0.0,1683.0,1235.0,
16,1364.9190,3.52e+12,1.0,0.0,2088.7392823962655,2215.0870521791917,0.09538172410262147,0.6073880243089058,1.39e+05,214667.1188979576,21710.510146979264,100000000.0,1.0015320389952656e-05,0.7338086749851456,0.6808135000866125,0.94,0.5240429182732538,0.1722566430912126,6.494262296786993e-05,0.0004747733286103123,1.7239332662261977,0.0,1683.0,1235.0,
17,1439.5559,3.43e+12,1.0,0.0,2097.338596296264,2224.259482777077,0.0962579673748005,0.5950991330619883,1.39e+05,212583.66953564808,21602.224025249747,100000000.0,9.695140072221753e-06,0.7338086749851456,0.6901867173670909,0.94,0.5240790256846815,0.1706610270328886,6.633760406027226e-05,0.0004697064146994221,1.720152237037537,0.0,1683.0,1235.0,
18,1508.2964,3.65e+12,1.0,0.0,2156.0565756977503,2235.807242864561,0.09234730675185283,0.6216977416429306,1.40e+05,215990.96308073768,22243.159337936875,100000000.0,9.276598512842577e-06,0.7338086749851456,0.714960197464749,0.94,0.5511958409973503,0.17372061840877034,6.705228929661033e-05,0.000489667627267738,1.6875055549821272,0.0,1683.0,1235.0,
19,1572.9303,3.58e+12,1.0,0.0,2276.2870121192896,2236.1175787504617,0.09134529006089644,0.613404357573298,1.39e+05,218658.04939138287,23399.050679832824,100000000.0,8.938992895575684e-06,0.7338086749851456,0.7432156925210907,0.94,0.5914290230000081,0.1699849250952818,7.044448866052465e-05,0.0004942057796418058,1.6645864087104556,0.0,1683.0,1235.0,
20,1639.0656,3.74e+12,1.0,0.0,2441.3132126629807,2298.356465107705,0.09006582699411429,0.6279355135428055,1.40e+05,219749.74151041606,24105.464593113524,100000000.0,7.993029736832555e-06,0.7338086749851456,0.796467440107079,0.94,0.6497871537226347,0.16814124240150627,7.348903524991173e-05,0.0005222047018094318,1.6630452776733766,0.0,1683.0,1235.0,
21,1706.9052,4.10e+12,1.0,0.0,2786.2508078525007,2404.83530409342,0.07943084690224694,0.6437098552812164,1.40e+05,225490.37850729845,26737.453689709502,100000000.0,7.398447639285595e-06,0.7338086749851456,0.9039172185910604,0.94,0.7755111246841189,0.17096376770881533,8.069050171177265e-05,0.0005645090471547848,1.5760559896274429,0.0,1683.0,1235.0,
22,1785.6519,4.34e+12,1.0,0.0,2868.403600397626,2385.397121582846,0.08361548299788832,0.653773529451596,1.40e+05,217401.67475527906,27138.834571600924,100000000.0,7.0798181881522845e-06,0.7338086749851456,0.9256030947247567,0.94,0.7954840858986653,0.16849847822420888,8.294119334617439e-05,0.0005269670064325442,1.608829616277581,0.0,1683.0,1235.0,
23,1858.4073,4.09e+12,1.0,0.0,3085.9174208342642,2482.772800352899,0.07992125508373601,0.6695437298413521,1.40e+05,219866.77411422995,29697.34566156893,100000000.0,6.697069781089139e-06,0.7338086749851456,0.9974477136058812,0.94,0.8744462309893672,0.16651488841216688,9.088491088042082e-05,0.0005635383516400305,1.55663789693455,0.0,1683.0,1235.0,
24,1928.4539,4.14e+12,1.0,0.0,3045.53916997568,2445.3550786353235,0.0832583283549515,0.6561764396498029,1.40e+05,216864.91479937392,29728.131111559014,100000000.0,6.627165408089684e-06,0.7338086749851456,0.9813674079977482,0.94,0.8601057262718164,0.16099237033257893,8.888747103060976e-05,0.0005363803262563717,1.5514185889589214,0.0,1683.0,1235.0,
25,2000.7187,4.04e+12,1.0,0.0,3070.9428250819874,2496.959334707788,0.08143271979733907,0.661860250874104,1.40e+05,219549.67854501161,29935.017284158697,100000000.0,6.626774368753978e-06,0.7338086749851456,0.9928571111653874,0.94,0.8735866230738454,0.1615996276290948,9.154559957228068e-05,0.0005610897488390963,1.5381003230990205,0.0,1683.0,1235.0,
26,2069.4672,4.13e+12,1.0,0.0,3101.646243238465,2472.680446937758,0.08222032974125182,0.6619682477220499,1.40e+05,218268.2666184761,30259.87023216088,100000000.0,6.580997019813341e-06,0.7338086749851456,0.999103254013012,0.94,0.8817106366090165,0.16130826269402737,9.101978753829859e-05,0.0005479138116965708,1.539216774215455,0.0,1683.0,1235.0,
27,2136.2960,4.04e+12,1.0,0.0,3082.1693740341943,2465.22220691074,0.0834094455533625,0.6530222436262625,1.40e+05,217531.95835080976,29889.941219584754,100000000.0,6.56426751997656e-06,0.7338086749851456,0.9931744779567415,0.94,0.8717639905727577,0.1628351891825902,9.07654900662217e-05,0.000540788738923226,1.5455392304888647,0.0,1683.0,1235.0,
28,2201.2331,4.14e+12,1.0,0.0,3085.457719436231,2451.2082031732616,0.08438275938089176,0.6473530887046999,1.40e+05,216218.357613649,29755.57932427477,100000000.0,6.5461860826871566e-06,0.7338086749851456,0.992028339165577,0.94,0.8723051994826038,0.15997726021581798,9.061223499189151e-05,0.0005287613802828666,1.540917492762218,0.0,1683.0,1235.0,
29,2263.3586,4.09e+12,1.0,0.0,3102.6515044951466,2434.04056956348,0.0829922398465407,0.6484291226433503,1.40e+05,216795.52481864742,30230.876543138,100000000.0,6.5257361587974046e-06,0.7338086749851456,0.9978457158894514,0.94,0.879048120572644,0.15522361232785759,9.110361407513547e-05,0.0005349376175171829,1.5369551204816736,0.0,1683.0,1235.0,
30,2321.7788,4.05e+12,1.0,0.0,3111.959847280348,2408.8995759170252,0.08412683996463742,0.6333739087325676,1.40e+05,214078.3013831696,29943.483747240738,100000000.0,6.493215805420574e-06,0.7338086749851456,0.9986542841821409,0.94,0.8779246505654179,0.1503531270679801,9.124489882698995e-05,0.0005231607978051897,1.5447599015945879,0.0,1683.0,1235.0,
31,2379.9087,3.95e+12,1.0,0.0,3117.03349022974,2394.0223736378175,0.08518432693953804,0.625113964590871,1.40e+05,213205.11489206043,30156.44176285074,100000000.0,6.468752456145507e-06,0.7338086749851456,0.9974284171181793,0.94,0.8776410312517112,0.14729182518618628,9.151832472591468e-05,0.0005160251318658789,1.5438551196659012,0.0,1683.0,1235.0,
32,2448.8485,3.97e+12,1.0,0.0,3100.5777417472036,2363.0010542838786,0.08486134158106956,0.6147861220249972,1.40e+05,212826.89811098372,30084.756038309693,100000000.0,6.452950518964819e-06,0.7338086749851456,0.9915814176424611,0.94,0.8705105769289083,0.14172857911687886,9.067904387793631e-05,0.0005168534763415598,1.5475244331687374,0.0,1683.0,1235.0,
33,2512.7827,3.96e+12,1.0,0.0,3115.7327203820405,2314.678802107015,0.08645221165946171,0.6127101458644516,1.40e+05,211545.7511483935,30833.05570804717,100000000.0,6.4099075511458085e-06,0.7338086749851456,0.9914554104276818,0.94,0.872957083273859,0.13843942338131018,9.137985545272731e-05,0.000499801358167289,1.5420309880184866,0.0,1683.0,1235.0,
34,2573.8002,3.89e+12,1.0,0.0,3113.471268484086,2242.796574809144,0.08642876946236959,0.5954346392366948,1.39e+05,210669.2589620732,30991.02607878935,100000000.0,6.359690461479525e-06,0.7338086749851456,0.9860071165467221,0.94,0.8699104166104985,0.12524394357078858,9.140657112882285e-05,0.0005003129868513627,1.5532150933876323,0.0,1683.0,1235.0,
35,2636.3231,3.70e+12,1.0,0.0,3146.0030920892186,2114.5730263847263,0.08780854346407087,0.5618582403803607,1.39e+05,207919.31828647267,31528.736964506817,100000000.0,6.222706708331752e-06,0.7338086749851456,0.9874753525320897,0.94,0.8743759673742209,0.11436075040893018,9.160183259650404e-05,0.00047960105218138017,1.5779677426927714,0.0,1683.0,1235.0,
