# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.762023300960968902e-02
6.000000000000000000e+00,4.924209937913938406e-02
7.000000000000000000e+00,8.022000773584055111e-02
8.000000000000000000e+00,1.209633391200018310e-01
9.000000000000000000e+00,1.727895684146384947e-01
1.000000000000000000e+01,2.359395727700121792e-01
1.100000000000000000e+01,3.100110265658061470e-01
1.200000000000000000e+01,3.942156964395376328e-01
1.300000000000000000e+01,4.874664102345806493e-01
1.400000000000000000e+01,5.885693084533700770e-01
1.500000000000000000e+01,6.963099358598461297e-01
1.600000000000000000e+01,8.095184438772887736e-01
1.700000000000000000e+01,9.271237418246597306e-01
1.800000000000000000e+01,1.048169613477454298e+00
1.900000000000000000e+01,1.171821963163662383e+00
2.000000000000000000e+01,1.297350233682981857e+00
2.100000000000000000e+01,1.424137297791487899e+00
2.200000000000000000e+01,1.551659798816379610e+00
2.300000000000000000e+01,1.679472340713379808e+00
2.400000000000000000e+01,1.807197111178475479e+00
2.500000000000000000e+01,1.934520176577558370e+00
2.600000000000000000e+01,2.061183646047903384e+00
2.700000000000000000e+01,2.186966146575538783e+00
2.800000000000000000e+01,2.311685906972738902e+00
2.900000000000000000e+01,2.435199071322104114e+00
3.000000000000000000e+01,2.557382367239903420e+00
3.100000000000000000e+01,2.678142612608453987e+00
3.200000000000000000e+01,2.797402973332852039e+00
3.300000000000000000e+01,2.915105780939138302e+00
3.400000000000000000e+01,3.031207997106710739e+00
3.500000000000000000e+01,3.145679015179471349e+00
3.600000000000000000e+01,3.258500900293562541e+00
3.700000000000000000e+01,3.369658633349283949e+00
3.800000000000000000e+01,3.479153068697990570e+00
3.900000000000000000e+01,3.586984570036813480e+00
4.000000000000000000e+01,3.693160114029718333e+00
4.100000000000000000e+01,3.797691602795093768e+00
4.200000000000000000e+01,3.900592115251345859e+00
4.300000000000000000e+01,4.001881375469184654e+00
4.400000000000000000e+01,4.101573098284218233e+00
4.500000000000000000e+01,4.199690846630960372e+00
4.600000000000000000e+01,4.296254980162418136e+00
4.700000000000000000e+01,4.391287019413665504e+00
4.800000000000000000e+01,4.484811800544306060e+00
4.900000000000000000e+01,4.576851644462916369e+00
5.000000000000000000e+01,4.667429943094743017e+00
5.100000000000000000e+01,4.756572626034634155e+00
5.200000000000000000e+01,4.844299849511826572e+00
5.300000000000000000e+01,4.930635175591140396e+00
5.400000000000000000e+01,5.015604545499583011e+00
5.500000000000000000e+01,5.099227451401327826e+00
5.600000000000000000e+01,5.181529846622622060e+00
5.700000000000000000e+01,5.262533144980729993e+00
5.800000000000000000e+01,5.342256959147420048e+00
5.900000000000000000e+01,5.420725837616716447e+00
6.000000000000000000e+01,5.497959856238689547e+00
6.100000000000000000e+01,5.573980729277035806e+00
6.200000000000000000e+01,5.648808705788972873e+00
6.300000000000000000e+01,5.722465313193492165e+00
6.400000000000000000e+01,5.794971548641107084e+00
6.500000000000000000e+01,5.866347973316486275e+00
6.600000000000000000e+01,5.936612440453473916e+00
6.700000000000000000e+01,6.005785507524030287e+00
6.800000000000000000e+01,6.073888462152415180e+00
6.900000000000000000e+01,6.140941582527884357e+00
7.000000000000000000e+01,6.206963049488804174e+00
7.100000000000000000e+01,6.271974453235698022e+00
7.200000000000000000e+01,6.335993301756343676e+00
7.300000000000000000e+01,6.399040370047351267e+00
7.400000000000000000e+01,6.461135715430760484e+00
7.500000000000000000e+01,6.522297320987349600e+00
7.600000000000000000e+01,6.582545238101959129e+00
7.700000000000000000e+01,6.641898174538473754e+00
7.800000000000000000e+01,6.700376023658510150e+00
7.900000000000000000e+01,6.757997445442157414e+00
8.000000000000000000e+01,6.814779456558470727e+00
8.100000000000000000e+01,6.870743259535473157e+00
8.200000000000000000e+01,6.925902921619743857e+00
8.300000000000000000e+01,6.980278900334917935e+00
8.400000000000000000e+01,7.033886903946349634e+00
8.500000000000000000e+01,7.086742440212906224e+00
8.600000000000000000e+01,7.138864043572213269e+00
8.700000000000000000e+01,7.190264453248583543e+00
8.800000000000000000e+01,7.240961959053048957e+00
8.900000000000000000e+01,7.290969889349014466e+00
9.000000000000000000e+01,7.340300639781713876e+00
9.100000000000000000e+01,7.388970879504277889e+00
9.200000000000000000e+01,7.436992174293187929e+00
9.300000000000000000e+01,7.484376954426569917e+00
9.400000000000000000e+01,7.531140111819473404e+00
9.500000000000000000e+01,7.577291103780595449e+00
9.600000000000000000e+01,7.622844151370484767e+00
9.700000000000000000e+01,7.667811190765776885e+00
9.800000000000000000e+01,7.712201220681325964e+00
9.900000000000000000e+01,7.756027280722664230e+00
1.000000000000000000e+02,7.799299877275926995e+00
1.010000000000000000e+02,7.842028457108160211e+00
1.020000000000000000e+02,7.884225043768308794e+00
1.030000000000000000e+02,7.925898327092043338e+00
1.040000000000000000e+02,7.967059555489761635e+00
1.050000000000000000e+02,8.007717113456321201e+00
1.060000000000000000e+02,8.047881185766268430e+00
1.070000000000000000e+02,8.087560091350308511e+00
1.080000000000000000e+02,8.126763211772651374e+00
1.090000000000000000e+02,8.165498309051441694e+00
1.100000000000000000e+02,8.203774212524612253e+00
1.110000000000000000e+02,8.241598014060178556e+00
1.120000000000000000e+02,8.278978564426690667e+00
1.130000000000000000e+02,8.315922503367703555e+00
1.140000000000000000e+02,8.352438050134614045e+00
1.150000000000000000e+02,8.388530611674955395e+00
1.160000000000000000e+02,8.424208347148129050e+00
1.170000000000000000e+02,8.459478128249267925e+00
1.180000000000000000e+02,8.494346243325704648e+00
1.190000000000000000e+02,8.528819066340496136e+00
1.200000000000000000e+02,8.562903214563108989e+00
1.210000000000000000e+02,8.596604431803132940e+00
1.220000000000000000e+02,8.629928566897438813e+00
1.230000000000000000e+02,8.662882818914033223e+00
1.240000000000000000e+02,8.695471198318402983e+00
1.250000000000000000e+02,8.727699871729917902e+00
1.260000000000000000e+02,8.759574032894541062e+00
1.270000000000000000e+02,8.791099605375761072e+00
1.280000000000000000e+02,8.822282466033950499e+00
1.290000000000000000e+02,8.853126805399792687e+00
1.300000000000000000e+02,8.883636967088468950e+00
1.310000000000000000e+02,8.913817885420154852e+00
1.320000000000000000e+02,8.943673895899767246e+00
1.330000000000000000e+02,8.973209919206112772e+00
1.340000000000000000e+02,9.002430287680304843e+00
1.350000000000000000e+02,9.031338478377055168e+00
1.360000000000000000e+02,9.059939280239293069e+00
1.370000000000000000e+02,9.088236628063121714e+00
1.380000000000000000e+02,9.116234615966238408e+00
1.390000000000000000e+02,9.143936933447125881e+00
1.400000000000000000e+02,9.171346878448296991e+00
1.410000000000000000e+02,9.198469168253316397e+00
1.420000000000000000e+02,9.225306872909840195e+00
1.430000000000000000e+02,9.251863925384675724e+00
1.440000000000000000e+02,9.278143737915316436e+00
1.450000000000000000e+02,9.304149487977818822e+00
1.460000000000000000e+02,9.329885201363710578e+00
1.470000000000000000e+02,9.355354392317071444e+00
1.480000000000000000e+02,9.380559280125849497e+00
1.490000000000000000e+02,9.405504397068318312e+00
1.500000000000000000e+02,9.430193369047755070e+00
1.510000000000000000e+02,9.454627368800910148e+00
1.520000000000000000e+02,9.478811693676050254e+00
1.530000000000000000e+02,9.502748661711944322e+00
1.540000000000000000e+02,9.526440008987369978e+00
1.550000000000000000e+02,9.549890369897548581e+00
1.560000000000000000e+02,9.573101075975619878e+00
1.570000000000000000e+02,9.596075448202871172e+00
1.580000000000000000e+02,9.618815840098834613e+00
1.590000000000000000e+02,9.641324920423981482e+00
1.600000000000000000e+02,9.663604287519012459e+00
1.610000000000000000e+02,9.685656989876624934e+00
1.620000000000000000e+02,9.707484139806037859e+00
1.630000000000000000e+02,9.729087554192206611e+00
1.640000000000000000e+02,9.750469985370092019e+00
1.650000000000000000e+02,9.771631791112755039e+00
1.660000000000000000e+02,9.792575014807413325e+00
1.670000000000000000e+02,9.813301040121624297e+00
1.680000000000000000e+02,9.833810120954284528e+00
1.690000000000000000e+02,9.854104177562204470e+00
1.700000000000000000e+02,9.874183881004114482e+00
1.710000000000000000e+02,9.894049396064207968e+00
1.720000000000000000e+02,9.913702416052164068e+00
1.730000000000000000e+02,9.933142692098870796e+00
1.740000000000000000e+02,9.952370907365372332e+00
1.750000000000000000e+02,9.971387599335818308e+00
1.760000000000000000e+02,9.990192341504149809e+00
1.770000000000000000e+02,1.000878598144080911e+01
1.780000000000000000e+02,1.002716875422718346e+01
1.790000000000000000e+02,1.004533994555857568e+01
1.800000000000000000e+02,1.006329987358159705e+01
1.810000000000000000e+02,1.008104871838448702e+01
1.820000000000000000e+02,1.009858572076855410e+01
1.830000000000000000e+02,1.011591079965601381e+01
